,Id,Original Description,Normalized Description,Charge Class,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Voted Output,Sum Correct,Correct_Logistic_OvR,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
341,40,HC IV PUMP CONTROLLER W MODULES,intravenous pump controller with modules,Capital Equipment,RETROSPECTIVE,2016-07-12,water,pump,modules,intravenous,Capital Equipment,0.674756774488,Capital Equipment,1,1,0.674756774488,modules,pump,controller,iv
342,1114,POTASSIUM CHLORIDE SA 20 MEQ TBCR,potassium chloride slow_action 20 milliequivalents tablet_controlled_release,Pharmacy,ONLINE,2016-09-16,potassium,chloride,tbcr,sa,Pharmacy,0.890199983558,Pharmacy,1,1,0.890199983558,potassium,chloride,,
343,61,PUMP INFUS CLAVE/Y-SIT,pump infusion clave/y sit,Capital Equipment,RETROSPECTIVE,2016-07-12,pump,sit,infusion,clave,Capital Equipment,0.733022292997,Capital Equipment,1,1,0.733022292997,pump,infusion,,
344,3072,OXISENSOR  INFANT  MASIMO,oxisensor infant masimo,Supply,RETROSPECTIVE,2016-07-12,masimo,infant,oxisensor,,Supply,0.678210103868,Supply,1,1,0.678210103868,masimo,infant,oxisensor,
345,306,SODIUM CHLORIDE 0.9% 50ML BAG,sodium chloride 0.9% 50_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,50_ml,bag,chloride,sodium,Diluent / Flush / Irrigant,0.831141538414,Diluent / Flush / Irrigant,1,1,0.831141538414,50_ml,bag,chloride,sodium
346,6175,DIPHTHERIA-TETANUS TOXOID-,diphtheria tetanus toxoid,Pharmacy,ONLINE,2016-09-16,diphtheria,tetanus,toxoid,,Laboratory,0.618732504981,Laboratory,1,1,0.618732504981,diphtheria,tetanus,toxoid,
347,4941,HB ASTRAMORPH-PF IMG/ML 10ML VL,astramorph partial_fill mg/ml 10_ml vial,Pharmacy,RETROSPECTIVE,2016-07-13,vial,partial_fill,10_ml,ml,Pharmacy,0.719723321598,Pharmacy,1,1,0.719723321598,vial,partial_fill,mg,10_ml
348,4597,DRAPE ULTRASOUND PROLIE 3687,drape ultrasound prolie 3687,Supply,RETROSPECTIVE,2016-07-13,ultrasound,drape,prolamine,,Supply,0.552163851619,Supply,1,1,0.552163851619,ultrasound,drape,prolie,
349,6343,BLOOD TYPING ABO T1 NEWBORN PROFILE,blood typing abo t1 newborn profile,Laboratory,ONLINE,2016-10-06,newborn,abo,blood,typing,Laboratory,0.874555692188,Laboratory,1,1,0.874555692188,profile,abo,newborn,blood
350,2998,HB KIT CVC EMERGENCY CARE,kit central_venous_catheter emergency care,Supply,RETROSPECTIVE,2016-07-12,CVC,care,emergency,kit,Supply,0.728954185334,Supply,1,1,0.728954185334,cvc,care,emergency,kit
351,4829,SUT POLYSORB 0 UNDYED 36IN GS- CL954 - CSC,suture polysorb 0_undyed 36 inches gs cl954 central_supply service,Supply,RETROSPECTIVE,2016-07-13,suture,inches,,,Supply,0.800974440981,Supply,1,1,0.800974440981,service,sut,central_supply,inches
352,6879,QUETIAPINE 100 MG TABLET,quetiapine 100 mg tablet,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,100_mg,quetiapine,tablet,,Pharmacy,0.760345657331,Pharmacy,1,1,0.760345657331,mg,quetiapine,tablet,
353,3073,OXISENSOR NEONATAL,oxisensor neonatal,Supply,RETROSPECTIVE,2016-07-12,neonatal,oxisensor,,,Supply,0.348707686034,Supply,1,1,0.348707686034,neonatal,oxisensor,,
354,2665,POTASSIUM CHLOR 20 MEQ PO,potassium chloride 20_meq by_mouth,Pharmacy,RETROSPECTIVE,2016-07-12,meq,potassium,po,chloride,Pharmacy,0.860606482549,Pharmacy,1,1,0.860606482549,potassium,po,chlor,20_meq
355,2017,CEFTAZIDIME 200 MG/ML SOLR 1 EACH VIAL,ceftazidime 200_mg/ml solution 1 each vial,Pharmacy,ONLINE,2016-09-16,vial,200_mg/ml,ceftazidime,solution,Pharmacy,0.964293645662,Pharmacy,1,1,0.964293645662,vial,200_mg/ml,ceftazidime,solution
356,2946,DAILY MEDICAL SUPPLIES,daily medical supplies,Supply,RETROSPECTIVE,2016-07-12,supplies,medical,daily,,Supply,0.545084934039,Supply,1,1,0.545084934039,supplies,medical,daily,
357,6181,DISP: 0.250 EACH; 30 MG; USED NDC QTY: 1.000 PCK OF 500.000 EACH BOTTLE LANSOPRAZOLE 30 MG CAPSULE DELAYED RELEASE,dispensed 0.25 each 30_mg used ndc quantity 1 pack of 500 each bottle lansoprazole 30_mg capsule delayed release,Pharmacy,ONLINE,2016-09-16,30_mg,ndc,disposable,capsule,Pharmacy,0.958400786308,Pharmacy,1,1,0.958400786308,30_mg,used,dispensed,capsule
358,2067,NITRIC OXIDE  EACH HOUR,nitric oxide each hour,Plan Benefit,RETROSPECTIVE,2016-07-12,oxide,hour,nitric,,Plan Benefit,0.904975859518,Plan Benefit,1,1,0.904975859518,oxide,hour,nitric,
359,4967,HB GA NURSE RECOVERY 1ST 15 MIN,general_admission nurse recovery 1st 15_minutes,OR / Anesthesia / Recovery Room,RETROSPECTIVE,2016-07-13,min,1st,,,OR / Anesthesia / Recovery Room,0.472439802481,OR / Anesthesia / Recovery Room,1,1,0.472439802481,15_minutes,1st,,
360,3801,HC INTRA-CATHETER,intra catheter,Supply,RETROSPECTIVE,2016-07-12,catheter,intra,,,Supply,0.795944822928,Supply,1,1,0.795944822928,catheter,intra,,
361,2549,CIDOFOVIR INJ 75MG/1ML 5ML,cidofovir injection 75_mg/1_ml 5_ml,Pharmacy,RETROSPECTIVE,2016-07-12,cidofovir,injection,5_ml,75_mg/1_ml,Pharmacy,0.956703308587,Pharmacy,1,1,0.956703308587,cidofovir,inj,5_ml,75_mg/1_ml
362,6764,HCHG VENTILATOR FIRST DAY,ventilator first day,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,ventilator,day,first,,Respiratory Therapy,0.634878244252,Respiratory Therapy,1,1,0.634878244252,ventilator,day,first,
363,5839,NORM SALIN 1000ML IV,normal_saline 1000_ml intravenous,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-13,saline,intravenous,1000_ml,normal,Diluent / Flush / Irrigant,0.779607665128,Diluent / Flush / Irrigant,1,1,0.779607665128,iv,1000_ml,normal_saline,
364,3767,MORPHINE 2 MG/ML SYRG,morphine 2_mg/ml syringe,Pharmacy,RETROSPECTIVE,2016-07-12,2_mg/ml,syrg,morphine,,Pharmacy,0.960471570558,Pharmacy,1,1,0.960471570558,syrg,2_mg/ml,morphine,
365,223,NS (0.9% NACL) IV SOLUTION,normal_saline 0.9% sodium_chloride intravenous solution,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,NaCl,solution,intravenous,NS,Diluent / Flush / Irrigant,0.894607578666,Diluent / Flush / Irrigant,1,1,0.894607578666,sodium_chloride,solution,iv,ns
366,5963,TACROLIMUS (FK506B),tacrolimus fk506b,Pharmacy,RETROSPECTIVE,2016-07-13,fk506b,tacrolimus,,,Pharmacy,0.784632131404,Pharmacy,1,1,0.784632131404,fk506b,tacrolimus,,
367,2871,PULMONARY SERVICE/PROCEDURE,pulmonary service/procedure,Respiratory Therapy,RETROSPECTIVE,2016-07-12,pulmonary,service,procedure,,Respiratory Therapy,0.539730019161,Respiratory Therapy,1,1,0.539730019161,pulmonary,procedure,service,
368,1652,PACK CUSTOM ANGIO/IR,pack custom angiogram/interventional radiology,Supply,ONLINE,2016-08-29,custom,angiogram,ir,pack,Supply,0.403201589753,Supply,1,1,0.403201589753,custom,angiogram,pack,
369,4011,FUROSEMIDE 80 MG TABS,furosemide 80_mg tablets,Pharmacy,RETROSPECTIVE,2016-07-12,80_mg,furosemide,tabs,,Pharmacy,0.944832075764,Pharmacy,1,1,0.944832075764,80_mg,furosemide,tabs,
370,3032,HEEL WARMER,heel warmer,Supply,RETROSPECTIVE,2016-07-12,warmer,heel,,,Supply,0.435645720287,Supply,1,1,0.435645720287,warmer,heel,,
371,4658,INJ IVP EA ADDL SEQ NEW DRUG,injection intravenous push each additional sequential new drug,Nursing Services,RETROSPECTIVE,2016-07-13,injection,additional,drug,,Nursing Services,0.657734971167,Nursing Services,1,1,0.657734971167,push,inj,intravenous,drug
372,1914,BETA-2 MICROGLOBULIN,beta 2 microglobulin,Laboratory,ONLINE,2016-09-16,microglobulin,beta,,,Laboratory,0.799696177766,Laboratory,1,1,0.799696177766,microglobulin,beta,,
373,1132,PROMETHAZINE 25 MG INJECTION,promethazine 25_mg injection,Pharmacy,ONLINE,2016-09-16,promethazine,injection,25_mg,,Pharmacy,0.935513375203,Pharmacy,1,1,0.935513375203,promethazine,injection,25_mg,
374,2138,86400892-HB CBC WITHOUT DIFFERENTIAL,hemoglobin complete_blood_count without differential,Laboratory,RETROSPECTIVE,2016-07-12,CBC,without,differential,,Laboratory,0.943041431595,Laboratory,1,1,0.943041431595,hemoglobin,cbc,without,differential
375,5116,12155022 - DOCUSATE SODIUM 150MG/15ML,docusate sodium 150_mg/15_ml,Pharmacy,RETROSPECTIVE,2016-07-13,150_mg/15_ml,docusate,sodium,,Pharmacy,0.896155728814,Pharmacy,1,1,0.896155728814,150_mg/15_ml,docusate,sodium,
376,5645,HB ESR-AUTO,erythrocyte_sedimentation_rate automated,Laboratory,RETROSPECTIVE,2016-07-13,erythrocyte_sedimentation_rate,automated,,,Laboratory,0.890664003242,Laboratory,1,1,0.890664003242,erythrocyte_sedimentation_rate,automated,,
377,1679,TAXUS DRG ELT ST H749,taxus drug eluting stent h749,Implant,ONLINE,2016-08-29,sterile,drg,,,Pharmacy,0.572500440886,Pharmacy,1,1,0.572500440886,drg,,,
378,2671,PREMASOL 10% 1L BY ML,premasol 10% 1l by ml,Pharmacy,RETROSPECTIVE,2016-07-12,ml,bay,premasol,1l,Pharmacy,0.963728657567,Pharmacy,1,1,0.963728657567,ml,1l,premasol,10%
379,467,GUIDEWIRE AMPLATZ EX-STF CRV.032X180X3,guidewire amplatzer ex stf crv.032x180x3,Supply,ONLINE,2016-09-16,ex,guidewire,,,Supply,0.8301334522,Supply,1,1,0.8301334522,ex,guidewire,,
380,4017,HC CATH TRAY ONLY,catheter tray only,Supply,RETROSPECTIVE,2016-07-12,cath,tray, ,,Supply,0.900863084015,Supply,1,1,0.900863084015,cath,tray,,
381,3899,XR CHEST SNG VW PORTABLE,x-ray chest single view portable,Radiology,RETROSPECTIVE,2016-07-12,xr,sang,chest,portable,Radiology,0.901984327391,Radiology,1,1,0.901984327391,portable,chest,single,view
382,6561,D5% 500ML D5/ WATER 500 ML BAG,d5% 500 ml d5/water 500 ml bag,Diluent / Flush / Irrigant,ONLINE,2016-10-12,bag,500_ml,,,Diluent / Flush / Irrigant,0.582790244686,Diluent / Flush / Irrigant,1,1,0.582790244686,ml,bag,,
383,4316,06600001 - POC BS GLUCOSE 4W ICU (GS),point_of_care blood_sugar glucose 4w intensive_care_unit general surgery,Monitoring,RETROSPECTIVE,2016-07-13,point_of_care,intensive_care_unit,glucose,,Monitoring,0.897193826778,Monitoring,1,1,0.897193826778,icu,bs,general,surgery
384,746,HCHG SUGARS MULTIPLE QUANT HCHG SUGARS MULTIPLE QUANT,sugars multiple quantitative,Laboratory,ONLINE,2016-09-16,quant,multiple,,,Laboratory,0.921569615833,Laboratory,1,1,0.921569615833,quant,sugars,multiple,
385,3263,HC CAPILLARY BLOOD SUGAR TEST,capillary blood sugar test,Monitoring,RETROSPECTIVE,2016-07-12,test,capillary,blood,sugar,Laboratory,0.549585157712,Laboratory,1,1,0.549585157712,test,capillary,blood,sugar
386,5692,HB SENSOR NEURO NEUROPEN 15.5DF L,sensor neurology neuropen 15.5df l,Supply,RETROSPECTIVE,2016-07-13,sensor,,,,Supply,0.613524055493,Supply,1,1,0.613524055493,sensor,,,
387,4053,WARFARIN 7.5 MG TABS,warfarin 7.5_mg tablets,Pharmacy,RETROSPECTIVE,2016-07-12,tabs,warfarin,7.5_mg,,Pharmacy,0.937803399671,Pharmacy,1,1,0.937803399671,tabs,warfarin,7.5_mg,
388,6217,DRAPE HALF SHEET,drape half sheet,Supply,ONLINE,2016-09-16,drape,sheet,half,,Supply,0.808044291498,Supply,1,1,0.808044291498,drape,sheet,half,
389,2661,PANTO INJ,pantoprazole injection,Pharmacy,RETROSPECTIVE,2016-07-12,injection,pantoprazole,,,Pharmacy,0.877064341621,Pharmacy,1,1,0.877064341621,inj,pantoprazole,,
390,902,MAGNESIUM SULFATE PER 500 MG,magnesium sulfate per 500_mg,Pharmacy,ONLINE,2016-09-16,500_mg,magnesium,per,sulfate,Pharmacy,0.904340794769,Pharmacy,1,1,0.904340794769,500_mg,magnesium,per,sulfate
391,5121,12432212 - BASE FLUID *QS* INJ,base fluid quantity_sufficient injection,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-13,injection,base,fluid,quantity_sufficient,OR / Anesthesia / Recovery Room,0.29481014419,OR / Anesthesia / Recovery Room,1,1,0.29481014419,inj,base,fluid,quantity_sufficient
392,1056,PBDS PEDS MAJOR,pbds pediatrics major,Supply,ONLINE,2016-09-16,pbds,major,peds,,Laboratory,0.381945995538,Laboratory,1,1,0.381945995538,pbds,major,peds,
393,1256,SOL NACL 0.9PCT 500ML BG LF,solution sodium_chloride 0.9pct 500_ml bag line_flush,Diluent / Flush / Irrigant,ONLINE,2016-09-16,500_ml,bg,sol,nacl,Diluent / Flush / Irrigant,0.907642469377,Diluent / Flush / Irrigant,1,1,0.907642469377,500_ml,bag,sol,nacl
394,814,INTRODUCER FAST CATH 0.38 HEMO 9FRX12CM,introducer fast catheter 0.38 hemo 9frx12cm,Supply,ONLINE,2016-09-16,cath,introducer,fast,,Supply,0.797895496825,Supply,1,1,0.797895496825,cath,introducer,,
395,3832,FUROSEMIDE ORAL SOLN 10MG/ 1ML,furosemide oral solution 10_mg/1_ml,Pharmacy,RETROSPECTIVE,2016-07-12,10_mg/1_ml,furosemide,oral,soln,Pharmacy,0.959696349999,Pharmacy,1,1,0.959696349999,10_mg/1_ml,furosemide,oral,soln
396,2659,OXYCODONE - ACETAMINOPHEN,oxycodone acetaminophen,Pharmacy,RETROSPECTIVE,2016-07-12,oxycodone,acetaminophen,,,Pharmacy,0.932270169299,Pharmacy,1,1,0.932270169299,oxycodone,acetaminophen,,
397,1653,PAD DEFIB ADULT STAT-,pad defibrillator adult stat,Supply,ONLINE,2016-08-29,stat,pad,defib,adult,Supply,0.816835795408,Supply,1,1,0.816835795408,stat,defibrillator,pad,adult
398,2725,NICU ACUITY IV,neonatal_intensive_care_unit acuity intravenous,Room and Board,RETROSPECTIVE,2016-07-12,intravenous,NICU,acuity,,Room and Board,0.50383839826,Room and Board,1,1,0.50383839826,iv,nicu,acuity,
399,6883,RANITIDINE SYRUP 150 MG/10 ML RANITIDINE SYRUP 150 MG/10 ML UDC,ranitidine syrup 150 mg/10 ml ranitidine syrup 150 mg/10 ml udc,Pharmacy,ONLINE,2016-10-12,syrup,ranitidine,,,Pharmacy,0.978937305055,Pharmacy,1,1,0.978937305055,ml,syrup,ranitidine,udc
400,2150,C POTASSIUM ADD-ON,potassium additional on,Laboratory,RETROSPECTIVE,2016-07-12,potassium,add,,,Laboratory,0.677174832082,Laboratory,1,1,0.677174832082,potassium,additional,,
401,339,STERILE WATER FOR INJECTION 10,sterile water for injection 10,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,water,injection,sterile,,Diluent / Flush / Irrigant,0.705798798803,Diluent / Flush / Irrigant,1,1,0.705798798803,water,injection,sterile,
402,4906,ICU; ROOM 2009/IC,intensive_care_unit room 2009/intensive_care,Room and Board,ONLINE,2016-08-24,2009/icar,intensive_care_unit,room,,Room and Board,0.836292733716,Room and Board,1,1,0.836292733716,intensive_care_unit,room,2009/intensive_care,
403,3027,HC SUPPLY CHARGE NICU,supply charge neonatal_intensive_care_unit,Supply,RETROSPECTIVE,2016-07-12,charge,NICU,supply,,Supply,0.564893507322,Supply,1,1,0.564893507322,charge,nicu,supply,
404,468,GUIDEWIRE PTFE FC J ARGON .032INX150CM,guidewire ptfe fc j argon 0.032inx150cm,Supply,ONLINE,2016-09-16,fc,guidewire,,,Supply,0.815411476,Supply,1,1,0.815411476,guidewire,,,
405,237,NS 50ML IV BAG,normal_saline 50_ml intravenous bag,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,50_ml,bag,intravenous,NS,Diluent / Flush / Irrigant,0.819282958302,Diluent / Flush / Irrigant,1,1,0.819282958302,50_ml,bag,iv,ns
406,3430,US NEO HEAD,ultrasound neonatal head,Radiology,RETROSPECTIVE,2016-07-12,neo,head,us,,Radiology,0.701832634522,Radiology,1,1,0.701832634522,neonatal,us,head,
407,4294,TENSOR 6 IN X-LENGTH,tensor 6 in x length,Supply,RETROSPECTIVE,2016-07-12,x,length,tensor,,Laboratory,0.590024446493,Laboratory,1,1,0.590024446493,x,length,tensor,
408,5824,MORPHINE SULFATE 10 MG INJ,morphine_sulfate 10_mg injection,Pharmacy,RETROSPECTIVE,2016-07-13,injection,morphine,sulfate,10_mg,Pharmacy,0.956091936649,Pharmacy,1,1,0.956091936649,inj,morphine_sulfate,10_mg,
409,2698,ZINC SULFATE 220MG CAPS,zinc sulfate 220_mg capsule,Pharmacy,RETROSPECTIVE,2016-07-12,caps,sulfate,zinc,220_mg,Pharmacy,0.948334559638,Pharmacy,1,1,0.948334559638,capsule,sulfate,zinc,220_mg
410,4415,64966000 - URINE CX W/PRESUMP ID,urine culture with presumptive id,Laboratory,RETROSPECTIVE,2016-07-13,presumptive,64966000_urine,id,cervix_or_complaint_of,Laboratory,0.94193485931,Laboratory,1,1,0.94193485931,culture,urine,id,presumptive
411,2519,ALBUTEROL 2.5 MG/0.5 ML,albuterol 2.5_mg/0.5_ml,Pharmacy,RETROSPECTIVE,2016-07-12,albuterol,2.5mg/0.5ml,,,Pharmacy,0.966622535451,Pharmacy,1,1,0.966622535451,albuterol,2.5_mg/0.5_ml,,
412,4659,INJ IVP. INITIAL DRUGS/SUB,injection intravenous push initial drugs/subsequent,Nursing Services,RETROSPECTIVE,2016-07-13,injection,initial,sub,,Nursing Services,0.694938584724,Nursing Services,1,1,0.694938584724,push,subsequent,inj,initial
413,3481,POTASSIUM ISTAT,potassium istat,Monitoring,RETROSPECTIVE,2016-07-12,potassium,istat,,,Laboratory,0.353709086256,Laboratory,1,1,0.353709086256,potassium,istat,,
414,3922,OT BASE CHARGE,occupational_therapy base charge,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-12,charge,base,ot,,PT / OT / Speech Therapy,0.700040870446,PT / OT / Speech Therapy,1,1,0.700040870446,charge,base,ot,
415,2455,OXIMETRY CONTINUOUS  1-24 HOURS,oximetry continuous 1 24 hours,Monitoring,RETROSPECTIVE,2016-07-12,hours,continuous,oximetry,,Monitoring,0.757980470807,Monitoring,1,1,0.757980470807,hours,continuous,oximetry,
416,2081,NITRIC OXIDE TH,nitric oxide th,Plan Benefit,RETROSPECTIVE,2016-07-12,oxide,th,nitric,,Plan Benefit,0.788900230229,Plan Benefit,1,1,0.788900230229,oxide,th,nitric,
417,6188,DISP: 0.500 ML; 400 UNIT/ML; USED NDC QTY: 1.000 PCK OF 50.000 ML DROP BTL CHOLECALCIFEROL (VITAMIN D3) 400 UNIT/ML ORAL DROPS,dispensed 0.500_ml 400_units/ml_used ndc quantity 1 pack of 50.000_ml drop bottle cholecalciferol vitamin d3 400_units/ml oral drops,Pharmacy,ONLINE,2016-09-16,drops,cholecalciferol,ndc,drop,Pharmacy,0.969966613143,Pharmacy,1,1,0.969966613143,drops,drop,cholecalciferol,vitamin
418,1798,PM-DEXTROSE 10% W/HEPARIN 1UNIT/ML,between_noon_and_midnight dextrose 10% with heparin 1_unit/ml,Pharmacy,ONLINE,2016-09-01,heparin,dextrose,,,Pharmacy,0.507340304157,Pharmacy,1,1,0.507340304157,heparin,dextrose,,
419,346,STERILE WATER SOLP 1 000 ML BAG,sterile water solution 1 000_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,water,bag,000_ml,sterile,Diluent / Flush / Irrigant,0.847218836033,Diluent / Flush / Irrigant,1,1,0.847218836033,water,bag,000_ml,sterile
420,570,HC HEPATITIS B CORE AB TOTAL,hepatitis b core ab total,Laboratory,ONLINE,2016-09-16,total,hepatitis,,,Laboratory,0.664102361196,Laboratory,1,1,0.664102361196,total,hepatitis,,
421,2569,ESOMEPRAZOLE,esomeprazole,Pharmacy,RETROSPECTIVE,2016-07-12,esomeprazole,,,,Pharmacy,0.800092741469,Pharmacy,1,1,0.800092741469,esomeprazole,,,
422,125,HB STERILE WATER FOR INJ 1L,sterile water for injection 1l,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,water,injection,sterile,1l,Diluent / Flush / Irrigant,0.783268993423,Diluent / Flush / Irrigant,1,1,0.783268993423,water,inj,sterile,1l
423,1407,VITAMIN B-12,vitamin b 12,Pharmacy,ONLINE,2016-09-16,b,vitamin,,,Pharmacy,0.511402893862,Pharmacy,1,1,0.511402893862,b,vitamin,,
424,1078,PIC<5YO,peripherally_inserted_central_catheter less_than 5_years_old,Procedure,ONLINE,2016-09-16,less_than,pic,5yo,,Supply,0.495407009065,Supply,1,1,0.495407009065,less_than,peripherally_inserted_central_catheter,5_years_old,
425,183,HEPARIN PER 10U-30 SYRNG,heparin per 10_units 30 syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,heparin,syringe,per,,Diluent / Flush / Irrigant,0.637757633412,Diluent / Flush / Irrigant,1,1,0.637757633412,heparin,syringe,per,10_units
426,4873,VITAL CAPACITY (FC),vital capacity fc,Respiratory Therapy,RETROSPECTIVE,2016-07-13,vital,capacity,fc,,Laboratory,0.441097842178,Laboratory,1,1,0.441097842178,vital,capacity,fc,
427,1456,CLOTTING FACTOR VII PROCON,clotting factor vii procon,Laboratory,ONLINE,2016-09-19,clotting,vii,procon,factor,Laboratory,0.821073438505,Laboratory,1,1,0.821073438505,clotting,vii,procon,factor
428,954,MULTIVITAMIN-IRON DROP,multivitamin iron drop,Pharmacy,ONLINE,2016-09-16,drop,iron,multivitamin,,Pharmacy,0.776153426298,Pharmacy,1,1,0.776153426298,drop,iron,multivitamin,
429,3413,FENTANYL 0.05 MG/ML SOLN 2 ML VIAL,fentanyl 0.05_mg/ml solution 2_ml vial,Pharmacy,RETROSPECTIVE,2016-07-12,vial,2_ml,fentanyl,soln,Pharmacy,0.969114733889,Pharmacy,1,1,0.969114733889,vial,2_ml,fentanyl,soln
430,3393,ROOM E621 8,room e621 8,Room and Board,RETROSPECTIVE,2016-07-12,room,e621,,,Room and Board,0.812972506285,Room and Board,1,1,0.812972506285,room,e621,,
431,2113,SILDENAFIL 2.5 MG/ML SUSP 50 ML BOTTLE,sildenafil 2.5_mg/ml suspension 50_ml bottle,Plan Benefit,RETROSPECTIVE,2016-07-12,50_ml,suspension,sildenafil,bottle,Plan Benefit,0.921757450918,Plan Benefit,1,1,0.921757450918,50_ml,susp,sildenafil,bottle
432,2713,HB R&B TCU,room_and_board tcu,Room and Board,RETROSPECTIVE,2016-07-12,tcu,b,rental,,Room and Board,0.69155774976,Room and Board,1,1,0.69155774976,tcu,r&b,,
433,1760,HB - BLOOD SPLIT UNIT,blood split unit,Blood Products,ONLINE,2016-09-01,blood,unit,split,,Laboratory,0.43547352928,Laboratory,1,1,0.43547352928,blood,unit,split,
434,4353,27907918 - REM TUN CVC W/O PORT/PUMP,removal tunneled central_venous_catheter without port/pump,Procedure,RETROSPECTIVE,2016-07-13,pump,without,portable,,Capital Equipment,0.360773835598,Capital Equipment,1,1,0.360773835598,pump,without,port,
435,5484,CASPOFUNGIN 5 MG INJ,caspofungin 5_mg injection,Pharmacy,RETROSPECTIVE,2016-07-13,caspofungin,injection,5_mg,,Pharmacy,0.866021745826,Pharmacy,1,1,0.866021745826,caspofungin,inj,5_mg,
436,1365,TY CATH FOLEY SURESTEP DR BG LTX-F 16FR,tray catheter foley surestep drainage bag latex-free 16_french,Supply,ONLINE,2016-09-16,foley,cath,tray,bg,Supply,0.87373674233,Supply,1,1,0.87373674233,foley,bag,cath,tray
437,6777,HYDROMORPHONE 2 MG/ML INJECTION SOLUTION,hydromorphone 2 mg/ml injection solution,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,hydromorphone,injection,2_mg/ml,solution,Pharmacy,0.675643520422,Pharmacy,1,1,0.675643520422,hydromorphone,mg,solution,injection
438,23,FEEDING PUMP,feeding pump,Capital Equipment,RETROSPECTIVE,2016-07-12,pump,feeding,,,Capital Equipment,0.792505725044,Capital Equipment,1,1,0.792505725044,pump,feeding,,
439,727,HCHG OR TIME LEVEL B PER 15 MIN TO 1HR HCHG OR TIME LEVEL B PER 15 MIN TO 1HR,operating_room time level b per 15_minutes to 1hr,OR / Anesthesia / Recovery Room,ONLINE,2016-09-16,level,time,min,per,OR / Anesthesia / Recovery Room,0.837213539827,OR / Anesthesia / Recovery Room,1,1,0.837213539827,level,time,15_minutes,per
440,5287,63527001 - BASIC METABOLIC PANEL,basic_metabolic_panel,Laboratory,RETROSPECTIVE,2016-07-13,metabolic,panel,basic,,Laboratory,0.865666284226,Laboratory,1,1,0.865666284226,basic_metabolic_panel,,,
441,5139,12737042 - GUAIFENESIN DM 10ML,guaifenesin demo 10_ml,Pharmacy,RETROSPECTIVE,2016-07-13,demo,guaifenesin,10_ml,,Pharmacy,0.906787370076,Pharmacy,1,1,0.906787370076,demo,guaifenesin,10_ml,
442,6044,TRAY IRRIGATION 2-PC BULB SYR.,tray irrigation 2 piece bulb syringe,Supply,ONLINE,2016-08-24,syringe,irrigation,tray,,Supply,0.888531281407,Supply,1,1,0.888531281407,syringe,irrigation,tray,
443,5091,11066132 - ALBUTEROL/IPRATRPIUM 25.MG/0.5,albuterol/ipratropium 25.mg/0.5,Pharmacy,RETROSPECTIVE,2016-07-13,25.mg/0.5,albuterol,ipratropium,,Pharmacy,0.909846987889,Pharmacy,1,1,0.909846987889,25.mg/0.5,albuterol,ipratropium,
444,617,HC PACU CLASS 2 NPR 2:1,post_anesthesia_care_unit class 2 npr 2 1,OR / Anesthesia / Recovery Room,ONLINE,2016-09-16,class,pacu,npr,,Room and Board,0.24990791448,Room and Board,1,1,0.24990791448,class,post_anesthesia_care_unit,npr,
445,1838,AHG (COOMBS) TEST,ahg coombs test,Laboratory,ONLINE,2016-09-16,test,coombs,ahg,,Laboratory,0.824257616189,Laboratory,1,1,0.824257616189,test,coombs,ahg,
446,3956,CANNULA VNS DL STG 29/37,cannula venous double_lumen stg 29/37,Supply,RETROSPECTIVE,2016-07-12,dl,,,,Supply,0.816606023218,Supply,1,1,0.816606023218,vns,cannula,,
447,4576,CULT  URINE W CC (URIN),cult urine with colony counts urine,Laboratory,RETROSPECTIVE,2016-07-13,cult,urine,cubic_centimeters,,Laboratory,0.947537805528,Laboratory,1,1,0.947537805528,urine,,,
448,6443,POTASSIUM POC NICU ACUTE PANEL C,potassium poc nicu acute panel c,Laboratory,ONLINE,2016-10-06,acute,potassium,panel,,Laboratory,0.846928565369,Laboratory,1,1,0.846928565369,acute,potassium,panel,poc
449,918,METRONIDAZOLE BENZOATE (BULK) POWD 500 G JAR,metronidazole benzoate bulk powder 500 g jar,Pharmacy,ONLINE,2016-09-16,metronidazole,powder,,,Pharmacy,0.872954237991,Pharmacy,1,1,0.872954237991,metronidazole,powder,,
450,2736,R&B NEONATAL TRANSITION LEV 3,room_and_board neonatal transition level 3,Room and Board,RETROSPECTIVE,2016-07-12,neonatal,transition,rental,level,Room and Board,0.799726228471,Room and Board,1,1,0.799726228471,neonatal,transition,r&b,lev
