,Unnamed: 0,Original Description,Normalized Description,Charge Class,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_SVM,Prob_SVM,Correct_SVM,Predicted_Class_Naive,Prob_Naive,Correct_Naive,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_Randomforest,Prob_Randomforest,Correct_Randomforest,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Predicted_Class_kNN,Prob_kNN,Correct_kNN,Predicted_Class_LDA,Prob_LDA,Correct_LDA,Predicted_Class_XGBoost,Prob_XGBoost,Correct_XGBoost,Voted Output,Confidence Score
66,805,DNIU NEO LEVEL 3 MEDIUM,dniu neonatal level 3 medium,Room and Board,Room and Board,1.0,1,Laboratory,0.290280237295,0,Supply,0.480245388508,0,Supply,0.442900576303,0,Monitoring,0.3,0,Room and Board,0.684325783166,1,OR / Anesthesia / Recovery Room,0.3,0,Supply,0.945770402595,0,Supply,0.999998807907,0,Supply,0.717228793828
67,2530,IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML SOLN,ipratropium albuterol 0.5 2.5 3_mg/3_ml solution,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.979911649681,1,Pharmacy,0.999446248002,1,Pharmacy,0.965166412997,1,Pharmacy,1.0,1,Pharmacy,0.999992044937,1,Pharmacy,1.0,1,Pharmacy,0.999999996792,1,Pharmacy,1.0,1,Pharmacy,0.993835150268
68,1861,DUONEB INHALATION SOLUTION 3ML,duoneb inhalation solution 3_ml,Supply,Supply,1.0,1,Supply,0.548885300501,1,Diluent / Flush / Irrigant,0.49305724044,0,Supply,0.465087033494,1,Pharmacy,0.4,0,Supply,0.498837424177,1,Pharmacy,0.5,0,Supply,0.845037757125,1,Supply,0.999999761581,1,Supply,0.72630787948
69,1147,PANTOPRAZOLE SODIUM INJECTION PER VIAL,pantoprazole sodium injection per vial,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.913387179361,1,Pharmacy,0.991915258188,1,Pharmacy,0.912165089631,1,Pharmacy,0.7,1,Pharmacy,0.99054847998,1,Pharmacy,1.0,1,Pharmacy,0.9999983661,1,Pharmacy,0.999999761581,1,Pharmacy,0.945334903871
70,698,TROPONIN QNT,troponin quantity,Laboratory,Laboratory,1.0,1,Laboratory,0.913478812404,1,Laboratory,0.982065106226,1,Laboratory,0.91078446538,1,Laboratory,0.6,1,Laboratory,0.997420694184,1,Laboratory,0.9,1,Laboratory,0.999651697455,1,Diluent / Flush / Irrigant,0.52161693573,0,Laboratory,0.912925096956
71,179,SUT SOFSILK 0 TIES 18IN X12 BLK S176,suture sofsilk 0 ties 18 inches x12 blk s176,Supply,Supply,1.0,1,Supply,0.831372837741,1,Supply,0.995380224574,1,Supply,0.670685844027,1,Supply,0.5,1,Supply,0.894323799403,1,Supply,0.7,1,Supply,0.827942683966,1,Supply,0.609738230705,1,Supply,0.781049291158
72,249,FENTANYL 100 MCG/2ML SOLN,fentanyl 100 mcg/2_ml solution,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.981154725437,1,Pharmacy,0.999788733359,1,Pharmacy,0.95314866263,1,Pharmacy,1.0,1,Pharmacy,0.999536375197,1,Pharmacy,1.0,1,Pharmacy,0.99999939469,1,Pharmacy,1.0,1,Pharmacy,0.992625321257
73,4111,H GLUCOSE (BLOOD GAS),glucose blood gas,Monitoring,Monitoring,1.0,1,Monitoring,0.937147795839,1,Monitoring,0.949668128276,1,Monitoring,0.834156573751,1,Laboratory,0.8,0,Monitoring,0.904289111912,1,Monitoring,0.5,1,Monitoring,0.552744010709,1,Monitoring,0.999999165535,1,Monitoring,0.834750598253
74,1302,HC CULTURE ANAEROBIC,culture anaerobic,Laboratory,Laboratory,1.0,1,Laboratory,0.953484408187,1,Laboratory,0.999851484591,1,Laboratory,0.921368543079,1,Laboratory,0.6,1,Laboratory,0.996883224827,1,Laboratory,0.9,1,Laboratory,0.549364777307,1,Laboratory,0.971992611885,1,Laboratory,0.876993894431
75,2645,13250212 - LIDOCAINE 2% TOPICAL JELLY 5ML,lidocaine 2% topical jelly 5_ml,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.984542702949,1,Pharmacy,0.999012864879,1,Pharmacy,0.928872479431,1,Pharmacy,0.8,1,Pharmacy,0.999807703818,1,Pharmacy,0.9,1,Pharmacy,0.999999896663,1,Pharmacy,1.0,1,Pharmacy,0.956915071971
76,353,GLUCOSE QUAN BLOOD NOT REAGNT,glucose quantitative blood reagent,Laboratory,Laboratory,1.0,1,Laboratory,0.972750098212,1,Laboratory,0.959435175384,1,Laboratory,0.896953783044,1,Laboratory,1.0,1,Laboratory,0.998662953661,1,Laboratory,1.0,1,Laboratory,0.999921972571,1,Laboratory,0.990886330605,1,Laboratory,0.979845590386
77,4203,HCHG R&B CICU,room_and_board cicu,Room and Board,Room and Board,1.0,1,Room and Board,0.889479434268,1,Room and Board,0.92238474309,1,Room and Board,0.706281797791,1,Room and Board,0.8,1,Room and Board,0.997924194163,1,Room and Board,1.0,1,Room and Board,0.9998804715,1,Room and Board,1.0,1,Room and Board,0.923994515646
78,1357,HCHG PROTHROMBIN TIME (PT),prothrombin time patient,Laboratory,Laboratory,1.0,1,Laboratory,0.795988715477,1,Laboratory,0.929512438353,1,Laboratory,0.767233226036,1,Laboratory,0.9,1,Laboratory,0.977080932748,1,Laboratory,0.8,1,Laboratory,0.945160571663,1,Laboratory,0.829849243164,1,Laboratory,0.882758347494
79,2557,KEPPRA 250MG,keppra 250_mg,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.981538727469,1,Pharmacy,0.997266587758,1,Pharmacy,0.899801928185,1,Pharmacy,0.7,1,Pharmacy,0.999956055209,1,Pharmacy,0.8,1,Pharmacy,0.999999969564,1,Pharmacy,1.0,1,Pharmacy,0.930951474243
80,779,HB MRI T-SPINE W/ CONTRAST,magnetic_resonance_imagery thoracic spine contrast,Radiology,Radiology,1.0,1,Radiology,0.750925739357,1,Radiology,0.979551393179,1,Radiology,0.708504074797,1,Radiology,0.7,1,Radiology,0.887119192245,1,Radiology,0.7,1,Radiology,0.94847491044,1,Radiology,0.999998211861,1,Radiology,0.85273039132
81,2620,FENTANYL CITRATE 2ML,fentanyl citrate 2_ml,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.998018633289,1,Pharmacy,0.999862787775,1,Pharmacy,0.966549819379,1,Pharmacy,0.9,1,Pharmacy,0.999987197465,1,Pharmacy,1.0,1,Pharmacy,0.999999980918,1,Pharmacy,1.0,1,Pharmacy,0.98493537987
82,2670,LABORATORY-CHEMISTRY CALCIUM IONIZED ISTAT,laboratory chemistry calcium ionized istat,Monitoring,Monitoring,1.0,1,Monitoring,0.617613955847,1,Laboratory,0.985151308078,0,Laboratory,0.712779968178,0,Laboratory,0.5,0,Laboratory,0.971616646804,0,Laboratory,1.0,0,Monitoring,0.500047145096,1,Laboratory,0.99177479744,0,Laboratory,0.860220453417
83,3780,C PROC-NITRIC OXIDE THER,procedure nitric oxide therapist,Plan Benefit,Plan Benefit,1.0,1,OR / Anesthesia / Recovery Room,0.370369702386,0,Plan Benefit,0.812782065321,1,Plan Benefit,0.672955069642,1,Respiratory Therapy,0.3,0,Plan Benefit,0.765517005496,1,Plan Benefit,0.7,1,Plan Benefit,0.999999977634,1,Plan Benefit,0.999987006187,1,Plan Benefit,0.850177303469
84,3341,MIDAZOLAM 10 MG/2ML SOLN,midazolam 10_mg/2_ml solution,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.996525455762,1,Pharmacy,0.999963207858,1,Pharmacy,0.974605403482,1,Pharmacy,1.0,1,Pharmacy,0.999981717037,1,Pharmacy,1.0,1,Pharmacy,0.9999999908,1,Pharmacy,1.0,1,Pharmacy,0.996786197215
85,3154,HB BAG DRAIN BECKER 700ML CSF EXT,bag drain becker 700_ml cerebrospinal_fluid extension,Supply,Supply,1.0,1,Supply,0.928603632076,1,Supply,0.999098298727,1,Supply,0.892197564856,1,Supply,0.6,1,Supply,0.987200088103,1,Supply,0.7,1,Supply,0.97567278515,1,Supply,1.0,1,Supply,0.898085818768
86,2188,TC DRESSING OCCLUSIVE THIN 4,dressing occlusive thin 4,Supply,Supply,1.0,1,Supply,0.889761535072,1,Supply,0.998508622729,1,Supply,0.859215106664,1,Supply,0.7,1,Supply,0.983730002351,1,Supply,1.0,1,Supply,0.998866065291,1,Supply,0.921619653702,1,Supply,0.927966776201
87,1013,CBC W/PLT STAT,complete_blood_count platelet stat,Laboratory,Laboratory,1.0,1,Blood Products,0.400871176509,0,Laboratory,0.992907555106,1,Laboratory,0.649137833367,1,Laboratory,0.675,1,Laboratory,0.953783431689,1,Blood Products,0.5,0,Laboratory,0.63805360177,1,Laboratory,0.999520540237,1,Laboratory,0.844057566024
88,2209,BLOOD GAS PH PO2 &/OR PCO2 POC G3 VENOUS,blood gas ph po2 & or pco2 poc g3 venous,Monitoring,Monitoring,1.0,1,Monitoring,0.982604085416,1,Monitoring,0.999936250228,1,Monitoring,0.939911487819,1,Laboratory,0.4,0,Monitoring,0.999706316883,1,Monitoring,0.8,1,Monitoring,0.999999391111,1,Monitoring,1.0,1,Monitoring,0.965269691432
89,4674,POTASSIUM  WHOLE BLOOD (BC),potassium whole blood blood_cells,Laboratory,Laboratory,1.0,1,Laboratory,0.980063975414,1,Laboratory,0.99912347341,1,Laboratory,0.931564746941,1,Laboratory,0.7,1,Laboratory,0.998167528891,1,Laboratory,1.0,1,Laboratory,0.999998819044,1,Laboratory,0.999999642372,1,Laboratory,0.956546465119
90,1228,NALOXONE VL 1MG/ML 2ML NALOXONE 1 MG/ML 2 ML SYR,naloxone vial 1 mg ml 2 ml naloxone 1 mg ml 2 ml syrup,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.914122976516,1,Pharmacy,0.999993404345,1,Pharmacy,0.788653348369,1,Pharmacy,1.0,1,Pharmacy,0.945028834919,1,Pharmacy,0.8,1,OR / Anesthesia / Recovery Room,0.934703575258,0,Pharmacy,0.993250131607,1,Pharmacy,0.93013108697
91,2994,5% DEXTROSE/WATER,5% dextrose water,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.977359581679,1,Diluent / Flush / Irrigant,0.939193617654,1,Diluent / Flush / Irrigant,0.871496964761,1,Diluent / Flush / Irrigant,0.9,1,Diluent / Flush / Irrigant,0.992662939676,1,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.997637783488,1,Diluent / Flush / Irrigant,0.994295537472,1,Diluent / Flush / Irrigant,0.963627380525
92,468,PIN TRACTION 71065504,pin traction 71065504,Supply,Supply,1.0,1,Supply,0.826655036415,1,Supply,0.994499309819,1,Supply,0.709145192851,1,Supply,0.9,1,Supply,0.635507101171,1,Supply,0.8,1,Supply,0.992461604888,1,Supply,0.749526321888,1,Supply,0.845310507448
93,1112,*PTT PARTIAL THROMBOPLASTIN TIME,partial_prothrombaplastin_time partial thromboplastin time,Laboratory,Laboratory,1.0,1,Laboratory,0.980686729099,1,Laboratory,0.983101748461,1,Laboratory,0.867883386489,1,Laboratory,0.9,1,Laboratory,0.999897785159,1,Laboratory,1.0,1,Laboratory,0.999999431799,1,Laboratory,1.0,1,Laboratory,0.970174342334
94,2146,ALBUMIN 5% 250ML 12.5GM IN,albumin 5% 250_ml 12.5_gm individual,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.960883676935,1,Pharmacy,0.852832763466,1,Pharmacy,0.850543162913,1,Laboratory,0.5,0,Pharmacy,0.999331506089,1,Laboratory,0.3,0,Pharmacy,0.999999541675,1,Pharmacy,1.0,1,Pharmacy,0.951941521583
95,42,AZITHROMYCIN 2 MG/D5W 1 ML AZITHROMYCIN 2 MG/D5W 1 ML,azithromycin 2 mg/d5w 1 ml azithromycin 2 mg/d5w 1 ml,Pharmacy,Pharmacy,1.0,1,OR / Anesthesia / Recovery Room,0.793835525396,0,Pharmacy,0.999895771293,1,Pharmacy,0.494933751243,1,Pharmacy,1.0,1,Pharmacy,0.669733649563,1,OR / Anesthesia / Recovery Room,0.8,0,OR / Anesthesia / Recovery Room,0.991190503373,0,OR / Anesthesia / Recovery Room,0.999962449074,0,Pharmacy,0.83291263442
96,808,HCHG CMA-INTERPRETATION AND REPORT HCHG CMA-INTERPRETATION AND REPORT,cma interpretation report,Professional Fee,Professional Fee,1.0,1,Laboratory,0.652088652613,0,Laboratory,0.812238991335,0,Laboratory,0.612759535361,0,PT / OT / Speech Therapy,0.3,0,Laboratory,0.989440691168,0,PT / OT / Speech Therapy,0.3,0,OR / Anesthesia / Recovery Room,0.60066094472,0,Laboratory,0.78739875555,0,Laboratory,0.770785325205
97,280,ARTERIAL PUNCTURE (ABG),arterial puncture arterial_blood_gas,Nursing Services,Nursing Services,1.0,1,Nursing Services,0.873120598853,1,Nursing Services,0.629485979534,1,Nursing Services,0.748251247629,1,Nursing Services,0.3,1,Nursing Services,0.996259225638,1,Nursing Services,0.7,1,Nursing Services,0.999995431301,1,Nursing Services,1.0,1,Nursing Services,0.805234720328
98,3367,HEPARIN INJ 1 ,heparin injection 1,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.619255586083,1,Pharmacy,0.851334582256,0,Diluent / Flush / Irrigant,0.625342860938,1,Diluent / Flush / Irrigant,0.6,1,Diluent / Flush / Irrigant,0.645641606805,1,Diluent / Flush / Irrigant,0.5,1,Diluent / Flush / Irrigant,0.724155850094,1,Diluent / Flush / Irrigant,0.923757016659,1,Diluent / Flush / Irrigant,0.704769115072
99,4228,BOSENTAN 62.5 MG TABS 66215-101-06,bosentan 62.5_mg tablets 66215 101 6,Plan Benefit,Plan Benefit,1.0,1,Plan Benefit,0.883987628652,1,Plan Benefit,0.897369497517,1,Plan Benefit,0.679238631828,1,Plan Benefit,0.6,1,Plan Benefit,0.585615845147,1,Plan Benefit,0.6,1,Plan Benefit,0.999995650488,1,Plan Benefit,0.999999761581,1,Plan Benefit,0.805134112801
100,2175,MIDAZOLAM 2 MG/2 ML INJECTION,midazolam 2_mg/2_ml injection,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.995789252611,1,Pharmacy,0.999971901417,1,Pharmacy,0.963903112227,1,Pharmacy,1.0,1,Pharmacy,0.999984988241,1,Pharmacy,1.0,1,Pharmacy,0.99999999668,1,Pharmacy,1.0,1,Pharmacy,0.995516583464
101,3754,NEB PREF'LD 1000ML WATER ONLY,nebulizer prefilled 1000_ml water,Supply,Supply,1.0,1,Supply,0.45123057848,1,Diluent / Flush / Irrigant,0.75338454203,0,Diluent / Flush / Irrigant,0.355867795897,0,Supply,0.4,1,Pharmacy,0.940963491891,0,Diluent / Flush / Irrigant,0.5,0,Diluent / Flush / Irrigant,0.999464745455,0,Pharmacy,0.999957203865,0,Diluent / Flush / Irrigant,0.652179270845
102,4201,HC VITAMIN D 25 HYROXY,vitamin 25 hydroxy,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.707887114034,1,Pharmacy,0.766146816063,1,Pharmacy,0.638083873863,1,Laboratory,0.598333333333,0,Pharmacy,0.952207672275,1,Laboratory,0.5,0,Pharmacy,0.999967475237,1,Pharmacy,0.543101489544,1,Pharmacy,0.801056348717
103,4562,HCHG DX BRONCHOSCOPE/LAVAGE,diagnostic bronchoscope lavage,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,1.0,1,OR / Anesthesia / Recovery Room,0.352851130497,1,Supply,0.685414364491,0,Supply,0.373390614729,0,Radiology,0.4,0,OR / Anesthesia / Recovery Room,0.394099343184,1,Respiratory Therapy,0.4,0,Supply,0.862266165383,0,OR / Anesthesia / Recovery Room,0.593456804752,1,OR / Anesthesia / Recovery Room,0.585101819608
104,4603,MAGNESIUM SULFATE 50% 1GM/2ML,magnesium sulfate 50% 1_gm/2_ml,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.980418123898,1,Pharmacy,0.999923104019,1,Pharmacy,0.908178286548,1,Pharmacy,0.9,1,Pharmacy,0.999981907517,1,Pharmacy,0.6,1,Pharmacy,0.999999030364,1,Pharmacy,1.0,1,Pharmacy,0.932055605816
105,3536,HEPARIN FLUSH (PRES.-FREE) 0.5 UN,heparin flush pres free 0.5_units,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.798971004501,1,Diluent / Flush / Irrigant,0.961303174022,1,Diluent / Flush / Irrigant,0.860961708959,1,Diluent / Flush / Irrigant,0.4,1,Diluent / Flush / Irrigant,0.988753442433,1,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.996484557834,1,Diluent / Flush / Irrigant,0.986672878265,1,Diluent / Flush / Irrigant,0.888127418446
106,1518,SILDENAFIL CITRATE 20 MG TABS,sildenafil citrate 20_mg tablets,Plan Benefit,Plan Benefit,1.0,1,Plan Benefit,0.89748203755,1,Pharmacy,0.885570103079,0,Plan Benefit,0.512557217286,1,Pharmacy,0.6,0,Plan Benefit,0.726856096412,1,Pharmacy,0.8,0,Plan Benefit,0.999900289617,1,Plan Benefit,0.999994635582,1,Plan Benefit,0.856131712741
107,4434,SODIUM CHLORIDE .9% 1000ML INJ,sodium chloride 0.9% 1000_ml injection,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.926479326949,1,Diluent / Flush / Irrigant,0.932061880845,1,Diluent / Flush / Irrigant,0.639167192746,1,Diluent / Flush / Irrigant,0.8,1,Diluent / Flush / Irrigant,0.906032305342,1,Diluent / Flush / Irrigant,0.8,1,Diluent / Flush / Irrigant,0.760374154086,1,Diluent / Flush / Irrigant,0.836073160172,1,Diluent / Flush / Irrigant,0.844465335571
108,1431,CATH IV MIDLINE FKIT 20GAX8 PWRGLIDE GEN 2,catheter intravenous midline fkit 20 gauge x 8 powerglide general 2,Supply,Supply,1.0,1,Supply,0.838967601864,1,Supply,0.888356132911,1,Supply,0.720183330982,1,Supply,0.7,1,Supply,0.958889694105,1,Supply,0.9,1,Supply,0.992993225176,1,Supply,0.999776780605,1,Supply,0.888796307294
109,4962,DRAPE C ARM,drape cap arm,Supply,Supply,1.0,1,Supply,0.425401562793,1,Supply,0.955895311367,1,Supply,0.69228891356,1,Supply,0.9,1,Supply,0.915934653711,1,Supply,0.8,1,Supply,0.991418746126,1,Radiology,0.999999880791,0,Supply,0.835117398445
110,4188,LIDOCAINE MPF1% 30ML,lidocaine methylparaben free 1% 30_ml,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.992987146695,1,Pharmacy,0.997957149433,1,Pharmacy,0.934347464687,1,Pharmacy,0.9,1,Pharmacy,0.999966904188,1,Pharmacy,1.0,1,Pharmacy,0.999999993087,1,Pharmacy,0.999999523163,1,Pharmacy,0.980584242361
111,324,WHITE PETROLATUM MINERAL OIL TOPICAL CREAM,white petrolatum mineral oil topical cream,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,1.0,1,Supply,0.601300946501,0,Supply,0.587337988459,0,Pharmacy,0.53637791174,0,OR / Anesthesia / Recovery Room,0.4,1,Pharmacy,0.828623017205,0,Supply,0.5,0,OR / Anesthesia / Recovery Room,0.531187886312,1,Supply,0.902352273464,0,Supply,0.647747802106
112,36,CYTOMEGALOVIRUS DFA,cytomegalovirus dfa,Laboratory,Laboratory,1.0,1,Laboratory,0.876438415914,1,Laboratory,0.999403749462,1,Laboratory,0.884625131633,1,Laboratory,0.45,1,Laboratory,0.906561317962,1,Laboratory,0.6,1,Laboratory,0.994190317241,1,Laboratory,0.988239765167,1,Laboratory,0.85549541082
113,1561,CAROTID DUPLEX COMPLE,carotid duplex complete,Cardiology,Cardiology,1.0,1,Radiology,0.517108297627,0,Laboratory,0.988789133511,0,Radiology,0.573542536415,0,Radiology,0.2,0,Radiology,0.665349281843,0,Cardiology,0.2,1,Radiology,0.99951974679,0,Radiology,0.535471916199,0,Radiology,0.581831963146
114,1741,HC RENAL FUNCTION PANEL,renal function panel,Laboratory,Laboratory,1.0,1,Laboratory,0.870842075749,1,Laboratory,0.999549422941,1,Laboratory,0.88723866057,1,Laboratory,1.0,1,Laboratory,0.99962753276,1,Laboratory,0.9,1,Laboratory,0.999753135609,1,Laboratory,0.999999880791,1,Laboratory,0.961890078713
115,3169,METOCLPRAMIDE TA 10MG,metoclopramide tab 10_mg,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.996882063816,1,Pharmacy,0.999692517323,1,Pharmacy,0.950815347419,1,Pharmacy,0.9,1,Pharmacy,0.9999992688,1,Pharmacy,1.0,1,Pharmacy,0.999999999187,1,Pharmacy,1.0,1,Pharmacy,0.983043244061
116,252,HB FOLLICLE STIMULATING HORMONE/5,follicle stimulating hormone/5,Laboratory,Laboratory,1.0,1,Laboratory,0.698451338947,1,Laboratory,0.998096465307,1,Laboratory,0.753493565641,1,Laboratory,0.466666666667,1,Laboratory,0.969311906218,1,Laboratory,0.9,1,Laboratory,0.999969640886,1,Laboratory,0.999999880791,1,Laboratory,0.865109940495
117,337,PULMOZYME 1MG/ML 2.5ML,pulmozyme 1_mg/ml 2.5_ml,Plan Benefit,Plan Benefit,1.0,1,Pharmacy,0.949505128531,0,Pharmacy,0.998852451747,0,Pharmacy,0.894565712699,0,Pharmacy,0.9,0,Pharmacy,0.994882239365,0,Pharmacy,0.8,0,Pharmacy,0.99999999437,0,Pharmacy,0.977499902248,0,Pharmacy,0.93941317862
118,301,PULSE OX DAILY SINGLE READING,pulse oximetry daily single reading,Monitoring,Monitoring,1.0,1,Monitoring,0.950630229538,1,Monitoring,0.993036243651,1,Monitoring,0.88921568023,1,Supply,0.3,0,Monitoring,0.999141586354,1,Monitoring,0.9,1,Monitoring,0.999059630053,1,Monitoring,1.0,1,Monitoring,0.966385421228
119,1435,HCHG BIPAP SUBSEQUENT DAY HCHG BIPAP SUBSEQUENT DAY,bipap subsequent day,Respiratory Therapy,Respiratory Therapy,1.0,1,Respiratory Therapy,0.913117174781,1,Respiratory Therapy,0.965203257277,1,Respiratory Therapy,0.8830222724,1,PT / OT / Speech Therapy,0.3,0,Respiratory Therapy,0.99955233693,1,Respiratory Therapy,0.5,1,Respiratory Therapy,0.808043091,1,Respiratory Therapy,0.999999880791,1,Respiratory Therapy,0.883617251647
120,589,HEMOGLOBIN  POC,hemoglobin point_of_care,Monitoring,Monitoring,1.0,1,Monitoring,0.629863494153,1,Monitoring,0.879036614172,1,Monitoring,0.760800035091,1,Monitoring,0.5,1,Monitoring,0.695854176495,1,Monitoring,1.0,1,Monitoring,0.683241445507,1,Laboratory,0.902575314045,0,Monitoring,0.768599470677
121,3639,TRANSFUSION FILTER,transfusion filter,Supply,Supply,1.0,1,Nursing Services,0.525821471553,0,Supply,0.857041206185,1,Nursing Services,0.481703605129,0,Supply,0.3,1,Nursing Services,0.822464602072,0,Nursing Services,0.4,0,Nursing Services,0.662923024431,0,Nursing Services,0.999636530876,0,Nursing Services,0.648758205677
122,73,HC SMEAR GRAM GIEMSA,smear gram giemsa,Laboratory,Laboratory,1.0,1,Laboratory,0.536390831071,1,Laboratory,0.981609737873,1,Laboratory,0.757270440789,1,Laboratory,0.8,1,Laboratory,0.922025999821,1,Laboratory,0.8,1,Laboratory,0.998923517532,1,Laboratory,0.999683856964,1,Laboratory,0.866211598228
123,2597,ECHO CONGENITAL ANOMALY LTD,echo congenital anomaly ltd,Cardiology,Cardiology,1.0,1,Supply,0.302960907483,0,Laboratory,0.757169577819,0,Supply,0.342596608413,0,Supply,0.3,0,Supply,0.687058804854,0,Supply,0.4,0,Education / Training,0.402276869685,0,Procedure,0.581401348114,0,Supply,0.40652326415
124,3930,WATER 1000ML AQUACS/12,water 1000_ml aquacs/12,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.796121130491,1,Diluent / Flush / Irrigant,0.829015667321,1,Diluent / Flush / Irrigant,0.73708462419,1,Diluent / Flush / Irrigant,0.3,1,Diluent / Flush / Irrigant,0.725179678774,1,Diluent / Flush / Irrigant,0.9,1,Diluent / Flush / Irrigant,0.99609941283,1,Pharmacy,0.937214434147,0,Diluent / Flush / Irrigant,0.785437564201
125,2783,PACU STAGE ONE FIRST 1/2 H,pacu stage one first 1/2 h,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,1.0,1,Room and Board,0.233339505786,0,OR / Anesthesia / Recovery Room,0.660479945077,1,OR / Anesthesia / Recovery Room,0.468500668048,1,OR / Anesthesia / Recovery Room,0.2,1,OR / Anesthesia / Recovery Room,0.520681227308,1,OR / Anesthesia / Recovery Room,0.3,1,OR / Anesthesia / Recovery Room,0.983856959761,1,OR / Anesthesia / Recovery Room,0.999943137169,1,OR / Anesthesia / Recovery Room,0.64168274217
126,366,MAGNESIUM SULFATE 80 MG/ML,magnesium sulfate 80_mg/ml,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.970400742997,1,Pharmacy,0.999636901642,1,Pharmacy,0.92537505339,1,Pharmacy,1.0,1,Pharmacy,0.999862480217,1,Pharmacy,0.6,1,Pharmacy,0.999999708935,1,Pharmacy,0.999996185303,1,Pharmacy,0.943919008054
127,2030,DIAZEPAM 5 MG/ML SOLN,diazepam 5_mg/ml solution,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.92336122453,1,Pharmacy,0.998880166126,1,Pharmacy,0.871741701181,1,Pharmacy,1.0,1,Pharmacy,0.999313704936,1,Pharmacy,1.0,1,Pharmacy,0.998772016581,1,Pharmacy,0.999985337257,1,Pharmacy,0.976894905623
128,103,CHLORHEXIDINE GLUCONATE 0.12 % MWSH,chlorhexidine gluconate 0.12% mouthwash,Supply,Supply,1.0,1,Pharmacy,0.923475764484,0,Pharmacy,0.994354819999,0,Pharmacy,0.836393562817,0,Pharmacy,0.6,0,Pharmacy,0.997860520797,0,Pharmacy,0.7,0,Pharmacy,0.999999251206,0,Pharmacy,0.999960899353,0,Pharmacy,0.881505602332
129,2193,BLOOD GAS ANALYSIS,blood_gas analysis,Laboratory,Laboratory,1.0,1,Laboratory,0.974913647184,1,Laboratory,0.970423020809,1,Laboratory,0.894522099841,1,Laboratory,0.4,1,Laboratory,0.999400148097,1,Laboratory,0.7,1,Laboratory,0.999999994554,1,Laboratory,0.999962210655,1,Laboratory,0.882135680127
130,3834,HB MICROARRAY: SNP ONCOLOGY,microarray single_nucleotide_polymorphism oncology,Laboratory,Laboratory,1.0,1,Laboratory,0.978105593829,1,Laboratory,0.99800714177,1,Laboratory,0.849597496124,1,Laboratory,0.7,1,Laboratory,0.986311332116,1,Laboratory,0.9,1,Laboratory,0.999980073271,1,Laboratory,0.905888199806,1,Laboratory,0.92420998188
131,4370,D10 % 0.2 NACL 250ML GLASS D10/ 0.2% NACL 250 ML BTL,d10% 0.2 nacl 250 ml glass d10/0.2% nacl 250 ml btl,Pharmacy,Pharmacy,1.0,1,Diluent / Flush / Irrigant,0.476581227443,0,Diluent / Flush / Irrigant,0.679836377351,0,Pharmacy,0.70940077796,1,Diluent / Flush / Irrigant,0.3,0,Pharmacy,0.750426335637,1,Pharmacy,0.8,1,Diluent / Flush / Irrigant,0.518900269734,0,Pharmacy,0.942966878414,1,Pharmacy,0.840558798402
132,1698,SPECIMEN COLL-VENIPUNCTURE,specimen collection venipuncture,Nursing Services,Nursing Services,1.0,1,Nursing Services,0.965880212859,1,Nursing Services,0.992462824185,1,Nursing Services,0.891045977758,1,Nursing Services,0.4,1,Nursing Services,0.999748694856,1,Nursing Services,1.0,1,Nursing Services,0.999979167084,1,Nursing Services,1.0,1,Nursing Services,0.91656854186
