,Unnamed: 0,Id,Original Description,Normalized Description,Charge Class,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_SVM,Prob_SVM,Predicted_Class_Naive,Prob_Naive,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_Randomforest,Prob_Randomforest,Predicted_Class_DeepNN,Prob_DeepNN,Predicted_Class_kNN,Prob_kNN,Predicted_Class_LDA,Prob_LDA,Predicted_Class_XGBoost,Prob_XGBoost,Voted Output,Sum Correct,Correct_Jaro,Correct_SVM,Correct_Naive,Correct_Logistic_OvR,Correct_Randomforest,Correct_DeepNN,Correct_kNN,Correct_LDA,Correct_XGBoost,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4,Maximum_Pred,Maximum_Prob,Voting_Pred,Voting_Prob
532,532,4921,OSTOMY ALLKARE PRO BAR,ostomy allkare pro bar,Supply,ONLINE,2016-08-24,ostomy,pro,bar,allkare,Supply,0.79,Supply,0.93461388235,Supply,0.995183456322,Supply,0.860410368882,Supply,0.6,Supply,0.996222579245,Supply,0.9,Supply,0.999569277913,Supply,0.999570667744,Supply,9,1,1,1,1,1,1,1,1,1,0.897285581384,ostomy,pro,bar,allkare,Supply,0.999570667744,Supply,0.897285581384
533,533,6058,ALBUNIN 25% 100ML,albumin 25% 100_ml,Pharmacy,ONLINE,2016-08-29,albunin,100_ml,25%,,Pharmacy,0.78,Pharmacy,0.894647665413,Pharmacy,0.943149207974,Pharmacy,0.81069834625,Laboratory,0.4,Pharmacy,0.998521431521,Pharmacy,0.5,Pharmacy,0.999995565865,Pharmacy,0.999864459038,Pharmacy,8,1,1,1,1,0,1,1,1,1,0.769652964007,100_ml,albumin,25%,,Pharmacy,0.999995565865,Pharmacy,0.865859584508
534,534,18,EQ PUMP  SYRINGE,equipment pump syringe,Capital Equipment,RETROSPECTIVE,2016-07-12,syringe,equipment,pump,,Capital Equipment,1.0,Capital Equipment,0.976996548642,Supply,0.9250988041,Capital Equipment,0.895640567334,Capital Equipment,1.0,Capital Equipment,0.999975876046,Capital Equipment,1.0,Capital Equipment,0.999998768355,Capital Equipment,1.0,Capital Equipment,8,1,1,0,1,1,1,1,1,1,0.874734640042,syringe,eq,pump,,Capital Equipment,1.0,Capital Equipment,0.984076470047
535,535,4100,MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL,midazolam 1_mg/ml solution 2_ml vial,Pharmacy,RETROSPECTIVE,2016-07-12,vial,2_ml,midazolam,,Pharmacy,0.91,Pharmacy,0.992449290392,Pharmacy,0.999956053605,Pharmacy,0.971765160357,Pharmacy,1.0,Pharmacy,0.999808407733,Pharmacy,1.0,Pharmacy,0.999999999987,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.985997656897,vial,2_ml,midazolam,soln,Pharmacy,1.0,Pharmacy,0.985997656897
536,536,4394,63721001 - FOLATE,folate,Laboratory,RETROSPECTIVE,2016-07-13,folate,,,,Laboratory,0.77,Laboratory,0.876543942289,Laboratory,0.947209667847,Laboratory,0.778459313056,Laboratory,0.7,Laboratory,0.831469715399,Laboratory,0.7,Laboratory,0.99997598495,Laboratory,0.809233546257,Laboratory,9,1,1,1,1,1,1,1,1,1,0.823654685533,folate,,,,Laboratory,0.99997598495,Laboratory,0.823654685533
537,537,4657,INHALATION TRTMT SUB,inhalation treatment subsequent,Respiratory Therapy,RETROSPECTIVE,2016-07-13,trtmt,inhalation,sub,,Respiratory Therapy,0.87,Respiratory Therapy,0.989628567479,Respiratory Therapy,0.992558194696,Respiratory Therapy,0.848111602543,Nursing Services,0.3,Respiratory Therapy,0.999955539499,Respiratory Therapy,1.0,Respiratory Therapy,0.999992938275,Respiratory Therapy,1.0,Respiratory Therapy,8,1,1,1,1,0,1,1,1,1,0.855582982499,subsequent,inhalation,treatment,,Respiratory Therapy,1.0,Respiratory Therapy,0.962530855311
538,538,26,HB ALTERNATING SURFACE BED,alternating surface bed,Capital Equipment,RETROSPECTIVE,2016-07-12,alternating,bed,surface,,PT / OT / Speech Therapy,0.73,Supply,0.823066228827,Supply,0.991506251747,Supply,0.751019416105,Supply,0.65,Supply,0.975343900029,Supply,0.8,Supply,0.996989590163,Laboratory,0.816776812077,Pharmacy,0,0,0,0,0,0,0,0,0,0,0.0,alternating,bed,surface,,Supply,0.996989590163,Supply,0.85541791241
539,539,4440,77058451 - PAD GRND 9FR ADLT DISPERSIVE,pad ground 9 french adult dispersive,Supply,RETROSPECTIVE,2016-07-13,adult,,,,Supply,0.65,Supply,0.880038988743,Supply,0.998998262619,Supply,0.867793467055,Supply,0.7,Supply,0.996050443496,Supply,0.9,Supply,0.682841664932,Supply,0.999999761581,Supply,9,1,1,1,1,1,1,1,1,1,0.852858065381,pad,adlt,,,Supply,0.999999761581,Supply,0.852858065381
540,540,2494,PULSE OX SPOT CHECK EACH,pulse oximetry spot check each,Monitoring,RETROSPECTIVE,2016-07-12,oximetry,spot,check,pulse,Monitoring,0.77,Monitoring,0.708958919102,Monitoring,0.857739429859,Monitoring,0.676386829398,Supply,0.5,Monitoring,0.98764371658,Monitoring,1.0,Monitoring,0.998959374608,Monitoring,0.999288797379,Monitoring,8,1,1,1,1,0,1,1,1,1,0.777664118547,ox,spot,check,pulse,Monitoring,1.0,Monitoring,0.874872133366
541,541,4311,01855002 - RB 1MICU MEDICAL,room_and_board medical intestive care unit medical,Room and Board,RETROSPECTIVE,2016-07-13,medical,room_and_board,1micu,,Room and Board,0.79,Room and Board,0.81235202294,Room and Board,0.999780529193,Room and Board,0.703602135001,Other,0.3,Room and Board,0.991067075897,Room and Board,0.8,Room and Board,0.999999979295,Room and Board,0.999992489815,Room and Board,8,1,1,1,1,0,1,1,1,1,0.78853269246,medical,rb,unit,care,Room and Board,0.999999979295,Room and Board,0.887099279018
542,542,1957,BUDESONIDE 0.5 MG/2 ML NBSP 2 ML,budesonide 0.5_mg/2_ml nbsp 2_ml,Pharmacy,ONLINE,2016-09-16,budesonide,0.5_mg/2_ml,2_ml,nbsp,Pharmacy,0.87,Pharmacy,0.998864189855,Pharmacy,0.99996974831,Pharmacy,0.973393879678,Pharmacy,1.0,Pharmacy,0.9999984632,Pharmacy,1.0,Pharmacy,0.999999999595,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.982469586738,budesonide,0.5_mg/2_ml,2_ml,nbsp,Pharmacy,1.0,Pharmacy,0.982469586738
543,543,6307,FLUCONAZOLE 2 MG/ML PGBK 100 ML FLEX CONT,fluconazole 2_mg/ml pgbk 100_ml flex cont,Pharmacy,ONLINE,2016-09-16,100_ml,pgbk,continuous,flex,Pharmacy,0.98,Pharmacy,0.981361334681,Pharmacy,0.781121984516,Pharmacy,0.956486626861,Pharmacy,1.0,Pharmacy,0.998646290402,Pharmacy,1.0,Pharmacy,0.999986526696,Pharmacy,0.901349544525,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.955439145298,fluconazole,pgbk,cont,flex,Pharmacy,1.0,Pharmacy,0.955439145298
544,544,3807,INSULIN REGULAR HUMAN 100 UNIT/ML SOLN,insulin regular human 100_units/ml solution,Pharmacy,RETROSPECTIVE,2016-07-12,regular,insulin,human,soln,Pharmacy,0.89,Pharmacy,0.973516896839,Pharmacy,0.991399736114,Pharmacy,0.959622309687,Pharmacy,0.6,Pharmacy,0.994080477185,Pharmacy,0.8,Pharmacy,0.999999933313,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.912068817015,regular,insulin,human,soln,Pharmacy,1.0,Pharmacy,0.912068817015
545,545,3760,SUTURE 1 ETHIBOND X865H,suture 1 ethibond x865h,Supply,RETROSPECTIVE,2016-07-12,x865h,ethibond,suture,,Supply,0.77,Supply,0.820037903451,Supply,0.962178403456,Supply,0.544206821869,Supply,0.8,Supply,0.801987763933,Supply,0.6,Supply,0.584279036412,Supply,0.714710652828,Supply,9,1,1,1,1,1,1,1,1,1,0.733044509106,x865h,ethibond,suture,,Supply,0.962178403456,Supply,0.733044509105
546,546,4326,12820632 - HEPARIN/1000UN (5000/ML)1ML VL,heparin/1000units 5000/ml 1_ml vial,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-13,vial,5000/ml,1_ml,heparin/1000un,Pharmacy,0.73,Pharmacy,0.785238222639,Pharmacy,0.893446407842,Pharmacy,0.636353569176,Pharmacy,0.6,Diluent / Flush / Irrigant,0.837708920333,Diluent / Flush / Irrigant,0.5,Diluent / Flush / Irrigant,0.500041728319,Diluent / Flush / Irrigant,0.892611145973,Pharmacy,5,1,1,1,1,1,0,0,0,0,0.405004244406,vial,5000/ml,1_ml,heparin/1000units,Pharmacy,0.893446407842,Pharmacy,0.729007639931
547,547,6824,MORPHINE 10 MG/ML INJECTION SOLUTION,morphine 10 mg/ml injection solution,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,injection,morphine,solution,10_mg/ml,Pharmacy,0.83,Pharmacy,0.85554938426,Pharmacy,0.999919169875,Pharmacy,0.804270000771,Pharmacy,0.9,Pharmacy,0.747293297293,OR / Anesthesia / Recovery Room,0.6,Pharmacy,0.995662298317,OR / Anesthesia / Recovery Room,0.992412507534,Pharmacy,7,1,1,1,1,1,1,0,1,0,0.681410461168,ml,mg,morphine,injection,Pharmacy,0.999919169875,Pharmacy,0.876099164359
548,548,5902,PT EVAL VISIT,physical_therapy evaluation visit,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,visit,evaluation,physical_therapy,,PT / OT / Speech Therapy,0.94,PT / OT / Speech Therapy,0.939370985219,PT / OT / Speech Therapy,0.999890250891,PT / OT / Speech Therapy,0.781374704871,PT / OT / Speech Therapy,0.9,PT / OT / Speech Therapy,0.963618012407,PT / OT / Speech Therapy,0.8,PT / OT / Speech Therapy,0.502441889469,PT / OT / Speech Therapy,0.999611794949,PT / OT / Speech Therapy,9,1,1,1,1,1,1,1,1,1,0.869589737534,visit,evaluation,pt,,PT / OT / Speech Therapy,0.999890250891,PT / OT / Speech Therapy,0.869589737534
549,549,1797,PM-D10W + NACL 0.225% + KCL 5MEQ INJ BAG 250ML,between_noon_and_midnight d10w and sodium_chloride 0.225% and potassuim_chloride 5_meq injection bag 250_ml,Pharmacy,ONLINE,2016-09-01,bag,inj,kcl,250_ml,Diluent / Flush / Irrigant,0.66,Diluent / Flush / Irrigant,0.928770224952,Diluent / Flush / Irrigant,0.992606572747,Diluent / Flush / Irrigant,0.842656659329,Diluent / Flush / Irrigant,0.5,Diluent / Flush / Irrigant,0.990212633628,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.962781223815,Pharmacy,0.902481794357,Diluent / Flush / Irrigant,8,1,1,1,1,1,1,1,1,0,0.764114146052,bag,inj,kcl,250_ml,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.859628414309
550,550,906,MEASURE BLOOD OXYGEN LVL SNGL,measure blood oxygen level single,Monitoring,ONLINE,2016-09-16,sngl,blood,oxygen,lvl,Laboratory,0.71,Laboratory,0.598130724405,Monitoring,0.582138400229,Laboratory,0.609675385126,Laboratory,0.4,Monitoring,0.822021438874,Laboratory,0.5,Respiratory Therapy,0.99967522226,Laboratory,1.0,Laboratory,6,1,1,0,1,1,0,1,0,1,0.424200678837,sngl,blood,oxygen,lvl,Laboratory,1.0,Laboratory,0.636301018255
551,551,1846,ALBUTEROL 90 MCG/PUFF HFAA 8.5 G CANISTER,albuterol 90 microgram/puff hfaa 8.5 gram canister,Pharmacy,ONLINE,2016-09-16,albuterol,microgram,,,Pharmacy,0.98,Pharmacy,0.802948539472,Pharmacy,0.991188199403,Pharmacy,0.745651148404,Pharmacy,0.6,Pharmacy,0.625946391197,Pharmacy,0.6,Pharmacy,0.999986876013,Pharmacy,0.99999833107,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.816191053951,albuterol,microgram,gram,,Pharmacy,0.99999833107,Pharmacy,0.816191053951
552,552,293,SODIUM CHLORIDE 0.9% 0.9% SOLN,sodium chloride 0.9% 0.9% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,chloride,solution,sodium,,Diluent / Flush / Irrigant,0.95,Diluent / Flush / Irrigant,0.8347865113,Diluent / Flush / Irrigant,0.84278601285,Diluent / Flush / Irrigant,0.728093473857,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.925186655346,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.999906430859,Diluent / Flush / Irrigant,0.896634817123,Diluent / Flush / Irrigant,9,1,1,1,1,1,1,1,1,1,0.908599322371,chloride,soln,sodium,,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.908599322371
553,553,3739,RED BLOOD CELLS LEUKO RED-CKBC,red blood cells leukocyte red ckbc,Blood Products,RETROSPECTIVE,2016-07-12,blood,red,,,Blood Products,0.95,Blood Products,0.907563572014,Laboratory,0.995326106008,Blood Products,0.537045792883,Blood Products,0.6,Blood Products,0.870053395667,Blood Products,0.6,Blood Products,0.652529234537,Blood Products,0.99999833107,Blood Products,8,1,1,0,1,1,1,1,1,1,0.679687814019,cells,blood,red,,Blood Products,0.99999833107,Blood Products,0.764648790771
554,554,11,DUAL LINE PUMP,dual line pump,Capital Equipment,RETROSPECTIVE,2016-07-12,line,pump,dual,,Capital Equipment,0.82,Capital Equipment,0.897351168526,Supply,0.997946162794,Capital Equipment,0.745298396468,Supply,0.6,Capital Equipment,0.96909035593,Capital Equipment,0.6,Capital Equipment,0.997379562294,Capital Equipment,0.99996471405,Capital Equipment,7,1,1,0,1,0,1,1,1,1,0.669898244141,line,pump,dual,,Capital Equipment,0.99996471405,Capital Equipment,0.861297742467
555,555,191,IV D5W 250ML,intravenous dextrose_5%_in_water 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,250_ml,intravenous,D5W,,Diluent / Flush / Irrigant,0.97,Diluent / Flush / Irrigant,0.952299463634,Diluent / Flush / Irrigant,0.996855791363,Diluent / Flush / Irrigant,0.887233524801,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.999668982608,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.999976206454,Diluent / Flush / Irrigant,0.999956250191,Diluent / Flush / Irrigant,9,1,1,1,1,1,1,1,1,1,0.978443357672,250_ml,iv,d5w,,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.978443357672
556,556,6276,FEEDING SUPPLEMENT (PRO-STAT SUGAR FREE 64) LIQD,feeding supplement pro_stat sugar free 64 liquid,Pharmacy,ONLINE,2016-09-16,stat,feeding,liqd,free,Supply,0.84,Pharmacy,0.937140220407,Supply,0.814552803874,Pharmacy,0.516984172393,Capital Equipment,0.2,Pharmacy,0.869102931339,Pharmacy,0.5,Pharmacy,0.996695525334,Pharmacy,0.999921441078,Supply,2,1,0,1,0,0,0,0,0,0,0.18383920043,supplement,feeding,liqd,free,Pharmacy,0.999921441078,Pharmacy,0.803307381759
557,557,1411,WINGUARD DRESSING,winguard dressing,Supply,ONLINE,2016-09-16,winguard,dressing,,,Supply,0.79,Supply,0.939427794425,Supply,0.996745579488,Supply,0.875649368228,Supply,1.0,Supply,0.99363968214,Supply,1.0,Supply,0.999908535221,Supply,0.998678386211,Supply,9,1,1,1,1,1,1,1,1,1,0.954894371746,winguard,dressing,,,Supply,1.0,Supply,0.954894371746
558,558,2470,POC-POTASSIUM (K) GEM,point_of_care potassium potassium glucagon_emergency_management,Monitoring,RETROSPECTIVE,2016-07-12,potassium,POC,GEM,,Monitoring,0.87,Monitoring,0.930611916596,Monitoring,0.990363559253,Monitoring,0.644599461626,Monitoring,0.3,Monitoring,0.999132804864,Laboratory,0.7,Monitoring,0.990739649939,Monitoring,1.0,Monitoring,8,1,1,1,1,1,1,0,1,1,0.747271932475,potassium,point_of_care,gem,,Monitoring,1.0,Monitoring,0.840680924035
559,559,1863,AMPICILLIN-SULBACTAM 1.5 (1-0.5) G SOLR 1 EACH VIAL,ampicillin sulbactam 1.5 1 0.5 g solution 1 each vial,Pharmacy,ONLINE,2016-09-16,vial,solution,,,Pharmacy,0.85,Pharmacy,0.987324288393,Pharmacy,0.999463842864,Pharmacy,0.956626362717,Pharmacy,1.0,Pharmacy,0.999686892479,Pharmacy,1.0,Pharmacy,0.99999954753,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.977011214887,vial,ampicillin,sulbactam,solution,Pharmacy,1.0,Pharmacy,0.977011214887
560,560,1376,URNLS DIP STICK/TABLET RGN,urinalysis dip stick/tablet reagent,Laboratory,ONLINE,2016-09-16,tablet,,,,Laboratory,0.91,Supply,0.388500243662,Laboratory,0.796298467687,Laboratory,0.338253125223,Pharmacy,0.4,Supply,0.698322620096,Supply,0.5,Laboratory,0.981684639433,Laboratory,0.313733011484,Laboratory,5,1,0,1,1,0,0,0,1,1,0.371107693759,urinalysis,dip,stick,tablet,Laboratory,0.981684639433,Laboratory,0.667993848765
561,561,84,D5W 1000ML,dextrose_5%_in_water 1000_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,D5W,1000_ml,,,Diluent / Flush / Irrigant,0.9,Diluent / Flush / Irrigant,0.893124985568,Diluent / Flush / Irrigant,0.982130817115,Diluent / Flush / Irrigant,0.73409777062,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.986425452119,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.985616738155,Diluent / Flush / Irrigant,0.999963283539,Diluent / Flush / Irrigant,9,1,1,1,1,1,1,1,1,1,0.942373227457,d5w,1000_ml,,,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.942373227457
562,562,4834,SWALLOW / FEED THERAPY 15,swallow/feeding therapy 15,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,swallow,feed,therapy,,PT / OT / Speech Therapy,0.94,PT / OT / Speech Therapy,0.727402080339,PT / OT / Speech Therapy,0.96369089575,PT / OT / Speech Therapy,0.857316139582,PT / OT / Speech Therapy,0.6,PT / OT / Speech Therapy,0.849131781013,PT / OT / Speech Therapy,0.5,PT / OT / Speech Therapy,0.999999507978,PT / OT / Speech Therapy,0.998821437359,PT / OT / Speech Therapy,9,1,1,1,1,1,1,1,1,1,0.826262426891,swallow,feeding,therapy,,PT / OT / Speech Therapy,0.999999507978,PT / OT / Speech Therapy,0.826262426891
563,563,3788,METRONIDAZOLE 500 MG/100 ML PGBK,metronidazole 500_mg/100_ml pgbk,Pharmacy,RETROSPECTIVE,2016-07-12,metronidazole,500_mg/100_ml,pgbk,,Pharmacy,0.94,Pharmacy,0.992483535984,Pharmacy,0.999351577082,Pharmacy,0.972571925473,Pharmacy,1.0,Pharmacy,0.999983713627,Pharmacy,1.0,Pharmacy,0.999999948982,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.989376744572,metronidazole,pgbk,500_mg/100_ml,,Pharmacy,1.0,Pharmacy,0.989376744572
564,564,3053,KANGAROO PUMP + SUPPLIES,kangaroo pump and supplies,Supply,RETROSPECTIVE,2016-07-12,supplies,kangaroo,pump,,Capital Equipment,0.81,Capital Equipment,0.804207997239,Supply,0.999093156481,Capital Equipment,0.48156176879,Supply,0.7,Supply,0.751465595245,Capital Equipment,0.7,Capital Equipment,0.49999749676,Supply,0.979636192322,Capital Equipment,5,1,1,0,1,0,0,1,1,0,0.366196362532,supplies,kangaroo,pump,,Supply,0.999093156481,Capital Equipment,0.659153452558
565,565,4984,HB MEDICAL GAS ADMINISTRATION,medical gas administration,Respiratory Therapy,RETROSPECTIVE,2016-07-13,administration,medical,gas,,Nursing Services,0.73,Plan Benefit,0.185710010877,Supply,0.901813658842,Supply,0.248372515419,OR / Anesthesia / Recovery Room,0.4,Plan Benefit,0.862365312059,Nursing Services,0.3,Supply,0.920329138577,Plan Benefit,0.895598769188,OR / Anesthesia / Recovery Room,1,0,0,0,0,1,0,0,0,0,0.0444444444444,administration,medical,gas,,Supply,0.920329138577,Supply,0.690171770946
566,566,1162,REP TY WET VI GLV PREM,rep ty wet vi glv prem,Supply,ONLINE,2016-09-16,vi,premix,tray,,Supply,0.69,Supply,0.755443432882,Supply,0.866734357438,Supply,0.625152560551,Laboratory,0.2,Supply,0.803214980495,Supply,0.6,Supply,0.998775934964,Laboratory,0.831349313259,Supply,7,1,1,1,1,0,1,1,1,0,0.593257918481,prem,ty,vi,rep,Supply,0.998775934964,Supply,0.762760180904
567,567,824,IRON SUCROSE 20 MG/ML SOLN,iron sucrose 20_mg/ml solution,Pharmacy,ONLINE,2016-09-16,soln,sucrose,iron,20_mg/ml,Pharmacy,0.8,Pharmacy,0.965637569596,Pharmacy,0.993538050414,Pharmacy,0.902372974499,Pharmacy,1.0,Pharmacy,0.868623571791,Pharmacy,0.9,Supply,0.999998607871,Pharmacy,0.99998831749,Pharmacy,8,1,1,1,1,1,1,1,0,1,0.825573387088,soln,sucrose,iron,20_mg/ml,Pharmacy,1.0,Pharmacy,0.928770060474
568,568,1924,BLD TYPING RH D,blood typing rhesus d,Laboratory,ONLINE,2016-09-16,rh,bld,typing,,Laboratory,0.95,Laboratory,0.965923613611,Laboratory,0.999904533874,Laboratory,0.874940434939,Laboratory,0.9,Laboratory,0.997333283503,Laboratory,1.0,Laboratory,0.999999277248,Laboratory,1.0,Laboratory,9,1,1,1,1,1,1,1,1,1,0.965344571464,rh,bld,typing,,Laboratory,1.0,Laboratory,0.965344571464
569,569,1414,XR ABDOMEN AP,x-ray abdomen anterior_posterior,Radiology,ONLINE,2016-09-16,ap,abdomen,xr,,Radiology,0.88,Radiology,0.868003201165,Radiology,0.999796176895,Radiology,0.808364270549,Radiology,0.8,Radiology,0.990614842377,Radiology,0.8,Radiology,0.987654850011,Radiology,1.0,Radiology,9,1,1,1,1,1,1,1,1,1,0.903825926777,ap,abdomen,xr,,Radiology,1.0,Radiology,0.903825926777
570,570,2431,I STAT K (PICU),i stat potassium pediatric_intensive_care_unit,Monitoring,RETROSPECTIVE,2016-07-12,stat,potassium,pediatric_intensive_care_unit,,Laboratory,0.87,Monitoring,0.639654362709,Laboratory,0.720294331479,Monitoring,0.511734781375,Monitoring,0.4,Monitoring,0.838224892801,Monitoring,0.4,Monitoring,0.999897645934,Monitoring,0.998660683632,Laboratory,2,1,0,1,0,0,0,0,0,0,0.176699370164,stat,k,pediatric_intensive_care_unit,,Monitoring,0.999897645934,Monitoring,0.684024623779
571,571,6015,VITAMIN B12,vitamin b12,Pharmacy,RETROSPECTIVE,2016-07-13,b12,vitamin,,,Laboratory,0.77,Laboratory,0.626404945491,Laboratory,0.510970500766,Laboratory,0.433980119324,Pharmacy,0.7,Pharmacy,0.746945975535,Laboratory,0.7,Pharmacy,0.994423295698,Pharmacy,0.775062382221,Laboratory,5,1,1,1,1,0,0,1,0,0,0.337928396176,b12,vitamin,,,Pharmacy,0.994423295698,Laboratory,0.608271113116
572,572,5556,EBV EA (QEBVPL),ebv each qebvpl,Laboratory,RETROSPECTIVE,2016-07-13,ebv,qebvpl,,,Laboratory,0.73,Laboratory,0.951192859327,Laboratory,0.999751131684,Laboratory,0.815111624356,Laboratory,0.6,Laboratory,0.953855379902,Laboratory,0.8,Laboratory,0.999999270383,Laboratory,0.556749403477,Laboratory,9,1,1,1,1,1,1,1,1,1,0.822962185459,ebv,qebvpl,,,Laboratory,0.999999270383,Laboratory,0.822962185459
573,573,5110,11679032 - CHLORHEXIDINE ORAL RINSE 15ML,chlorhexidine oral rinse 15_ml,Pharmacy,RETROSPECTIVE,2016-07-13,chlorhexidine,oral,rinse,15_ml,Pharmacy,0.92,Pharmacy,0.863950174232,Pharmacy,0.977488105561,Pharmacy,0.725576845039,Pharmacy,0.9,Pharmacy,0.884720405945,Pharmacy,0.6,Pharmacy,0.999999978019,Pharmacy,0.999998450279,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.874637106564,chlorhexidine,oral,rinse,15_ml,Pharmacy,0.999999978019,Pharmacy,0.874637106564
574,574,6460,ST TX SWALLOW/ORAL 30 MIN GN,st text swallow/oral 30 min gn,PT / OT / Speech Therapy,ONLINE,2016-10-06,swallow,oral,,,PT / OT / Speech Therapy,0.94,PT / OT / Speech Therapy,0.795766860796,PT / OT / Speech Therapy,0.885418370468,PT / OT / Speech Therapy,0.750325529281,PT / OT / Speech Therapy,0.6,PT / OT / Speech Therapy,0.986911982048,Supply,0.5,PT / OT / Speech Therapy,0.999999916036,PT / OT / Speech Therapy,0.999896645546,PT / OT / Speech Therapy,8,1,1,1,1,1,1,0,1,1,0.773146589353,text,swallow,oral,min,PT / OT / Speech Therapy,0.999999916036,PT / OT / Speech Therapy,0.869789913022
575,575,2649,MULTIVITAMINS 1ML LIQ; MULTIVITAMINS (THERAGRAN) LIQUID,multivitamins 1_ml liquid multivitamins theragran liquid,Pharmacy,RETROSPECTIVE,2016-07-12,theragran,1_ml,liquid,multivitamins,Pharmacy,0.77,Pharmacy,0.988139175405,Pharmacy,0.998355901804,Pharmacy,0.935808057054,Pharmacy,0.7,Pharmacy,0.999909754363,Pharmacy,0.7,Pharmacy,0.999999999851,Pharmacy,0.999975562096,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.899132050064,1_ml,liquid,,,Pharmacy,0.999999999851,Pharmacy,0.899132050064
576,576,969,NEUBLIZER KIT,neublizer kit,Supply,ONLINE,2016-09-16,neublizer,kit,,,Respiratory Therapy,0.73,Supply,0.917497625871,Supply,0.988072484818,Supply,0.763044232957,Supply,0.8,Supply,0.987248888872,Supply,0.8,Supply,0.999995932529,Supply,0.97656929493,Respiratory Therapy,1,1,0,0,0,0,0,0,0,0,0.0811111111111,neublizer,kit,,,Supply,0.999995932529,Supply,0.904053557497
577,577,919,MIDAZOLAM 1 MG/ML SOLN,midazolam 1_mg/ml solution,Pharmacy,ONLINE,2016-09-16,soln,midazolam,1_mg/ml,,Pharmacy,0.97,Pharmacy,0.983797868131,Pharmacy,0.99989720072,Pharmacy,0.94861821185,Pharmacy,1.0,Pharmacy,0.99728568616,Pharmacy,1.0,Pharmacy,0.999999999869,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.988844329637,soln,midazolam,1_mg/ml,,Pharmacy,1.0,Pharmacy,0.988844329637
578,578,1955,BUDESONIDE 0.25 MG/2 ML NBSP 2 ML,budesonide 0.25_mg/2_ml nbsp 2_ml,Pharmacy,ONLINE,2016-09-16,budesonide,0.25_mg/2_ml,2_ml,nbsp,Pharmacy,0.96,Pharmacy,0.997134858203,Pharmacy,0.999973571263,Pharmacy,0.975520951954,Pharmacy,1.0,Pharmacy,0.999993813319,Pharmacy,1.0,Pharmacy,0.999999999831,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.992513688285,budesonide,0.25_mg/2_ml,2_ml,nbsp,Pharmacy,1.0,Pharmacy,0.992513688286
579,579,2380,HB ACCUCHECKS-RAPID GLUCOSE,accuchecks rapid glucose,Monitoring,RETROSPECTIVE,2016-07-12,rapid,accuchecks,glucose,,Monitoring,0.91,Monitoring,0.785646383372,Laboratory,0.969205083758,Monitoring,0.664289524679,Monitoring,0.8,Monitoring,0.987069633048,Monitoring,0.8,Monitoring,0.559377359725,Monitoring,0.806136190891,Monitoring,8,1,1,0,1,1,1,1,1,1,0.701391010191,rapid,accuchecks,glucose,,Monitoring,0.987069633048,Monitoring,0.789064886464
