Id,Original Description,Normalized Description,Charge Class,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4
3108,SET EXT IV SYRNG 60IN,set extension intravenous syringe 60 inches,Supply,RETROSPECTIVE,2016-07-12,syringe,set,intravenous,extension
2831,HC WEANING VC EA,weaning vena_cava each,Respiratory Therapy,RETROSPECTIVE,2016-07-12,weaning,VC,,
2919,ASPIRATOR NEOTECH STD,aspirator neotech standard,Supply,RETROSPECTIVE,2016-07-12,aspirator,neotech,standard,
4566,CROSSMATCH ELECTRONIC EA,crossmatch electronic each,Laboratory,RETROSPECTIVE,2016-07-13,crossmatch,electronic,,
5776,LEVOTHYROXINE 75 MCG TABS,levothyroxine 75 microgram tablets,Pharmacy,RETROSPECTIVE,2016-07-13,tabs,mcg,levothyroxine,
5269,62011000 - ATYPICAL ANTIBODY SCREEN,atypical antibody screen,Laboratory,RETROSPECTIVE,2016-07-13,screen,atypical,antibody,
1576,URINARY CATHETER,urinary catheter,Supply,ONLINE,2016-09-19,urinary,catheter,,
4519,ART LWR EXTR DUPLEX GRAFT COMP BI,arterial lower extremity duplex graft complete bilateral,Radiology,RETROSPECTIVE,2016-07-13,lower,bilateral,extra,duplex
699,HCHG CBC AUTO W/AUTO DIFF HCHG CBC AUTO W/AUTO DIFF,complete_blood_count automated with automated differential,Laboratory,ONLINE,2016-09-16,cbc,automated,,
4853,TROPONIN QNT,troponin quantity,Laboratory,RETROSPECTIVE,2016-07-13,quant,troponin,,
5850,OT EVAL VISIT,occupational_therapy evaluation visit,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,evaluation,occupational_therapy,visit,
6826,MORPHINE AMP 2MG/ML 1ML MORPHINE 2 MG/ML SYR,morphine ampule 2 mg/ml 1 ml morphine 2 mg/ml syrup,Pharmacy,ONLINE,2016-10-12,ampule,1_ml,morphine,syrup
5631,HB COMPLETE BLOOD COUNT ONLY,complete_blood_count only,Laboratory,RETROSPECTIVE,2016-07-13,count,complete,blood,
2268,POTASSIUM SERUM/ PLASMA/ BLOOD,potassium serum/plasma/blood,Laboratory,RETROSPECTIVE,2016-07-12,serum,potassium,blood,
6414,KETAMINE VL 50MG/ML 10ML KETAMINE 500 MG/10 ML VIAL,ketamine vial 50 mg/ml 10 ml ketamine 500 mg/10 ml vial,Pharmacy,ONLINE,2016-10-12,ketamine,vial,10_ml,
5753,IV D5W 500 ML,intravenous dextrose_5%_in_water 500_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-13,500_ml,intravenous,dextrose_5%_in_water,
1601,CATH GC 6F XB 3.5,catheter gc 6french xb 3.5,Supply,ONLINE,2016-08-29,xb,cath,3.5,gc
3274,OXMONITOR DAILY,ox_monitor daily,Monitoring,RETROSPECTIVE,2016-07-12,OXMONITOR,daily,,
2189,GLUCOSE; QUANT  BLOOD,glucose quantitative blood,Laboratory,RETROSPECTIVE,2016-07-12,quantitative,blood,glucose,
3828,HC BILIRUBIN; TOTAL,bilirubin total,Laboratory,RETROSPECTIVE,2016-07-12,bilirubin,total,,
2167,CHLORIDE SERUM,chloride serum,Laboratory,RETROSPECTIVE,2016-07-12,chloride,serum,,
3960,C-ARM USAGE-STAT,arm usage stat,Radiology,RETROSPECTIVE,2016-07-12,usage,stat,arm,
4219,HC SLCTV CATH VERTEBRAL ART ANGIO VERTEBRAL ARTERY,selective catheter vertebral arteries angiogram vertebral artery,Radiology,RETROSPECTIVE,2016-07-12,cath, , ,
4840,THER ACT-DYN ACT EA 15 MIN.,therapuetic activity-dynamic activity each 15_minutes each 15_minutes,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,therapist,minutes,activity,
2542,CEFOTAXIME IV PPK 50MG/ML 6ML,cefotaxime intravenous ppk 50_mg/ml 6_ml,Pharmacy,RETROSPECTIVE,2016-07-12,ppk,cefotaxime,intravenous,6_ml
1410,WHO CUSTOM,who custom,Supply,ONLINE,2016-09-16,custom,,,
5428,ALKALINE PHOSPHATASE,alkaline phosphatase,Laboratory,RETROSPECTIVE,2016-07-13,alkaline,phosphatase,,
234,NS 50ML,normal_saline 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,50_ml,NS,,
5202,14630032 - POTASSIUM CHLORIDE 20MEQ/15ML,potassium chloride 20_meq/15_ml,Pharmacy,RETROSPECTIVE,2016-07-13,potassium,20_meq/15_ml,chloride,
2340,GLUCOSE  POC,glucose point_of_care,Monitoring,RETROSPECTIVE,2016-07-12,POC,glucose,,
5935,SODIUM  URINE,sodium urine,Laboratory,RETROSPECTIVE,2016-07-13,urine,sodium,,
6299,FERUMOXYTOL 510 MG/17ML SOLN 17 ML VIAL,ferumoxytol 510_mg/17_ml solution 17_ml vial,Pharmacy,ONLINE,2016-09-16,vial,soln,,
354,10 MG SILDENAFIL 2.5 MG/ML SUSPENSION 10 ML,10_mg sildenafil 2.5_mg/ml suspension 10_ml,Plan Benefit,RETROSPECTIVE,2016-07-12,suspension,10_ml,sildenafil,10_mg
1667,SET CONT CONTR - 9040,set continuous control 9040,Supply,ONLINE,2016-08-29,control,contra,set,
4275,HC PHASE 1 EXERCISE,phase 1 exercise,Cardiology,RETROSPECTIVE,2016-07-12,phase,exercise, ,
4895,ER ROOM L5 (LIFE THREAT),emergency_room room level_5 life threat,Other,ONLINE,2016-08-24,er,room,,
4387,63018004 - PHOSPHORUS,phosphorus,Laboratory,RETROSPECTIVE,2016-07-13,phosphorus,,,
5904,PULSE OXIMTRY SINGLE,pulse oximetry single,Monitoring,RETROSPECTIVE,2016-07-13,single,oximetry,pulse,
2947,DEVICE SUCTION ORAL-NASAL PR,device suction oral nasal pressure,Supply,RETROSPECTIVE,2016-07-12,device,nasal,suction,oral
1152,RB PRIVATE OB,room_and_board private obstetrics,Room and Board,ONLINE,2016-09-16,rb,ob,private,
2639,METRONIDAZOLE 500 MG PO TABS,metronidazole 500_mg by_mouth tablets,Pharmacy,RETROSPECTIVE,2016-07-12,metronidazole,po,tablets,500_mg
2879,SPECIMEN COLLECTION FEE,specimen collection fee,Nursing Services,RETROSPECTIVE,2016-07-12,specimen,fee,collection,
1349,TRIAMCINOLONE ACETONIDE 0.1 % OINT 15 G TUBE,triamcinolone acetonide 0.1% ointment 15 gram tube,Pharmacy,ONLINE,2016-09-16,oint,tube,,
4498,ANAEROBIC CULT ISO & PRESUMPT,anaerobic culture isolate and presumptive,Laboratory,RETROSPECTIVE,2016-07-13,cult,presumptive,iso,anaerobic
95,DEXT 5% WATER 100ML,dextrose 5% water 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,5%,water,dextrose,100_ml
3514,PATIENT EDUC EA 15 MINUTES,patient education each 15 minutes,Education / Training,RETROSPECTIVE,2016-07-12,minutes,patient,educe,
4724,OTH STER SUPP LVL,other sterile supply level,Supply,RETROSPECTIVE,2016-07-13,ster,suppository,level,
4347,27400001 - XR ABDOMEN 1 AP VW PORT,x-ray abdomen 1 anterior_posterior view portable,Radiology,RETROSPECTIVE,2016-07-13,anterior_posterior,portable,abdomen,view
1703,GRANULEX SPRAY,granulex spray,Pharmacy,ONLINE,2016-08-30,spray,granulex,,
2554,DEFIBROTIDE INJ MT2,defibrotide injection mt2,Pharmacy,RETROSPECTIVE,2016-07-12,mt2,injection,defibrotide,
3138,SUCROSE 24% PACIFIER D,sucrose 24% pacifier daily,Supply,RETROSPECTIVE,2016-07-12,24%,dipped,sucrose,pacifier
6356,CATH INF PICC/CV/MIDLINE T4,catch inf picc/cv/midline t4,Supply,ONLINE,2016-10-06,t4,catch,inf,picc
5536,CULTURE VIRAL,culture viral,Laboratory,RETROSPECTIVE,2016-07-13,culture,viral,,
1618,FASMOTIDINE PRE 20MG/,fasmotidine premix 20_mg/,Pharmacy,ONLINE,2016-08-29,pre,fasmotidine,20_mg/,
2972,FILTER PALL,filter pall,Supply,RETROSPECTIVE,2016-07-12,filter,pall,,
1441,ASSAY OF PROLACTIN,assay of prolactin,Laboratory,ONLINE,2016-09-19,prolactin,assay,,
5304,64977000 - MULTI-DRUG RESISTANCE TEST,multiple drug resistance test,Laboratory,RETROSPECTIVE,2016-07-13,test,multiple,resistance,drug
1120,POTASSIUM SERUM PLASMA/WHO,potassium serum plasma/whole,Laboratory,ONLINE,2016-09-16,potassium,who,plasma,serum
211,NACL 0.9% INJ 250ML,sodium_chloride 0.9% injection 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,0.90%,250_ml,injection,NaCl
371,BOSENTAN 62.5 MG TABS 60 EA 66215-101-06,bosentan 62.5_mg tablets 60 each 66215 101 6,Plan Benefit,RETROSPECTIVE,2016-07-12,bosentan,tablets,,
6596,FLUPHENAZINE TAB 1MG FLUPHENAZINE HCL 1 MG TAB,fluphenazine tablet 1 mg fluphenazine hcl 1 mg tablet,Pharmacy,ONLINE,2016-10-12,1_mg,hcl,tab,
3462,ROOM INTERMEDIATE,room intermediate,Room and Board,RETROSPECTIVE,2016-07-12,intermediate,room,,
4129,REPLOGLE CATHETER,replogle catheter,Supply,RETROSPECTIVE,2016-07-12,replogle,catheter, ,
5204,14668212 - PROPOFOL PER 10MG/ 5ML SYR INJ,propofol per 10_mg/5_ml syringe injection,Pharmacy,RETROSPECTIVE,2016-07-13,syringe,injection,propofol,per
5962,SYS THERAWASH SILVER BATH,system therawash silver bath,Supply,RETROSPECTIVE,2016-07-13,bath,system,therawash,silver
646,HC SEVOFLURANE PER HOUR,sevoflurane per hour,Pharmacy,ONLINE,2016-09-16,sevoflurane,hour,per,
3685,SODIUM CHLORIDE 0.9 % PGBK 50 ML BAG,sodium chloride 0.9% pgbk 50_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,50_ml,bag,pgbk,chloride
529,HC COAGULATION TIME ACTIVATED,coagulation time activated,Laboratory,ONLINE,2016-09-16,coagulation,activated,time,
6447,RED CELLS L/R EA T2 ALLOCATED UNIT,red cells l/r ea t2 allocated units,Blood Products,ONLINE,2016-10-06,cells,red,,
1185,SCREEN FOR PHYSICAL THERAPY,screen for physical_therapy,PT / OT / Speech Therapy,ONLINE,2016-09-16,screen,therapy,physical,
2994,HB GLOVES SURG NEU-THERA 6.5 PF S,gloves surgical neut thera 6.5 partial_fill sigma,Supply,RETROSPECTIVE,2016-07-12,PF,surgical,neu,thera
5113,12007216 - DARBEPOETIN (ESRD) 1MCG/ML,darbepoetin esrd 1_mcg/ml,Pharmacy,RETROSPECTIVE,2016-07-13,darbepoetin,esrd,1_mcg/ml,
549,HC DEBRIDEMENT OPEN WND EA ADDL 20 SQCM,debridement open wound each additional 20 sqcm,Nursing Services,ONLINE,2016-09-16,wnd,addl,,
5301,64831000 - VITAMIN D2/D3 BY LC/MS/MS,vitamin d2/d3 by lc/morphine_sulfate/morphine_sulfate,Pharmacy,RETROSPECTIVE,2016-07-13,vitamin,,,
3959,HB INHALATION TREATMENT-MU,inhalation treatment mu,Respiratory Therapy,RETROSPECTIVE,2016-07-12,mu,inhalation,treatment,
1035,PACK GYN ONCOLOGY OPEN,pack gynecology oncology open,Supply,ONLINE,2016-09-16,gyn,oncology,open,pack
5702,HB TOOL DISSECT OD7.0MM ACORN FLU,tool dissect od7.0mm acorn flush,Supply,RETROSPECTIVE,2016-07-13,flu,,,
5523,COMPLETE URINALYSIS,complete urinalysis,Laboratory,RETROSPECTIVE,2016-07-13,urinalysis,complete,,
6848,ONDANSETRON VL 2MG/ML 2ML ONDANSETRON 4 MG/2 ML VIAL,ondansetron vial 2 mg/ml 2 ml ondansetron 4 mg/2 ml vial,Pharmacy,ONLINE,2016-10-12,vial,ondansetron,2_ml,
3518,HC CULTURE BLOOD,culture blood,Laboratory,RETROSPECTIVE,2016-07-12,culture,blood,,
5190,14455262 - PHENYLEPHRN->1ML (.1MG/ML-10ML,phenylephrine greater_than 1_ml 0.1_mg/ml 10_ml,Pharmacy,RETROSPECTIVE,2016-07-13,greater_than,phenylephrine,1_ml,10_ml
784,HYDROCORTISONE 1 % CREA 30 G TUBE,hydrocortisone 1% cream 30 g tube,Pharmacy,ONLINE,2016-09-16,tube,cream,,
2990,HB DRESSING IV BPTCH PU CHG OD 1.,dressing intravenous biopatch plus charge overdose 1,Supply,RETROSPECTIVE,2016-07-12,overdose,biopatch,intravenous,phu
2462,POC IONIZED CALCIUM,point_of_care ionized calcium,Monitoring,RETROSPECTIVE,2016-07-12,calcium,ionized,POC,
2776,ABG SAMPLE FROM ART LINE,arterial_blood_gas sample from arterial line,Nursing Services,RETROSPECTIVE,2016-07-12,sample,arterial,line,ABG
3250,GLUCOSE  POINT O,glucose point oxygen,Monitoring,RETROSPECTIVE,2016-07-12,point,oxygen,glucose,
4869,VECURONIUM BR INJ 20MG - 20ML,vecuronium bromide injection 20_mg 20_ml,Pharmacy,RETROSPECTIVE,2016-07-13,injection,20_mg,20_ml,
6644,HCHG CULTURE FUNGUS BLD,culture fungus blood,Laboratory,ONLINE,2016-10-12,fungus,culture,bld,
4667,IV ACD SOLUTION 1000ML,intravenous anticoagulant Citrate Dextrose Solution 1000ml,Pharmacy,RETROSPECTIVE,2016-07-13,acid,intravenous,1000_ml,solution
4287,HC RTRVL INTRVAS VC FILTR W/WO ACS VSL SELXN RS&I,retreval intravascular vena_cava filter with without access vessel selxn radiology_supervision_and_interpretation,Radiology,RETROSPECTIVE,2016-07-12,filter, , ,
4989,HB MRI T-SPINE W/ CONTRAST,magnetic_resonance_imagery thoracic spine with contrast,Radiology,RETROSPECTIVE,2016-07-13,spine,mri,contrast,tab
3094,SENSOR ADHESIVE NEONATAL 51050,sensor adhesive neonatal 51050,Supply,RETROSPECTIVE,2016-07-12,neonatal,adhesive,sensor,
5100,11482002 - BUMETANIDE TABLET 2MG,bumetanide tablet 2_mg,Pharmacy,RETROSPECTIVE,2016-07-13,2_mg,bumetanide,tablet,
4849,THROMBIN 5000 UNIT KIT POW,thrombin 5000_units kit power,Pharmacy,RETROSPECTIVE,2016-07-13,thrombin,kit,power,5000_units
5298,64601000 - SYPHYLLIS QUALITATIVE,syphyllis qualitative,Laboratory,RETROSPECTIVE,2016-07-13,qualitative,syphyllis,,
3276,RT POTASSIUM,respiratory_therapy potassium,Monitoring,RETROSPECTIVE,2016-07-12,RT,potassium,,
3264,HC CARBON DIOXIDE EXPIRED EA,carbon dioxide expired each,Monitoring,RETROSPECTIVE,2016-07-12,carbon,expired,dioxide,
2391,HB OXIMETRY SPOT CHECK  MULTIPLE,oximetry spot check multiple,Monitoring,RETROSPECTIVE,2016-07-12,multiple,oximetry,spot,check
1149,RANITIDINE 25 MG/ML SOLN,ranitidine 25_mg/ml solution,Pharmacy,ONLINE,2016-09-16,ranitidine,25_mg/ml,soln,
3414,HC ASSAY OF LACTIC ACID,assay of lactic acid,Laboratory,RETROSPECTIVE,2016-07-12,acid,assay,lactic,
1774,HB - VENT SUPPORT-CONV; INITIAL,ventilator support conventional initial,Respiratory Therapy,ONLINE,2016-09-01,ventilator,support,initial,conv
3637,HC OSTOMY BAG 2 PIECE,ostomy bag 2 piece,Supply,RETROSPECTIVE,2016-07-12,ostomy,piece,bag,
44,HOVER CHAIR SIZEWISE RNTL,hover chair sizewise rental,Capital Equipment,RETROSPECTIVE,2016-07-12,rental,chair,hover,sizewise
2221,HCHG CIBA HEMOGLOBIN,ciba hemoglobin,Laboratory,RETROSPECTIVE,2016-07-12,hemoglobin,ceiba,,
1657,POTASSIUM CL 10MEQ/10,potassium chloride 10_milliequivalents/10,Pharmacy,ONLINE,2016-08-29,potassium,cl,10_meq/10,
5357,77074836 - DRESSING FOAM 8X8 MEPILEX AG,dressing foam 8x8 mepilex ag,Supply,RETROSPECTIVE,2016-07-13,foam,dressing,,
4039,INDOMETHACIN 1 MG SOLR 1 EACH VIAL,indomethacin 1_mg solution 1 each vial,Pharmacy,RETROSPECTIVE,2016-07-12,1_mg,vial,solution,
1438,ALTEPLASE 1 MG/ML SOLR,alteplase 1_mg/ml solution,Pharmacy,ONLINE,2016-09-19,solution,alteplase,1_mg/ml,
599,HC IV INFUSION INITIAL WITH MED 1 ST HR ED,intravenous_infusion initial with medication 1 st hour emergency_department,Nursing Services,ONLINE,2016-09-16,hr,med,initial,infusion
4060,EPTIFIBATIDE PER 5MG,eptifibatide per 5_mg,Pharmacy,RETROSPECTIVE,2016-07-12,eptifibatide,5_mg,per,
6639,HCHG CTA CHEST,cta chest,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,chest,cta,,
2714,HC LEVEL-3 NEWBORN INTERMEDIAT,level 3 newborn intermediate,Room and Board,RETROSPECTIVE,2016-07-12,newborn,intermediate,level,
6592,FENTANYL AMP 50MCG/ML 20ML FENTANYL 50 MCG/ML 20 ML VIAL,fentanyl ampule 50 mcg/ml 20 ml fentanyl 50 mcg/ml 20 ml vial,Pharmacy,ONLINE,2016-10-12,mcg,ml,fentanyl,vial
3854,LDH,lactic_dehydrogenase,Laboratory,RETROSPECTIVE,2016-07-12,ldh,,,
4945,HB C MOTOR EVOKED UPPER & LOWER LIMBS,C motor evoked upper and lower limbs,Procedure,RETROSPECTIVE,2016-07-13,upper,limbs,&,lower
3972,HCHG ECHO COLOR FLOW VELOCITY MAP,echocardiogram color flow velocity map,Cardiology,RETROSPECTIVE,2016-07-12,flow,echo,,
4218,DNIU NEO LEVEL 3 MEDIUM,dniu neonatal level 3 medium,Room and Board,RETROSPECTIVE,2016-07-12,neonatal,medium,level,
2332,GLUCOSE  BLOOD BY GMD,glucose blood by glucose_monitioring_device,Monitoring,RETROSPECTIVE,2016-07-12,GMD,bay,blood,glucose
2408,HC GLUCOSE POC,glucose point_of_care,Monitoring,RETROSPECTIVE,2016-07-12,POC,glucose,,
702,HCHG CMA-INTERPRETATION AND REPORT HCHG CMA-INTERPRETATION AND REPORT,cma interpretation and report,Professional Fee,ONLINE,2016-09-16,report,hchg,interpretation,cma
2325,GEM IONIZED CALCIUM,glucagon_emergency_management ionized calcium,Monitoring,RETROSPECTIVE,2016-07-12,calcium,ionized,GEM,
2068,NITRIC OXIDE (SU,nitric oxide supply,Plan Benefit,RETROSPECTIVE,2016-07-12,oxide,supply,nitric,
815,INTRODUCER OR SHEATH NON GUIDE NON LASER,introducer or sheath non guide non laser,Supply,ONLINE,2016-09-16,sheath,non,introducer,or
6420,NACL 0.45% 250ML NACL 0.45% 250 ML BAG,nacl 0.45% 250 ml nacl 0.45% 250 ml bag,Pharmacy,ONLINE,2016-10-06,250_ml,bag,,
2861,OXYGEN SUBSEQUENT HO,oxygen subsequent hospital,Respiratory Therapy,RETROSPECTIVE,2016-07-12,subsequent,hospital,oxygen,
2575,GLUCOMETER-POC,glucometer point_of_care,Monitoring,RETROSPECTIVE,2016-07-12,POC,glucometer,,
4285,HC ANESTHESIA C 4 1/4 HR,anesthesia cap 4 1/4 hour,OR / Anesthesia / Recovery Room,RETROSPECTIVE,2016-07-12,anesthesia,hr, ,
5319,77000547 - SUTURE  3-0 SILK A184H,suture 3 0 silk a184h,Supply,RETROSPECTIVE,2016-07-13,silk,suture,a184h,
4896,FEVERALL 325MG SUP; ACETAMINOPHEN 325 MG SUPP.RECT,feverall 325_mg suppository acetaminophen 325_mg suppository rectal,Pharmacy,ONLINE,2016-08-24,suppository,325_mg,acetaminophen,
1223,SODIUM BICARBONATE 650 MG TABS,sodium_bicarbonate 650_mg tablets,Pharmacy,ONLINE,2016-09-16,bicarbonate,tabs,650_mg,sodium
6081,CR ABDOMEN FLAT UPRIGHT OR DEC,chest radiograft abdomen flat upright or decubitus,Radiology,ONLINE,2016-09-16,cr,abdomen,or,
5630,HB CLARITIN REDITABS,claritin reditabs,Pharmacy,RETROSPECTIVE,2016-07-13,claritin,reditabs,,
6832,NACL 0.9% 500ML NACL 0.9% 500 ML BAG,nacl 0.9% 500 ml nacl 0.9% 500 ml bag,Pharmacy,ONLINE,2016-10-12,bag,500_ml,nacl,
2892,TRANSFUSN BLOOD COMPONENTS 3,transfusion blood components 3,Nursing Services,RETROSPECTIVE,2016-07-12,transfusion,blood,components,
3537,VENT MGMT INPAT SUBQ DAY,ventilator management inpatient subsequent day,Respiratory Therapy,RETROSPECTIVE,2016-07-12,day,,,
82,D5W,dextrose_5%_in_water,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,D5W,,,
691,HCHG ALBUMIN BLOOD HCHG ALBUMIN BLOOD,albumin blood,Laboratory,ONLINE,2016-09-16,albumin,blood,,
6483,ACCESS CENTRAL LINE,access central line,Nursing Services,ONLINE,2016-10-12,access,line,central,
1269,SPONGE 4X4 STERILE 2/PK,sponge 4x4 sterile 2/pack,Supply,ONLINE,2016-09-16,sponge,2/pack,4x4,sterile
2126,SILDENAFIL LIQ 4MG,sildenafil liquid 4_mg,Plan Benefit,RETROSPECTIVE,2016-07-12,sildenafil,liquid,4_mg,
1877,ANS MAC REGIONAL PER MINUTE,anesthesia monitored anesthesia care regional per minute,OR / Anesthesia / Recovery Room,ONLINE,2016-09-16,minute,per,,
1291,SUT ETHILON 2 0 FS 18,suture ethilon 2 0 fs 18,Supply,ONLINE,2016-09-16,ethilon,sut,fast,
1680,TBG IV PUMP BURETTE,tubing intravenous pump burette,Supply,ONLINE,2016-08-29,burette,pump,iv,tbg
2709,CARE/ NURSERY-ICU LEVEL 3,care/nursery intensive_care_unit level 3,Room and Board,RETROSPECTIVE,2016-07-12,nursery,ICU,level,
1596,CANNULA AOR ROOT # 10,cannula aortic root 10,Supply,ONLINE,2016-08-29,cannula,root,aor,
2460,PCT OXYGEN SATURATION VENOUS,point_of_care_test oxygen saturation venous,Monitoring,RETROSPECTIVE,2016-07-12,venous,saturation,point_of_care_test,oxygen
3628,HYDROMORPH 6MG/30ML PCA INJ,hydromorphone 6_mg/30_ml patient_controlled_analgesia injection,Pharmacy,RETROSPECTIVE,2016-07-12,6_mg/30_ml,hydromorph,inj,pca
4465,86810005 - SELF CARE,self care,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,self,care,,
1881,AQUAPHOR OINTMENT 14OZ 1 TUB E,aquaphor ointment 14oz 1 tube e,Supply,ONLINE,2016-09-16,tubing,ointment,,
2414,HC POC LACTIC ACID,point_of_care lactic acid,Monitoring,RETROSPECTIVE,2016-07-12,POC,acid,lactic,
1713,PRISMASOL BGK 2/3.5 INJ 5 000,prismasol bgk 2/3.5 injection 5 000,Pharmacy,ONLINE,2016-08-30,2/3.5,prismasol,inj,bgk
6418,MISC EMOLLIENTS OINT 100GM EMOLLIENT OINTMENT 100 GM TUBE,misc emollients oint 100 gm emollient ointment 100 gm tube,Pharmacy,ONLINE,2016-10-06,ointment,tube,,
4638,GLYCOHEMOGLOBIN (AIC),glycohemoglobin aic,Laboratory,RETROSPECTIVE,2016-07-13,glycohemoglobin,aic,,
6830,NACL 0.9% 150ML NACL 0.9% 150 ML BAG,nacl 0.9% 150 ml nacl 0.9% 150 ml bag,Pharmacy,ONLINE,2016-10-12,bag,nacl,,
3206,HB HOLDER INSTRUMENT SANI STOR 24 IN STRAP,holder instrument sanitizer storage 24 in strap,Supply,RETROSPECTIVE,2016-07-12,holder,sanai,store,strap
6268,FAT EMULSION 20% EMUL 250,fat emulsion 20% emulsion 250,Pharmacy,ONLINE,2016-09-16,20%,emul,fat,
4282,HC CORONARY STENT NON COATED,coronary stent non coated,Implant,RETROSPECTIVE,2016-07-12,stent,non,coated,
867,LEVOFLOXACIN 750 MG TAB,levofloxacin 750_mg tablet,Pharmacy,ONLINE,2016-09-16,750_mg,tab,levofloxacin,
892,MAGNESIUM HYDROXIDE 400 MG/5ML SUSP,magnesium hydroxide 400_mg/5_ml suspension,Pharmacy,ONLINE,2016-09-16,susp,hydroxide,magnesium,400_mg/5_ml
1141,PROTHROMBIN TM,prothrombin_time,Laboratory,ONLINE,2016-09-16,tm,prothrombin,,
6740,HCHG SUTR MONOCRYL 3 0 18L PS 2,suture monocryl 3 0 18l ps 2,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,ps,suture,monocryl,18l
2906,VENIPUNCTURE ROUTINE SPEC,venipuncture routine specimen,Nursing Services,RETROSPECTIVE,2016-07-12,venipuncture,specimen,routine,
4444,77075089 - TUBE FDG ADLT NON WTED 55 10F,tube feeding adult non wted 55 10,Supply,RETROSPECTIVE,2016-07-13,tube,non,adult,
2999,HB KIT HUB ENTRY/CAP CHANGE,kit hub entry/capillary change,Supply,RETROSPECTIVE,2016-07-12,entry,capture,change,hub
4055,WARFARIN 5 MG TABS 1 EAC,warfarin 5_mg tablets 1 each,Pharmacy,RETROSPECTIVE,2016-07-12,5_mg,warfarin,tabs,
1057,PBDS PEDS MINOR,pbds pediatric minor,Supply,ONLINE,2016-09-16,pbds,peds,minor,
6442,POTASSIUM POC NICU ACUTE PANEL A,potassium poc nicu acute panel a,Laboratory,ONLINE,2016-10-06,acute,potassium,panel,
1297,SYS 5 LEAD CABLE & WIRE DUAL,system 5 lead cable and wire dual,Supply,ONLINE,2016-09-16,dual,system,lead,
1985,CANNISTER SUCTION RIGID 1500ML,cannister suction rigid 1500_ml,Supply,ONLINE,2016-09-16,rigid,suction,cannister,1500_ml
1507,INSULIN-LIKE GROWTH FACTOR,insulin like growth factor,Laboratory,ONLINE,2016-09-19,factor,growth,insulin,like
4177,B COMPLEX-VITAMIN  C-FOLI,b complex vitamin cap folic,Pharmacy,RETROSPECTIVE,2016-07-12,complex,board,folic,
411,HB SILDENAFIL CITRATE 10 MG/ML PO SUSR,sildenafil citrate 10_mg/ml by_mouth susr,Plan Benefit,RETROSPECTIVE,2016-07-12,po,susr,sildenafil,citrate
6324,FORMULA: NEOCATE INFANT 10 KCAL/OUNCE PECTIN 2,formula neocate infant 10 kcal/ounce pectin 2,Supply,ONLINE,2016-09-16,infant,ounce,,
3092,RNTL SUCTION WALL DAILY R,rental suction wall daily r,Supply,RETROSPECTIVE,2016-07-12,wall,suction,rental,daily
2772,37799 ARTERIAL LINE DRAW,arterial line draw,Nursing Services,RETROSPECTIVE,2016-07-12,arterial,line,draw,
5426,ALBUTERO/IPRATROPIUM 3ML NEB,albuterol/ipratropium 3_ml nebulizer,Pharmacy,RETROSPECTIVE,2016-07-13,albuterol,nebulizer,ipratropium,3_ml
4279,HC CHEST 1 VIEW PA OR AP ONLY,chest 1 view posterior_anterior operation_room anterior_posterior only,Radiology,RETROSPECTIVE,2016-07-12,chest,view, ,
2055,INH NITR OXID,inhaled nitric oxide,Plan Benefit,RETROSPECTIVE,2016-07-12,inhalation,nioxid,,
188,INFUS D5W 100ML INJ,infusion dextrose_5%_in_water 100_ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,100_ml,injection,infusion,D5W
3244,CARBON DIOXIDE,carbon dioxide,Laboratory,RETROSPECTIVE,2016-07-12,carbon,dioxide,,
2355,GLUCOSE BLOOD STAT ICU,glucose blood stat intensive_care_unit,Monitoring,RETROSPECTIVE,2016-07-12,stat,ICU,blood,glucose
2875,RT SUCTION PER PROC,respiratory_therapy suction per procedure,Respiratory Therapy,RETROSPECTIVE,2016-07-12,RT,suction,procedure,per
5934,SOD PHOSPHATE 15ML 45MM,sodium phosphate 15_ml 45mm,Pharmacy,RETROSPECTIVE,2016-07-13,45mm,phosphate,15_ml,sodium
6730,HCHG RENAL FUNCTION PANEL,renal function panel,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,function,renal,panel,
1595,CALCIUM CARB TAB 1250,calcium carbonate tablet 1250,Pharmacy,ONLINE,2016-08-29,carb,calcium,tab,
4214,BACITRACIN 50MU VL,bacitracin 50mu vial,Pharmacy,RETROSPECTIVE,2016-07-12,50mu,bacitracin,vl,
5291,63719001 - TSH,63719001 thyroid-stimulating_hormone,Laboratory,RETROSPECTIVE,2016-07-13,thyroid-stimulating_hormone,,,
