Original Description,Charge Class,Confidence Score,Matches
HC CHEST 1 VIEW PORTABLE,Radiology,0.87,HC CHEST 1 VIEW
HEMOSTATIC SURGICEL 4X4 FIBRILLAR CELLULOSE *1963,Supply,0.74,HEMOSTAT CELLULOSE (SURGICEL)
HC IMPACT PEPTIDE 1.5 - 250 ML CARTON,Laboratory,0.72,HC PTT
PHENYLEPHRINE 40 KG OR MORE,Pharmacy,0.81,PHENYLEPHRINE 10MG INJ
NICOTINE POLACRILEX 2 MG LOZG,Plan Benefit,0.79,NICOTINE 21MG
ROTEM BASELINE PANEL,Radiology,0.77,US ABDOMEN RETROPERITONEAL
LORAZEPAM 1 MG TAB,Pharmacy,0.83,CLONAZEPAM 0.5 MG TABLET
BACITRACIN 500 UNIT/GRAM OINT 28.35 G TUBE,Pharmacy,0.93,BACITRACIN 500 UNIT/GRAM OINT 14 G TUBE
HC COGN SKILLS DEVELOP SLP,Capital Equipment,0.71,HBC IV SINGLE LINE PUMP
SODIUM CHLORIDE 0.9 % SOLP 250 ML FLEX CONT,Diluent / Flush / Irrigant,1,SODIUM CHLORIDE 0.9% SOLP 250 ML FLEX CONT
HC VENTILATOR 1ST DAY,OR / Anesthesia / Recovery Room,0.91,HCHG VENTILATOR FIRST DAY
HC ABO GROUPING,Laboratory,0.87,ABO GROUP
HC PATIENT INTUBATION,Laboratory,0.79,HEPATIC FUNCTION PAN
HC SEQUENTIAL COMPRESSION SLEEVE,Capital Equipment,0.76,SEQUENT COMPRESSION DEV
HC ABDOMEN 1 VIEW/KUB,Radiology,0.93,HC ABDOMEN 1 VIEW
HC OT EVALUATION,PT / OT / Speech Therapy,0.95,OT EVALUATION
SENNOSIDES 6.8 MG/5 ML SYRP,Pharmacy,0.89,SENNOSIDES 8.8MG/5ML
HC GAIT TRAINING ACUTE PT,PT / OT / Speech Therapy,0.89,HC GAIT TRAINING
SUT NUROLON 4-0 TF CR 8-18 IN *C584D,Supply,0.69,SENSOR FLOTRAC ADLT 84IN
POTASSIUM CHLORIDE 40 MEQ/100 ML PGBK,Pharmacy,0.95,POTASSIUM CHLORIDE 10 MEQ/100 ML PGBK
HC ARTERIAL LINE SUPPLIES,Supply,0.77,HC RT SUPPLIES LEVEL 1
IMP PLATE STR 12MM 2H TL MATRI XNEURO *04.503.062,Laboratory,0.69,PTT
HC SODIUM URINE,Laboratory,0.95,SODIUM  URINE
HC EKG,Professional Fee,0.82,HC EKG PROFEE
STAPLER SKIN WIDE PISTOL *PXW35,Supply,0.82,STAPLER SKIN 35 WIDE
BLANKET BAIR HUGGER LOWER BODY *42568,Supply,0.85,BLANKET BAIR HUGGER UPPER BODY
BURR TOOL TAPERED 8CM X 2.3MM *F2/8TA23,Supply,0.67,DRAPE C ARM
CLIP SCALP RANEY STER DISP *20-1037,Pharmacy,0.72,LIPASE-PROTEASE-AMYLASE 20
HC CBC W AUTO DIFF,Laboratory,1,HC CBC W AUTO DIFF
"SODIUM CHLORIDE 0.9 % SOLP 1,000 ML FLEX CONT",Diluent / Flush / Irrigant,1,SODIUM CHLORIDE 0.9% SOLP 1 000 ML FLEX CONT
HC NEUROMUSCULAR RE-ED ACUTE PT,Laboratory,0.72,HC CULTURE OTHER SOURCE
HC CREATININE URINE,Laboratory,0.88,CREATININE  URINE OR FLD
HC U BENZODIAZEPINE CONFIRMATION,Laboratory,0.82,BENZODIAZEPINESI-
HC TUBING BLOOD/FLUID WARMING,Nursing Services,0.73,LCHG BLOOD DRAW
POTASSIUM CHLORIDE 2 MEQ/ML SOLN 20 ML VIAL,Pharmacy,1,POTASSIUM CHLORIDE 2 MEQ/ML SOLN 20 ML VIAL
SODIUM CHLORIDE 0.9 % SOLP 500 ML FLEX CONT,Diluent / Flush / Irrigant,1,SODIUM CHLORIDE 0.9% SOLP 500 ML FLEX CONT
ONDANSETRON 4 MG/2 ML SOLN,Pharmacy,1,ONDANSETRON 4 MG/2ML SOLN
KIT ICP PROBE 4G CAMINO *110-4G,Laboratory,0.71,CBC
BURR TOOL MATCH HEAD 9CM X 3MM *9MH30,Laboratory,0.69,RH
POTASSIUM CHLORIDE 2 MEQ/ML SOLN 30 ML VIAL,Pharmacy,0.98,POTASSIUM CHLORIDE 2 MEQ/ML SOLN 20 ML VIAL
HC SLP DYSPHAGIA EVALUATION,Laboratory,0.74,HC LIPASE
SODIUM PHOSPHATE 3 MMOL/ML SOLN 15 ML VIAL,Pharmacy,0.99,SODIUM PHOSPHATE 3 MMOL/ML SOLN 5 ML VIAL
HC ED HYDRATION ONLY SUBSEQ HR,Plan Benefit,0.74,HCHG DAILY NO  PER HOUR
HC ED HYDRATION ONLY 1ST HR,Nursing Services,0.77,HC THERAPY INF INITIAL 1ST HR
HC FACIAL BONES SINUSES CT WITHOUT CONTRAST,Nursing Services,0.72,HC BLOOD TRANSFUSION SERVICE 1 UNIT
HC URINE DRUG SCREEN BY TLC,Radiology,0.71,HC FLUORO GUIDE CENT VENOUS DEVICE
HC U OPIATE ID CONFIRMATION,Laboratory,0.77,HEPATIC FUNCTION
HC ETHANOL,Laboratory,0.78,HCT
HC HEMODYNAMIC MONITOR MULT SET DISP,Dialysis,0.75,HC HEMODIALYSIS INPATIENT
HC CENTRAL LINE DRESSING CHG SUPPLIES,Supply,0.88,CENTRAL LINE DRESSING CHANGE
FOLIC ACID 5 MG/ML INJECTION SOLUTION,Pharmacy,0.85,FOLIC ACID 5 MG/ML SOLN
SODIUM CHLORIDE-ALOE VERA TOPICAL GEL,Diluent / Flush / Irrigant,0.81,SODIUM CHLORIDE
POTASSIUM CHLORIDE 20 MEQ/15 ML ORAL LIQUID,Pharmacy,0.91,POTASSIUM CHLORIDE 20MEQ/15ML
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION,Pharmacy,0.8,BUDESONIDE 0.25 MG/2 ML NBSP 2 ML
ABDOMEN AP (KUB),OR / Anesthesia / Recovery Room,1,ABDOMEN AP KUB 
CHOLECALCIFEROL (VITAMIN D3)400 UNIT/ML ORAL DROPS,Pharmacy,0.84,CHOLECALCIFEROL (VITAMIN D
"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION SOLUTION",OR / Anesthesia / Recovery Room,1,HEPARIN PORCINE 1 000 UNIT/ML INJECTION SOLUTION
GLYCERIN (CHILD) RECTAL SUPPOSITORY,Supply,1,GLYCERIN (CHILD) RECTAL SUPPOSITORY
HCHG ECHO CONGENITAL ANOMALY LIM,Cardiology,0.87,ECHO CONGENITAL ANOMALY LTD
HCHG PHOSPHORUS,OR / Anesthesia / Recovery Room,1,HCHG PHOSPHORUS
"IRON, ELEMENTAL 15MG/ML",Pharmacy,1,IRON  ELEMENTAL 15MG/ML
FLORA BABY,Supply,1,FLORA BABY
DNIU NEO LEVEL 3 MEDIUM,Room and Board,1,DNIU NEO LEVEL 3 MEDIUM
CYCLOMYDRIL 2ML,Pharmacy,1,CYCLOMYDRIL 2ML
NEUROMUS PER 15,PT / OT / Speech Therapy,1,NEUROMUS PER 15
OXYGEN BLOCK TIME,Respiratory Therapy,1,OXYGEN BLOCK TIME
MULTIVITAMIN FE 0.5ML,Pharmacy,1,MULTIVITAMIN FE 0.5ML
THER ACT PER 15,PT / OT / Speech Therapy,1,THER ACT PER 15
GLYCERIN CHILD,Pharmacy,1,GLYCERIN CHILD
CAF.CIT 20MG/ML,Pharmacy,1,CAF.CIT 20MG/ML
US ECHOENCEPHGRM PEDI,Radiology,1,US ECHOENCEPHGRM PEDI
HEMOGRAM,Laboratory,1,HEMOGRAM
NACL 2.5MEQ/ML 20ML,Pharmacy,1,NACL 2.5MEQ/ML 20ML
CAR SEAT 60 MIN,Nursing Services,1,CAR SEAT 60 MIN
EVALUATION IV PT,Nursing Services,1,EVALUATION IV PT
PREVNAR 13 0.5ML VACCINE,Pharmacy,1,PREVNAR 13 0.5ML VACCINE
ALCAINE/OPHTHAINE 15ML,Pharmacy,1,ALCAINE/OPHTHAINE 15ML
BASIC MET PANEL CA TOTL,Laboratory,1,BASIC MET PANEL CA TOTL
NEC TRANSPORT SVC,Other,1,NEC TRANSPORT SVC
HAEMOPHB-TET TOX 0.5ML VACC,Pharmacy,1,HAEMOPHB-TET TOX 0.5ML VACC
"ECHO TTE W/DOPPLER, COMPLETE",Cardiology,1,ECHO TTE W/DOPPLER  COMPLETE
DNIU NEC LEVEL 4 HIGH,Room and Board,1,DNIU NEC LEVEL 4 HIGH
PEDIARIXVACC 0.5ML,Pharmacy,1,PEDIARIXVACC 0.5ML
CAR SEAT ADDL 30,Nursing Services,1,CAR SEAT ADDL 30
COMPREH METABOLIC PANEL,Laboratory,1,COMPREH METABOLIC PANEL
PHOSPHORUS,Laboratory,1,PHOSPHORUS
ABSOLUTE RETICS,Laboratory,1,ABSOLUTE RETICS
CALCIUM CARBONATE 1250 MG/,Pharmacy,0.93,CALCIUM CARBONATE 500 MG C
LEVETIRACETAM 100 MG/ML SO,Pharmacy,1,LEVETIRACETAM 100 MG/ML SO
OXCARBAZEPINE 300 MG/5ML S,Pharmacy,0.79,ENOXAPARIN 300 MG/3 ML SOL
HYDRALAZINE HCL 20 MG/ML I,Pharmacy,0.89,HYDRALAZINE 20MG
SODIUM CHLORIDE 0.9 % SOLN,Diluent / Flush / Irrigant,1,SODIUM CHLORIDE 0.9 % SOLN
EPOETIN ALFA 2000 UNIT/ML,Pharmacy,0.95,EPOETIN ALFA 2000 UNIT/ML SOLN
DIPHENHYDRAMINE HCL 12.5 M,Pharmacy,0.85,DIPHENHYDRAMINE 50 MG CAP
FERROUS SULFATE 75 (15 FE),Pharmacy,0.88,FERROUS SULFATE 75 (15 FE) WCH00-0007-57
POTASSIUM CHLORIDE 20 MEQ/,Pharmacy,0.97,POTASSIUM CHLORIDE 2 MEQ/M
SEVELAMER CARBONATE 0.8 G,Pharmacy,0.94,SEVELAMER CARBONATE 800 MG
ALBUMIN HUMAN 25 % IV SOLN,Pharmacy,0.97,ALBUMIN HUMAN 25 % SOLN
SODIUM POLYSTYRENE 15 GM/6,Pharmacy,0.88,SODIUM POLYSTYRENE 30 GRAM
DIPHENHYDRAMINE HCL 50 MG/,Pharmacy,0.89,DIPHENHYDRAMINE 50 MG CAP
LISINOPRIL 1 MG/ML 30 ML B,Pharmacy,0.82,LISINOPRIL 10MG UD
HEPARIN 10 UNIT/ML SOLN 3,Diluent / Flush / Irrigant,1,HEPARIN 10 UNIT/ML SOLN 3
LOSARTAN 2.5 MG/ML 120 ML,Pharmacy,0.81,NACL 2.5MEQ/ML 20ML
IRRIGATION IMPLANTED VAD,Supply,0.71,CLIP STANDARD RIGHT ANGEL
CEFAZOLIN IN STERILE WATER,Pharmacy,0.75,CEFAZOLIN 2G SOLR
STERILE WATER SOLN 10 ML V,Diluent / Flush / Irrigant,0.92,STERILE WATER SOLN
BUMETANIDE 0.25 MG/ML INJ,Pharmacy,0.95,BUMETANIDE 0.25 MG/ML VI
CLONIDINE 0.1 MG/ML 60 ML,Pharmacy,0.79,ZINC CHLORIDE 1MG/1 ML 10ML
CALCITRIOL 1 MCG/ML SOLN 1,Pharmacy,0.77,CALCITRIOL 0.25 MCG CAPS
LABETALOL 40 MG/ML 120 ML,Pharmacy,0.9,LABETALOL 20MG/4ML
CCPD BACK-UP/MAINTENANCE I,Respiratory Therapy,0.72,CPAP
POTASSIUM CHLORIDE 2 MEQ/M,Pharmacy,1,POTASSIUM CHLORIDE 2 MEQ/M
DELFLEX 2.5% DEXTROSE LM/L,Plan Benefit,0.67,SILDENAFIL 2.5MG/ML ORAL SURX
ANESTHESIA-FIRST HALF HOUR,OR / Anesthesia / Recovery Room,0.81,ANESTHESIA
ROCURONIUM BROMIDE 5 MG/ML,Pharmacy,0.91,ROCURONIUM BROMIDE 10MG/ML 5ML
OMEPRAZOLE 2 MG/ML 120 ML,Pharmacy,0.85,OMEPRAZOLE 2 MG/ML SUSP
BLOOD TRANSFUSION PER DAY,Nursing Services,0.91,BLOOD TRANSFUSION
ISTAT BLOOD GAS LYTES H&H,Monitoring,0.74,I-STAT GLUCOSE
ECHO COLOR FLOW,Cardiology,0.85,ECHO COLOR FLOW VELOCITY MAP
PT FUNCTIONAL ACTIVITIES,PT / OT / Speech Therapy,0.81,FUNCTIONAL ACTIVITIES (15
MIDAZOLAM HCL 2 MG/2ML INJ,Pharmacy,0.92,MIDAZOLAM HCL 10MG/2ML INJ
R&B ICU,Room and Board,0.95,R&B NICU
ALBUMIN - CHEM,Laboratory,0.86,*ALBUMIN SERUM
CHLOROTHIAZIDE SODIUM IV S,Pharmacy,0.81,CHLOROTHIAZIDE 28 MG/ML SO
ERGOCALCIFEROL 8000 UNIT/M,Pharmacy,0.78,CHOLECALCIFEROL 1000UNITS/TAB
KETAMINE HCL 10 MG/ML INJ,Pharmacy,0.84,KETAMINE 10 MG/ML SOLN
LIDOCAINE (PRESERVATIVE FR,Laboratory,0.78,C REACTIVE PROTEIN SE
ANESTHESIA-EACH ADDITIONAL,OR / Anesthesia / Recovery Room,0.84,ANESTHESIA EA MIN
ECHO LIMITED PW/CW,Monitoring,0.71,GLUCOMETER-POC
"STAPH AUREUS, METHICILLIN",Laboratory,0.74,HC S AUREUS METHICILLIN RESIST
GLYCOPYRROLATE 0.2 MG/ML I,Pharmacy,0.97,GLYCOPYRROLATE 0.2MG/ML INJ
COMPREHENSIVE METABOLIC PA,Laboratory,0.99,COMPREHENSIVE METABOLIC P
NEOSTIGMINE 1 MG/ML SOLN 1,Pharmacy,0.98,NEOSTIGMINE 1 MG/ML SOLN
PT BRIEF EVAL 15 MIN,PT / OT / Speech Therapy,0.83,PT RE EVAL
HEPARIN LOCK FLUSH 100 UNI,Diluent / Flush / Irrigant,0.99,HEPARIN LOCK FLUSH 100 UNIT
FENTANYL CITRATE 0.05 MG/M,Pharmacy,0.93,FENTANYL CITRATE 0.1 MG
HEPARIN SODIUM (PORCINE) 1,Pharmacy,0.84,HEPARIN SODIUM (UNIT)
OXYGEN THERAPY,Respiratory Therapy,1,OXYGEN THERAPY
MINOXIDIL 2.5 MG TABS 100,OR / Anesthesia / Recovery Room,0.77,AMLODIPINE 2.5 MG TABLET
ECHO COMPLETE PW/CW,Cardiology,0.75,ECHO DOPPLER
ACETAMINOPHEN 240 MG/7.5ML,Pharmacy,0.91,ACETAMINOPHEN 160 MG/5 ML
ACUTE HEPATITIS PROFILE CO,Laboratory,0.86,ACUTE HEPATITIS PANEL
DEXTROSE 5% - NACL 0.9% 5-,Pharmacy,0.86,DEXTROSE 5% AND 0.9% NACL
FUROSEMIDE 10 MG/ML INJ SO,Pharmacy,0.94,FUROSEMIDE 10 MG/ML SOLN
INJ TX/PROPHYLACTIC/DX EA,Plan Benefit,0.7,INH NITR OXID
R&B MEDICAL,Room and Board,1,R&B MEDICAL
ECHO LIMITED 2D+/-M,Pharmacy,0.72,CHLOROTHIAZIDE 28 MG/ML SO
CBC WITH DIFERENTIAL,Laboratory,1,CBC WITH DIFERENTIAL
DEXTROSE 5% - NACL 0.45 %,Pharmacy,0.88,DEXTROSE 5% AND 0.45% NACL
LEVETIRACETAM 500 MG/5ML I,Pharmacy,0.91,LEVETIRACETAM 100 MG/ML SO
TYPE & SCREEN,Laboratory,0.77,ANTIBODY SCREEN
OR LEVEL 4 CHARGE - EACH A,Supply,0.77,FORMULA: ELECARE 24 KCAL/O
CALCIUM IONIZED,Laboratory,1,CALCIUM IONIZED
LEVEL IV (GROSS & MICROSCO,Laboratory,0.76,LEVEL IV-SURG PATH GROSS/MICRO
LORAZEPAM 2 MG/ML INJ SOLN,Pharmacy,0.94,LORAZEPAM 2 MG/ML INJ
PTH INTACT IRMA,Laboratory,0.8,HC PTH INTACT
ECHO CONGENITAL LIMITED 2D,Cardiology,0.83,ECHO CONGENITAL ANOMALY LTD
BLOOD OCCULT,Laboratory,0.81,BLOOD CULTURE (BLD)
INJ TX/PROPHYLACTIC/DX IV,Plan Benefit,0.7,INH NITR OXID
DEXMEDETOMIDINE 100 MCG/ML,Pharmacy,0.97,DEXMEDETOMIDINE 100MCG/ML IN
OR LEVEL 4 CHARGE - FIRST,OR / Anesthesia / Recovery Room,0.73,OR LEVEL 4 FIRST 30 MINUTE
CLOTRIMAZOLE-BETAMETHASONE,Pharmacy,0.75,METRONIDAZOLE 500MG TABLET
PENTAFLUOROPROPANE-TETRAFL,Pharmacy,0.83,HB PENTAFLUOROPROP-TETRAFLUOROETH EX AER
PPF IRRADIATED LEUKOREDUCE,Blood Products,0.72,PLATELET PHER LEUKOREDUCED
RENAL ULTRASOUND,Respiratory Therapy,0.74,NEBULIZER-ULTRASONIC TREATMENT
CT HEAD W/O CONT,Radiology,0.89,CT HEAD WO CONTRAST
CBC COMPLETE,Cardiology,0.77,COMPLETE 2D ECHO
BP RED BLOOD CELLS IRRADIA,Blood Products,0.76,RED BLOOD CELLS - LR - IRR - CKBC
HEMAGLOBIN,Laboratory,0.9,HEMOGLOBIN
CAPD BACK-UP/MAINTENANCE I,Laboratory,0.71,CBC
DUPLEX US VASC ABD OR PELV,Radiology,0.73,U/S ABD VISERAL DOP/PELVIC
DRUG SCREEN QUANTITATIVE O,Laboratory,0.88,DRUG SCREEN QUANT
HCHG SENSITIVITY MIC,OR / Anesthesia / Recovery Room,1,HCHG SENSITIVITY MIC
HCHG VENTILATOR SUBSEQUENT DAY,Respiratory Therapy,1,HCHG VENTILATOR SUBSEQUENT DAY
HCHG C-REACTIVE PROTEIN,OR / Anesthesia / Recovery Room,1,HCHG C REACTIVE PROTEIN
CAFFEINE CITRATED 60 MG/3 ML (20 MG/ML) INTRAVENOUS SOLUTION,Pharmacy,0.91,CAFFEINE CITRATED 60 MG/3 ML (20 MG/ML) ORAL SOLUTION
CHEST 1V,OR / Anesthesia / Recovery Room,1,CHEST 1V
FERROUS SULFATE 15 MG IRON (75 MG)/ML ORAL DROPS,Pharmacy,1,FERROUS SULFATE 15 MG IRON (75 MG)/ML ORAL DROPS
POTASSIUM CHLORIDE 2 MEQ/ML INTRAVENOUS SOLUTION,Pharmacy,1,POTASSIUM CHLORIDE 2 MEQ/ML INTRAVENOUS SOLUTION
PROAIR HFA 90 MCG/ACTUATION AEROSOL INHALER,Pharmacy,0.7,HCTZ/SPIRONOLACTONE ORAL SUSP
HCHG THERAPY FUNCTIONAL 15 MIN,PT / OT / Speech Therapy,0.83,HCHG THERAPY FUNCTIONAL 15 MIN HCHG THERAPY FUNCTIONAL 15 MIN
RX BILLING FOR REV CODE 270,Laboratory,0.7,AEROBIC ORG ID
HCHG ECHO COLOR FLOW VELOCITY MAP,Cardiology,1,HCHG ECHO COLOR FLOW VELOCITY MAP
HCHG EVAL INITIAL LEVEL 2 OT,OR / Anesthesia / Recovery Room,1,HCHG EVAL INITIAL LEVEL 2 OT
HYDROCORTISONE 10 MG TABLET,Pharmacy,0.86,FLUDROCORTISONE 0.1 MG TAB
CEFTAZIDIME 1 GRAM SOLUTION FOR INJECTION,OR / Anesthesia / Recovery Room,0.93,CEFOTAXIME 1 GRAM SOLUTION FOR INJECTION
ABDOMEN AP/DECUB/ERECT,OR / Anesthesia / Recovery Room,0.81,ABDOMEN AP KUB 
DEXTROSE 10 % IN WATER (D10W) INTRAVENOUS SOLUTION,Pharmacy,1,DEXTROSE 10 % IN WATER (D10W) INTRAVENOUS SOLUTION
HCHG CBC AUTO W/AUTO DIFF,Laboratory,1,HCHG CBC AUTO W /AUTO DIFF
HCHG CULTURE AEROBIC ID,OR / Anesthesia / Recovery Room,1,HCHG CULTURE AEROBIC ID
HCHG DUPLEX VENOUS UPPER EXTREMITY BILAT,OR / Anesthesia / Recovery Room,1,HCHG DUPLEX VENOUS UPPER EXTREMITY BILAT
BECLOMETHASONE DIPROPIONATE 40 MCG/ACTUATION AEROSOL INHALER,Laboratory,0.7,HC THROMBOPLASTIN TIME PARTIAL
HCHG THYROID STIMULATING HORM (TSH),Laboratory,0.91,HB THYROID STIMULATING HORMONE (TSH)
HCHG VANCOMYCIN TROUGH,OR / Anesthesia / Recovery Room,1,HCHG VANCOMYCIN TROUGH
MORPHINE 2 MG/ML INTRAVENOUS CARTRIDGE,OR / Anesthesia / Recovery Room,0.98,MORPHINE 4 MG/ML INTRAVENOUS CARTRIDGE
HCHG URINALYSIS AUTO W/O MICRO,Laboratory,0.96,HC URINALYSIS AUTO WO MICRO
HCHG COMPREHENSIVE METABOLIC PANEL,Laboratory,1,HCHG COMPREHENSIVE METABOLIC PANEL
CIPROFLOXACIN 400 MG/200 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,Pharmacy,0.82,CIPROFLOXACIN 400 MG/200 ML PGBK
HCHG ABR-SCREENER,PT / OT / Speech Therapy,0.83,HCHG ABR-SCREENER HCHG ABR-SCREENER
HCHG GRAM STAIN,OR / Anesthesia / Recovery Room,1,HCHG GRAM STAIN
HCHG US ABDOMEN,OR / Anesthesia / Recovery Room,1,HCHG US ABDOMEN
HCHG TRIGLYCERIDES,OR / Anesthesia / Recovery Room,1,HCHG TRIGLYCERIDES
FUROSEMIDE 10 MG/ML ORAL SOLUTION,Pharmacy,0.89,FUROSEMIDE 10 MG/ML SOLN
VANCOMYCIN 5 MG/ML SOLN 0.25 EACH BAG,Pharmacy,0.83,VANCOMYCIN 5 MG/ML SOLN 1 000 ML
ROOM & BOARD SURGICAL ICU,Room and Board,0.79,ROOM & BOARD - NICU LEVEL II
ROOM & BOARD - SEMI PRIVATE,Room and Board,1,ROOM & BOARD - SEMI PRIVATE
CEFEPIME 2 G SOLR,Pharmacy,0.79,CEFEPIME IN DEXTROSE 2 GRA
D-DIMER-QUANT,Laboratory,1,D-DIMER QUANT
METHADONE 1 MG/ML SOLN 1 ML SYRINGE,Pharmacy,0.89,METHADONE 1 MG/ML SOLN
POTASSIUM CHLORIDE 2 MEQ/ML SOLN,Pharmacy,0.98,POTASSIUM CHLORIDE 2 MEQ/ML SOLP
SODIUM CHLORIDE 4 MEQ/ML SOLN,Pharmacy,0.97,SODIUM CHLORIDE 4 MEQ/ML SOLP
HEPARIN ASSAY,Laboratory,1,HEPARIN ASSAY
VANCOMYCIN 5 MG/ML SOLN,Pharmacy,0.95,VANCOMYCIN 50 MG/ML SOLR
ACTICOAT SIN X 16IN #020301,Pharmacy,0.72,BACITRACIN IN 50000 U
CONGENITAL 2D M-MODE ECHO LIMITED,OR / Anesthesia / Recovery Room,0.75,HCHG LIMITED NON CONGENITAL 2D W/ OR W/O MMDE
CIPROFLOXACIN 2 MG/ML SOLN,Pharmacy,0.88,CIPROFLOXACIN 2 MG/ML PGBK
BURN NET BAND 9X12,Laboratory,0.73,BUN
ALBUTEROL (2.5 MG/3ML) 0.083% NEBU 3 ML PLAS CONT,Pharmacy,0.91,ALBUTEROL (2.5 MG/3ML) 0.083% NEBU
LACTOBACILLUS RHAMNOSUS (GG) CAPS 30 EACH BLISTER,Pharmacy,0.85,LACTOBACILLUS RHAMNOSUS (G
FERROUS SULFATE 300 (60 FE) MG/5ML SYRP 5 ML CUP,Pharmacy,0.8,FERROUS SULFATE 15 MG/ML (
GLUCOSE QUANT BLOOD,Laboratory,1,GLUCOSE QUANT BLOOD
FUROSEMIDE 10 MG/ML SOLN 2 ML VIAL,Pharmacy,0.97,FUROSEMIDE 10 MG/ML SOLN 10 ML VIAL
LACTIC ACID-WB,Laboratory,1,LACTIC ACID-WB
PICC ADULT INSERTION TRAY,Pharmacy,0.79,TPN ADULT INJECTION
BUFFY COAT GRAM STAIN STUDY,Laboratory,0.7,CYSTATIN C PLASMA OR SERU
MORPHINE SULFATE (PF) 2 MG/ML SOLN 1 ML CRTRDG-NDL,Pharmacy,0.78,MORPHINE SULFATE 1 MG/ML I
LORAZEPAM 1 MG/0.5ML CONC 0.5 ML SYRINGE,Pharmacy,0.83,LORAZEPAM 2 MG/ML CONC
"HEPARIN 1,000 UNIT/500ML NS",Pharmacy,0.91,HEPARIN 1 000 UNIT/ML SOLN
CHLOROTHIAZIDE 500 MG SOLR 1 EACH VIAL,Pharmacy,0.85,CHLOROTHIAZIDE 28 MG/ML SOLR 1 EACH VIAL
CLINDAMYCIN 18 MG/ML SOLN 50 ML EXTEMP,Pharmacy,0.85,CLINDAMYCIN 18 MG/ML
LINEZOLID 2 MG/ML SOLN,Plan Benefit,0.81,SILDENAFIL 0.8 MG/ML SOLN
CLINDAMYCIN 18 MG/ML SOLN,Pharmacy,0.96,CLINDAMYCIN 150 MG/ML SOLN
ABG W/O2 SAT DIRECT,Laboratory,0.73,ABO
RBC LEUKO DEPLETE IRRADIATE,Blood Products,0.78,RBC LEUKOREDUCED
PLT PHERESIS L DPLT IRR SPLIT,Supply,0.7,HC PLS DIVERTER TIP
PULSE OXIMETRY CONTINUOUS,Monitoring,1,PULSE OXIMETRY CONTINUOUS
ACETAMINOPHEN 120 MG SUPP,Pharmacy,1,ACETAMINOPHEN 120 MG SUPP
THERA ACTIVITY/DYN/FUNC 15 MIN,PT / OT / Speech Therapy,0.79,THER ACT:FUNCT/DYN.EA 15 MIN
ACETAMINOPHEN 120 MG SUPP 12 EACH BOX,Pharmacy,0.93,ACETAMINOPHEN 80 MG SUPP 6 EACH BOX
PANTOPRAZOLE 2 MG/ML SUSP 500 ML BOTTLE,Pharmacy,0.82,PANTOPRAZOLE 4 MG/ML SOLR
TRANSDUCER PATIENT ADULT,Supply,1,TRANSDUCER PATIENT ADULT
DOCUSATE 100 MG/10ML LIQD 10 ML CUP,Pharmacy,0.86,DOCUSATE 100MG/10ML UD LIQUID
SLP THERAPY 15 MIN,PT / OT / Speech Therapy,0.81,MANUAL THERAPY 15 MIN PT
AMYLASE,Laboratory,1,AMYLASE
VANCOMYCIN - CSF,Laboratory,0.92,VANCOMYCIN
RIFAMPIN 600 MG SOLR 1 EACH VIAL,Pharmacy,0.83,MICAFUNGIN 50 MG SOLR 1 EACH VIAL
RIFAMPIN 600 MG SOLR,Pharmacy,0.74,THIAMINE 100 MG/ML SOLN
BRUNSWICK GAUZE PACK,Laboratory,0.72,BUN
THER PROC/THEREX 15 MIN,PT / OT / Speech Therapy,0.83,THERAP EXERCS-15 MIN
NS 250ML,Diluent / Flush / Irrigant,1,NS 250 ML
AMINO ACIDS (PROSOL) 20 % SOLN,Laboratory,0.77,AMINO ACIDS PLASMA
MIDAZOLAM 5 MG/ML SOLN,Pharmacy,1,MIDAZOLAM 5 MG/ML SOLN
SODIUM CHLORIDE 3 % NEBU 15 ML PLAS CONT,Supply,1,SODIUM CHLORIDE 3% NEBU 15 ML PLAS CONT
SUT PROLENE 6-0 24IN BV-1 MONOFL BLUE #8305H,Laboratory,0.7,SELENIUM
POTASSIUM CHLORIDE 20 MEQ/15ML LIQD 473 ML BOTTLE,Pharmacy,0.88,POTASSIUM CHLORIDE 20MEQ/15ML
OT THERAP ACTIV 1 ON 1 EA 15 MINS,PT / OT / Speech Therapy,0.76,THERA DYNAMIC ACT EA 15 MIN
ADL/SELF CARE/LIFE MGMT 15 MIN,PT / OT / Speech Therapy,0.78,SELF CARE/HOME MGMT 15 MIN
INSERT PICC NO PORT/PUMP <5YRS,Procedure,0.78,INSERT PICC PER WO SQ PT 5+YRS
HEPARIN 5000 UNIT/ML SOLN 1 ML VIAL,Pharmacy,0.97,HEPARIN 1 000 UNIT/ML SOLN 10 ML VIAL
ACETAMINOPHEN 80 MG SUPP,Pharmacy,1,ACETAMINOPHEN 80 MG SUPP
CORTISOL,Laboratory,1,CORTISOL
C DIFFICILE TOXIN BY PCR,Laboratory,0.76,HC C DIFF BY PCR
CULTURE BACTERIAL AEROBIC EA ISOL,Laboratory,0.87,CULTURE BACTERIAL BLOOD AE
CULTURE URINE,Laboratory,1,CULTURE URINE
