Original Description,Charge Class,Confidence Score,Matches,Counts
CATH THORACIC RT ANG 32FR 8132,,,,0
LIDOCAINE HCL IV FOR INFUSION 10 MG INJ,Pharmacy,0.83,LIDOCAINE HCL 10 MG,1
GASES BLOOD W CALC O2 SAT,"Laboratory, Monitoring",,"GASES BLOOD O2 DIRECT, BLOOD GAS W CALC 02 SAT, GASES BLOOD O2 SAT",3
"ASPIRIN 81 MG TABLET, CHEWABLE",Pharmacy,0.8220000000000001,"ASPIRIN TAB CHEW 81MG, ASPIRIN 81 MG CHEW, ASPRIN 81MG CHEW TAB, ASPIRIN 81 MG CHEW TAB, ASPIRIN TAB EC 81MG",5
KIT HUMIDIFIER W/ADAPT USP 500,,,,0
SODIUM CHLORIDE PF 0.9 % SOLUTION,"Respiratory Therapy, Diluent / Flush / Irrigant, Supply, OR / Anesthesia / Recovery Room, Pharmacy",,"0.9% SODIUM CHLORIDE 0.9 % SOLN, SOD CHLOR 0.9%, SODIUM CHLOR, SODIUM CHLORI, SODIUM CHLORID, SODIUM CHLORIDE, SODIUM CHLORIDE .9% 1000ML INJ, SODIUM CHLORIDE .9% INJ 1, SODIUM CHLORIDE .9% INJ 2, SODIUM CHLORIDE 0, SODIUM CHLORIDE 0., SODIUM CHLORIDE 0.45%, SODIUM CHLORIDE 0.45% FLUS, SODIUM CHLORIDE 0.9, SODIUM CHLORIDE 0.9 % 0.9, SODIUM CHLORIDE 0.9 % INTRAVENOUS SOLUTION, SODIUM CHLORIDE 0.9 % IV SOLP, SODIUM CHLORIDE 0.9 % SO, SODIUM CHLORIDE 0.9 % SOLN, SODIUM CHLORIDE 0.9 % SOLN 10 ML VIAL, SODIUM CHLORIDE 0.9 % SOLP, SODIUM CHLORIDE 0.9 % SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9%, SODIUM CHLORIDE 0.9% 0.9, SODIUM CHLORIDE 0.9% 0.9 % SOLP, SODIUM CHLORIDE 0.9% 0.9% SOLN, SODIUM CHLORIDE 0.9% 100 ML BA, SODIUM CHLORIDE 0.9% 100ML, SODIUM CHLORIDE 0.9% 100ML IV, SODIUM CHLORIDE 0.9% 10ML SY, SODIUM CHLORIDE 0.9% 250ML I, SODIUM CHLORIDE 0.9% 250ML IV, SODIUM CHLORIDE 0.9% 25ML, SODIUM CHLORIDE 0.9% 50ML, SODIUM CHLORIDE 0.9% 50ML BAG, SODIUM CHLORIDE 0.9% 50ML MB+, SODIUM CHLORIDE 0.9% FLU, SODIUM CHLORIDE 0.9% INJ, SODIUM CHLORIDE 0.9% INJ 10ML, SODIUM CHLORIDE 0.9% IV, SODIUM CHLORIDE 0.9% IVPB  5, SODIUM CHLORIDE 0.9% QS BASE, SODIUM CHLORIDE 0.9% SO, SODIUM CHLORIDE 0.9% SOL, SODIUM CHLORIDE 0.9% SOL 100ML, SODIUM CHLORIDE 0.9% SOLN, SODIUM CHLORIDE 0.9% SOLP, SODIUM CHLORIDE 0.9% SYRG, SODIUM CHLORIDE 0.9% SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9% VIAL 10ML, SODIUM CHLORIDE INJ 0.9%, SODIUM CHLORIDE INJ SODIUM CHLORIDE 0.9%, SODIUM CHLORIDE (PF) 0.9 % SOLN 10ML VIAL, SODIUM CHLORIDE 0.45% SOLP, SODIUM CHLORIDE 0.9 % SOLN 100 ML FLEX CONT, SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 1 000 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 500 ML FLEX CONT, SODIUM CHLORIDE 3 % NEBU, SODIUM CHLORIDE POWD, SODIUM CHLORIDE 3% SOLP, SODIUM CHLORIDE (PF) 3% NEBU 4 ML PLAS CONT, SODIUM CHLORIDE 0.9 % INJECTION 3 ML, SODIUM CHLORIDE 0.9 % NEBU 3 ML BLIST PACK, SODIUM CHLORIDE 0.9% 3ML INHA, SODIUM CHLORIDE 0.9% IV SOLP, SODIUM CHLORIDE 0.9% SOLP 250 ML FLEX CONT, SODIUM CHLORIDE 0 9% SOLN, SODIUM CHLORIDE 7 % NEBU, SODIUM CHLORIDE 0.9% 250ML, SODIUM CHLORIDE 0.9 % SOLN 1 000 ML BOTTLE, SODIUM CHLORIDE 0.9 % SYRINGE, SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION, SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION 100 ML, SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION 150 ML, SODIUM CHLORIDE 0.45 % INTRAVENOUS SOLUTION, SODIUM CHLORIDE 3 % FOR NEBULIZATION",77
FILTER PFT OVL BLU MED,Supply,0.8,FILTER PALL,1
PK CUST HEART PAN SETGS0136,,,,0
SUT PDS 1 36IN CTX Z371T,,,,0
AMIODARONE 200 MG TABLET,"OR / Anesthesia / Recovery Room, Pharmacy",,"AMIODARONE HCL TABLET 200MG, AMIODARONE 200MG TA, AMIODARONE 200MG TAB, FAMOTIDINE 20 MG TABLET, FAMOTIDINE 20 MG TAB, AMLODIPINE 2.5 MG TABLET, IBUPROFEN 200 MG TABLET",7
WARFARIN 7.5 MG TABLET,Pharmacy,0.849,"WARFARIN 3 MG TABS 1 EAC, WARFARIN 10 MG TABS 1 EA, WARFARIN 10 MG TABS, WARFARIN 2 MG TABS, WARFARIN 2.5 MG TABS 1 E, WARFARIN 7.5 MG TABS, WARFARIN 5 MG TABS, WARFARIN 5 MG TABS 1 EAC, 15700232 - WARFARIN 3MG TABLET, 15700242 - WARFARIN 4MG TABLET",10
PREP CHLORAPREP ORNG 26ML 260815 - CSC,Pharmacy,1.0,PREP CHLORAPREP ORNG 26ML 260815 - CSC,1
CONNECTOR STR 3/8X0.5IN EC2145S,,,,0
DIAZEPAM 5 MG TABLET,"OR / Anesthesia / Recovery Room, Pharmacy",,"CLONAZEPAM 0.5 MG TABLET, DIAZEPAM 5MG INJ, ZOLPIDEM 5 MG TABLET, AMLODIPINE 2.5 MG TABLET, DIAZEPAM 5 MG TABLET",5
SUT SOFSILK -1- V-26 30IN VS845,,,,0
HCHG SET IV TUBE CUST ADLT (AKA 302546),,,,0
"ASPIRIN 81 MG TABLET, DELAYED RELEASE (E.C.)",,,,0
MOISTURIZER MOUTH .5 OZ TUBE,,,,0
POC HEMATOCRIT,"Laboratory, Monitoring",,"BLD# HEMATOCRIT, HB HEMATOCRIT, HC HEMATOCRIT, POC HEMATOCRIT, POC-HEMATOCRIT (HCT) GEM, POCT HEMATOCRIT, TC HEMATOCRIT (EPOC), HEMATOCRIT, HB POC HEMATOCRIT",9
DRSG THERABOND 3D ISLAND 4X14 CUSTOM 3DAIXS-414,,,,0
G-WIRE J 3MM .035X260CM,,,,0
"IV INFUSION, ADDL SEQ UP TO 1 HR",Nursing Services,0.88,"HCHG IV INFUSION EA ADDL HOUR, IV INFUSION  ADDL SEQ UP TO 1 HR, IV INFUSION EAADDL HOUR, IV INFUSION DRUG UP TO 1H",4
SET CARDIOPLEGIA,Pharmacy,0.87,CARDIOPLEGIA SOL,1
CAP PROTECT PORT REGARD PER STRIP,,,,0
GZE SPONGE 2INX2IN 8-PLY,Supply,1.0,GZE SPONGE 2INX2IN 8-PLY,1
SEVO EA ADDL 30MIN,OR / Anesthesia / Recovery Room,0.858,"REC RM EA ADD 30 MIN, ANES ADD 30 MIN, ANES LV 3 EA ADD MIN, OR LEV 4 EA ADD MIN, SEVO EA ADDL 30 MIN",5
HCHG CUFF BP ADLT REG SOFT 1 TUBE (AKA 243450),Supply,0.8,CUFF BP ADLT REG SOFT 1 TUBE,1
DILTIAZEM 5 MG/ML SOLUTION,Pharmacy,0.855,"DIAZEPAM 5 MG/5 ML SOLN, DIAZEPAM 5 MG/ML SOLN",2
PHENYLEPHRINE HCL UP TO 1 ML INJ,Pharmacy,0.8783333333333334,"PHENYLEPHRINE 10 MG/ML SOLN, PHENYLEPHRINE 10MG INJ., PHENYLEPHRINE INJ, PHENYLEPHRINE 10MG INJ, PHENYLEPHRINE HCL UP TO 1 ML INJ, PHENYLEPHRIN 1ML INJ",6
D DIMER QUANTITATIVE,Laboratory,0.87,"D-DIMER QUANT, D-DIMER  QUANT",2
HCHG SENSOR BIS XP 186-0106 (AKA 133768),,,,0
INJ IVP EA ADDL SEQ NEW DRUG,Nursing Services,1.0,INJ IVP EA ADDL SEQ NEW DRUG,1
RECOVERY PER 30 MINUTES,OR / Anesthesia / Recovery Room,0.8,RECOVERY ROOM 1ST 30MIN,1
MANNITOL 25% IN 50 ML INJ,Pharmacy,0.87,MANNITOL 50ML,1
PK CUST CARDIO CO35 ONLY CV0188,Supply,0.81,PK CUST MINOR CARDIO CO35 ONLY CV0190 - CSC,1
SUT POLYSORB 3-0 30IN C-16 U/D SL696,Supply,0.83,SUT POLYSORB 2-0 GS-21 U/D 36IN CL953,1
DRAPE IOBAN INCISE ANTIMIC 23X17IN 6650EZ - CSC,,,,0
LOVASTATIN 20 MG TABLET,,,,0
ALPRAZOLAM 0.5 MG TABLET,,,,0
HEMOSTATIC GELFOAM LG SZ 100 9034201 - CSC,,,,0
SUPPORT THOR BRA SZ 38DD-52DD,,,,0
DILTIAZEM 100 MG PIGGYBACK,,,,0
SET AND TUBE BABY SAFE RESUS,,,,0
PK CUST CARDIAC CATH,,,,0
PT GAIT TRAIN 1 OR > AREAS EA 15M,PT / OT / Speech Therapy,1.0,PT GAIT TRAIN 1 OR > AREAS EA 15M,1
OR LEVEL 5 INITIAL 30 MINUTES,OR / Anesthesia / Recovery Room,0.8383333333333334,"OR LEVEL 2 FIRST 30 MINUTES, OR LEVEL 3 FIRST 30 MINUTES, OR LEVEL 4 FIRST 30 MINUTES, OR LEVEL 5 FIRST 30 MINUTE, OR LEVEL 5 EA ADDTL 30 MINUTES, OR LEVEL 5 INITIAL 30 MINUTES",6
PERFUSION CELL SAVER-EA UNIT,,,,0
SOL IV NORMOSOL R PH7.4 07670-09 - CSC,,,,0
LIDOCAINE 1 % SOLUTION 20 ML VIAL,Pharmacy,0.8233333333333334,"LIDOCAINE (PF) 1 % SOLN, LIDOCAINE 1 % SOLN, LIDOCAINE BOLUS IN 10, LIDOCAINE 2% GEL10ML, LIDOCAINE 1% 20 ML INJ, LIDOCAINE PF 2% SOLUTION 5 ML VIAL",6
ELCTRD 500 MT FOAM MONITORING,,,,0
CROSSMATCH IMMEDIATE SPIN EA,Laboratory,0.97,CROSSMATCH IMMEDIATE SPIN,1
DRSG THERABOND ISLAND 2X2IN 3DA1-22 - CSC,,,,0
HCHG CIRCUT BREATH ISOFLEX ADLT 108 EXPAND BAG,Supply,0.87,CIRCUT BREATH ISOFLEX ADLT 108 EXPAND BAG 3L LF,1
KT CLEAN TRACH CARE 14FR 54CM GRN W/NACL,,,,0
HCHG MASK ANES FACE ADLT LG (AKA 34227),,,,0
SUT SURGIPRO 4-0 CV-23 36IN VP557X - CSC,,,,0
CANNULA DUAL VENOUS TF293702,Supply,0.8,CANNULA VNS DL STG 29/37,1
IV START KIT W/CHLORAPREP SEPP SPLIT TAIL,,,,0
MRSA AMPLIFIED PROBE,,,,0
KIT CNTRL HAND AT P65,,,,0
CANNULA SMART CAPNOLINE ADULT,,,,0
CABLE PACING FAS LOC BG FL-601-97,,,,0
"IV INFUSION,TX,PROPH,DX INIT UP TO",Nursing Services,1.0,IV INFUSION  TX  PROPH  DX INIT UP TO,1
BLD ELCTRD EXTENDED COATED E1450-6 - CSC,,,,0
PT EVAL UP TO 30M,PT / OT / Speech Therapy,0.9199999999999999,"PT EVALUATION, OT EVAL UP TO 30M, PT EVAL UP TO 30M",3
TUBE SALEM SUMP 16FR 48IN,Supply,0.89,TUBE SALEM SUMP 18FR DISP,1
DRAPE WARMER SGL LF 44X44IN ORS-100,,,,0
AZTREONAM 500 MG INJ,Pharmacy,0.82,MEROPENEM 500 MG INJ,1
CARDIAC OUTPUT MEASUREMENT,,,,0
SYR NEEDLE MAGELLAN 3ML,,,,0
BLADE LARYNGOSCOPE MAC 3,,,,0
THERAPEP PULMONARY THERAPY SYS,,,,0
FUROSEMIDE 10 MG/ML INJECTION SOLUTION,"OR / Anesthesia / Recovery Room, Pharmacy",,"FUROSEMIDE 10 MG/ML SOLN, FUROSEMIDE 10 MG/ML SOLN 1, FUROSEMIDE 10 MG/ML INJ 2ML, FUROSEMIDE 10 MG/ML INJECTION SOLUTION, MORPHINE 15 MG/ML INJECTION SOLUTION, FUROSEMIDE 20 MG INJ, METHADONE 10 MG/ML INJECTION SOLUTION, MORPHINE 10 MG/ML INJECTION SOLUTION",8
VENOUS DUPLEX LOWER EXT COMP BI,,,,0
CLIP LGTN HORIZON MED TTNM 24 002204,,,,0
ELCTRD ADULT QUIK COMBO 2516M - CSC,,,,0
METOPROLOL TARTRATE 25 MG TABLET,Pharmacy,0.9440000000000002,"METOPROLOL TARTRATE 25 MG TABS, METOPROLOL 25MG TAB, METOPROLOL TARTRATE 12.5 MG TABLET, METOPROLOL TARTRATE 25 MG TABLET, METOPROLOL TARTRATE 50 MG TABLET",5
BLD MICRO SHARP 15DEG 5MM BEAVER 377515,,,,0
CATH THORACIC STR 32FR 8032 - CSC,,,,0
*CBC AUTOMATED WO DIFF,Laboratory,0.8566666666666666,"HC CBC AUTO WO DIFF, *CBC AUTOMATED WO DIFF, *CBC W AUTO DIFF, CBC W AUTO DIFF, CBC W AUTOMATED DIFF (CBCD, CBC WITH AUTOMATED DIFF",6
CEFAZOLIN 1 GRAM RECON SOLN,Pharmacy,0.815,"CEFAZOLIN 2G SOLR, CEFAZOLIN 1 G VL",2
DILTIAZEM 100 MG RECON SOLN,,,,0
PT THER EXER 1 OR > AREA EA 15M,PT / OT / Speech Therapy,0.985,"OT THER EXER 1 OR> AREA EA 15M, PT THER EXER 1 OR > AREA EA 15M",2
MARKER SKN W/RULER REG TIP 31145777,Supply,1.0,MARKER SKN W/RULER REG TIP 31145777,1
DRAPE BRACHIAL ANGIO 44X31IN,,,,0
OR LEVEL 5 EA ADDTL 30 MINUTES,OR / Anesthesia / Recovery Room,0.8400000000000001,"OR LEVEL 2 ADD'L 15 MINUTES, OR LEVEL 3 ADD'L 15 MINUTES, OR LEVEL 4 ADD'L 15 MINUTES, OR LEVEL 5 ADD'L 15 MINUTE, OR LEVEL 5 FIRST 30 MINUTE, OR LEV 4 EA ADD MIN, OR LEVEL 5 EA ADDTL 30 MINUTES, OR LEVEL 5 INITIAL 30 MINUTES",8
SUT SURGIPRO 2-0 30IN V-20 BLU VP833,,,,0
AMINOCAPROIC ACID 5 GM INJ,"OR / Anesthesia / Recovery Room, Pharmacy",,"AMINOCAPROIC ACID 5GM/20ML INJ, AMINOCAPROIC ACID 5000MG/, AMINOCAPROIC ACID 250 MG/ML SOLN 20 ML VIAL, AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION",4
EXT SET PRESSURE INFUSE 7IN ROT LUER MICROCLAVE,Supply,1.0,EXT SET PRESSURE INFUSE 7IN ROT LUER MICROCLAVE,1
"BISACODYL 5 MG TABLET, DELAYED RELEASE (E.G.)",,,,0
"ALBUMIN, HUMAN 25 % PARENTERAL SOLUTION","OR / Anesthesia / Recovery Room, Pharmacy",,"ALBUMIN HUMAN 25 % SOLN, ALBUMIN HUMAN 5% SOLN, ALBUMIN HUMAN 25% SOLP, ALBUMIN HUMAN 25 % INTRAVENOUS SOLUTION, ALBUMIN HUMAN 5 % INTRAVENOUS SOLUTION",5
ACIST MANIFOLD KIT,,,,0
HCHG SET IV ADMIN 2ND 20 GTT W/SPIN (AKA 212438,,,,0
HCHG SET IV EXT 2-W N-NDL PORT (AKA 212379),Supply,0.86,SET IV EXT2-W N-NDL PORT,1
TUBING PRESSURE MONITOR 24IN,,,,0
SENSOR OXIMETRY NEONATAL,Supply,1.0,SENSOR OXIMETRY NEONATAL,1
FAMOTIDINE 20 MG INJ,Pharmacy,0.865,"FASMOTIDINE PRE 20MG/, FAMOTIDINE 20 MG TABLET, FAMOTIDINE 20 MG TAB, FAMOTIDINE 20MG TAB U/D, FAMOTIDINE 20MG/2ML, FAMOTIDINE 10 MG/ML SOLN, FAMOTIDINE 20 MG TABS, FAMOTIDINE 20 MG/2 ML INJ",8
WHITE PETROLATUM-MINERAL OIL 83-15% OINTMENT 3,OR / Anesthesia / Recovery Room,0.88,"WHITE PETROLATUM MINERAL OIL 83% 15 % EYE OINTMENT, WHITE PETROLATUM MINERAL OIL TOPICAL CREAM",2
SOL IRRIG SALINE 1000ML 07138-09 - CSC,Diluent / Flush / Irrigant,0.8,SOL IRRIG SALINE 0.9% 1000ML BOTTLE 2F7124 - CS,1
SET AUTO TRANSFUSION AT 1,,,,0
EVAL AND DRSG CHANGE INITIAL,,,,0
*HEMOGLOBIN A1C GLYCATED,Laboratory,0.8775,"HEMOGLOBIN GLYCOSYLATED A1, HEMOGLOBIN, HEMOGLOBIN ALC, *HEMOGLOBIN A1C GLYCATED",4
DEXTROSE 5% - SODIUM CHLORIDE 0.9% PARENTERAL S,Pharmacy,0.97,DEXTROSE 5% - SODIUM CHLORIDE 0.45% PARENTERAL,1
IRRIG SOL IV NACL 9 PERC 500ML,,,,0
SUT SURGIPRO II 6-0 30IN CV-11 D/A BLU VP706MX,,,,0
NDL REG BVL 27GA .5IN 305109,,,,0
CANNU AORTIC ROOT/12G VENT 21012,,,,0
HCHG CATH SUCT GRAD ST PED 6FR (AKA 110071),,,,0
URINE PRESUMPTIVE ID,,,,0
APPLICATOR CHLOROPREP 10.5 260725,,,,0
OXYGENATOR TUBING PACK,,,,0
ARTERIAL CVP MONITORING,Monitoring,0.82,END-TITAL C02 MONITORING,1
SEVO FIRST 30 MIN,OR / Anesthesia / Recovery Room,0.94,"ANES FIRST 30 MIN, SEVO FIRST 30 MIN",2
CATH INFNTI VNT 5FR PIG 110CM,,,,0
OXIMETRY CATHETER,Monitoring,0.815,"OXIMETRY, OXIMETRY CONTI",2
FOGARTY SOFTJAW INSERT 86MM SOFT86,,,,0
PK CUST CARDIO DRAPE CO35 ONLY CV0189,Supply,0.8,PK CUST MINOR CARDIO CO35 ONLY CV0190 - CSC,1
CLIP LGTN HORIZON RED 001205,,,,0
SET IV GRAVITY 20 GTT W/CHECK,Supply,0.83,SET IV ADMIN 20 GTT W/CHECK,1
HCHG SET IV TUBE CUST PED (AKA 302545),,,,0
FILTER ANTI REFLUX EX,,,,0
CARDIOBLATE BP2 ABLATION DEVICE 60831,,,,0
CATH RED RUBBER 20FR 94200 - CSC,,,,0
"ASPIRIN 325 MG TABLET, DELAYED RELEASE (E.C.)",Pharmacy,0.81,ASPIRIN 325 MG TABS,1
ADAPTER CORONARY Y-TYPE 10004,,,,0
CANISTER SUCTION RED 1500 CC,Supply,0.83,CANISTER SUCTION LINER-956,1
METOCLOPRAMIDE HCL (REGLAN) INJECTION 10 MG,Pharmacy,0.805,"METOCLPRAMIDE TA 10MG, METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN",2
MAGNESIUM HYDROXIDE 400 MG/5 ML SUSPENSION,Pharmacy,0.9099999999999999,"MAGNESIUM HYDROXIDE 400 MG/5ML SUSP, MAGNESIUM HYDROXIDE 400 MG/5 ML SUSP, MAGNESIUM HYDROXIDE 400, MAGNESIUM HYDROXIDE 30ML SUSP",4
CLAMP SURG SPRING 6MMX0.25IN G6054,,,,0
TRAY IRRIGATION FOLEY 70CC SYR,Supply,0.8,TRAY IRRIGATION 2-PC BULB SYR.,1
TRAY SUT REMOVE,Supply,0.89,"TRAY SUTURE, TRAY STAPLE REMOVE, TRAY SUT REMOVE",3
PK BUNDLE DRESSING CHNG PICC,,,,0
ACETAMINOPHEN 160 MG/5 ML SUSPENSION,Pharmacy,0.8727272727272727,"ACETAMINOPHEN 120 MG SUPP, ACETAMINOPHEN 10 MG/ML SOL, ACETAMINOPHEN 1000MG/100ML INJ, ACETAMINOPHEN 160 MG/5 ML, ACETAMINOPHEN 160 MG/5 ML SUSP, ACETAMINOPHEN 160 MG/5 ML SUSP 2.5 ML SYRINGE, ACETAMINOPHEN 160 MG/5 ML SUSP 3.75 ML SYRINGE, ACETAMINOPHEN 80 MG SUPP, ACETAMINOPHEN 320 MG/ML SO, ACETAMINOPHEN 32 MG/ML SUSP, ACETAMINOPHEN 160 MG/5ML SOLN",11
TSH THYROID STIMULATING HORMONE,Laboratory,0.87,"HC THYROID STIMULATING HORMONE, TSH-THYROID STIM HORMONE",2
PAD TEMP DISP T-PUMP 13X18IN,,,,0
CABLE PACING FAS LOC BLU FL-601-97B,,,,0
CARDIAC OUTPUT MEASUREMENT SUBSEQ,,,,0
SUSCEPT MIC PER PLATE,,,,0
RESERVOIR JACKSON PRATT 100ML 0070740 - CSC,,,,0
HCHG SET EXT 7IN W/OPT LOCK NON (AKA 221746),,,,0
BLADE CLIPPER FIXED HEAD DISP,,,,0
ADAPTER 3PORT 2CLAVE BONDED,,,,0
BAND CMPRSN RAD LNG 27CM,,,,0
SUT TICRON 2/0 BLU 48 V-20 8886312951,,,,0
"BACITRACIN 50,000 UNIT RECON SOLN",Pharmacy,0.8699999999999999,"BACITRACIN 50 000 UNIT SOLR 1 EACH VIAL, BACITRACIN ZINC 500 UN/G OINT, BACITRACIN 50 000 UNIT INJ, BACITRACIN 50 000 UNIT RECON SOLN, BACITRACIN IN 50000 U",5
TOWEL BLU 6PK REGARD 236353 - CSC,Supply,1.0,TOWEL BLU 6PK REGARD 236353 - CSC,1
GZE TYPE VII 4INX4IN 12-PLY ST,Supply,1.0,GZE TYPE VII 4INX4IN 12-PLY ST,1
ANTIBODY SCREEN RBC EACH SERUM,Laboratory,0.8640000000000001,"HC ANTIBODY SCREEN RBC EA SERUM, ANTIBODY SCR, ANTIBODY SCREEN, ANTIBODY SCREEN EACH TECHNIQUE, ANTIBODY SCREEN RBC EACH SERUM",5
KIT START IV SPLIT TAIL DRSG REGARD,Supply,1.0,KIT START IV SPLIT TAIL DRSG REGARD,1
CARTRIDGE HR ACT,,,,0
STAPLE SKIN MULTIFIRE PREMIUM 1-USE 35W 59037,,,,0
ANESTHESIA TIME FIRST 30 MIN,OR / Anesthesia / Recovery Room,0.8624999999999999,"ANESTHESIA, ANESTHESIA EA MIN, ANESTHESIA TIME EA ADDL 30 MIN, ANESTHESIA TIME FIRST 30 MIN",4
SUT TICRON 2-0 36IN V-20 D/A BLU 8886325151,,,,0
CANNULA IMA 1MM 31001,,,,0
SPIROMETRY W/WO MAX VOLUNTARY VNT,,,,0
ED VISIT CARE LEVEL 5,,,,0
*LIPID PANEL,Laboratory,0.97,"HC LIPID PANEL, LIPID PANEL",2
FELT PTFE THCK 1.6MMX2.5X10.2CM 007968,,,,0
SPNG KITTNER W/SPNG HOLDER 30-101 - CSC,,,,0
DRAIN CHEST WATER SEAL 3600100 - CSC,,,,0
ELECTROLYTE R - PH 7.4 PARENTERAL SOLUTION,Laboratory,0.8,ELECTROLYTE PANEL,1
DRAPE ULTRASOUND PROLIE,Supply,0.95,DRAPE ULTRASOUND PROLIE 3687,1
CARTRIDGE HDR,,,,0
"EPINEPHRINE 1 MG/ML (1:1,000) (1ML) SOLUTION","OR / Anesthesia / Recovery Room, Pharmacy",,"EPINEPHRINE 1 MG/ML SOLN, EPINEPHRINE 1 MG/ML SOLN 3, EPINEPHRINE 1 MG/1 ML PF INJ, EPINEPHRINE 1:1 000 1 MG (, EPINEPHRINE 1 MG/ML SOLN 30 ML VIAL, EPINEPHRINE 1 MG/ML 1 1 000 INJECTION SOLUTION",6
HCHG PAD TEMP DISP T-PUMP 13X18IN (AKA 267295),,,,0
GARMENT FOOT COMP REG 12IN,,,,0
SUT POLYSORB 4-0 30IN P-14 U/D SL5678,,,,0
HCHG CASSETTE FLD WRM FLW RNGR STD (AKA 60113),,,,0
ONDANSETRON (ZOFRAN) 4 MG/2 ML INJECTION 4 MG,"OR / Anesthesia / Recovery Room, Pharmacy",,"ONDANSETRON 4 MG/2 ML INJ, ONDANSETRON 4MG/2ML INJ, ONDANSETRON HCL PF 4 MG/2 ML INJECTION SOLUTION",3
ARM BOARD IV FLEXIBLE ADULT,Supply,1.0,ARM BOARD IV FLEXIBLE ADULT,1
SET IV ADMIN 2ND 20 GTT W/SPIN,Supply,0.915,"SET IV ADMIN 20 GTT W/CHECK, SET IV ADMIN 2ND 20 GTT W/SPIN",2
VERAPAMIL 2.5 MG/ML SOLUTION,Pharmacy,0.8300000000000001,"LORAZEPAM 1:4 0.5 MG/ML SOLN, LORAZEPAM 2 MG/ML SOLN, VERAPAMIL 2.5 MG/ML SOLN 2 ML VIAL",3
DRAIN CHANNEL 19FR RND FLTD TROC 72191 - CSC,,,,0
CULTURE URINE BACTERIAL QUANT CNT,Laboratory,0.81,"CULTURE URINE COL COUNT, CULTURE URINE",2
GOWN MICROCOOL ST XL 92342,,,,0
WARFARIN 10 MG TABLET,Pharmacy,0.8427272727272729,"WARFARIN 3 MG TABS 1 EAC, WARFARIN 10 MG TABS 1 EA, WARFARIN 10 MG TABS, WARFARIN 2 MG TABS, WARFARIN 2.5 MG TABS 1 E, WARFARIN 7.5 MG TABS, WARFARIN 5 MG TABS, WARFARIN 5 MG TABS 1 EAC, 15700232 - WARFARIN 3MG TABLET, 15700242 - WARFARIN 4MG TABLET, BACLOFEN 10 MG TABLET",11
"PHENOL 1.4 % AEROSOL, SPRAY 20 ML BOTTLE",,,,0
CANNULA AORTIC EZ GLIDE 24FR EZS24TA,,,,0
STATELOCK DEVICE FOLEY ADULT,,,,0
KIT SHEATH INTRO PERCUT 8.5FR,,,,0
OXYGEN SETUP,"Respiratory Therapy, Supply",,"HC OXYGEN O2 SET UPDEVICES, OXYGEN, OXYGEN PER HOUR, OXYGEN PER SHIFT, OXYGEN THERAPY, OXYGEN USE/DAY, OXYGEN SETUP",7
ANESTHESIA TIME EA ADDL 30 MIN,OR / Anesthesia / Recovery Room,0.86,"ANESTHESIA, ANESTHESIA EA MIN, ANESTHESIA TIME EA ADDL 30 MIN, ANESTHESIA TIME FIRST 30 MIN",4
SUT SOFSILK #1 PRE-CUT 12X30IN S317,Supply,0.82,SUT SOFSILK 2-0 PRE-CUT 12X18IN S195-CSC,1
HCHG SET EXT MINIBORE 1.8ML 60IN (AKA 84456),,,,0
CEFAZOLIN SODIUM 500 MG INJ,Pharmacy,0.868,"CEFAZOLIN 500MG/5ML INJ, CEFAZOLIN SODIUM 500 MG INJ, CEFAZOLIN 500 MG INJ, CEPAZOLIN 500MG INJ, CEFAZOLIN 500MG INJ",5
ABO BLOOD TYPING,Laboratory,0.8533333333333333,"BLD TYPING RH D, BLOOD TYPING ABO 1, BLOOD TYPING RH D, HC ABO TYPING, RH (D) BLOOD TYPING, ABO BLOOD TYPING, ABO TYPING, LAB BLOOD TYPING ABO, LAB BLOOD TYPING RH",9
XR CHEST 2 VIEWS,Radiology,0.8355555555555556,"HC CHEST 2 VIEW, XR CHEST 1 VIEW FRONTAL, CHEST 1 VW, HC XR CHEST 1 VIEW, XR CHEST 1V, XR CHEST 1 V, CHEST 1 VIEW, CHEST 2 VW, HB CHEST- 2 VIEWS",9
HCHG TUBE TRACH TAPER GUARD 7.5 EVAC (AKA 24170,,,,0
"VANCOMYCIN 1,000 MG RECON SOLN 1 EACH VIAL",Pharmacy,0.885,"VANCOMYCIN 500 MG SOLR 1 EACH VIAL, VANCOMYCIN 1 000 MG SOLR 1 EACH VIAL",2
