descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS
86921000 - NO CHARGE OT SCREENING	Implant/Supply	1.0	0.0	0.0	no charge occupational_therapy screening	PT / OT / Speech Therapy
86952000 - REFUSAL OF THERAPY	Implant/Supply	1.0	0.0	0.0	refusal of therapy	PT / OT / Speech Therapy
86961500 - MT- BEH HLTH ASSESS/15 MIN	Implant/Supply	1.0	0.0	0.0	behavioral health assessment/15 minutes	PT / OT / Speech Therapy
86961520 - MT-BEH HLTH INTERVENTION/15MIN	Implant/Supply	2.0	0.0	0.0	behavioral health intervention/15_minutes	Other
87848000 - RE-EVAL NON-BILL STAT PT	Implant/Supply	1.0	0.0	0.0	re evaluation non billable stat physical_therapy	PT / OT / Speech Therapy
87849000 - RE-EVAL NON-BILL STAT OT	Implant/Supply	1.0	0.0	0.0	re evaluation non billable stat occupational_therapy	PT / OT / Speech Therapy
89155000 - MODIFIED BARIUM SWALLOW	PT/OT/Speech	1.0	553.0	553.0	modified barium swallow	Radiology
89156000 - TREATMENT/SWALLOWING	PT/OT/Speech	1.0	199.0	199.0	treatment/swallowing	PT / OT / Speech Therapy
89295000 - MOD BARIUM SWALLOW-2 SPEECH TH	PT/OT/Speech	1.0	553.0	553.0	modified barium swallow 2 speech therapy	Radiology
89298000 - PATIENT EDUC EA 15 MINUTES	Implant/Supply	1.0	0.0	0.0	patient education each 15_minutes	Education / Training
89299000 - BEDSIDE EVAL SWAL/1 SP THERAPI	PT/OT/Speech	1.0	559.0	559.0	bedside evaluation swallow/1 speech therapist	PT / OT / Speech Therapy
89314002 - VOICE EVAL 1-20%	PT/OT/Speech	1.0	0.01	0.01	voice evaluation 1 20%	PT / OT / Speech Therapy
89315002 - VOICE GOAL 1-20%	PT/OT/Speech	1.0	0.01	0.01	voice goal 1 20%	PT / OT / Speech Therapy
89316002 - VOICE D/C 1-20%	PT/OT/Speech	1.0	0.01	0.01	voice discharge 1-20%	PT / OT / Speech Therapy
89317002 - SWALLOW EVAL 1-20%	PT/OT/Speech	1.0	0.01	0.01	swallow evaluation 1 20%	PT / OT / Speech Therapy
89317003 - SWALLOW EVAL 20-40%	PT/OT/Speech	1.0	0.01	0.01	swallow evaluation 20 40%	PT / OT / Speech Therapy
89317007 - SWALLOW EVAL 100%	PT/OT/Speech	1.0	0.01	0.01	swallow evaluation 100%	PT / OT / Speech Therapy
89318001 - SWALLOW GOAL 0%	PT/OT/Speech	1.0	0.01	0.01	swallow goal 0%	PT / OT / Speech Therapy
89318002 - SWALLOW GOAL 1-20%	PT/OT/Speech	1.0	0.01	0.01	swallow goal 1 20%	PT / OT / Speech Therapy
89318004 - SWALLOW GOAL 40-60%	PT/OT/Speech	1.0	0.01	0.01	swallow goal 40 60%	PT / OT / Speech Therapy
89319002 - SWALLOW D/C 1-20%	PT/OT/Speech	1.0	0.01	0.01	swallow discharge 1-20%	PT / OT / Speech Therapy
89334014 - IP SPEECH EVAL/VOICE	PT/OT/Speech	1.0	540.0	540.0	inpatient speech evaluation/voice	PT / OT / Speech Therapy
92365680 - PICC PLACEMENT > 5 YRS OLD	OR Services	1.0	2751.0	2751.0	peripherally_inserted_central_catheter placement greater_than 5 years_old	Procedure
93000004 - IP-WOUND CARE VISIT	Implant/Supply	1.0	0.0	0.0	inpatient wound care visit	Nursing Services
97000006-HC GAIT TRAINING THERAPY EA 15 MIN	PT/OT/Speech	1.0	132.43	132.43	hc gait training therapy each 15 minutes	PT / OT / Speech Therapy
AAV CIPRO 400MG/200ML RTU	Drugs Requiring Specific Identification	1.0	16.5	16.5	aav ciprofloxacin 400_mg/200_ml rtu	Pharmacy
AB SCREEN	Blood	1.0	65.0	65.0	antibody screen	Laboratory
AB SCREEN	Laboratory	1.0	115.0	115.0	antibody screen	Laboratory
AB SCRN RBC	Laboratory	1.0	160.0	160.0	antibody screen red_blood_cell	Laboratory
ABCESS DRAINAGE SYSTEM	Implant/Supply	1.0	61.0	61.0	abcess drainage system	Supply
ABCIXIMAB 10 MG INJ	Pharmacy	2.0	5560.5	3647.14	abciximab 10_mg injection	Pharmacy
ABD COPM+DECU/ER	Radiology	1.0	585.0	585.0	abdomen complete and decubitis emergency_room	Radiology
ABDOMEN 1 POSITION	Radiology	1.0	172.76	172.76	abdomen 1 position	Radiology
ABDOMEN 1 VIEW	Implant/Supply	1.0	52.19	52.19	abdomen 1 view	Radiology
ABDOMEN 1 VIEW	Radiology	1.0	312.0	312.0	abdomen 1 view	Radiology
ABDOMEN 1 VW	Radiology	1.0	406.0	406.0	abdomen 1 view	Radiology
ABDOMEN AP (KUB) ABDOMEN AP (KUB)	Radiology	1.0	247.0	247.0	abdomen anterior_posterior kidney_ureter_bladder	Radiology
ABDOMEN COMPLT ACUTE SERIE	Radiology	1.0	693.0	693.0	abdomen complete acute series	Radiology
ABG DRAW	Blood	1.0	127.0	127.0	arterial_blood_gas draw	Nursing Services
ABG DRAW	Emergency Room	1.0	55.0	55.0	arterial_blood_gas draw	Nursing Services
ABG DRAW	Laboratory	1.0	43.0	43.0	arterial_blood_gas draw	Nursing Services
ABG DRAW	OR Services	1.0	183.0	183.0	arterial_blood_gas draw	Nursing Services
ABG DRAW	Respiratory Services	1.0	43.1	43.1	arterial_blood_gas draw	Nursing Services
ABG DRAW	Treatment/Observation Room	1.0	127.0	127.0	arterial_blood_gas draw	Nursing Services
ABG DRAW BY RT	Treatment/Observation Room	1.0	153.25	153.25	arterial_blood_gas draw by respiratory_therapy	Nursing Services
ABG W 02 SAT (ABGCOX)	Laboratory	1.0	298.0	298.0	arterial_blood_gas with oxygen saturation abgcoximetry	Laboratory
ABO	Laboratory	1.0	90.0	90.0	abo	Laboratory
ABO BLOOD GROUP SEROLOGIC	Laboratory	1.0	37.0	37.0	abo blood group serologic	Laboratory
ABO BLOOD TYPING	Laboratory	1.0	70.0	70.0	abo blood typing	Laboratory
ABO GROUP	Blood	1.0	53.0	53.0	abo group	Laboratory
ABO GROUP	Laboratory	1.0	74.92	74.92	abo group	Laboratory
ABO TYPE	Blood	1.0	101.0	101.0	abo type	Laboratory
ABO TYPE	Gastro-Intestinal Services	1.0	193.42	193.42	abo type	Laboratory
ABO TYPE	Laboratory	1.0	115.98	115.98	abo type	Laboratory
ABO TYPE	Radiology	1.0	179.09	179.09	abo type	Laboratory
ABO TYPING	Laboratory	1.0	59.0	59.0	abo typing	Laboratory
ABO TYPING (BILL)	Laboratory	1.0	130.0	130.0	abo typing bill	Laboratory
ABR COMPREHENSIVE	Audiology	1.0	1640.0	1640.0	auditory_brainstem_response comprehensive	PT / OT / Speech Therapy
ABR SCREENING	Audiology	1.0	407.0	407.0	auditory_brainstem_response screening	Nursing Services
ABR SCREENING	Respiratory Services	1.0	399.0	399.0	auditory_brainstem_response screening	Nursing Services
ABSOLUTE RETICS	Laboratory	1.0	114.0	114.0	absolute retics	Laboratory
ACAPELLA TX INITIAL	Respiratory Services	1.0	176.0	176.0	acapella treatment initial	Respiratory Therapy
ACAPELLA TX SUBSEQUENT	Respiratory Services	1.0	146.0	146.0	acapella treatment subsequent	Respiratory Therapy
ACCUCHECK	Implant/Supply	1.0	26.0	26.0	accucheck	Monitoring
ACCUCHECK	Laboratory	1.0	20.0	20.0	accucheck	Monitoring
ACETAMINO 10MG INJ	Drugs Requiring Specific Identification	100.0	321.0	3.21	acetaminophen 10_mg injection	Pharmacy
ACETAMINO 10MG INJ	Pharmacy	100.0	295.0	2.95	acetaminophen 10_mg injection	Pharmacy
ACETAMINOPHEN 10 MG/ML IV SOLN	Drugs Requiring Specific Identification	100.0	73.78	0.7378	acetaminophen 10 mg/ml intravenous solution	Pharmacy
ACETAMINOPHEN 10 MG/ML IV SOLN	Pharmacy	25.0	67.98	2.7192	acetaminophen 10 mg/ml intravenous solution	Pharmacy
ACETAMINOPHEN 10 MG/ML SOL	Drugs Requiring Specific Identification	18.0	37.5	1.125	acetaminophen 10_mg/ml solution	Pharmacy
ACETAMINOPHEN 10 MG/ML SOL	Pharmacy	39.0	178.34	4.632	acetaminophen 10_mg/ml solution	Pharmacy
ACETAMINOPHEN 1000MG/100ML INJ	Drugs Requiring Specific Identification	1.0	192.65	192.54	acetaminophen 1000_mg/100_ml injection	Pharmacy
ACETAMINOPHEN 1000MG/100ML INJ	EKG/ECG/EEG	1.0	409.93	409.93	acetaminophen 1000_mg/100_ml injection	Pharmacy
ACETAMINOPHEN 1000MG/100ML INJ	Pharmacy	1.0	607.0	607.0	acetaminophen 1000_mg/100_ml injection	Pharmacy
ACETAMINOPHEN 1000MG/100ML VL	Drugs Requiring Specific Identification	1.0	187.0	187.0	acetaminophen 1000_mg/100_ml vial	Pharmacy
ACETAMINOPHEN 1000MG/100ML VL	Pharmacy	1.0	137.13	137.13	acetaminophen 1000_mg/100_ml vial	Pharmacy
ACETAMINOPHEN 10MG/1ML INJ	Pharmacy	30.0	101.2	3.99761904762	acetaminophen 10 mg/1 ml injection	Pharmacy
ACETAMINOPHEN 120 MG SUPP	Drugs Requiring Specific Identification	1.0	3.6	3.6	acetaminophen 120_mg suppository	Pharmacy
ACETAMINOPHEN 120 MG SUPP	Pharmacy	1.0	4.46	4.46	acetaminophen 120_mg suppository	Pharmacy
ACETAMINOPHEN 120MG SUPPOSITORY	Drugs Requiring Specific Identification	6.0	25.2	4.2	acetaminophen 120 mg suppository	Pharmacy
ACETAMINOPHEN 120MG SUPPOSITORY	Pharmacy	1.0	14.35	14.35	acetaminophen 120 mg suppository	Pharmacy
ACETAMINOPHEN 160 MG/5 ML	Drugs Requiring Specific Identification	1.0	0.84	0.84	acetaminophen 160_mg/5_ml	Pharmacy
ACETAMINOPHEN 160 MG/5 ML	Pharmacy	1.0	1.1	0.78	acetaminophen 160_mg/5_ml	Pharmacy
ACETAMINOPHEN 160 MG/5 ML SUSP	Drugs Requiring Specific Identification	1.0	5.0	5.0	acetaminophen 160_mg/5_ml suspension	Pharmacy
ACETAMINOPHEN 160 MG/5 ML SUSP	Pharmacy	1.0	10.0	10.0	acetaminophen 160_mg/5_ml suspension	Pharmacy
ACETAMINOPHEN 160 MG/5 ML SUSP 2.5 ML SYRINGE	Pharmacy	1.0	0.39	0.39	acetaminophen 160_mg/5_ml suspension 2.5_ml syringe	Pharmacy
ACETAMINOPHEN 160 MG/5 ML SUSP 3.75 ML SYRINGE	Pharmacy	1.0	0.51	0.51	acetaminophen 160_mg/5_ml suspension 3.75_ml syringe	Pharmacy
ACETAMINOPHEN 160 MG/5ML SOLN	Drugs Requiring Specific Identification	2.0	2.0	1.0	acetaminophen 160_mg/5_ml solution	Pharmacy
ACETAMINOPHEN 160 MG/5ML SOLN	Pharmacy	1.0	1.8	1.1	acetaminophen 160_mg/5_ml solution	Pharmacy
ACETAMINOPHEN 160MG/5ML TYLEN	Pharmacy	2.0	9.37	4.685	acetaminophen 160 mg/5 ml tylenol	Pharmacy
ACETAMINOPHEN 160MG/5ML UD CUP	Pharmacy	1.0	14.55	14.55	acetaminophen 160 mg/5 ml unit dose cup	Pharmacy
ACETAMINOPHEN 32 MG/ML SUSP	Pharmacy	1.0	0.1	0.1	acetaminophen 32_mg/ml suspension	Pharmacy
ACETAMINOPHEN 320 MG/ML SO	Pharmacy	2.0	1.5	0.75	acetaminophen 320_mg/ml so	Pharmacy
ACETAMINOPHEN 325 MG TAB	Drugs Requiring Specific Identification	2.0	0.1	0.05	acetaminophen 325_mg tablet	Pharmacy
ACETAMINOPHEN 325 MG TAB	IV Therapy	2.0	0.14	0.07	acetaminophen 325_mg tablet	Pharmacy
ACETAMINOPHEN 325 MG TAB	Patient Conv Items	2.0	3.0	1.5	acetaminophen 325_mg tablet	Pharmacy
ACETAMINOPHEN 325 MG TAB	Pharmacy	2.0	1.04	0.52	acetaminophen 325_mg tablet	Pharmacy
ACETAMINOPHEN 325 MG TAB 	Pharmacy	2.0	0.62	0.31	acetaminophen 325_mg tablet	Pharmacy
ACETAMINOPHEN 325 MG TABLET	Drugs Requiring Specific Identification	2.0	0.7	0.35	acetaminophen 325_mg tablet	Pharmacy
ACETAMINOPHEN 325 MG TABLET	IV Therapy	2.0	0.5	0.25	acetaminophen 325_mg tablet	Pharmacy
ACETAMINOPHEN 325 MG TABLET	Pharmacy	2.0	1.0	0.5	acetaminophen 325_mg tablet	Pharmacy
ACETAMINOPHEN 325 MG TABLET	Room & Board	2.0	1.0	0.5	acetaminophen 325_mg tablet	Pharmacy
ACETAMINOPHEN 325 MG TABS	Drugs Requiring Specific Identification	2.0	7.0	3.5	acetaminophen 325_mg tablets	Pharmacy
ACETAMINOPHEN 325 MG TABS	IV Therapy	2.0	1.015	0.7575	acetaminophen 325_mg tablets	Pharmacy
ACETAMINOPHEN 325 MG TABS	Laboratory	2.0	2.97	1.485	acetaminophen 325_mg tablets	Pharmacy
ACETAMINOPHEN 325 MG TABS	Patient Conv Items	2.0	0.0	0.0	acetaminophen 325_mg tablets	Pharmacy
ACETAMINOPHEN 325 MG TABS	Pharmacy	2.0	1.82	1.075	acetaminophen 325_mg tablets	Pharmacy
ACETAMINOPHEN 325MG	Drugs Requiring Specific Identification	2.0	12.5	6.25	acetaminophen 325_mg	Pharmacy
ACETAMINOPHEN 325MG	Implant/Supply	2.0	10.0	5.0	acetaminophen 325_mg	Pharmacy
ACETAMINOPHEN 325MG	Pharmacy	2.0	0.0	0.0	acetaminophen 325_mg	Pharmacy
ACETAMINOPHEN 325MG	Preventive Care Services	2.0	1.75	0.875	acetaminophen 325_mg	Pharmacy
ACETAMINOPHEN 325MG SUPP	Drugs Requiring Specific Identification	1.0	7.0	7.0	acetaminophen 325 mg suppository	Pharmacy
ACETAMINOPHEN 325MG SUPP	Pharmacy	1.0	14.7	14.7	acetaminophen 325 mg suppository	Pharmacy
ACETAMINOPHEN 325MG TAB	Drugs Requiring Specific Identification	2.0	2.25	2.0	acetaminophen 325_mg tablet	Pharmacy
ACETAMINOPHEN 325MG TAB	Pharmacy	2.0	2.5	1.25	acetaminophen 325_mg tablet	Pharmacy
ACETAMINOPHEN 500 MG TAB	Drugs Requiring Specific Identification	2.0	0.12	0.06	acetaminophen 500_mg tablet	Pharmacy
ACETAMINOPHEN 500 MG TAB	Pharmacy	2.0	0.28	0.14	acetaminophen 500_mg tablet	Pharmacy
ACETAMINOPHEN 80 MG SUPP	Drugs Requiring Specific Identification	1.0	3.5	3.5	acetaminophen 80_mg suppository	Pharmacy
ACETAMINOPHEN 80 MG SUPP	Pharmacy	1.0	3.3	3.3	acetaminophen 80_mg suppository	Pharmacy
ACETAMINOPHEN 80 MG SUPP 6 EACH BLIST PACK	Pharmacy	1.0	16.01	16.01	acetaminophen 80_mg suppository 6 each blister pack	Pharmacy
ACETAMINOPHEN 80 MG SUPP 6 EACH BOX	Drugs Requiring Specific Identification	1.0	3.6	3.6	acetaminophen 80_mg suppository 6 each box	Pharmacy
ACETAMINOPHEN 80 MG SUPP 6 EACH BOX	Pharmacy	1.0	1.47	1.47	acetaminophen 80_mg suppository 6 each box	Pharmacy
ACETAMINOPHEN TAB 325MG U	Drugs Requiring Specific Identification	10.0	42.7	4.27	acetaminophen tablet 325_mg up	Pharmacy
ACETAMINOPHEN TAB 325MG U	Pharmacy	2.0	0.1	0.05	acetaminophen tablet 325_mg up	Pharmacy
ACETAZOLAMIDE 100MG/ML INJ	Pharmacy	2.0	188.5	94.25	acetazolamide 100 mg/ml injection	Pharmacy
ACETAZOLAMIDE 25MG /1ML ORAL	Pharmacy	4.0	3.18	0.74	acetazolamide 25_mg/1_ml oral	Pharmacy
ACETAZOLAMIDE ORAL SUSP 50MG/ML	Pharmacy	1.0	55.0	55.0	acetazolamide oral suspension 50 mg/ml	Pharmacy
ACETAZOLAMIDE SODIUM 500 MG-	Drugs Requiring Specific Identification	1.0	164.35	164.35	acetazolamide sodium 500_mg	Pharmacy
ACETYLCYSTEINE 200MG/ML 4ML	Pharmacy	2.0	33.14	16.57	acetylcysteine 200_mg/ml 4_ml	Pharmacy
ACID FAST CULTURE	Laboratory	1.0	89.0	89.0	acid fast culture	Laboratory
ACID FAST STAIN	Laboratory	1.0	55.8	55.8	acid fast stain	Laboratory
ACID FAST STAIN FOR BACTERIA	Laboratory	1.0	73.0	73.0	acid fast stain for bacteria	Laboratory
ACT.PART THROMBOPLASTIN TI	Laboratory	1.0	66.0	66.0	activated_clotting_time partial thromboplastin time	Laboratory
ACT.PART THROMBOPLASTIN TI	Pharmacy	1.0	66.0	66.0	activated_clotting_time partial thromboplastin time	Laboratory
ACUTE HEPATITIS PANEL	Laboratory	1.0	409.0	409.0	acute hepatitis panel	Laboratory
ACUTE HEPATITIS PANEL (ACU	Laboratory	1.0	841.0	841.0	acute hepatitis panel acute	Laboratory
ACUTE PAIN IN THE OR STAT	OR Services	1.0	0.0	0.0	acute pain in the operating_room stat	OR / Anesthesia / Recovery Room
ACYCLOVIR SODIUM 500MG VL 10	Pharmacy	9.0	7.08	0.786666666667	acyclovir sodium 500 mg vial 10	Pharmacy
ADAPTER 22MM ID X 6MM	Implant/Supply	1.0	4.0	4.0	adapter 22mm id x 6mm	Supply
ADAPTER CATH MULTI ST_E	Implant/Supply	1.0	0.0	0.0	adapter catheter multiple st_e	Supply
ADAPTER PRN LIFESHIELD	Implant/Supply	2.0	22.4	11.2	adapter prn lifeshield	Supply
ADAPTER UROSTOMY BAG_W	Implant/Supply	6.0	116.64	19.44	adapter urostomy bag w	Supply
ADDTL 1/4 HR-GEN	OR Services	8.5	3434.0	404.0	additional 1/4 hour general	OR / Anesthesia / Recovery Room
ADENO VIRUS QUAL PCR	Laboratory	1.0	553.41	553.41	adenovirus qualitative pcr	Laboratory
ADENOSINE INJECTION	Pharmacy	1.0	64.0	64.0	adenosine injection	Pharmacy
ADH TOP MASTISL 2/3ML VI 0523-	Implant/Supply	1.0	17.0	17.0	adhesive topical mastisol 2/3_ml vi 0523	Supply
ADL SELFCARE MANAGEMENT TRAIN	PT/OT/Speech	1.0	186.0	186.0	activities_of_daily_living selfcare management training	PT / OT / Speech Therapy
ADMIN SET IV BLD FLD Y 4C8723	Implant/Supply	1.0	93.0	93.0	administration set intravenous blood fld y 4c8723	Supply
ADMIXTURE - IV SOLUTION	Pharmacy	1.0	3.7	3.7	admixture intravenous solution	Diluent / Flush / Irrigant
ADPT KIT ETCO2 SAMPL ADULT/PED > 4.0	Implant/Supply	1.0	76.0	76.0	adapt kit end tidal carbon_dioxide sample adult/pediatric greater than 4	Supply
ADULT ED ADMIT CH	Emergency Room	1.0	590.21	590.21	adult emergency_department admit ch	Other
ADULT FOAM ELECTRODES (PACK)	Implant/Supply	1.0	12.0	12.0	adult foam electrodes pack	Supply
AEROBIC CULT ISO & PRESUMPT ID	Laboratory	1.0	95.0	95.0	aerobic culture isolate and presumptive identification	Laboratory
AEROBIC CULTURE (AER)	Laboratory	1.0	268.0	268.0	aerobic culture aero	Laboratory
AEROBIC DEFIN ID	Laboratory	1.0	133.0	133.0	aerobic definity identification	Laboratory
AEROBIC DEFINITIVE ID EACH ISO	Laboratory	1.0	87.0	87.0	aerobic definitive identification each isolate	Laboratory
AEROBIC ORG ID	Laboratory	1.0	259.0	232.0	aerobic org id	Laboratory
AEROBIC ORG ID	Preventive Care Services	1.0	520.15	520.15	aerobic org id	Laboratory
AEROCHAMBER DEVICE	Implant/Supply	1.0	114.0	114.0	aerochamber device	Supply
AEROCHAMBER DEVICE	Pharmacy	1.0	14.05	14.05	aerochamber device	Supply
AEROSOL DAILY	Implant/Supply	1.0	99.69	99.69	aerosol daily	Respiratory Therapy
AEROSOL DAILY	Respiratory Services	1.0	408.72	408.72	aerosol daily	Respiratory Therapy
AEROSOL EVALUATION	Emergency Room	1.0	38.0	38.0	aerosol evaluation	Respiratory Therapy
AEROSOL EVALUATION	Pulmonary Function	1.0	38.0	38.0	aerosol evaluation	Respiratory Therapy
AEROSOL EVALUATION	Respiratory Services	1.0	0.0	0.0	aerosol evaluation	Respiratory Therapy
AEROSOL INHALATION INITIAL	Respiratory Services	1.0	205.0	205.0	aerosol inhalation initial	Respiratory Therapy
AEROSOL INHALATION SUBSEQ	Respiratory Services	1.0	205.0	205.0	aerosol inhalation subsequent	Respiratory Therapy
AEROSOL MASK/DAY	Implant/Supply	1.0	54.0	54.0	aerosol mask/day	Supply
AEROSOL MASK/DAY	Respiratory Services	1.0	161.7	161.7	aerosol mask/day	Supply
AEROSOL TREATMENT SUBSEQUENT	Respiratory Services	1.0	161.0	140.0	aerosol treatment subsequent	Respiratory Therapy
AEROSOL TX	Emergency Room	1.0	207.0	207.0	aerosol treatment	Respiratory Therapy
AEROSOL TX	MRI	1.0	273.0	273.0	aerosol treatment	Respiratory Therapy
AEROSOL TX	Pulmonary Function	1.0	207.0	207.0	aerosol treatment	Respiratory Therapy
AEROSOL TX	Respiratory Services	1.0	273.0	273.0	aerosol treatment	Respiratory Therapy
AEROSOL TX INITIAL	Respiratory Services	1.0	204.5	204.5	aerosol treatment initial	Respiratory Therapy
AFB CONCENTRATION	Laboratory	1.0	61.0	57.25	acid fast bacillus concentration	Laboratory
AFB CULTURE ISO & PRESUMPT ID	Laboratory	1.0	154.0	154.0	acid-fast_bacillus culture isolate and presumptive identification	Laboratory
AFB STAIN	Laboratory	1.0	102.0	102.0	acid fast bacillus stain	Laboratory
AG DETECT NOS EIA MULTI STEP EACH	Laboratory	1.0	121.0	121.0	antigen detection not otherwise specified EIA multiple step each	Laboratory
AG DETECTION POLIVAL IF EACH	Laboratory	1.0	163.0	163.0	ag detection polival if each	Laboratory
AIRWAY CARE	Emergency Room	2.0	254.0	127.0	airway care	Respiratory Therapy
AIRWAY CARE	Pulmonary Function	2.0	202.0	101.0	airway care	Respiratory Therapy
AIRWAY CARE	Respiratory Services	1.0	403.2	403.2	airway care	Respiratory Therapy
AIRWAY INTUBATOR 9CM	Implant/Supply	1.0	19.0	19.0	airway intubator 9cm	Supply
AIRWAY KIT	Coronary Care	1.0	4.0	4.0	airway kit	Supply
AIRWAY KIT	Implant/Supply	1.0	4.0	4.0	airway kit	Supply
AIRWAY LMA UNIQUE STD 3	Implant/Supply	1.0	50.0	50.0	airway lma unique standard 3	Supply
AIRWY BRMN 90MM BA1290	Implant/Supply	1.0	2.0	2.0	airway brmn 90mm ba1290	Supply
AIRWY OP BRMN MEDC 80MM X1	Implant/Supply	1.0	2.0	2.0	airway operative brmn medc 80mm x1	Supply
AL+MAG HYDROX+SIMETH 30ML CUP	Pharmacy	1.0	3.85	3.85	aluminum and magnesium hydroxide and simethicone 30_ml cup	Pharmacy
ALARIS PCU PUMP	Implant/Supply	1.0	181.0	181.0	alaris pump_control_unit pump	Capital Equipment
ALBUMIN (HUMAN) 25% 50ML	Drugs Requiring Specific Identification	2.0	407.5	203.75	albumin human 25% 50_ml	Pharmacy
ALBUMIN 25 % 0.25 G/ML SOL	Pharmacy	1.0	249.05	230.3	albumin 25% 0.25 g/ml solution	Pharmacy
ALBUMIN 25 % SOLP	Drugs Requiring Specific Identification	1.0	1450.0	1450.0	albumin 25% solution	Pharmacy
ALBUMIN 25 % SOLP	Pharmacy	1.0	832.5	832.5	albumin 25% solution	Pharmacy
ALBUMIN 25%	Blood	1.0	173.5	165.75	albumin 25%	Pharmacy
ALBUMIN 25%	Drugs Requiring Specific Identification	2.0	434.1	217.05	albumin 25%	Pharmacy
ALBUMIN 25%	Pharmacy	2.0	285.0	285.0	albumin 25%	Pharmacy
ALBUMIN 25% 50ML 12.5GM I	Pharmacy	2.0	229.12	133.2	albumin 25% 50_ml 12.5_gm i	Pharmacy
ALBUMIN 25% 50ML IV	Pharmacy	2.0	1685.06	730.5	albumin 25% 50_ml intravenous	Pharmacy
ALBUMIN 25%.50ML-100ML VIAL	Drugs Requiring Specific Identification	2.0	382.8	191.4	albumin 25%.50_ml 100_ml vial	Pharmacy
ALBUMIN 5 % SOLP	Drugs Requiring Specific Identification	1.0	838.9	838.9	albumin 5% solution	Pharmacy
ALBUMIN 5 % SOLP	Pharmacy	1.0	285.2	277.05	albumin 5% solution	Pharmacy
ALBUMIN 5%	Blood	2.0	285.0	142.5	albumin 5%	Pharmacy
ALBUMIN 5%	Drugs Requiring Specific Identification	1.0	182.7	177.95	albumin 5%	Pharmacy
ALBUMIN 5%	Pharmacy	1.0	452.11	244.0	albumin 5%	Pharmacy
ALBUMIN 5% 250ML	Blood	1.0	173.5	161.0	albumin 5% 250 ml	Pharmacy
ALBUMIN 5% 250ML	Drugs Requiring Specific Identification	1.0	270.0	259.2	albumin 5% 250 ml	Pharmacy
ALBUMIN 5% 250ML	Pharmacy	1.0	418.32	209.16	albumin 5% 250 ml	Pharmacy
ALBUMIN 5% 250ML 12.5GM IN	Drugs Requiring Specific Identification	3.0	557.775	185.925	albumin 5% 250_ml 12.5_gm individual	Pharmacy
ALBUMIN 5% 250ML 12.5GM IN	Pharmacy	1.0	185.93	176.0	albumin 5% 250_ml 12.5_gm individual	Pharmacy
ALBUMIN 5% 50ML	Drugs Requiring Specific Identification	1.0	244.0	244.0	albumin 5% 50 ml	Pharmacy
ALBUMIN 5% 50ML	Pharmacy	1.0	273.6	273.6	albumin 5% 50 ml	Pharmacy
ALBUMIN BLOOD	Hospice Services	1.0	47.0	47.0	albumin blood	Laboratory
ALBUMIN BLOOD	Laboratory	1.0	86.0	86.0	albumin blood	Laboratory
ALBUMIN HUMAN 25 % SOLN	Anesthesia	1.0	126.19	126.19	albumin human 25% solution	Pharmacy
ALBUMIN HUMAN 25 % SOLN	Drugs Requiring Specific Identification	2.0	603.6	296.03	albumin human 25% solution	Pharmacy
ALBUMIN HUMAN 25 % SOLN	Pharmacy	2.0	389.51	283.5	albumin human 25% solution	Pharmacy
ALBUMIN HUMAN 25% 100ML	Drugs Requiring Specific Identification	5.0	230.7	46.14	albumin human 25% 100 ml	Pharmacy
ALBUMIN HUMAN 25% 100ML	Pharmacy	1.0	436.32	436.32	albumin human 25% 100 ml	Pharmacy
ALBUMIN HUMAN 25% SOLP	Blood	2.0	466.86	233.43	albumin human 25% solution	Pharmacy
ALBUMIN HUMAN 25% SOLP	Drugs Requiring Specific Identification	1.0	475.0	382.32	albumin human 25% solution	Pharmacy
ALBUMIN HUMAN 25% SOLP	Pharmacy	2.0	630.02	315.01	albumin human 25% solution	Pharmacy
ALBUMIN HUMAN 5% 250ML IV	Drugs Requiring Specific Identification	1.0	191.4	191.4	albumin human 5% 250_ml intravenous	Pharmacy
ALBUMIN HUMAN 5% 250ML IV	Pharmacy	2.0	666.0	378.0	albumin human 5% 250_ml intravenous	Pharmacy
ALBUMIN HUMAN 5% 500 ML IV	Drugs Requiring Specific Identification	2.0	594.0	297.0	albumin human 5% 500_ml intravenous	Pharmacy
ALBUMIN HUMAN 5% SOLN	Drugs Requiring Specific Identification	2.0	388.0	191.0	albumin human 5% solution	Pharmacy
ALBUMIN HUMAN 5% SOLN	Pharmacy	1.0	812.7	267.68625	albumin human 5% solution	Pharmacy
ALBUMIN HUMAN 5PCT 250ML	Drugs Requiring Specific Identification	1.0	554.79	554.79	albumin human 5pct 250_ml	Pharmacy
ALBUMIN HUMAN 5PCT 250ML	EKG/ECG/EEG	1.5	832.185	554.79	albumin human 5pct 250_ml	Pharmacy
ALBUMIN SERUM PLASMA/WHOLE	Laboratory	1.0	106.0	106.0	albumin serum plasma/whole	Laboratory
ALBUMIN SERUM PLASMA/WHOLE BLOOD	Laboratory	1.0	69.0	69.0	albumin serum plasma/whole blood	Laboratory
ALBUT 2.5MG/IPRATROP 0.5MG	Pharmacy	1.0	8.17	8.17	albut 2.5_mg/ipratropium 0.5_mg	Pharmacy
