Procedure Code,# of desciptions,Unique charge classes,Unique rev codes names
01438076,1,Pharmacy,Pharmacy
TC3002687,1,Nursing Services,Laboratory
"12951180
9",1,Diluent / Flush / Irrigant,Pharmacy
94640.0,1,Respiratory Therapy,Respiratory Services
1433853,1,Pharmacy,Pharmacy
&9270GY,1,Pharmacy,Pharmacy
38415,1,Nursing Services,Laboratory
"13054691
1",1,Pharmacy,Pharmacy
"12779506
7",1,Pharmacy,Pharmacy
392043,1,Supply,Implant/Supply
1415108,1,Laboratory,Laboratory
G0431,1,Laboratory,Laboratory
S00S9,1,Laboratory,Laboratory
J 3480,1,Pharmacy,Drugs Requiring Specific Identification
11505189,1,Supply,Implant/Supply
950870,1,Supply,Implant/Supply
10814,1,Pharmacy,Drugs Requiring Specific Identification
630 8004,1,Laboratory,Laboratory
01435569,1,Pharmacy,Pharmacy
104591,1,Laboratory,Laboratory
58210000,1,Plan Benefit,Respiratory Services
00926188,1,Laboratory,Laboratory
11513082,1,Supply,Implant/Supply
27100025,1,Respiratory Therapy,Implant/Supply
3666212,1,Laboratory,Laboratory
11513081,1,Supply,Implant/Supply
01481654,1,Pharmacy,Pharmacy
117836,1,Laboratory,Laboratory
31640931,1,Supply,Implant/Supply
50048,1,Laboratory,Laboratory
37520452,1,Laboratory,Laboratory
800001763,1,Nursing Services,Laboratory
45837000,1,OR / Anesthesia / Recovery Room,Respiratory Services
01481652,1,Pharmacy,Pharmacy
37506,1,Pharmacy,Pharmacy
84478A,1,Laboratory,Laboratory
01481653,1,Pharmacy,Pharmacy
89134,1,Laboratory,Laboratory
33500255,1,Pharmacy,Pharmacy
071282,1,Pharmacy,Drugs Requiring Specific Identification
1482534,1,Pharmacy,Pharmacy
20503301,1,Room and Board,Room & Board
07319,1,Diluent / Flush / Irrigant,Pharmacy
00689,1,Supply,Laboratory
MHS1EA,1,Pharmacy,Pharmacy
01431006,1,Pharmacy,Pharmacy
32050040,1,Room and Board,Intensive Care
78333069,1,Laboratory,Laboratory
16492,1,Laboratory,Laboratory
8127611,1,Laboratory,Laboratory
40208167,1,Laboratory,Laboratory
LB 8605,1,Laboratory,Laboratory
40710019,1,Respiratory Therapy,Implant/Supply
30000120,1,Laboratory,Laboratory
"13061352
8",1,Pharmacy,Pharmacy
30000122,1,Laboratory,Laboratory
S004S,1,Laboratory,Laboratory
62221106,1,Laboratory,Laboratory
00124,1,Laboratory,Laboratory
01458546,1,Pharmacy,Pharmacy
30000126,1,Laboratory,Laboratory
11505360,1,Supply,Implant/Supply
125906423,1,Pharmacy,Pharmacy
C 1 J 18753,1,Laboratory,Laboratory
60012020,1,Laboratory,Laboratory
H4682,1,Monitoring,Laboratory
30230007,1,Monitoring,Laboratory
31678188,1,Supply,Implant/Supply
82435.0,1,Laboratory,Laboratory
25 255,1,Monitoring,Pulmonary Function
01750019,1,Procedure,Radiology
83605'·,1,Laboratory,Laboratory
7150000930,1,Diluent / Flush / Irrigant,Pharmacy
301000668,1,Laboratory,Laboratory
J34S0,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
1015296,1,Laboratory,Laboratory
06844755,1,Laboratory,Laboratory
30002155,1,Laboratory,Laboratory
37520678,1,Monitoring,Laboratory
00699,1,Supply,Pharmacy
13974,1,Pharmacy,Pharmacy
99003,1,Respiratory Therapy,Respiratory Services
90935,1,Dialysis,Preventive Care Services
49000136,1,Laboratory,Laboratory
86611003,1,PT / OT / Speech Therapy,PT/OT/Speech
7101765,1,Pharmacy,Pharmacy
"12838557
0",1,Pharmacy,Pharmacy
01460328,1,Pharmacy,Pharmacy
42900258,1,Radiology,Radiology
800741,1,Laboratory,Laboratory
11514566,1,Supply,Implant/Supply
8444 3,1,Laboratory,Laboratory
905668,1,Radiology,Radiology
01133164,1,Laboratory,Laboratory
25208373,1,Laboratory,Laboratory
902079,1,Pharmacy,Pharmacy
130271827,1,Diluent / Flush / Irrigant,Pharmacy
80001703,1,Laboratory,Laboratory
"12962679
4",1,Diluent / Flush / Irrigant,Pharmacy
14455262,1,Pharmacy,Pharmacy
677711,1,Pharmacy,Drugs Requiring Specific Identification
7227,1,Pharmacy,Drugs Requiring Specific Identification
"12913684
1",1,Pharmacy,Pharmacy
65009002,1,Laboratory,Laboratory
8955020,1,PT / OT / Speech Therapy,PT/OT/Speech
01439819,1,Pharmacy,Pharmacy
35 0087,1,Monitoring,Laboratory
948348,1,Plan Benefit,Implant/Supply
3116501,1,Cardiology,Cardiology
37500277,1,Laboratory,Laboratory
00310,1,Respiratory Therapy,Respiratory Services
41802703,1,Supply,Implant/Supply
5170354,1,Supply,Implant/Supply
3113001,1,OR / Anesthesia / Recovery Room,Cast/Recovery/Labor Room
3113501,1,OR / Anesthesia / Recovery Room,Anesthesia
10506412,1,Pharmacy,Pharmacy
829B2,1,Monitoring,Laboratory
24709131,1,Laboratory,Laboratory
367392,1,Implant,Implant/Supply
117674,1,Laboratory,Laboratory
LB 8707,1,Laboratory,Laboratory
65009001,1,Laboratory,Laboratory
800000010,1,Laboratory,Laboratory
84 443,1,Laboratory,Laboratory
C1760,1,Supply,Implant/Supply
8400012,1,Respiratory Therapy,Pulmonary Function
83000708,1,Laboratory,Laboratory
27001235,1,Supply,Implant/Supply
400021420,1,Supply,Implant/Supply
60012710,1,Laboratory,Laboratory
77066447,1,Supply,Implant/Supply
105059,1,Laboratory,Laboratory
43804014,1,Supply,Implant/Supply
122062,1,Respiratory Therapy,Implant/Supply
32410000,1,Radiology,Radiology
13554252,1,Pharmacy,Pharmacy
4102330,1,Laboratory,Laboratory
J3405,1,Pharmacy,Drugs Requiring Specific Identification
23816,1,Laboratory,Laboratory
"13020934
8",1,Pharmacy,Pharmacy
307 01,1,Radiology,Radiology
52500035,1,Monitoring,Pulmonary Function
10800019,1,Laboratory,Laboratory
90471,1,Pharmacy,Preventive Care Services
903967,1,PT / OT / Speech Therapy,PT/OT/Speech
30100282,1,Laboratory,Laboratory
13740002,1,Pharmacy,Pharmacy
JL 170,1,Pharmacy,Drugs Requiring Specific Identification
037037,1,Laboratory,Laboratory
03270,1,PT / OT / Speech Therapy,PT/OT/Speech
11501435,1,Supply,Implant/Supply
44951,1,Laboratory,Laboratory
LB 2819,1,Laboratory,Laboratory
30000420,1,Nursing Services,Laboratory
4372 468,1,PT / OT / Speech Therapy,PT/OT/Speech
"12935483
6",1,Diluent / Flush / Irrigant,Pharmacy
"13049839
7",1,Pharmacy,Pharmacy
6 0 91038,1,Monitoring,Laboratory
30020807,1,Laboratory,Laboratory
30021047,1,Laboratory,Laboratory
01900273,1,Radiology,MRI
300000010'HC,1,Nursing Services,Laboratory
11504807,1,Supply,Implant/Supply
306000084,1,Laboratory,Laboratory
30118500,1,Laboratory,Laboratory
30020001,1,Nursing Services,Laboratory
22070034,1,Monitoring,Laboratory
298344,1,Nursing Services,Laboratory
935089,1,Cardiology,Cardiology
30110048,1,Laboratory,Laboratory
301000010,1,Laboratory,Laboratory
32000102,1,Radiology,Radiology
83605.0,1,Laboratory,Laboratory
016212,1,Laboratory,Laboratory
7.60101578E8,1,Laboratory,Laboratory
301000013,1,Laboratory,Laboratory
68499,1,Pharmacy,Pharmacy
11265042,1,Pharmacy,Pharmacy
80048.0,1,Laboratory,Laboratory
11504773,1,Supply,Implant/Supply
512353,1,Laboratory,EKG/ECG/EEG
014'16635,1,Pharmacy,Pharmacy
U3490,1,Pharmacy,Pharmacy
30 64,1,Pharmacy,Drugs Requiring Specific Identification
84470,1,Laboratory,Laboratory
11504578,1,Supply,Implant/Supply
41046558,1,Laboratory,Laboratory
33600356,1,Nursing Services,Other Diagnostic Services
S690U,1,Laboratory,Laboratory
42800268,1,Radiology,Radiology
950879,1,Pharmacy,Drugs Requiring Specific Identification
30015,1,Laboratory,Blood
72060,1,Pharmacy,Drugs Requiring Specific Identification
82533.0,1,Laboratory,Laboratory
J2080,1,Pharmacy,Pharmacy
844B4,1,Laboratory,Laboratory
40209520,1,Laboratory,Laboratory
41205,1,Laboratory,Laboratory
"13084235
5",1,Pharmacy,Pharmacy
60012850,1,Laboratory,Laboratory
43603754,1,Laboratory,Laboratory
31529217,1,Supply,Implant/Supply
84530,1,Laboratory,Laboratory
58889000,1,Respiratory Therapy,Implant/Supply
9700360,1,PT / OT / Speech Therapy,PT/OT/Speech
01484080,1,Pharmacy,Pharmacy
41804014,1,Supply,Implant/Supply
LB 2042,1,Laboratory,Laboratory
8955118,1,PT / OT / Speech Therapy,PT/OT/Speech
034346,1,Nursing Services,Pulmonary Function
128769428,1,Diluent / Flush / Irrigant,Pharmacy
01431105,1,Pharmacy,Pharmacy
"13150188
2",1,Diluent / Flush / Irrigant,Pharmacy
84100.0,1,Laboratory,Laboratory
HCSP12700018,1,Capital Equipment,Implant/Supply
01484895,1,Pharmacy,Pharmacy
01430016,1,Pharmacy,Pharmacy
30014,1,Laboratory,Blood
400001091,1,Supply,Implant/Supply
B9070,1,Supply,Implant/Supply
60014700,1,Laboratory,Laboratory
05300666,1,Laboratory,Laboratory
2111001,1,PT / OT / Speech Therapy,Other Therapeutic Services
2111000,1,PT / OT / Speech Therapy,Other Therapeutic Services
01015098,1,Laboratory,Laboratory
27001075,1,Supply,Implant/Supply
344169,1,Laboratory,Laboratory
52962,1,Monitoring,Laboratory
8296A,1,Monitoring,Laboratory
63016000,1,Laboratory,Laboratory
1521624,1,Laboratory,Laboratory
11502651,1,Supply,Implant/Supply
05300667,1,Laboratory,Laboratory
HMM 6335,1,Supply,Pharmacy
05300665,1,Laboratory,Laboratory
3110051,1,OR / Anesthesia / Recovery Room,OR Services
00506345,1,Supply,Implant/Supply
01300011,1,Supply,Other Therapeutic Services
"12987556
5",1,Diluent / Flush / Irrigant,Pharmacy
816441,1,OR / Anesthesia / Recovery Room,OR Services
25601997,1,Pharmacy,Pharmacy
41S02754,1,Laboratory,Laboratory
01024983,1,Laboratory,Laboratory
89220,1,Respiratory Therapy,Laboratory
123220899,1,Pharmacy,Pharmacy
84285,1,Laboratory,Laboratory
05300668,1,Laboratory,Laboratory
01481669,1,Pharmacy,Pharmacy
1710943,1,Monitoring,Pulmonary Function
130880623,1,Diluent / Flush / Irrigant,Pharmacy
83606,1,Laboratory,Laboratory
305000005',1,Laboratory,Laboratory
39700084,1,Nursing Services,Laboratory
30002976,1,Monitoring,Laboratory
4400006,1,Laboratory,Laboratory
28B291,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
77031615,1,Supply,Implant/Supply
125216005,1,Pharmacy,Pharmacy
82 53 3,1,Laboratory,Laboratory
30585014,1,Laboratory,Laboratory
10002807,1,Diluent / Flush / Irrigant,Pharmacy
50116714,1,OR / Anesthesia / Recovery Room,OR Services
69892001,1,Laboratory,Laboratory
01522061,1,Laboratory,Laboratory
HCLAB13010010,1,Laboratory,Laboratory
370001169,1,PT / OT / Speech Therapy,PT/OT/Speech
HCLAB13010013,1,Laboratory,Laboratory
08400012,1,Respiratory Therapy,Pulmonary Function
9955,1,Diluent / Flush / Irrigant,Pharmacy
370001311,1,PT / OT / Speech Therapy,PT/OT/Speech
00436,1,Pharmacy,Pharmacy
30002979,1,Monitoring,Laboratory
81001.0,1,Laboratory,Laboratory
9300S,1,Cardiology,EKG/ECG/EEG
00400143,1,OR / Anesthesia / Recovery Room,Cast/Recovery/Labor Room
30020021,1,Laboratory,Laboratory
13765422,1,Pharmacy,Pharmacy
037809,1,Laboratory,Laboratory
11507905,1,Supply,Implant/Supply
7111091,1,Radiology,Radiology
63406001,1,Laboratory,Laboratory
04236,1,Pharmacy,Pharmacy
9011513,1,Radiology,Other Imaging Services
3 001004,1,Nursing Services,Laboratory
300384150,1,Nursing Services,Laboratory
"12704562
7",1,Pharmacy,Pharmacy
407 00 9,1,Respiratory Therapy,Implant/Supply
803052,1,Laboratory,Laboratory
01416635,1,Pharmacy,Pharmacy
400013214,1,Supply,Implant/Supply
60039100,1,Laboratory,Laboratory
2301604,1,Laboratory,Laboratory
803055,1,Laboratory,Laboratory
30180053,1,Laboratory,Laboratory
1.7041E7,1,Room and Board,Room & Board
167320,1,Laboratory,Laboratory
811255,1,Monitoring,Pulmonary Function
008484,1,Pharmacy,Pharmacy
65213000,1,Laboratory,Laboratory
27 00025,1,Respiratory Therapy,Implant/Supply
400005652,1,Supply,Implant/Supply
11500048,1,Supply,Implant/Supply
00320,1,Supply,OR Services
&4216,1,Diluent / Flush / Irrigant,Pharmacy
03605,1,Laboratory,Laboratory
J 940,1,Pharmacy,Pharmacy
83000260,1,Laboratory,Laboratory
01612441,1,OR / Anesthesia / Recovery Room,Cast/Recovery/Labor Room
9 3,1,Pharmacy,Pharmacy
121824834,1,Pharmacy,Pharmacy
510844,1,Laboratory,EKG/ECG/EEG
418642,1,Implant,Implant/Supply
314983,1,Radiology,Radiology
&421G,1,Diluent / Flush / Irrigant,Pharmacy
20600001,1,Room and Board,Intensive Care
76000 (CPT®),1,Radiology,Radiology
01481664,1,Pharmacy,Pharmacy
11511671,1,Supply,Implant/Supply
10779,1,Laboratory,Laboratory
01481667,1,Pharmacy,Pharmacy
60024010,1,Laboratory,Laboratory
86202140,1,Laboratory,Laboratory
04720868,1,Laboratory,Laboratory
20690,1,Pharmacy,Pharmacy
11503013,1,Supply,Implant/Supply
60015250,1,Laboratory,Laboratory
00805,1,Pharmacy,Pharmacy
8573C,1,Laboratory,Laboratory
55483881,1,Laboratory,Laboratory
02400,1,Laboratory,Laboratory
036873,1,Laboratory,Laboratory
964607,1,Respiratory Therapy,Implant/Supply
450371,1,Laboratory,Laboratory
625202,1,Nursing Services,Pulmonary Function
55585610,1,Laboratory,Laboratory
600 6060,1,Monitoring,Laboratory
8720559,1,Laboratory,Laboratory
4228505,1,Laboratory,Laboratory
01484252,1,Plan Benefit,Pharmacy
689169,1,Pharmacy,Drugs Requiring Specific Identification
01411925,1,Pharmacy,Pharmacy
8 0849,1,Nursing Services,Laboratory
00100,1,Laboratory,Laboratory
7111027,1,Radiology,Radiology
62330,1,Laboratory,Laboratory
8501S,1,Laboratory,Laboratory
31152,1,Laboratory,Blood
122030,1,Respiratory Therapy,Respiratory Services
01484634,1,Pharmacy,Pharmacy
76937,1,Radiology,Other Imaging Services
760100060,1,Laboratory,Laboratory
01466231,1,Pharmacy,Pharmacy
36592,1,Nursing Services,Laboratory
9027630,1,PT / OT / Speech Therapy,Radiology
06415,1,Nursing Services,Laboratory
440390,1,Laboratory,Laboratory
811070,1,PT / OT / Speech Therapy,PT/OT/Speech
8501B,1,Laboratory,Laboratory
1468305,1,Pharmacy,Pharmacy
01131320,1,Laboratory,Laboratory
59758000,1,Supply,Implant/Supply
8501A,1,Laboratory,Laboratory
36002015,1,Nursing Services,Laboratory
86612001,1,PT / OT / Speech Therapy,PT/OT/Speech
86612002,1,PT / OT / Speech Therapy,PT/OT/Speech
117575,1,Laboratory,Laboratory
01436328,1,Pharmacy,Pharmacy
NCLAB13010013,1,Laboratory,Laboratory
338004902,1,Diluent / Flush / Irrigant,Pharmacy
1481780,1,Pharmacy,Pharmacy
321209,1,Respiratory Therapy,Implant/Supply
J2135,1,Pharmacy,Drugs Requiring Specific Identification
"12998240
5",1,Pharmacy,Pharmacy
01481708,1,Pharmacy,Pharmacy
4372 488,1,PT / OT / Speech Therapy,PT/OT/Speech
01481525,1,Pharmacy,Pharmacy
"12998240
7",1,Pharmacy,Pharmacy
83605 (CPT®),1,Laboratory,Laboratory
5170160,1,Supply,Implant/Supply
5170161,1,Supply,Implant/Supply
LB0755S0,1,Laboratory,Laboratory
117570,1,Laboratory,Laboratory
01495049,1,Supply,Pharmacy
11501400,1,Supply,Implant/Supply
02113838,1,Supply,Implant/Supply
00108,1,Laboratory,Laboratory
62210208,1,Laboratory,Laboratory
34 45,1,Laboratory,Laboratory
902622,1,Laboratory,Laboratory
80048017,1,Laboratory,Laboratory
3.7500152E7,1,Laboratory,Laboratory
33430,1,Pharmacy,Pharmacy
30100296,1,Laboratory,Laboratory
H3010457,1,Laboratory,Laboratory
H3010148,1,Laboratory,Laboratory
00299285,1,Other,Emergency Room
TC260,1,Pharmacy,Pharmacy
30100120,1,Laboratory,Laboratory
30B 604,1,Nursing Services,Laboratory
01015205,1,Laboratory,Laboratory
84520.0,1,Laboratory,Laboratory
2101590,1,Laboratory,Laboratory
417880,1,Procedure,OR Services
J 2 185,1,Pharmacy,Drugs Requiring Specific Identification
06844,1,Pharmacy,Drugs Requiring Specific Identification
800001330,1,Laboratory,Laboratory
054220,1,PT / OT / Speech Therapy,PT/OT/Speech
BS007,1,Laboratory,Laboratory
3666675,1,Laboratory,Laboratory
5170000,1,Capital Equipment,Implant/Supply
01C18753,1,Laboratory,Laboratory
129513491,1,Pharmacy,Pharmacy
30020726,1,Laboratory,Laboratory
00012,1,Monitoring,Pulmonary Function
60024180,1,Laboratory,Laboratory
001160,1,PT / OT / Speech Therapy,PT/OT/Speech
J50 4,1,Laboratory,Laboratory
01442599,1,Pharmacy,Pharmacy
11295212,1,Pharmacy,Pharmacy
87011000,1,Radiology,CT Scan
800384,1,Radiology,MRI
62560970,1,Supply,Implant/Supply
128983542,1,Pharmacy,Pharmacy
4271046,1,Laboratory,Laboratory
53735,1,Laboratory,Laboratory
41000353,1,Respiratory Therapy,Respiratory Services
C26278,1,Supply,Implant/Supply
442290,1,Laboratory,Laboratory
83051,1,Laboratory,Laboratory
- 80061,1,Laboratory,Laboratory
301000644,1,Laboratory,Laboratory
C2628,1,Supply,Implant/Supply
86612007,1,PT / OT / Speech Therapy,PT/OT/Speech
117615,1,Laboratory,Laboratory
85016,1,Laboratory,Laboratory
01484105,1,Pharmacy,Pharmacy
63880,1,Laboratory,Laboratory
37520521,1,Laboratory,Laboratory
440392,1,Laboratory,Laboratory
13243252,1,Pharmacy,Pharmacy
272621,1,Pharmacy,Pharmacy
1688715,1,Pharmacy,Pharmacy
34484,1,Laboratory,Laboratory
42 1025,1,Laboratory,Laboratory
"12852246
1",1,Pharmacy,Pharmacy
32400002,1,Radiology,Radiology
32400001,1,Radiology,Radiology
51798,1,Nursing Services,Other Imaging Services
J2930,1,Pharmacy,Pharmacy
51796,1,Nursing Services,Other Imaging Services
84443115,1,Laboratory,Laboratory
82562,1,Monitoring,Laboratory
35 007,1,Laboratory,Laboratory
30000145,1,Laboratory,Laboratory
30100175,1,Laboratory,Laboratory
30000144,1,Laboratory,Laboratory
J7070..,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
63700002,1,Pharmacy,Pharmacy
109405,1,Laboratory,Laboratory
11513406,1,Supply,Implant/Supply
30600280,1,Laboratory,Laboratory
6360006,1,Pharmacy,Drugs Requiring Specific Identification
63039000,1,Laboratory,Laboratory
3000040,1,Nursing Services,Laboratory
.1301 O,1,Pharmacy,Pharmacy
03952,1,Laboratory,Laboratory
03 B317,1,Pharmacy,Drugs Requiring Specific Identification
LB 3819,1,Laboratory,Laboratory
111001,1,Monitoring,Laboratory
01016,1,Laboratory,Laboratory
11510401,1,Supply,Implant/Supply
30112300,1,Laboratory,Laboratory
925123,1,Laboratory,Laboratory
62200183,1,Laboratory,Laboratory
G07025,1,Pharmacy,Pharmacy
03490,1,Pharmacy,Pharmacy
9.2211857E7,1,Diluent / Flush / Irrigant,Pharmacy
01518091,1,Laboratory,Laboratory
5175209,1,Supply,Implant/Supply
419988,1,Laboratory,Laboratory
301000640,1,Laboratory,Laboratory
901903,1,Pharmacy,Drugs Requiring Specific Identification
36603,1,Nursing Services,Pulmonary Function
9053353,1,Procedure,EKG/ECG/EEG
T1650,1,Pharmacy,Drugs Requiring Specific Identification
85014 (CPT®),1,Laboratory,Laboratory
60040410,1,Laboratory,Laboratory
"13046065
8",1,Pharmacy,Pharmacy
10902226,1,Pharmacy,Pharmacy
003916,1,Laboratory,Laboratory
JI815,1,Pharmacy,Drugs Requiring Specific Identification
30000045,1,Pharmacy,Laboratory
124067011,1,Laboratory,Laboratory
8102335,1,Respiratory Therapy,Implant/Supply
"12852243
8",1,Pharmacy,Pharmacy
HCSP12700016,1,Capital Equipment,Implant/Supply
01800093,1,Radiology,CT Scan
01024660.·,1,Laboratory,Laboratory
8319430,1,Laboratory,Laboratory
SOI64,1,Pharmacy,Drugs Requiring Specific Identification
17237,1,Nursing Services,Laboratory
41802133,1,Capital Equipment,Implant/Supply
301000005,1,Laboratory,Laboratory
4228099,1,Laboratory,Laboratory
30013086,1,Laboratory,Laboratory
39100084,1,Nursing Services,Laboratory
43400008,1,PT / OT / Speech Therapy,PT/OT/Speech
600 6070,1,Monitoring,Laboratory
6887 5,1,Pharmacy,Pharmacy
"12958490
3",1,Pharmacy,Pharmacy
11513569,1,Supply,Implant/Supply
11513568,1,Supply,Implant/Supply
12420082,1,Pharmacy,Pharmacy
8068,1,Laboratory,Laboratory
"13073607
6",1,Pharmacy,Pharmacy
305000038,1,Laboratory,Laboratory
037025,1,Laboratory,Laboratory
804987,1,Pharmacy,Drugs Requiring Specific Identification
017899,1,Diluent / Flush / Irrigant,Pharmacy
1 8 09,1,Laboratory,Laboratory
101005,1,Laboratory,Laboratory
60020290.CBC,1,Laboratory,Laboratory
04478,1,Laboratory,Laboratory
00290,1,Laboratory,Laboratory
301000307,1,Laboratory,Laboratory
01481704,1,Pharmacy,Pharmacy
12505082,1,Pharmacy,Pharmacy
8500?,1,Laboratory,Laboratory
"12852243
3",1,Pharmacy,Pharmacy
12235101,1,Respiratory Therapy,Implant/Supply
1410RIQ,1,PT / OT / Speech Therapy,PT/OT/Speech
811296,1,Respiratory Therapy,Implant/Supply
01482660,1,Pharmacy,Pharmacy
3110040,1,OR / Anesthesia / Recovery Room,OR Services
J4478,1,Laboratory,Laboratory
30164,1,Pharmacy,Drugs Requiring Specific Identification
02300,1,Laboratory,Laboratory
01460435,1,Pharmacy,Pharmacy
J0395,1,Pharmacy,Pharmacy
3310000200,1,Respiratory Therapy,Respiratory Services
11613042,1,Pharmacy,Pharmacy
17417041000,1,Room and Board,Room & Board
15018,1,Laboratory,Laboratory
800000579,1,Laboratory,Laboratory
87252.0,1,Laboratory,Laboratory
92526GN,1,PT / OT / Speech Therapy,PT/OT/Speech
40€551,1,Radiology,Cast/Recovery/Labor Room
178257,1,Laboratory,Laboratory
656 0,1,Laboratory,Laboratory
82963,1,Monitoring,Laboratory
01B981,1,Pharmacy,Drugs Requiring Specific Identification
82947QW,1,Laboratory,Laboratory
"12986207
2",1,Supply,Pharmacy
30000095,1,Laboratory,Laboratory
11410944,1,PT / OT / Speech Therapy,PT/OT/Speech
60039040,1,Laboratory,Laboratory
11511456,1,Supply,Implant/Supply
301000002,1,Laboratory,Laboratory
30206470,1,Laboratory,Laboratory
034073,1,PT / OT / Speech Therapy,PT/OT/Speech
LB0OBO65,1,Laboratory,Laboratory
3643 0,1,Nursing Services,Blood
04136,1,Laboratory,Laboratory
30000091,1,Nursing Services,Laboratory
11504373,1,Supply,Implant/Supply
7.60502913E8,1,Laboratory,Laboratory
04420,1,Laboratory,Laboratory
B4145,1,Laboratory,Laboratory
15014,1,Laboratory,Laboratory
870&0,1,Laboratory,Laboratory
11510981,1,Supply,Implant/Supply
01035510,1,Laboratory,Laboratory
A5014,1,Laboratory,Laboratory
021135,1,Supply,Implant/Supply
82728600,1,Laboratory,Laboratory
A7030,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
72156,1,Radiology,MRI
41S03891,1,Capital Equipment,Implant/Supply
440388,1,Laboratory,Laboratory
8410'0,1,Laboratory,Laboratory
440384,1,Laboratory,Laboratory
440387,1,Laboratory,Laboratory
43S02747,1,Laboratory,Laboratory
88304,1,Laboratory,Laboratory
440382,1,Laboratory,Laboratory
30184132,1,Monitoring,Laboratory
123604019,1,Pharmacy,Pharmacy
5040083,1,Diluent / Flush / Irrigant,Implant/Supply
400013757,1,Diluent / Flush / Irrigant,Implant/Supply
7 642,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
RX004,1,Pharmacy,Pharmacy
J L 6 SO,1,Pharmacy,Drugs Requiring Specific Identification
LB 8187,1,Laboratory,Laboratory
A6257,1,Supply,Implant/Supply
30100151,1,Laboratory,Laboratory
59648000,1,Diluent / Flush / Irrigant,Pharmacy
A6258,1,Supply,Implant/Supply
J2560,1,Pharmacy,Pharmacy
30112200,1,Laboratory,Laboratory
BO 3 72,1,Capital Equipment,Implant/Supply
25203941,1,Laboratory,Laboratory
00506709,1,OR / Anesthesia / Recovery Room,Anesthesia
7000001,1,Pharmacy,Pharmacy
424028,1,Supply,Implant/Supply
86403004,1,PT / OT / Speech Therapy,PT/OT/Speech
37520551,1,Laboratory,Laboratory
S2330,1,Laboratory,Laboratory
8107335,1,Respiratory Therapy,Implant/Supply
30112024,1,Laboratory,Laboratory
037466,1,Laboratory,Laboratory
"12985407
6",1,Supply,Pharmacy
60012100,1,Laboratory,Laboratory
11502668,1,Supply,Implant/Supply
51368000,1,Monitoring,Implant/Supply
J 7060,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
3S0085,1,Monitoring,Laboratory
00642,1,Pharmacy,Pharmacy
97530 GP,1,PT / OT / Speech Therapy,PT/OT/Speech
037065,1,Laboratory,Laboratory
128214488,1,Supply,Pharmacy
17289,1,Diluent / Flush / Irrigant,Pharmacy
121040820,1,Supply,Pharmacy
1300854,1,Procedure,OR Services
74220,1,Radiology,Radiology
TC3002688,1,Nursing Services,Laboratory
3690,1,Laboratory,Laboratory
43000075,1,PT / OT / Speech Therapy,PT/OT/Speech
60016820,1,Monitoring,Laboratory
500001028,1,OR / Anesthesia / Recovery Room,OR Services
04028,1,Laboratory,Laboratory
30113000,1,Laboratory,Laboratory
97610016,1,Respiratory Therapy,Prof Fees
11509847,1,Supply,Implant/Supply
11030012,1,Pharmacy,Pharmacy
308741,1,Nursing Services,Laboratory
0 - 416761,1,Pharmacy,Pharmacy
9J 21,1,Cardiology,Cardiology
16396,1,Laboratory,Laboratory
LB 8695,1,Laboratory,Laboratory
122892326,1,Laboratory,Laboratory
104016,1,Laboratory,Laboratory
104017,1,Laboratory,Laboratory
458009,1,Laboratory,Laboratory
11793 6,1,Laboratory,Laboratory
00311003,1,Room and Board,Room & Board
LB 9178,1,Laboratory,Laboratory
00311002,1,Room and Board,Coronary Care
11507205,1,Supply,Implant/Supply
4000050,1,Radiology,Radiology
429756,1,Supply,Implant/Supply
9067O,1,Pharmacy,Drugs Requiring Specific Identification
53250000,1,Nursing Services,Blood
4971004,1,Laboratory,Laboratory
"13018928
4",1,Diluent / Flush / Irrigant,Pharmacy
"12852241
3",1,Diluent / Flush / Irrigant,Pharmacy
"12779506
3",1,Pharmacy,Pharmacy
128708898,1,Pharmacy,Pharmacy
LB075S50,1,Laboratory,Laboratory
305000007.HC,1,Laboratory,Laboratory
2 0 425,1,Blood Products,Blood
2021000,1,Laboratory,Laboratory
J1462,1,Diluent / Flush / Irrigant,Pharmacy
77040,1,Diluent / Flush / Irrigant,Pharmacy
01024306,1,Laboratory,Laboratory
01435338,1,Pharmacy,Pharmacy
301000250,1,Laboratory,Laboratory
01461243,1,Pharmacy,Pharmacy
01016286,1,Laboratory,Laboratory
117873,1,Laboratory,Laboratory
420030,1,Laboratory,Laboratory
73000000,1,Cardiology,EKG/ECG/EEG
11501699,1,Supply,Implant/Supply
LBF 9520,1,Laboratory,Laboratory
43604243,1,Nursing Services,Laboratory
00506451,1,Procedure,Other Diagnostic Services
430021,1,Laboratory,Laboratory
000136,1,Laboratory,Laboratory
38359,1,Laboratory,Laboratory
33502417,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
76100142,1,Nursing Services,Treatment/Observation Room
43604248,1,Nursing Services,Laboratory
8S610,1,Laboratory,Laboratory
83000133,1,Laboratory,Laboratory
13605,1,Laboratory,Laboratory
