,cleaned_descrip,NORM_DESC,CHRG_CLS,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
469,CATH FOLEY TEMP SENSING LF 10FR 3ML,catheter foley temperature sensing lf 10fr 3 ml,Supply,Supply,0.97,1,Supply,0.93,1,Supply,0.983908153616,1,Supply,0.999992290655,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.970975111068
470,CATH FOLEY TEMP SENSING LF 16FR 10ML,catheter foley temperature sensing latex free 16fr 10 ml,Supply,Supply,0.98,1,Supply,0.97,1,Supply,0.986759648176,1,Supply,0.99997630385,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.984183988007
471,CATH GLIDECATH 4F JB1 100CM,catheter glidecath 4 jb1 100cm,Supply,Supply,0.76,1,Supply,0.52,1,Supply,0.979161853842,1,Supply,0.999843068736,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.814751230644
472,CATH HEMO TRI FLO 11.5FRX12CM,catheter hemodialysis tri flo 11.5fr 12cm,Supply,Supply,0.97,1,Supply,0.96,1,Supply,0.988504331893,1,Supply,0.999955910287,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.979615060545
473,CATH IV JELCO 22GX1 BL BX50,catheter intravenous jelco 22 gauge x1 blood box 50,Supply,Supply,0.75,1,Supply,0.45,1,Supply,0.908365218798,1,Supply,0.994826991286,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.775798052521
474,CATH IV MIDLINE BKIT 20GAX10 PWRGLIDE GEN 2,catheter intravenous midline bkit 20gauge x 10 powerglide general 2,Supply,Supply,0.69,1,Supply,0.39,1,Supply,0.950488146862,1,Supply,0.999981715716,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.757617465644
475,CATH IV MIDLINE FKIT 20GAX8 PWRGLIDE GEN 2,catheter intravenous midline fkit 20 gauge x 8 powerglide general 2,Supply,Supply,0.68,1,Supply,0.4,1,Supply,0.945721886129,1,Supply,0.99993058976,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.756413118972
476,CATH KIT PEDIATRIC 8FR,catheter kit pediatric 8fr,Supply,Supply,0.77,1,Supply,0.53,1,Supply,0.987978198148,1,Supply,0.999997703605,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.821993975438
477,CATH QUAD 5MM JSN X 5FRX120CM,catheter quad 5mm jsn x 5frx120cm,Supply,Supply,0.73,1,Supply,0.46,1,Supply,0.966263427968,1,Supply,0.999411282213,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.788918677545
478,CATH SELF 10PX16,catheter self 10px16,Supply,Supply,0.95,1,Supply,0.93,1,Supply,0.978475140492,1,Supply,0.998850898462,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.964331509739
479,CATH SNGLE LUMEN HICKMAN 7F,catheter single lumen hickman 7f,Supply,Laboratory,0.69,0,Supply,0.46,1,Supply,0.963298539737,1,Supply,0.999445688795,1,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.807581409511
480,CATH SUCTION LATEXFREE DISP,catheter suction latexfree disposable,Supply,Supply,0.77,1,Supply,0.5,1,Supply,0.969460369002,1,Supply,0.999979397412,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.809859941603
481,CATH SUCTION TRACH KIT EAC,catheter suction tracheostomy kit,Supply,Supply,0.99,1,Supply,0.96,1,Supply,0.97496366856,1,Supply,0.999990410095,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.981238519664
482,CATH TRAY ONLY,catheter tray,Supply,Supply,0.82,1,Supply,0.64,1,Supply,0.975041154771,1,Supply,0.999990554956,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.858757927432
483,CATH UMBILICAL ARTERY 3.5FR,catheter umbilical artery 3.5fr,Supply,Supply,0.73,1,Supply,0.42,1,Supply,0.925216858172,1,Supply,0.999795270634,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.768753032202
484,CATHETER 4FR 12CM DOUBLE LUMEN,catheter 4 french 12cm double_lumen,Supply,Supply,0.96,1,Supply,0.92,1,Supply,0.977432506528,1,Supply,0.999928576693,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.964340270805
485,CATHETER 7FR15CM TRIPLE LUMEN,catheter 7fr15cm triple lumen,Supply,Supply,0.95,1,Supply,0.92,1,Supply,0.982474279328,1,Supply,0.999980817296,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.963113774156
486,CATHETER ANGIO 4FR MPA1 2 SH 1,catheter angiography 4fr mpa1 2 sh 1,Supply,Supply,0.94,1,Supply,0.96,1,Supply,0.97296028585,1,Supply,0.999949382463,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.968227417078
487,CATHETER ANGIO 4FR MPAL 2 SII 1,catheter angiography 4fr mpal 2 silicone 1,Supply,Supply,0.96,1,Supply,0.92,1,Supply,0.971345403218,1,Supply,0.999975439755,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.962830210743
488,CATHETER ANGIO BERRIAN L90CM OD,catheter angiography berrian length 90 cm od,Supply,Supply,0.92,1,Supply,0.93,1,Supply,0.97860369407,1,Supply,0.999962945773,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.957141659961
489,CATHETER ANGIO NIH PED L80CM O,catheter angiography nih pediatric length 80 cm,Supply,Supply,0.85,1,Supply,0.69,1,Supply,0.976272223325,1,Supply,0.999990463282,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.879065671652
490,CATHETER ANGIOP BLU MAX 20 L12,catheter angioplasty blue max 20 length 12,Supply,Supply,0.82,1,Supply,0.64,1,Supply,0.961152979764,1,Supply,0.999972789449,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.855281442303
491,CATHETER ANGLED GLIDE 4FR 100C,catheter angled glide 4fr 100c,Supply,Supply,0.97,1,Supply,0.96,1,Supply,0.968163798326,1,Supply,0.999968183868,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.974532995549
492,CATHETER ATRIOSEPTOSTOMY 5F 02,catheter atrioseptostomy 5 2,Supply,Supply,0.75,1,Supply,0.52,1,Supply,0.947506867845,1,Supply,0.999919789745,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.804356664397
493,CATHETER BEACON TIP 4FR,catheter beacon tip 4 french,Supply,Supply,0.82,1,Supply,0.6,1,Supply,0.962276026787,1,Supply,0.999952755183,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.845557195492
494,CATHETER CORONARY JUDKINS RICH,catheter coronary judkins rich,Supply,Supply,0.9,1,Supply,0.85,1,Supply,0.941020403156,1,Supply,0.995807221908,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.921706906266
495,CATHETER CORONARY JUDKINS RIGH,catheter coronary judkins right,Supply,Supply,0.9,1,Supply,0.85,1,Supply,0.900431761005,1,Supply,0.999478071579,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.912477458146
496,CATHETER CV BRVC OD4.2FR W/O V,catheter central venous broviac od4.2fr without v,Supply,Supply,0.95,1,Supply,0.92,1,Supply,0.94983001582,1,Supply,0.999520121983,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.954837534451
497,CATHETER CV L15CM OD10FR CRV E,catheter central venous length 15 cm od10fr crv e,Supply,Supply,0.84,1,Supply,0.68,1,Supply,0.978391041346,1,Supply,0.999990498628,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.874595384993
498,CATHETER INNERVISION VENTRIC S,catheter innervision ventric shunt,Supply,Supply,0.75,1,Supply,0.48,1,Supply,0.944608758137,1,Supply,0.999802340228,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.793602774591
499,CATHETER IV INSYT/ATOGRD L1.16,catheter intravenous insyte autoguard legth 1.16,Supply,Supply,0.99,1,Supply,0.96,1,Supply,0.939760275269,1,Supply,0.999393902285,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.972288544388
500,CATHETER LVS VENT OD BPR,catheter lvs ventilator od bpr,Supply,Supply,0.93,1,Supply,0.9,1,Supply,0.958535644082,1,Supply,0.999854438528,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.947097520652
501,CATHETER PICC DOUBLE LUMEN,catheter peripherally_inserted_central_catheter double_lumen,Supply,Supply,0.82,1,Supply,0.8,1,Supply,0.955746565347,1,Supply,0.999616114678,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.893840670006
502,CATHETER PRFSN .25IN CONN L35C,catheter perfusion 0.25 inches connector length 35 cm,Supply,Supply,0.77,1,Supply,0.5,1,Supply,0.983217438327,1,Supply,0.999979653876,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.813299273051
503,CATHETER SX ARGL L61CM OD8FR R,catheter suction argl l61cm od8fr r,Supply,Supply,0.92,1,Supply,0.84,1,Supply,0.978383882674,1,Supply,0.999958451332,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.934585583502
504,CATHETER SX TRACH CAR ADLT L21,catheter suction tracheostomy care adult length 21,Supply,Supply,0.85,1,Supply,0.72,1,Supply,0.961547349987,1,Supply,0.999928228068,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.882868894514
505,CATHETER SX TRIFLO KIT 10 FR DR,catheter suction triflo kit 10 french dr,Supply,Supply,0.77,1,Supply,0.56,1,Supply,0.985069046398,1,Supply,0.999998760135,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.828766951633
506,CATHETER SX TRIFLO KIT 10FR DR,catheter suction triflo kit 10 french dr,Supply,Supply,0.77,1,Supply,0.56,1,Supply,0.985069046398,1,Supply,0.999998760135,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.828766951633
507,CATHETER THRACNTSIS SIL OD28FR,catheter thoracentesis silicone od28fr,Supply,Supply,0.98,1,Supply,0.96,1,Supply,0.986252493639,1,Supply,0.999954113706,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.981551651836
508,CATHETER THRACNTSIS SIL OD36FR,catheter thoracentesis silicone od36fr,Supply,Supply,0.98,1,Supply,0.96,1,Supply,0.986252493639,1,Supply,0.999954113706,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.981551651836
509,CATHETER UMBIL ARGL PU 12 IN 3.,catheter umbilical argyle pu 12 3,Supply,Supply,1.0,1,Supply,1.0,1,Supply,0.974489330935,1,Supply,0.999976742283,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.993616518304
510,CATHETER URETH 14FR RED RUB,catheter urethral 14fr red rub,Supply,Supply,0.78,1,Supply,0.56,1,Supply,0.982619047264,1,Supply,0.999996886247,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.830653983378
511,CATHETER URI SET,catheter urinary set,Supply,Supply,0.8,1,Supply,0.6,1,Supply,0.987375098275,1,Supply,0.999998173125,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.84684331785
512,CATHETER URTHRL CYSTO CAR PVC,catheter urethral cystography care pvc,Supply,Supply,0.82,1,Supply,0.62,1,Supply,0.970104757022,1,Supply,0.999492521574,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.852399319649
513,CATHETER URTHRL DOVER SIL OD14,catheter urethral dover silver od14,Supply,Supply,0.97,1,Supply,0.96,1,Supply,0.98742874489,1,Supply,0.999937125517,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.979341467602
514,CATHETER URTHRL DOVER SIL OD16,catheter urethral dover silver od16,Supply,Supply,0.97,1,Supply,0.96,1,Supply,0.98742874489,1,Supply,0.999937125517,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.979341467602
515,CATHETER URTHRL OD3FR STYL RND,catheter urethral od3fr style round,Supply,Supply,0.83,1,Supply,0.69,1,Supply,0.975914179121,1,Supply,0.999989185326,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.873975841112
516,CATHETER URTHRL SLF CATH PED 1,catheter urethral self catheter pediatric 1,Supply,Supply,0.84,1,Supply,0.69,1,Supply,0.969009687792,1,Supply,0.999998915714,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.874752150877
517,CBC AUTO WO DIFF,complete_blood_count automated without differential,Laboratory,Laboratory,0.92,1,Laboratory,0.77,1,Laboratory,0.949241060135,1,Laboratory,0.999812472538,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.909763383168
518,CBC AUTO WO DIFF,complete_blood_count automated without differential,Laboratory,Laboratory,0.92,1,Laboratory,0.77,1,Laboratory,0.972204174718,1,Laboratory,0.999997216392,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.915550347777
519,CBC AUTO WO DIFF,complete_blood_count automated without differential,Laboratory,Laboratory,0.92,1,Laboratory,0.77,1,Laboratory,0.938121354761,1,Laboratory,0.999983791844,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.907026286651
520,CBC NO DIFF,complete_blood_count differential,Laboratory,Laboratory,0.85,1,Laboratory,0.67,1,Laboratory,0.974652528132,1,Laboratory,0.999981294369,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.873658455625
521,CBC NO DIFF ,complete_blood_count differential,Laboratory,Laboratory,0.85,1,Laboratory,0.67,1,Laboratory,0.974652528132,1,Laboratory,0.999981294369,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.873658455625
522,CBC WITH AUTO DIFFERENTIAL,complete_blood_count automated differential,Laboratory,Laboratory,0.86,1,Laboratory,0.87,1,Laboratory,0.978442392442,1,Laboratory,0.999997006191,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.927109849658
523,CBC WITH AUTOMATED DIFF,complete_blood_count automated differential,Laboratory,Laboratory,0.83,1,Laboratory,0.7,1,Laboratory,0.978442392442,1,Laboratory,0.999997006191,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.877109849658
524,CBC WITH DIFFERENTIAL,complete_blood_count differential,Laboratory,Laboratory,0.98,1,Laboratory,0.95,1,Laboratory,0.934246291485,1,Laboratory,0.999898387169,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.966036169664
525,CBC WITH DIFFERENTIAL,complete_blood_count differential,Laboratory,Laboratory,0.98,1,Laboratory,0.95,1,Laboratory,0.974652528132,1,Laboratory,0.999981294369,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.976158455625
526,CBC/PLT W/O DIFF/HEMOGRAM,complete blood count platelet without differential hemogram,Laboratory,Laboratory,0.74,1,Laboratory,0.48,1,Laboratory,0.95732821227,1,Laboratory,0.999827074019,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.794288821572
527,CEFAZOLIN 1 G VL,cefazolin 1 gram vial,Pharmacy,Pharmacy,0.91,1,Pharmacy,0.73,1,Pharmacy,0.949034969896,1,Pharmacy,0.994038828055,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.895768449488
528,CEFAZOLIN 1 G VL,cefazolin 1 gram vial,Pharmacy,Pharmacy,0.91,1,Pharmacy,0.73,1,Pharmacy,0.940589573167,1,Pharmacy,0.995166236092,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.893938952315
529,CEFAZOLIN 100 MG/ML SOLR 1 EACH VIAL,cefazolin 100_mg/ml solution 1 vial,Pharmacy,Pharmacy,0.9,1,Pharmacy,0.81,1,Pharmacy,0.986360764336,1,Pharmacy,0.999295805289,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.923914142406
530,CEFAZOLIN 500 MG INJ,cefazolin 500_mg injection,Pharmacy,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.979993921547,1,Pharmacy,0.999935174492,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.99498227401
531,CEFAZOLIN 500 MG INJ,cefazolin 500_mg injection,Pharmacy,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.980944450661,1,Pharmacy,0.999931128474,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.995218894784
532,CEFEPIME 1 GM PREMIX IVPB,cefepime 1_gm premix intravenous_piggyback,Pharmacy,Pharmacy,0.76,1,Pharmacy,0.52,1,Pharmacy,0.935667546815,1,Pharmacy,0.999237725683,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.803726318124
533,CEFEPIME DEXTROSE 2 GM/50 ML,cefepime dextrose 2 gm/50 ml,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.96,1,Pharmacy,0.986725247186,1,Pharmacy,0.999649075272,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.976593580615
534,CEFEPIME IN DEXTROSE 2 GRA,cefepime dextrose 2 grams,Pharmacy,Pharmacy,0.81,1,Pharmacy,0.63,1,Pharmacy,0.942131785751,1,Pharmacy,0.990789906834,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.843230423146
535,CEFEPIME IN DEXTROSE 2 GRA,cefepime dextrose 2 grams,Pharmacy,Pharmacy,0.81,1,Pharmacy,0.63,1,Pharmacy,0.937631088879,1,Pharmacy,0.994226725716,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.842964453649
536,CEFOTAXIME 100 MG/ML SOLR,cefotaxime 100_mg/ml solution,Pharmacy,Pharmacy,0.84,1,Pharmacy,0.73,1,Pharmacy,0.971217827232,1,Pharmacy,0.998762930731,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.884995189491
537,CEFTAROLINE FOSAMIL ACETATE 600MG,ceftaroline fosamil acetate 600 mg,Pharmacy,Pharmacy,0.74,1,Pharmacy,0.47,1,Pharmacy,0.954053782359,1,Pharmacy,0.999502779379,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.790889140435
538,CEFTAZIDIME 200 MG/ML SOLR,ceftazidime 200_mg/ml solution,Pharmacy,Pharmacy,0.91,1,Pharmacy,0.74,1,Pharmacy,0.972481706613,1,Pharmacy,0.998561530056,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.905260809167
539,CEFTRIAXONE 10 GRAM SOLR,ceftriaxone 10 gram solution,Pharmacy,Pharmacy,0.9,1,Pharmacy,0.81,1,Pharmacy,0.980389048401,1,Pharmacy,0.999472174719,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.92246530578
540,CEFTRIAXONE 10 GRAM SOLR,ceftriaxone 10 gram solution,Pharmacy,Pharmacy,0.9,1,Pharmacy,0.81,1,Pharmacy,0.976573641413,1,Pharmacy,0.999098889165,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.921418132644
541,CEFTRIAXONE/ROCEPHIN 250MG VL,ceftriaxone rocephin 250 mg vial,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.89,1,Pharmacy,0.983906940874,1,Pharmacy,0.99916471309,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.958267913491
542,CEMENT BN ENDRN 40GM,cement bone endrn 40_gm,Implant,Supply,0.69,1,Supply,0.41,1,Supply,0.719181732256,1,Supply,0.619538149279,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.609679970384
543,CEPHALEXIN 250MG/5ML SUSP,cephalexin 250 mg/5 ml suspension,Pharmacy,Pharmacy,0.86,1,Pharmacy,0.61,1,Pharmacy,0.989063650287,1,Pharmacy,0.999697037004,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.864690171823
544,CHEST DRAIN THORAKLEX,chest drain thoraklex,Supply,Supply,0.82,1,Supply,0.58,1,Supply,0.822374341713,1,Supply,0.982727049701,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.801275347854
545,CHEST PHYS THPY COMP SUBSQ,chest physio therapy compression subsequent,Respiratory Therapy,Respiratory Therapy,0.86,1,Respiratory Therapy,0.65,1,Respiratory Therapy,0.925725313515,1,Respiratory Therapy,0.999846034931,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.858892837112
546,CHEST PHYSIO INTER 10 30MI,chest physiotherapy intermittant 10 30mi,Respiratory Therapy,Respiratory Therapy,0.85,1,Respiratory Therapy,0.64,1,Respiratory Therapy,0.8277624138,1,Respiratory Therapy,0.98132779703,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.824772552708
547,CHEST PHYSIO SUBSEQ 10 30,chest physiotherapy subsequent 10 30,Respiratory Therapy,Respiratory Therapy,0.95,1,Respiratory Therapy,0.86,1,Respiratory Therapy,0.750353026637,1,Respiratory Therapy,0.922878549055,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.870807893923
548,CHEST PHYSIO SUBSEQ 10 30,chest physiotherapy subsequent 10 30,Respiratory Therapy,Respiratory Therapy,0.95,1,Respiratory Therapy,0.86,1,Respiratory Therapy,0.914920403187,1,Respiratory Therapy,0.998625735944,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.930886534783
549,CHEST/BEDSIDE DR,chest bedside dr,Radiology,Monitoring,0.76,0,Radiology,0.47,1,Radiology,0.842088859488,1,Radiology,0.939549276662,1,Radiology,"DLevenshtein, Logistic_OvR, DeepNN",0.750546045384
550,CHG GLUCOSE BLOOD BY MONITORING DEV,glucose blood monitoring device,Monitoring,Monitoring,0.94,1,Monitoring,0.9,1,Monitoring,0.916905324362,1,Monitoring,0.999354672273,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.939064999159
551,CHG VENIPUNCTURE,venipuncture,Nursing Services,Nursing Services,0.93,1,Nursing Services,0.8,1,Nursing Services,0.803351295813,1,Nursing Services,0.994727068617,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.882019591107
552,CHLORAPREP 25 ML,chloraprep 25_ml,Pharmacy,Pharmacy,0.93,1,Pharmacy,0.86,1,Pharmacy,0.758971512063,1,Pharmacy,0.958472431969,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.876860986008
553,CHLORHEXIDINE 0.12% MWSH,chlorhexidine 0.12% mouthwash,Supply,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.850220182621,1,Pharmacy,0.859190710638,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.927352723315
554,CHLORHEXIDINE 0.12% MWSH,chlorhexidine 0.12% mouthwash,Supply,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.827638622405,1,Pharmacy,0.751859046215,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.894874417155
555,CHLORHEXIDINE 0.12% MWSH,chlorhexidine 0.12% mouthwash,Supply,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.782067690044,1,Pharmacy,0.740268657061,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.880584086776
556,CHLORHEXIDINE ORAL RINSE 15ML,chlorhexidine oral rinse 15_ml,Pharmacy,Pharmacy,0.92,1,Pharmacy,0.76,1,Pharmacy,0.867184631544,1,Pharmacy,0.976852626078,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.881009314405
557,CHLORHEXIDINE ORAL RINSE 15ML,chlorhexidine oral rinse 15_ml,Pharmacy,Pharmacy,0.92,1,Pharmacy,0.76,1,Pharmacy,0.794038778257,1,Pharmacy,0.954482020509,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.857130199691
558,CHLORIDE,chloride,Laboratory,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.853307294254,1,Laboratory,0.93124315875,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.946137613251
559,CHLORIDE BG ,chloride blood_gas,Laboratory,Laboratory,0.93,1,Laboratory,0.82,1,Laboratory,0.887878233823,1,Laboratory,0.998965730079,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.909210990975
560,CHLORIDE URINE,chloride urine,Laboratory,Laboratory,0.87,1,Laboratory,0.68,1,Laboratory,0.911283508124,1,Laboratory,0.996001935852,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.864321360994
561,CHLORIDE URINE ,chloride urine,Laboratory,Laboratory,0.87,1,Laboratory,0.68,1,Laboratory,0.911283508124,1,Laboratory,0.996001935852,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.864321360994
562,CHLOROTHIAZIDE 250MG/5ML SUSP,chlorothiazide 250 mg/5 ml suspension,Pharmacy,Pharmacy,0.98,1,Pharmacy,0.93,1,Pharmacy,0.984814792117,1,Pharmacy,0.999764471709,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.973644815956
563,CHLOROTHIAZIDE 25MG/ML INJ,chlorothiazide 25 mg ml injection,Pharmacy,Pharmacy,0.93,1,Pharmacy,0.83,1,Pharmacy,0.99303148091,1,Pharmacy,0.999987704416,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.938254796332
564,CHLOROTHIAZIDE 28 MG/ML SOL WCH00 0011 56,chlorothiazide 28 mg ml solution wch00 0011 56,Pharmacy,Pharmacy,0.89,1,Pharmacy,0.69,1,Pharmacy,0.991666701828,1,Pharmacy,0.999652531101,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.892829808232
565,CHLOROTHIAZIDE DIURIL 250MG,chlorothiazide diuril 250 mg,Pharmacy,Pharmacy,0.94,1,Pharmacy,0.82,1,Pharmacy,0.966045387184,1,Pharmacy,0.999376038002,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.931355356296
566,CHOLESTYRAMINE 4GM/ASPARTAME 5GM,cholestyramine 4 gm aspartame 5 gm,Pharmacy,Supply,0.75,0,Pharmacy,0.37,1,Pharmacy,0.906546145551,1,Pharmacy,0.98927577985,1,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.755273975134
567,CIPROFLOXACIN 0.3% OINTMENT,ciprofloxacin 0.3% ointment,Pharmacy,Pharmacy,0.83,1,Pharmacy,0.61,1,Pharmacy,0.930054946617,1,Pharmacy,0.999285241099,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.842335046929
568,CIPROFLOXACIN 500 MG/5 ML,ciprofloxacin 500_mg/5_ml,Pharmacy,Pharmacy,0.88,1,Pharmacy,0.76,1,Pharmacy,0.979407990791,1,Pharmacy,0.999067209837,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.904618800157
