,cleaned_descrip,NORM_DESC,amount_bins,CHRG_CLS,Dominant CC1,Dominant CC2,# of descriptions,% Dominance1,% Dominance2,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
641,CEFEPIME IN DEXTROSE 2 GRA,cefepime dextrose 2 grams,"(20, 40]",Pharmacy,Pharmacy,Supply,1443.0,40.4019404019,22.2453222453,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,0.96,1,Pharmacy,0.966290203294,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.914072550824
642,CEFEPIME IN DEXTROSE 2 GRA,cefepime dextrose 2 grams,"(20, 40]",Pharmacy,Pharmacy,Supply,1443.0,40.4019404019,22.2453222453,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,0.96,1,Pharmacy,0.966290203294,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.914072550824
643,CEFOTAXIME 100 MG/ML SOLR,cefotaxime 100_mg/ml solution,"(100, 300]",Pharmacy,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,0.975353595268,1,Pharmacy,0.999806449982,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.938790011313
644,CEFTAROLINE FOSAMIL ACETATE 600MG,ceftaroline fosamil acetate 600 mg,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.74,1,Pharmacy,0.47,1,Pharmacy,0.949089186301,1,Pharmacy,0.99951499129,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.789651044398
645,CEFTAZIDIME 200 MG/ML SOLR,ceftazidime 200_mg/ml solution,"(60, 100]",Pharmacy,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Pharmacy,0.91,1,Pharmacy,0.93,1,Pharmacy,0.97718366857,1,Pharmacy,0.999797579345,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.954245311979
646,CEFTRIAXONE 10 GRAM SOLR,ceftriaxone 10 gram solution,"(60, 100]",Pharmacy,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Pharmacy,0.9,1,Pharmacy,0.96,1,Pharmacy,0.980638068111,1,Pharmacy,0.999377813639,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.960003970438
647,CEFTRIAXONE 10 GRAM SOLR,ceftriaxone 10 gram solution,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.9,1,Pharmacy,0.96,1,Pharmacy,0.980638068111,1,Pharmacy,0.999377813639,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.960003970438
648,CEFTRIAXONE/ROCEPHIN 250MG VL,ceftriaxone rocephin 250 mg vial,"(60, 100]",Pharmacy,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Pharmacy,0.96,1,Pharmacy,0.96,1,Pharmacy,0.98627879924,1,Pharmacy,0.999351028198,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.97640745686
649,CEMENT BN ENDRN 40GM,cement bone endrn 40_gm,"(650, 1000]",Implant,Supply,Laboratory,344.0,21.2209302326,15.4069767442,Supply,0.69,1,Supply,0.41,1,Supply,0.76,1,Supply,0.834625491394,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.673656372848
650,CEPHALEXIN 250MG/5ML SUSP,cephalexin 250 mg/5 ml suspension,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.86,1,Pharmacy,0.88,1,Pharmacy,0.990978541305,1,Pharmacy,0.999914074245,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.932723153887
651,CHEST PHYS THPY COMP SUBSQ,chest physio therapy compression subsequent,"(100, 300]",Respiratory Therapy,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Respiratory Therapy,0.86,1,Respiratory Therapy,0.88,1,Respiratory Therapy,0.96,1,Respiratory Therapy,0.999960888778,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.924990222194
652,CHEST PHYSIO INTER 10 30MI,chest physiotherapy intermittant 10 30mi,"(100, 300]",Respiratory Therapy,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Respiratory Therapy,0.85,1,Respiratory Therapy,0.88,1,Respiratory Therapy,0.45965964834,1,Respiratory Therapy,0.9659379763,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.78889940616
653,CHEST PHYSIO SUBSEQ 10 30,chest physiotherapy subsequent 10 30,"(100, 300]",Respiratory Therapy,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Respiratory Therapy,0.95,1,Respiratory Therapy,0.96,1,Respiratory Therapy,0.96,1,Respiratory Therapy,0.999841407464,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.967460351866
654,CHEST PHYSIO SUBSEQ 10 30,chest physiotherapy subsequent 10 30,"(100, 300]",Respiratory Therapy,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Respiratory Therapy,0.95,1,Respiratory Therapy,0.96,1,Respiratory Therapy,0.96,1,Respiratory Therapy,0.999841407464,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.967460351866
655,CHEST/BEDSIDE DR,chest bedside dr,"(100, 300]",Radiology,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Monitoring,0.76,0,Radiology,0.47,1,Radiology,0.58137801527,1,Respiratory Therapy,0.867625846228,0,Radiology,"DLevenshtein, Logistic_OvR",0.262844503818
656,CHG GLUCOSE BLOOD BY MONITORING DEV,glucose blood monitoring device,"(20, 40]",Monitoring,Pharmacy,Supply,1443.0,40.4019404019,22.2453222453,Monitoring,0.94,1,Monitoring,0.9,1,Monitoring,0.928198328105,1,Monitoring,0.996822552318,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.941255220106
657,CHG VENIPUNCTURE,venipuncture,"(20, 40]",Nursing Services,Pharmacy,Supply,1443.0,40.4019404019,22.2453222453,Nursing Services,0.91,1,Nursing Services,0.96,1,Nursing Services,0.96,1,Nursing Services,0.991506479426,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.955376619857
658,CHLORAPREP 25 ML,chloraprep 25_ml,"(60, 100]",Pharmacy,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Pharmacy,0.93,1,Pharmacy,0.96,1,Pharmacy,0.96,1,Pharmacy,0.991036588041,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.96025914701
659,CHLORHEXIDINE GLUCONATE 0.12 % MWSH,chlorhexidine gluconate 0.12% mouthwash,"(0, 5]",Supply,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.9,1,Pharmacy,0.93,1,Pharmacy,0.96,1,Pharmacy,0.99905869043,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.947264672608
660,CHLORHEXIDINE GLUCONATE 0.12 % MWSH,chlorhexidine gluconate 0.12% mouthwash,"(0, 5]",Supply,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.9,1,Pharmacy,0.93,1,Pharmacy,0.96,1,Pharmacy,0.99905869043,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.947264672608
661,CHLORHEXIDINE GLUCONATE 0.12 % MWSH,chlorhexidine gluconate 0.12% mouthwash,"(0, 5]",Supply,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.9,1,Pharmacy,0.93,1,Pharmacy,0.96,1,Pharmacy,0.99905869043,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.947264672608
662,CHLORHEXIDINE ORAL RINSE 15ML,chlorhexidine oral rinse 15_ml,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.92,1,Pharmacy,0.93,1,Pharmacy,0.92,1,Pharmacy,0.976981195394,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.936745298848
663,CHLORHEXIDINE ORAL RINSE 15ML,chlorhexidine oral rinse 15_ml,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.92,1,Pharmacy,0.93,1,Pharmacy,0.92,1,Pharmacy,0.976981195394,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.936745298848
664,CHLORIDE,chloride,"(40, 60]",Laboratory,Laboratory,Pharmacy,1050.0,29.0476190476,29.0476190476,Laboratory,1.0,1,Laboratory,1.0,1,Diluent / Flush / Irrigant,0.407685269039,0,Laboratory,0.894032240503,1,Laboratory,"Jaro, DLevenshtein, DeepNN",0.964677413501
665,CHLORIDE,chloride,"(100, 300]",Laboratory,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Laboratory,1.0,1,Laboratory,1.0,1,Diluent / Flush / Irrigant,0.407685269039,0,Laboratory,0.894032240503,1,Laboratory,"Jaro, DLevenshtein, DeepNN",0.964677413501
666,CHLORIDE BG ,chloride blood_gas,"(60, 100]",Laboratory,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Laboratory,0.93,1,Laboratory,0.96,1,Laboratory,0.92,1,Laboratory,0.99997191576,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95249297894
667,CHLORIDE URINE,chloride urine,"(60, 100]",Laboratory,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Laboratory,0.87,1,Laboratory,0.88,1,Laboratory,0.96,1,Laboratory,0.999813373765,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.927453343441
668,CHLORIDE URINE,chloride urine,"(60, 100]",Laboratory,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Laboratory,0.87,1,Laboratory,0.88,1,Laboratory,0.96,1,Laboratory,0.999813373765,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.927453343441
669,CHLORIDE URINE ,chloride urine,"(20, 40]",Laboratory,Pharmacy,Supply,1443.0,40.4019404019,22.2453222453,Laboratory,0.87,1,Laboratory,0.88,1,Laboratory,0.96,1,Laboratory,0.999813373765,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.927453343441
670,CHLORIDE URINE ,chloride urine,"(20, 40]",Laboratory,Pharmacy,Supply,1443.0,40.4019404019,22.2453222453,Laboratory,0.87,1,Laboratory,0.88,1,Laboratory,0.96,1,Laboratory,0.999813373765,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.927453343441
671,CHLOROTHIAZIDE 250MG/5ML SUSP,chlorothiazide 250 mg/5 ml suspension,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.98,1,Pharmacy,0.93,1,Pharmacy,0.986410065807,1,Pharmacy,0.999865573592,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.97406890985
672,CHLOROTHIAZIDE 25MG/ML INJ,chlorothiazide 25 mg ml injection,"(60, 100]",Pharmacy,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Pharmacy,0.93,1,Pharmacy,0.96,1,Pharmacy,0.993276184053,1,Pharmacy,0.999992888034,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.970817268022
673,CHLOROTHIAZIDE 28 MG/ML SOL WCH00 0011 56,chlorothiazide 28 mg ml solution wch00 0011 56,"(100, 300]",Pharmacy,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Pharmacy,0.89,1,Pharmacy,0.88,1,Pharmacy,0.992413686816,1,Pharmacy,0.999880761037,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.940573611963
674,CHLOROTHIAZIDE DIURIL 250MG,chlorothiazide diuril 250 mg,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.94,1,Pharmacy,0.96,1,Pharmacy,0.96518372125,1,Pharmacy,0.999298265663,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.966120496728
675,CHOLESTYRAMINE 4GM/ASPARTAME 5GM,cholestyramine 4 gm aspartame 5 gm,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Supply,0.75,0,Pharmacy,0.37,1,Pharmacy,0.96,1,Pharmacy,0.991609122606,1,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.773869707535
676,CIPROFLOXACIN 0.3% OINTMENT,ciprofloxacin 0.3% ointment,"(100, 300]",Pharmacy,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,0.912509285312,1,Pharmacy,0.998881632721,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.910347729508
677,CIPROFLOXACIN 500 MG/5 ML,ciprofloxacin 500_mg/5_ml,"(60, 100]",Pharmacy,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Pharmacy,0.88,1,Pharmacy,0.93,1,Pharmacy,0.981217323224,1,Pharmacy,0.999767033197,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.947746089105
678,CIPROFLOXACIN HCL 500 MG TABLET,ciprofloxacin hcl 500_mg tablet,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,0.981345714795,1,Pharmacy,0.99955185569,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.927724392621
679,CIPROFLOXACIN IN D5W 400 MG/200ML,ciprofloxacin dextrose_5% water 400 mg/200 ml,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.94,1,Pharmacy,0.96,1,Pharmacy,0.980538133835,1,Pharmacy,0.999603918591,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.970035513107
680,CIRCUIT BREATH PEDIATRICS E,circuit breathing pediatrics e,"(60, 100]",Supply,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Supply,0.77,1,Supply,0.48,1,Supply,0.582053929991,1,Respiratory Therapy,0.649505844921,0,Supply,"Jaro, DLevenshtein, Logistic_OvR",0.61068464333
681,CIRCUIT BREATH PEDIATRICS E,circuit breathing pediatrics e,"(60, 100]",Supply,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Supply,0.77,1,Supply,0.48,1,Supply,0.582053929991,1,Respiratory Therapy,0.649505844921,0,Supply,"Jaro, DLevenshtein, Logistic_OvR",0.61068464333
682,CIRCUIT BREATH PEDIATRICS E,circuit breathing pediatrics e,"(60, 100]",Supply,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Supply,0.77,1,Supply,0.48,1,Supply,0.582053929991,1,Respiratory Therapy,0.649505844921,0,Supply,"Jaro, DLevenshtein, Logistic_OvR",0.61068464333
683,CIRCUIT KIT DRY TUBE ADULT/PED,circuit kit dry tube adult pediatric,"(100, 300]",Supply,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Supply,0.87,1,Supply,0.88,1,Supply,0.973750563233,1,Supply,0.999980466816,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.930932757512
684,CIRCURT KIT DRY TUBE ADULT/PED,circurt kit dry tube adult pediatric,"(100, 300]",Supply,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Supply,0.85,1,Supply,0.88,1,Supply,0.964848805619,1,Supply,0.999965403907,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.923703552381
685,CISATRACURIUM 10 MG/ML SOLN 0074 4382 20,cisatracurium 10 mg ml solution 0074 4382 20,"(1000, 2500]",Pharmacy,Radiology,Supply,461.0,21.0412147505,13.6659436009,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,0.985327425472,1,Pharmacy,0.999385804586,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.928678307514
686,CISATRACURIUM 2MG/ML 10ML VL,cisatracurium 2 mg ml 10 ml vial,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.97,1,Pharmacy,0.96,1,Pharmacy,0.988829715213,1,Pharmacy,0.997884096465,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.979178452919
687,CLAMP OSTOMY HOLLISTER,clamp ostomy hollister,"(0, 5]",Supply,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Laboratory,0.72,0,Respiratory Therapy,0.43,0,Supply,0.941885186389,1,Supply,0.992956054581,1,Supply,"Logistic_OvR, DeepNN",0.483710310242
688,CLARITHROMYCIN 500MG TAB,clarithromycin 500_mg tablet,"(20, 40]",Pharmacy,Pharmacy,Supply,1443.0,40.4019404019,22.2453222453,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,0.984539939377,1,Pharmacy,0.999414343379,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.940988570689
689,CLIP STANDARD RIGHT ANGEL,clip standard right angle,"(100, 300]",Supply,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,PT / OT / Speech Therapy,0.75,0,PT / OT / Speech Therapy,0.81,0,Supply,0.96,1,Supply,0.95162326907,1,Supply,"Logistic_OvR, DeepNN",0.477905817267
690,CLONAZEPAM 0.5 MG TABLET,clonazepam 0.5_mg tablet,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.93,1,Pharmacy,0.96,1,Pharmacy,0.947668739924,1,Pharmacy,0.913601124134,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.937817466014
691,CLONAZEPAM 0.5 MG TABLET,clonazepam 0.5_mg tablet,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.93,1,Pharmacy,0.96,1,Pharmacy,0.947668739924,1,Pharmacy,0.913601124134,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.937817466014
692,CLONAZEPAM 0.5 MG TABLET,clonazepam 0.5_mg tablet,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.93,1,Pharmacy,0.96,1,Pharmacy,0.947668739924,1,Pharmacy,0.913601124134,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.937817466014
693,CLONIDINE/CATAPRES 0.2MG TAB B,clonidine catapres 0.2 mg tablet b,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.98,1,Pharmacy,0.96,1,Pharmacy,0.987236365564,1,Pharmacy,0.998843923779,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.981520072336
694,CLOSTRIDIUM ENZYM ANTIGENASSAY,clostridium enzyme antigenassay,"(100, 300]",Laboratory,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Laboratory,0.78,1,Laboratory,0.88,1,Laboratory,0.912378005208,1,Laboratory,0.999502014294,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.892970004876
695,CLOTRIMAZOLE 10 MG MT TROC,clotrimazole 10 mg mt troc,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.91,1,Pharmacy,0.96,1,Pharmacy,0.952065435707,1,Pharmacy,0.994523077113,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.954147128205
696,CMPNT FEM PRCT CR RT S,component femoral prct cr respiratory_therapy sigma,"(9000, 187611]",Implant,Implant,Room and Board,66.0,24.2424242424,21.2121212121,Laboratory,0.71,1,Implant,0.38,0,Supply,0.455936935777,0,Laboratory,0.851967743453,1,Laboratory,"Jaro, DeepNN",0.390491935863
697,CMV ANTIBODY IGM,cytomegalovirus antibody immunoglobulin,"(100, 300]",Laboratory,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.962148776748,1,Laboratory,0.999866781764,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.990503889628
698,CMV ANTIBODY IGM,cytomegalovirus antibody immunoglobulin,"(100, 300]",Laboratory,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.962148776748,1,Laboratory,0.999866781764,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.990503889628
699,CMV IGM,cytomegalovirus immunoglobulin,"(60, 100]",Pharmacy,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Laboratory,0.75,1,Laboratory,0.81,1,Laboratory,0.942553474182,1,Laboratory,0.999900678049,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.875613538058
700,CMV IGM,cytomegalovirus immunoglobulin,"(100, 300]",Pharmacy,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Laboratory,0.75,1,Laboratory,0.81,1,Laboratory,0.942553474182,1,Laboratory,0.999900678049,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.875613538058
701,CMV IGM,cytomegalovirus immunoglobulin,"(100, 300]",Pharmacy,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Laboratory,0.75,1,Laboratory,0.81,1,Laboratory,0.942553474182,1,Laboratory,0.999900678049,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.875613538058
702,CMV IGM,cytomegalovirus immunoglobulin,"(40, 60]",Pharmacy,Laboratory,Pharmacy,1050.0,29.0476190476,29.0476190476,Laboratory,0.75,1,Laboratory,0.81,1,Laboratory,0.942553474182,1,Laboratory,0.999900678049,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.875613538058
703,CO TRIMOXAZOLE ORAL SUSP 480ML,co trimoxazole oral suspension 480 ml,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.78,1,Pharmacy,0.81,1,Pharmacy,0.90213045736,1,Pharmacy,0.995398103953,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.871882140328
704,CO2 INFSUFFLATOR,carbon_dioxide infsufflator,"(60, 100]",Supply,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Monitoring,0.71,0,Supply,0.45,0,Laboratory,0.76,1,Laboratory,0.981069301892,1,Laboratory,"Logistic_OvR, DeepNN",0.435267325473
705,COAG / FIBRIN ASSAY WB IN,coag fibrin assay whole_blood individual,"(60, 100]",Laboratory,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Supply,0.72,0,Laboratory,0.45,1,Laboratory,0.901035146158,1,Laboratory,0.999941401113,1,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.78365884909
706,COLLAGENASE 250 UNIT/GM OINT 30 G TUBE,collagenase 250_units/gram ointment 30 g tube,"(1000, 2500]",Pharmacy,Radiology,Supply,461.0,21.0412147505,13.6659436009,Pharmacy,0.85,1,Pharmacy,0.81,1,Pharmacy,0.96,1,Pharmacy,0.967195723976,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.896798930994
707,COLLAGENASE 250 UNIT/GM OINT 30 G TUBE,collagenase 250_units/gram ointment 30 g tube,"(650, 1000]",Pharmacy,Supply,Laboratory,344.0,21.2209302326,15.4069767442,Pharmacy,0.85,1,Pharmacy,0.81,1,Pharmacy,0.96,1,Pharmacy,0.967195723976,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.896798930994
708,COMP PATELLAR 41MM,component patellar 41_mm,"(2500, 9000]",Implant,Room and Board,Radiology,395.0,38.2278481013,15.1898734177,Laboratory,0.79,0,Pharmacy,0.45,0,Supply,0.499011293631,0,Implant,0.932897963616,1,Implant,DeepNN,0.233224490904
709,COMPREHENSIVE METABOLIC PANEL,comprehensive metabolic panel,"(100, 300]",Laboratory,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.93551448952,1,Laboratory,0.999986183103,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.983875168156
710,COMPREHENSIVE METABOLIC PANEL,comprehensive metabolic panel,"(100, 300]",Laboratory,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.93551448952,1,Laboratory,0.999986183103,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.983875168156
711,COMPREHENSIVE METABOLIC PANEL,comprehensive metabolic panel,"(100, 300]",Laboratory,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.93551448952,1,Laboratory,0.999986183103,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.983875168156
712,COMPREHENSIVE METABOLIC PANEL,comprehensive metabolic panel,"(300, 650]",Laboratory,Laboratory,Supply,1035.0,24.2512077295,21.8357487923,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.93551448952,1,Laboratory,0.999986183103,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.983875168156
713,COMPREHENSIVE METABOLIC PANEL,comprehensive metabolic panel,"(100, 300]",Laboratory,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.93551448952,1,Laboratory,0.999986183103,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.983875168156
714,COMPREHENSIVE METABOLIC PANEL,comprehensive metabolic panel,"(300, 650]",Laboratory,Laboratory,Supply,1035.0,24.2512077295,21.8357487923,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.93551448952,1,Laboratory,0.999986183103,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.983875168156
715,COMPREHENSIVE METABOLIC PANEL,comprehensive metabolic panel,"(300, 650]",Laboratory,Laboratory,Supply,1035.0,24.2512077295,21.8357487923,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.93551448952,1,Laboratory,0.999986183103,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.983875168156
716,CON FISH + CULTURE DIRECT CELL CULTURE,contrast fish culture direct cell culture,"(300, 650]",Laboratory,Laboratory,Supply,1035.0,24.2512077295,21.8357487923,Laboratory,0.77,1,Laboratory,0.88,1,Laboratory,0.988881272423,1,Laboratory,0.999999793504,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.909720266482
717,CONCENTRATE SMEARS,concentrate smears,"(300, 650]",Laboratory,Laboratory,Supply,1035.0,24.2512077295,21.8357487923,Laboratory,0.85,1,Laboratory,0.81,1,Laboratory,0.96,1,Laboratory,0.962149238677,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.895537309669
