descrip	rev_code	proc_code	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS
ANGIOCATH 16G-22G X1	270.0	None	1.0	27.99	27.99	angiocath 16_g 22_g x1	Supply
ANGIOCATH 18G 1 1/4	270.0	None	1.0	29.0	29.0	angiocath 18_g 1 1/4	Supply
ANGIOCATH 18G 1 1/4	272.0	None	2.0	58.0	29.0	angiocath 18_g 1 1/4	Supply
ANGIOGRAM EXTREMITY BILATERAL S/I	323.0	None	1.0	3568.0	3568.0	angiogram extremity bilateral surgical / Interpretation	Radiology
ANGIOSEAL 6FR ORDER INCREMENT OF 10-EA	278.0	C1760	1.0	1873.8	1873.8	angioseal 6fr order increment of 10 each	Supply
ANGIOSEAL 6FR ORDER INCREMENT OF 10-EA	278.0	None	1.0	1873.8	1873.8	angioseal 6fr order increment of 10 each	Supply
ANIDULAFUNGIN 50 MG SOLR 1	250.0	J0348	100.0	432.64	4.3264	anidulafungin 50_mg solution 1	Pharmacy
ANIDULAFUNGIN 50 MG SOLR 1	250.0	None	100.0	432.64	4.3264	anidulafungin 50_mg solution 1	Pharmacy
ANKLE FOOT ORTHOSIS	274.0	None	2.0	126.0	63.0	ankle foot orthosis	Supply
ANS GENERAL PER MIN	370.0	816444	114.5	2365.0	22.0	anesthesia general per minute	OR / Anesthesia / Recovery Room
ANS GENERAL PER MIN	370.0	None	159.0	3381.0	22.0	anesthesia general per minute	OR / Anesthesia / Recovery Room
ANS MAC REGIONAL PER MINUTE	370.0	None	44.5	712.0	16.0	anesthesia monitored anesthesia care regional per minute	OR / Anesthesia / Recovery Room
ANTI HEPATITIS C	302.0	None	1.0	193.0	193.0	anti hepatitis c	Laboratory
ANTIBODY ELUTION	300.0	86860	1.0	201.0	201.0	antibody elution	Laboratory
ANTIBODY ELUTION	300.0	None	1.0	201.0	201.0	antibody elution	Laboratory
ANTIBODY ELUTION	302.0	None	1.0	225.0	225.0	antibody elution	Laboratory
ANTIBODY SCR	300.0	None	1.0	116.5	116.5	antibody screen	Laboratory
ANTIBODY SCREEN	278.0	None	1.0	69.15	69.15	antibody screen	Laboratory
ANTIBODY SCREEN	300.0	00458	1.0	83.25	83.25	antibody screen	Laboratory
ANTIBODY SCREEN	300.0	101004	1.0	143.0	143.0	antibody screen	Laboratory
ANTIBODY SCREEN	300.0	30000126	1.0	188.0	188.0	antibody screen	Laboratory
ANTIBODY SCREEN	300.0	30000230	1.0	62.0	62.0	antibody screen	Laboratory
ANTIBODY SCREEN	300.0	30000248	1.0	149.0	149.0	antibody screen	Laboratory
ANTIBODY SCREEN	300.0	80001618	1.0	118.0	118.0	antibody screen	Laboratory
ANTIBODY SCREEN	300.0	86850	1.0	188.0	188.0	antibody screen	Laboratory
ANTIBODY SCREEN	300.0	986850	1.0	188.0	188.0	antibody screen	Laboratory
ANTIBODY SCREEN	300.0	None	1.0	118.0	118.0	antibody screen	Laboratory
ANTIBODY SCREEN	301.0	None	1.0	205.0	205.0	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	03750	1.0	87.75	87.75	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	20808418	1.0	200.0	200.0	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	316850	1.0	159.0	159.0	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	36850	1.0	159.0	159.0	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	60039710	1.0	169.0	169.0	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	66850	1.0	159.0	159.0	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	80001618	1.0	118.0	118.0	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	86580	1.0	159.0	159.0	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	86850	1.0	159.0	159.0	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	86850A	1.0	202.0	202.0	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	86885	1.0	93.0	93.0	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	96850	1.0	159.0	159.0	antibody screen	Laboratory
ANTIBODY SCREEN	302.0	None	1.0	159.0	159.0	antibody screen	Laboratory
ANTIBODY SCREEN	309.0	30900700	1.0	179.2	179.2	antibody screen	Laboratory
ANTIBODY SCREEN	309.0	76100056	1.0	252.5	252.5	antibody screen	Laboratory
ANTIBODY SCREEN	309.0	86850	1.0	137.0	137.0	antibody screen	Laboratory
ANTIBODY SCREEN	309.0	None	1.0	179.2	179.2	antibody screen	Laboratory
ANTIBODY SCREEN	380.0	None	1.0	172.2	172.2	antibody screen	Laboratory
ANTIBODY SCREEN	390.0	66850	1.0	113.0	113.0	antibody screen	Laboratory
ANTIBODY SCREEN	390.0	86850	1.0	113.0	113.0	antibody screen	Laboratory
ANTIBODY SCREEN	390.0	88850	1.0	83.0	83.0	antibody screen	Laboratory
ANTIBODY SCREEN	390.0	None	1.0	83.0	83.0	antibody screen	Laboratory
ANTIBODY SCREEN	411.0	None	1.0	49.6	49.6	antibody screen	Laboratory
ANTIBODY SCREEN	424.0	None	1.0	76.875	76.875	antibody screen	Laboratory
ANTIBODY SCREEN EACH TECHNIQUE	300.0	None	1.0	83.0	83.0	antibody screen each technique	Laboratory
ANTIBODY SCREEN EACH TECHNIQUE	302.0	86850	1.0	113.0	113.0	antibody screen each technique	Laboratory
ANTIBODY SCREEN EACH TECHNIQUE	302.0	86850.0	1.0	83.0	83.0	antibody screen each technique	Laboratory
ANTIBODY SCREEN EACH TECHNIQUE	302.0	None	1.0	83.0	83.0	antibody screen each technique	Laboratory
ANTIBODY SCREEN RBC EACH SERUM	302.0	800001330	1.0	114.0	114.0	antibody screen red_blood_cell each serum	Laboratory
ANTIBODY SCREEN RBC EACH SERUM	302.0	None	1.0	118.0	118.0	antibody screen red_blood_cell each serum	Laboratory
ANTICOAG SCREEN MIXING STUDIES	305.0	None	1.0	67.0	67.0	anticoagulant screen mixing studies	Laboratory
ANTIMICROBIAL BREAKPOINT/MIC	306.0	87186	1.0	181.0	181.0	antimicrobial breakpoint/microscopy	Laboratory
ANTIMICROBIAL BREAKPOINT/MIC	306.0	87186.0	1.0	224.0	224.0	antimicrobial breakpoint/microscopy	Laboratory
ANTIMICROBIAL BREAKPOINT/MIC	306.0	None	1.0	224.0	224.0	antimicrobial breakpoint/microscopy	Laboratory
ANTITHROMBIN III 1750 UNITS SOLR 1 INT'L UNITS VIAL	250.0	None	74.0	41784.3	564.652702703	antithrombin iii 1750_units solution 1 intl_units vial	Plan Benefit
ANTITHROMBIN III 1U NE	252.0	None	500.0	11480.0	22.96	antithrombin iii 1u ne	Plan Benefit
ANTITHROMBIN III 50 IU	250.0	None	138.0	1108.14	8.03	antithrombin iii 50 iu	Plan Benefit
ANTITHROMBIN III 50 IU	636.0	None	340.0	2825.4	8.31	antithrombin iii 50 iu	Plan Benefit
ANTITHROMBIN III 500 UN	250.0	None	1.0	5225.2	5225.2	antithrombin iii 500_units	Plan Benefit
ANTITHROMBIN III ACTIVITY	300.0	85300	1.0	800.44	800.44	antithrombin 3 activity	Laboratory
ANTITHROMBIN III ACTIVITY	300.0	None	1.0	206.0	206.0	antithrombin 3 activity	Laboratory
ANTITHROMBIN III ACTIVITY	305.0	None	1.0	423.0	423.0	antithrombin 3 activity	Laboratory
AORTIC BALLOON VALVULOPLASTY	481.0	None	1.0	7634.0	7634.0	aortic balloon valvuloplasty	Cardiology
APPLICATOR CHLORAPREP 3ML C	250.0	A4649	1.0	4.0	4.0	applicator chloraprep 3 ml c	Supply
APPLICATOR CHLORAPREP 3ML C	250.0	None	2.0	8.0	4.0	applicator chloraprep 3 ml c	Supply
APPLICATOR CHLORAPREP 3ML C	270.0	A4649	3.0	12.0	4.0	applicator chloraprep 3 ml c	Supply
APPLICATOR CHLORAPREP 3ML C	270.0	None	1.0	4.0	4.0	applicator chloraprep 3 ml c	Supply
APPLICATOR CHLORAPREP 3ML C	271.0	None	1.0	4.0	4.0	applicator chloraprep 3 ml c	Supply
APPLIER CLIP MULTI 20 LG	272.0	None	1.0	241.0	241.0	applier clip multiple 20 large	Supply
APPLIER CLIP MULTI 20 MD	272.0	None	1.0	240.0	240.0	applier clip multiple 20 medium	Supply
APPLIER CLIP MULTI 20 SM	272.0	None	1.0	239.0	239.0	applier clip multiple 20 small	Supply
APPLIER LIG MED 11.25 MCM20	272.0	None	1.0	473.0	473.0	applier ligaclip med 11.25 mcm20	Supply
AQUAPHOR OINT 14OZ	250.0	None	1.0	119.0	119.0	aquaphor ointment 14oz	Supply
AQUAPHOR OINTMENT 14OZ 1 TUB E	250.0	None	1.0	6.08	6.08	aquaphor ointment 14oz 1 tube e	Supply
ARISTA AH FLEXTIP XL APPLICATOR	272.0	None	1.0	85.0	85.0	arista ah flextip extra large applicator	Supply
ARM BOARD IV FLEXIBLE ADULT	270.0	None	1.0	26.0	26.0	arm board intravenous flexible adult	Supply
ARM RESTRAINT	270.0	None	1.0	48.0	48.0	arm restraint	Supply
ART AIRWAY CARE	410.0	94657	1.0	92.0	92.0	artificial airway care	Respiratory Therapy
ART AIRWAY CARE	410.0	94667	1.0	92.0	92.0	artificial airway care	Respiratory Therapy
ART AIRWAY CARE	410.0	None	2.0	178.0	89.0	artificial airway care	Respiratory Therapy
ART LWR EXTR DUPLEX GRAFT COMP BI	921.0	None	1.0	923.0	923.0	arterial lower extremity duplex graft complete bilateral	Radiology
ART PX BLOOD FOR DIAGNOSIS	300.0	None	1.0	93.0	93.0	Arterial PX blood for diagnosis	Nursing Services
ART PX BLOOD FOR DIAGNOSIS	920.0	None	1.0	93.0	93.0	Arterial PX blood for diagnosis	Nursing Services
ARTERIAL PUNCTURE	270.0	None	1.0	113.0	113.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	300.0	3 6600	1.0	74.0	74.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	300.0	3000027	1.0	80.0	80.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	300.0	36600	1.0	228.0	228.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	300.0	640034	1.0	118.0	118.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	300.0	None	1.0	126.0	118.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	301.0	3 6 600	1.0	366.0	366.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	301.0	36600	1.0	159.5	159.5	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	301.0	734002124	1.0	109.0	109.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	301.0	7420000029	1.0	41.0	41.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	301.0	None	1.0	319.08	319.08	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	309.0	36600	1.0	298.0	298.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	309.0	None	1.0	298.0	298.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	360.0	None	1.0	51.0	51.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	361.0	None	1.0	140.0	140.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	410.0	00410	1.0	135.0	135.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	410.0	35500	1.0	111.5	111.5	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	410.0	35600	1.0	111.5	111.5	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	410.0	36100649	1.0	193.0	193.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	410.0	36600	1.0	120.0	110.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	410.0	41000005	1.0	202.0	202.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	410.0	45450330	1.0	56.16	56.16	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	410.0	45450830	1.0	56.16	56.16	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	410.0	58826000	1.0	110.0	110.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	410.0	736009	1.0	116.0	116.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	410.0	None	1.0	123.0	117.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	450.0	36600	1.0	193.0	193.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	450.0	None	1.0	137.0	137.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	460.0	034346	1.0	124.0	124.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	460.0	3 6600	1.0	150.02	150.02	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	460.0	36600	1.0	114.0	113.88	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	460.0	36603	1.0	80.64	80.64	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	460.0	3660U	1.0	197.54	197.54	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	460.0	587395	1.0	46.0	46.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	460.0	625202	1.0	70.0	70.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	460.0	62677	1.0	164.0	164.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	460.0	952 387	1.0	54.0	54.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	460.0	952387	1.0	54.0	54.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	460.0	J52387	2.0	108.0	54.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	460.0	None	1.0	76.0	73.5	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	481.0	None	1.0	387.0	387.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	510.0	None	1.0	29.1	28.2	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	754.0	None	1.0	136.16	136.16	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	761.0	36600	1.0	67.0	67.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	761.0	None	1.0	240.0	240.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	920.0	None	1.0	431.78	431.78	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	921.0	None	1.0	104.8	104.8	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	929.0	36600	1.0	250.0	250.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	929.0	None	1.0	125.0	125.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE	940.0	None	1.0	50.0	50.0	arterial puncture	Nursing Services
ARTERIAL PUNCTURE (ABG)	300.0	None	1.0	193.0	193.0	arterial puncture arterial_blood_gas	Nursing Services
ARTERIAL PUNCTURE (ABG)	301.0	None	1.0	193.0	193.0	arterial puncture arterial_blood_gas	Nursing Services
ARTERIAL PUNCTURE (ABG)	360.0	None	1.0	176.0	176.0	arterial puncture arterial_blood_gas	Nursing Services
ARTERIAL PUNCTURE (ABG)	410.0	36600	1.0	176.0	176.0	arterial puncture arterial_blood_gas	Nursing Services
ARTERIAL PUNCTURE (ABG)	410.0	36600.0	1.0	193.0	193.0	arterial puncture arterial_blood_gas	Nursing Services
ARTERIAL PUNCTURE (ABG)	410.0	86600	1.0	176.0	176.0	arterial puncture arterial_blood_gas	Nursing Services
ARTERIAL PUNCTURE (ABG)	410.0	None	1.0	193.0	193.0	arterial puncture arterial_blood_gas	Nursing Services
ARTERIAL PUNCTURE WITH KIT	410.0	812928	1.0	186.0	186.0	arterial puncture with kit	Supply
ARTERIAL PUNCTURE WITH KIT	410.0	None	1.0	186.0	186.0	arterial puncture with kit	Supply
ARTERIAL PUNCTURE WITH KIT	920.0	None	1.0	104.04	104.04	arterial puncture with kit	Supply
ARTERIAL WRIST SUPPORT 29980	270.0	None	1.0	76.11	76.11	arterial wrist support 29980	Supply
ARTERIAL WRIST SUPPORT 29980	272.0	None	1.0	21.05	21.05	arterial wrist support 29980	Supply
ARTIFICIAL TEARS OINT 3.5 G TUBE	250.0	890023	1.0	21.5	21.5	artificial tears ointment 3.5 g tube	Supply
ARTIFICIAL TEARS OINT 3.5 G TUBE	250.0	J3490	1.0	15.0	15.0	artificial tears ointment 3.5 g tube	Supply
ARTIFICIAL TEARS OINT 3.5 G TUBE	250.0	None	1.0	21.5	21.5	artificial tears ointment 3.5 g tube	Supply
ARTIFICIAL TEARS OINT 3.5 G TUBE	637.0	None	4.0	3.0	0.75	artificial tears ointment 3.5 g tube	Supply
ASCORB ACID VIT C TAB 500	250.0	None	1.0	3.85	3.85	ascorbic acid vitamin cap tablet 500	Pharmacy
ASCORBIC ACID 250MG TAB	250.0	None	1.0	5.05	5.05	ascorbic acid 250_mg tablet	Pharmacy
ASCORBIC ACID 250MG TAB	259.0	None	4.0	4.0	1.0	ascorbic acid 250_mg tablet	Pharmacy
ASPIRATOR NASAL BBG	270.0	None	1.0	19.31	19.31	aspirator nasal bag	Supply
ASPIRATOR NASAL BBG	272.0	None	1.0	16.5	16.5	aspirator nasal bag	Supply
ASPIRIN 325 MG TABS	250.0	25000001	1.0	2.5	2.5	aspirin 325_mg tablets	Pharmacy
ASPIRIN 325 MG TABS	250.0	None	1.0	2.5	2.5	aspirin 325_mg tablets	Pharmacy
ASPIRIN 325 MG TABS	259.0	H2590002	1.0	0.25	0.25	aspirin 325_mg tablets	Pharmacy
ASPIRIN 325 MG TABS	259.0	None	1.0	0.25	0.25	aspirin 325_mg tablets	Pharmacy
ASPIRIN 325 MG TABS	270.0	None	1.0	0.0	0.0	aspirin 325_mg tablets	Pharmacy
ASPIRIN 325 MG TABS	637.0	None	1.0	3.5	3.5	aspirin 325_mg tablets	Pharmacy
ASPIRIN 325 MG TABS	998.0	None	1.0	0.0	0.0	aspirin 325_mg tablets	Pharmacy
ASPIRIN 325MG; ASPIRIN 325 MG TABLET .EC	637.0	None	1.0	2.0	2.0	aspirin 325_mg aspirin 325_mg tablet each	Pharmacy
ASPIRIN 81 MG CHEW	250.0	1503710	1.0	0.15	0.15	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	2147483647	1.0	1.0	1.0	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	2503000	2.0	0.55	0.275	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	25030001	2.0	0.55	0.275	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	36370001	1.0	1.05	1.05	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	38370001	1.0	1.1	1.1	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	43000637	1.0	3.65	3.65	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	63700001	1.0	0.05	0.05	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	8000001	1.0	13.32	13.32	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	890023	1.0	1.0	1.0	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	A3270	1.0	1.0	1.0	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	A9270	1.0	1.0	1.0	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	J8499	1.0	0.25	0.25	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	250.0	None	1.0	1.0	1.0	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	257.0	None	1.0	0.35	0.35	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	259.0	H2590002	1.0	0.25	0.25	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	259.0	None	1.0	1.0	1.0	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	260.0	25030001	1.0	2.97	2.97	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	636.0	None	1.0	0.24	0.24	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	637.0	25000000	1.0	1.3	1.3	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	637.0	26000000	1.0	1.3	1.3	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	637.0	637000001	1.0	1.0	1.0	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	637.0	63700001	2.0	1.11	0.555	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	637.0	A9270	1.0	0.08	0.08	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	637.0	None	1.0	1.0	1.0	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	837.0	25000000	1.0	1.3	1.3	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	998.0	None	1.0	0.0	0.0	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW	999.0	None	1.0	3.0	3.0	aspirin 81_mg chew	Pharmacy
ASPIRIN 81 MG CHEW TAB	250.0	J3490	1.0	5.0	5.0	aspirin 81_mg chew tablet	Pharmacy
ASPIRIN 81 MG CHEW TAB	250.0	None	1.0	5.0	5.0	aspirin 81_mg chew tablet	Pharmacy
ASPIRIN 81 MG CHEW TAB	259.0	None	1.0	1.87	1.87	aspirin 81_mg chew tablet	Pharmacy
ASPIRIN 81 MG CHEW TAB	610.0	None	1.0	9.04	9.04	aspirin 81_mg chew tablet	Pharmacy
ASPIRIN 81 MG CHEW TAB	637.0	None	1.0	0.0	0.0	aspirin 81_mg chew tablet	Pharmacy
ASPIRIN 81 MG PO CHEW	250.0	01482089	1.0	1.46	1.46	aspirin 81 mg by_mouth chewable	Pharmacy
ASPIRIN 81 MG PO CHEW	250.0	None	1.0	0.19	0.19	aspirin 81 mg by_mouth chewable	Pharmacy
ASPIRIN 81 MG PO CHEW	637.0	None	2.0	1.0	0.5	aspirin 81 mg by_mouth chewable	Pharmacy
ASPIRIN 81 MGCHEW 750 EACH BLIST PACK	250.0	None	1.0	2.5	2.5	aspirin 81_mgchew 750 each blister pack	Pharmacy
ASPIRIN CHEW TAB 81MG	250.0	None	1.0	0.0	0.0	aspirin chew tablet 81 mg	Pharmacy
ASPIRIN CHEW TAB 81MG	251.0	None	1.0	14.0	14.0	aspirin chew tablet 81 mg	Pharmacy
ASPIRIN CHEW TAB 81MG	637.0	None	1.0	0.0	0.0	aspirin chew tablet 81 mg	Pharmacy
ASPIRIN LOW DOSE 81 MG CHEW	250.0	None	1.0	0.5	0.5	aspirin low dose 81_mg chew	Pharmacy
ASPIRIN PEDIATRIC 81MG TAB	250.0	33500255	1.0	1.0	1.0	aspirin pediatric 81_mg tablet	Pharmacy
ASPIRIN PEDIATRIC 81MG TAB	250.0	None	1.0	1.0	1.0	aspirin pediatric 81_mg tablet	Pharmacy
ASPIRIN PEDIATRIC 81MG TAB	260.0	None	1.0	1.0	1.0	aspirin pediatric 81_mg tablet	Pharmacy
ASPIRIN TAB CHEW 81MG	250.0	11265042	1.0	0.0	0.0	aspirin tablet chew 81_mg	Pharmacy
ASPIRIN TAB CHEW 81MG	250.0	None	1.0	0.0	0.0	aspirin tablet chew 81_mg	Pharmacy
ASPIRIN TAB CHEW 81MG	251.0	None	1.0	0.1	0.1	aspirin tablet chew 81_mg	Pharmacy
ASPIRIN TAB EC 81MG	250.0	None	1.0	1.05	1.05	aspirin tablet_enteric_coated 81_mg	Pharmacy
ASPIRIN TAB EC 81MG	251.0	None	1.5	2.55	1.3	aspirin tablet_enteric_coated 81_mg	Pharmacy
ASPIRIN TAB EC 81MG	637.0	None	1.0	0.5	0.5	aspirin tablet_enteric_coated 81_mg	Pharmacy
ASPRIN 81MG CHEW TAB	250.0	None	2.0	0.0	0.0	aspirin 81_mg chew tablet	Pharmacy
ASSAY GLUCOSE BLOOD QUANT	300.0	None	1.0	36.0	36.0	assay glucose blood quantitative	Laboratory
ASSAY GLUCOSE BLOOD QUANT	301.0	None	1.0	26.0	26.0	assay glucose blood quantitative	Laboratory
ASSAY GLUCOSE BLOOD QUANT	302.0	None	1.0	26.0	26.0	assay glucose blood quantitative	Laboratory
ASSAY OF BLOOD CHLORIDE	300.0	24711616	1.0	59.0	59.0	assay of blood chloride	Laboratory
ASSAY OF BLOOD CHLORIDE	300.0	None	1.0	67.0	67.0	assay of blood chloride	Laboratory
ASSAY OF BLOOD CHLORIDE	301.0	None	1.0	67.0	67.0	assay of blood chloride	Laboratory
ASSAY OF CALCIUM	300.0	24701468	1.0	182.0	182.0	assay of calcium	Laboratory
ASSAY OF CALCIUM	300.0	82310	1.0	18.0	18.0	assay of calcium	Laboratory
ASSAY OF CALCIUM	300.0	None	1.0	107.0	107.0	assay of calcium	Laboratory
ASSAY OF CALCIUM	301.0	None	1.0	90.0	90.0	assay of calcium	Laboratory
ASSAY OF CALCIUM IONIZED	300.0	None	1.0	150.0	150.0	assay of calcium ionized	Laboratory
ASSAY OF CALCIUM IONIZED	301.0	None	1.0	196.0	196.0	assay of calcium ionized	Laboratory
ASSAY OF CALCIUM IONIZED	302.0	None	1.0	196.0	196.0	assay of calcium ionized	Laboratory
ASSAY OF MAGNESIUM	300.0	24702136	1.0	80.0	80.0	assay of magnesium	Laboratory
ASSAY OF MAGNESIUM	300.0	83735	1.0	23.4	23.4	assay of magnesium	Laboratory
ASSAY OF MAGNESIUM	300.0	None	1.0	84.0	84.0	assay of magnesium	Laboratory
ASSAY OF MAGNESIUM	301.0	83735	1.0	88.4	88.4	assay of magnesium	Laboratory
ASSAY OF MAGNESIUM	301.0	None	1.0	73.0	73.0	assay of magnesium	Laboratory
ASSAY OF PHOSPHORUS	300.0	24711699	1.0	61.0	61.0	assay of phosphorus	Laboratory
ASSAY OF PHOSPHORUS	300.0	84100	1.0	16.58	16.58	assay of phosphorus	Laboratory
ASSAY OF PHOSPHORUS	300.0	None	1.0	64.0	64.0	assay of phosphorus	Laboratory
ASSAY OF PHOSPHORUS	301.0	84100	1.0	83.0	83.0	assay of phosphorus	Laboratory
ASSAY OF PHOSPHORUS	301.0	None	1.0	45.0	45.0	assay of phosphorus	Laboratory
ASSAY OF PREALBUMIN	300.0	None	1.0	92.0	92.0	assay of prealbumin	Laboratory
ASSAY OF PREALBUMIN	301.0	84134	1.0	83.0	83.0	assay of prealbumin	Laboratory
ASSAY OF PREALBUMIN	301.0	None	1.0	159.0	159.0	assay of prealbumin	Laboratory
ASSAY OF PREALBUMIN	302.0	None	1.0	556.0	556.0	assay of prealbumin	Laboratory
ASSAY OF PROLACTIN	301.0	None	1.0	118.0	118.0	assay of prolactin	Laboratory
ASSAY OF SERUM POTASSIUM	300.0	24702011	1.0	61.0	61.0	assay of serum potassium	Laboratory
ASSAY OF SERUM POTASSIUM	300.0	None	1.0	64.0	64.0	assay of serum potassium	Laboratory
ASSAY OF SERUM POTASSIUM	301.0	None	1.0	64.0	64.0	assay of serum potassium	Laboratory
ASSAY OF SERUM POTASSIUM	302.0	None	1.0	45.0	45.0	assay of serum potassium	Laboratory
ASSAY OF SERUM SODIUM	300.0	24711723	1.0	65.0	65.0	assay of serum sodium	Laboratory
ASSAY OF SERUM SODIUM	300.0	None	1.0	53.0	53.0	assay of serum sodium	Laboratory
ASSAY OF SERUM SODIUM	301.0	None	1.0	53.0	53.0	assay of serum sodium	Laboratory
ASSAY OF SODIUM	300.0	None	1.0	72.0	72.0	assay of sodium	Laboratory
ASSAY OF SODIUM	301.0	None	1.0	45.0	45.0	assay of sodium	Laboratory
ASSAY OF SODIUM	302.0	None	1.0	45.0	45.0	assay of sodium	Laboratory
ASSAY OF THYROID STIM HORMONE	300.0	None	1.0	208.0	208.0	assay of thyroid stimulating hormone	Laboratory
ASSAY OF THYROID STIM HORMONE	301.0	None	1.0	108.0	108.0	assay of thyroid stimulating hormone	Laboratory
