,cleaned_descrip,NORM_DESC,rev_code,CHRG_CLS,Dominant CC,# of descriptions,% Dominance,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
190,ACETAMINOPHEN 325 MG TABS,acetaminophen 325_mg tablets,637.0,Pharmacy,Pharmacy,328.0,92.0731707317,Pharmacy,0.98,1,Pharmacy,0.95,1,Pharmacy,0.95503726483,1,Pharmacy,0.996405177443,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.970360610568
191,ACETAMINOPHEN 325 MG TABS,acetaminophen 325_mg tablets,998.0,Pharmacy,Pharmacy,7.0,85.7142857143,Pharmacy,0.98,1,Pharmacy,0.95,1,Pharmacy,0.95503726483,1,Pharmacy,0.996405177443,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.970360610568
192,ACETAMINOPHEN 80 MG PO TBDP,acetaminophen 80 mg by_mouth tbdp,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.91,1,Pharmacy,0.78,1,Pharmacy,0.967288514917,1,Pharmacy,0.964132619138,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.905355283514
193,ACETAMINOPHEN 80 MG PO TBDP,acetaminophen 80 mg by_mouth tbdp,251.0,Pharmacy,Pharmacy,403.0,90.570719603,Pharmacy,0.91,1,Pharmacy,0.78,1,Pharmacy,0.967288514917,1,Pharmacy,0.964132619138,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.905355283514
194,ACETAMINOPHEN 80MG SUPP,acetaminophen 80 mg suppository,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.959647589664,1,Pharmacy,0.98445915553,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.986026686298
195,ACETAMINOPHEN TAB 325MG U,acetaminophen tablet 325_mg,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.94,1,Pharmacy,0.82,1,Pharmacy,0.973921588291,1,Pharmacy,0.998033977576,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.932988891467
196,ACETAMINOPHEN TAB 325MG U,acetaminophen tablet 325_mg,636.0,Pharmacy,Pharmacy,781.0,77.8489116517,Pharmacy,0.94,1,Pharmacy,0.82,1,Pharmacy,0.973921588291,1,Pharmacy,0.998033977576,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.932988891467
197,ACETAZOLAMIDE 100MG/ML INJ,acetazolamide 100 mg ml injection,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.83,1,Pharmacy,0.75,1,Pharmacy,0.987749574608,1,Pharmacy,0.999451746324,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.891800330233
198,ACETYLCYSTEINE 20 % SOLN 63323 694 04,acetylcysteine 20% solution 63323 694 04,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.77,1,Pharmacy,0.55,1,Pharmacy,0.985738408896,1,Pharmacy,0.996434598461,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.825543251839
199,ACT.PART THROMBOPLASTIN TI,activated_clotting_time partial thromboplastin time,250.0,Laboratory,Pharmacy,2692.0,76.0401188707,Laboratory,0.83,1,Laboratory,0.75,1,Laboratory,0.927823886458,1,Laboratory,0.998834584798,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.876664617814
200,ACT.PART THROMBOPLASTIN TI,activated_clotting_time partial thromboplastin time,300.0,Laboratory,Laboratory,1097.0,79.1248860529,Laboratory,0.83,1,Laboratory,0.75,1,Laboratory,0.927823886458,1,Laboratory,0.998834584798,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.876664617814
201,ACT.PART THROMBOPLASTIN TI,activated_clotting_time partial thromboplastin time,305.0,Laboratory,Laboratory,271.0,92.6199261993,Laboratory,0.83,1,Laboratory,0.75,1,Laboratory,0.927823886458,1,Laboratory,0.998834584798,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.876664617814
202,ACTH,adrenocorticotropic hormone,300.0,Laboratory,Laboratory,1097.0,79.1248860529,Laboratory,0.77,1,Laboratory,0.5,1,Laboratory,0.864039969423,1,Laboratory,0.998982701387,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.783255667702
203,ACTH,adrenocorticotropic hormone,301.0,Laboratory,Laboratory,924.0,79.2207792208,Laboratory,0.77,1,Laboratory,0.5,1,Laboratory,0.864039969423,1,Laboratory,0.998982701387,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.783255667702
204,ACYCLOVIR SODIUM 500MG VL 10,acyclovir sodium 500 mg vial 10,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.8,1,Pharmacy,0.71,1,Pharmacy,0.990131640252,1,Pharmacy,0.999790415121,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.874980513843
205,ACYCLOVIR/ZOVIRAX 200MG/5ML SU,acyclovir zovirax 200 mg/5 ml suspension,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.73,1,Pharmacy,0.46,1,Pharmacy,0.990189167953,1,Pharmacy,0.999585650271,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.794943704556
206,ACYLCARNITINES QUANTITATI,acylcarnitines quantitative,301.0,Laboratory,Laboratory,924.0,79.2207792208,Laboratory,0.85,1,Laboratory,0.63,1,Laboratory,0.947181048203,1,Laboratory,0.99998499755,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.856791511438
207,ADAPTER CATH MULTI ST E,adapter catheter multiple st_e,270.0,Supply,Supply,1919.0,86.294945284,Supply,0.87,1,Supply,0.68,1,Supply,0.942391584185,1,Supply,0.999530635189,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.872980554843
208,ADAPTER CATH PLAS UROL FOLY ST,adapter catheter plastic urol poly st,270.0,Supply,Supply,1919.0,86.294945284,Supply,0.97,1,Supply,0.92,1,Supply,0.924799854591,1,Supply,0.998231774048,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95325790716
209,ADENO VIRUS QUAL PCR,adenovirus qualitative pcr,300.0,Laboratory,Laboratory,1097.0,79.1248860529,Laboratory,0.86,1,Laboratory,0.64,1,Laboratory,0.976346313838,1,Laboratory,0.999915779688,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.869065523382
210,ADHESIVE SKN CLSR DRMBND ADVANCED.7ML,adhesive skin closure dermabond advanced .7 ml,270.0,Supply,Supply,1919.0,86.294945284,Supply,1.0,1,Supply,1.0,1,Supply,0.959263010036,1,Supply,0.982415962893,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.985419743232
211,ADL EA 15 MIN,activities_of_daily_living 15_minutes,430.0,PT / OT / Speech Therapy,PT / OT / Speech Therapy,86.0,87.2093023256,Pharmacy,0.78,0,Nursing Services,0.5,0,PT / OT / Speech Therapy,0.797301052907,1,PT / OT / Speech Therapy,0.771361230355,1,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",0.392165570816
212,ADMIN PNEUMONIA VACCINE,administration pneumonia vaccine,771.0,Nursing Services,Nursing Services,3.0,66.6666666667,Laboratory,0.72,1,Laboratory,0.48,1,Pharmacy,0.392434685152,0,Respiratory Therapy,0.628860478415,0,Laboratory,"Jaro, DLevenshtein",0.3
213,ADMIXTURE IV SOLUTION,admixture intravenous solution,250.0,Diluent / Flush / Irrigant,Pharmacy,2692.0,76.0401188707,Laboratory,0.73,0,Diluent / Flush / Irrigant,0.5,0,Pharmacy,0.731276201857,1,Pharmacy,0.913000593878,1,Pharmacy,"Logistic_OvR, DeepNN",0.411069198934
214,ADULT ED ADMIT CH,adult emergency_department admit ch,450.0,Other,Nursing Services,67.0,40.2985074627,Laboratory,0.75,1,Laboratory,0.43,1,Supply,0.345436409501,0,Respiratory Therapy,0.424195811465,0,Laboratory,"Jaro, DLevenshtein",0.295
215,ADVIL 200MG TABLET UD,advil 200 mg tablet unit dose,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.8,1,Pharmacy,0.64,1,Pharmacy,0.983225921521,1,Pharmacy,0.99920496994,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.855607722865
216,AEROBIC CULTURE AER ,aerobic culture aero,300.0,Laboratory,Laboratory,1097.0,79.1248860529,Laboratory,0.84,1,Laboratory,0.61,1,Laboratory,0.964974814989,1,Laboratory,0.99999919019,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.853743501295
217,AEROBIC DEFINITIVE ID EACH ISO,aerobic definitive identification isolate,306.0,Laboratory,Laboratory,290.0,96.8965517241,Laboratory,0.85,1,Laboratory,0.54,1,Laboratory,0.956925570583,1,Laboratory,0.999999766911,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.836731334373
218,AEROSOL DAILY,aerosol daily,270.0,Respiratory Therapy,Supply,1919.0,86.294945284,Respiratory Therapy,0.87,1,Respiratory Therapy,0.6,1,Respiratory Therapy,0.393396607363,1,Respiratory Therapy,0.810632051594,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.668507164739
219,AEROSOL DAILY,aerosol daily,271.0,Respiratory Therapy,Supply,132.0,65.1515151515,Respiratory Therapy,0.87,1,Respiratory Therapy,0.6,1,Respiratory Therapy,0.393396607363,1,Respiratory Therapy,0.810632051594,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.668507164739
220,AEROSOL DAILY,aerosol daily,272.0,Respiratory Therapy,Supply,833.0,84.393757503,Respiratory Therapy,0.87,1,Respiratory Therapy,0.6,1,Respiratory Therapy,0.393396607363,1,Respiratory Therapy,0.810632051594,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.668507164739
221,AEROSOL DAILY,aerosol daily,410.0,Respiratory Therapy,Respiratory Therapy,279.0,64.1577060932,Respiratory Therapy,0.87,1,Respiratory Therapy,0.6,1,Respiratory Therapy,0.393396607363,1,Respiratory Therapy,0.810632051594,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.668507164739
222,AEROSOL EVALUATION,aerosol evaluation,410.0,Respiratory Therapy,Respiratory Therapy,279.0,64.1577060932,Respiratory Therapy,0.79,1,PT / OT / Speech Therapy,0.59,0,Respiratory Therapy,0.376343702391,1,Respiratory Therapy,0.979946343117,1,Respiratory Therapy,"Jaro, Logistic_OvR, DeepNN",0.71543001517
223,AEROSOL EVALUATION,aerosol evaluation,450.0,Respiratory Therapy,Nursing Services,67.0,40.2985074627,Respiratory Therapy,0.79,1,PT / OT / Speech Therapy,0.59,0,Respiratory Therapy,0.376343702391,1,Respiratory Therapy,0.979946343117,1,Respiratory Therapy,"Jaro, Logistic_OvR, DeepNN",0.71543001517
224,AEROSOL EVALUATION,aerosol evaluation,460.0,Respiratory Therapy,Monitoring,103.0,66.9902912621,Respiratory Therapy,0.79,1,PT / OT / Speech Therapy,0.59,0,Respiratory Therapy,0.376343702391,1,Respiratory Therapy,0.979946343117,1,Respiratory Therapy,"Jaro, Logistic_OvR, DeepNN",0.71543001517
225,AEROSOL TX,aerosol treatment,410.0,Respiratory Therapy,Respiratory Therapy,279.0,64.1577060932,Respiratory Therapy,1.0,1,Respiratory Therapy,1.0,1,Respiratory Therapy,0.833507265087,1,Respiratory Therapy,0.999805213985,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.958328119768
226,AEROSOL TX,aerosol treatment,450.0,Respiratory Therapy,Nursing Services,67.0,40.2985074627,Respiratory Therapy,1.0,1,Respiratory Therapy,1.0,1,Respiratory Therapy,0.833507265087,1,Respiratory Therapy,0.999805213985,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.958328119768
227,AEROSOL TX,aerosol treatment,460.0,Respiratory Therapy,Monitoring,103.0,66.9902912621,Respiratory Therapy,1.0,1,Respiratory Therapy,1.0,1,Respiratory Therapy,0.833507265087,1,Respiratory Therapy,0.999805213985,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.958328119768
228,AEROSOL TX,aerosol treatment,610.0,Respiratory Therapy,Radiology,26.0,61.5384615385,Respiratory Therapy,1.0,1,Respiratory Therapy,1.0,1,Respiratory Therapy,0.833507265087,1,Respiratory Therapy,0.999805213985,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.958328119768
229,AFB STAIN,acid fast bacillus stain,300.0,Laboratory,Laboratory,1097.0,79.1248860529,Laboratory,0.81,1,Laboratory,0.56,1,Laboratory,0.981793020708,1,Laboratory,0.999999270798,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.837948072877
230,AFB STAIN,acid fast bacillus stain,306.0,Laboratory,Laboratory,290.0,96.8965517241,Laboratory,0.81,1,Laboratory,0.56,1,Laboratory,0.981793020708,1,Laboratory,0.999999270798,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.837948072877
231,AG DETECTION POLIVAL IF EACH,ag detection polival,305.0,Laboratory,Laboratory,271.0,92.6199261993,Laboratory,0.78,1,Laboratory,0.52,1,Laboratory,0.931876967257,1,Laboratory,0.999987604885,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.807966143035
232,AG DETECTION POLIVAL IF EACH,ag detection polival,306.0,Laboratory,Laboratory,290.0,96.8965517241,Laboratory,0.78,1,Laboratory,0.52,1,Laboratory,0.931876967257,1,Laboratory,0.999987604885,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.807966143035
233,AIRWAY CARE,airway care,410.0,Respiratory Therapy,Respiratory Therapy,279.0,64.1577060932,Respiratory Therapy,0.88,1,Respiratory Therapy,0.63,1,Respiratory Therapy,0.514249778367,1,Nursing Services,0.713394489305,0,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR",0.674749926122
234,AIRWAY CARE,airway care,419.0,Respiratory Therapy,Monitoring,2.0,50.0,Respiratory Therapy,0.88,1,Respiratory Therapy,0.63,1,Respiratory Therapy,0.514249778367,1,Nursing Services,0.713394489305,0,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR",0.674749926122
235,AIRWAY CARE,airway care,450.0,Respiratory Therapy,Nursing Services,67.0,40.2985074627,Respiratory Therapy,0.88,1,Respiratory Therapy,0.63,1,Respiratory Therapy,0.514249778367,1,Nursing Services,0.713394489305,0,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR",0.674749926122
236,AIRWAY CARE,airway care,460.0,Respiratory Therapy,Monitoring,103.0,66.9902912621,Respiratory Therapy,0.88,1,Respiratory Therapy,0.63,1,Respiratory Therapy,0.514249778367,1,Nursing Services,0.713394489305,0,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR",0.674749926122
237,ALBUMIN 25%,albumin 25%,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.593249789241,1,Laboratory,0.831644434642,0,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.864416596414
238,ALBUMIN 25%,albumin 25%,258.0,Pharmacy,Diluent / Flush / Irrigant,392.0,55.612244898,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.593249789241,1,Laboratory,0.831644434642,0,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.864416596414
239,ALBUMIN 25%,albumin 25%,390.0,Pharmacy,Blood Products,94.0,60.6382978723,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.593249789241,1,Laboratory,0.831644434642,0,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.864416596414
240,ALBUMIN 25%,albumin 25%,636.0,Pharmacy,Pharmacy,781.0,77.8489116517,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.593249789241,1,Laboratory,0.831644434642,0,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.864416596414
241,ALBUMIN 5% 250ML 12.5GM IN,albumin 5% 250_ml 12.5_gm individual,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.97,1,Pharmacy,0.86,1,Pharmacy,0.944935549624,1,Pharmacy,0.999804768481,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.943685079526
242,ALBUMIN 5% 250ML 12.5GM IN,albumin 5% 250_ml 12.5_gm individual,636.0,Pharmacy,Pharmacy,781.0,77.8489116517,Pharmacy,0.97,1,Pharmacy,0.86,1,Pharmacy,0.944935549624,1,Pharmacy,0.999804768481,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.943685079526
243,ALBUMIN HUMAN 25% 100ML ,albumin human 25% 100 ml,252.0,Pharmacy,Pharmacy,182.0,85.1648351648,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.985083745212,1,Pharmacy,0.999811991224,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.996223934109
244,ALBUMIN HUMAN 25% SOLP,albumin human 25% solution,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.96,1,Pharmacy,0.95,1,Pharmacy,0.976513687833,1,Pharmacy,0.997453270631,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.970991739616
245,ALBUMIN HUMAN 25% SOLP,albumin human 25% solution,259.0,Pharmacy,Pharmacy,349.0,83.6676217765,Pharmacy,0.96,1,Pharmacy,0.95,1,Pharmacy,0.976513687833,1,Pharmacy,0.997453270631,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.970991739616
246,ALBUMIN HUMAN 25% SOLP,albumin human 25% solution,390.0,Pharmacy,Blood Products,94.0,60.6382978723,Pharmacy,0.96,1,Pharmacy,0.95,1,Pharmacy,0.976513687833,1,Pharmacy,0.997453270631,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.970991739616
247,ALBUMIN HUMAN 25% SOLP,albumin human 25% solution,636.0,Pharmacy,Pharmacy,781.0,77.8489116517,Pharmacy,0.96,1,Pharmacy,0.95,1,Pharmacy,0.976513687833,1,Pharmacy,0.997453270631,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.970991739616
248,ALBUMIN HUMAN 5% 250ML IV,albumin human 5% 250_ml intravenous,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.97,1,Pharmacy,0.9,1,Pharmacy,0.848140743616,1,Pharmacy,0.993468303905,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.92790226188
249,ALBUMIN HUMAN 5% 250ML IV,albumin human 5% 250_ml intravenous,252.0,Pharmacy,Pharmacy,182.0,85.1648351648,Pharmacy,0.97,1,Pharmacy,0.9,1,Pharmacy,0.848140743616,1,Pharmacy,0.993468303905,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.92790226188
250,ALBUMIN HUMAN 5% 250ML IV,albumin human 5% 250_ml intravenous,636.0,Pharmacy,Pharmacy,781.0,77.8489116517,Pharmacy,0.97,1,Pharmacy,0.9,1,Pharmacy,0.848140743616,1,Pharmacy,0.993468303905,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.92790226188
251,ALBUMIN HUMAN 5PCT 250ML,albumin human 5pct 250_ml,636.0,Pharmacy,Pharmacy,781.0,77.8489116517,Pharmacy,0.92,1,Pharmacy,0.76,1,Pharmacy,0.921786613355,1,Pharmacy,0.996260760574,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.899511843482
252,ALBUMIN HUMAN 5PCT 250ML,albumin human 5pct 250_ml,730.0,Pharmacy,Pharmacy,42.0,45.2380952381,Pharmacy,0.92,1,Pharmacy,0.76,1,Pharmacy,0.921786613355,1,Pharmacy,0.996260760574,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.899511843482
253,ALBUTERO/IPRATROPIUM 3ML NEB,albuterol ipratropium 3_ml nebulizer,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.73,1,Pharmacy,0.59,1,Pharmacy,0.60753251473,1,Pharmacy,0.996283386575,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.730953975326
254,ALBUTEROL IPRATROPIUM 0.5,albuterol ipratropium 0.5,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.87,1,Pharmacy,0.62,1,Pharmacy,0.945194624558,1,Pharmacy,0.997938809209,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.858283358442
255,ALBUTEROL/VENTOLIN 5MG/ML INH,albuterol ventolin 5 mg ml inhaler,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.79,1,Pharmacy,0.63,1,Pharmacy,0.99210521117,1,Pharmacy,0.999976520805,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.853020432994
256,ALDACTONE SUSPNEN 10MG/ML 3,aldactone suspension 10 mg ml 3,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.97,1,Pharmacy,0.96,1,Pharmacy,0.982218008687,1,Pharmacy,0.999056642438,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.977818662781
257,ALKALINE PHOSPHATASE ALK,alkaline phosphatase alkaline,301.0,Laboratory,Laboratory,924.0,79.2207792208,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,0.925122307298,1,Laboratory,0.999987165326,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.981277368156
258,ALL RSK FISH PANEL+CULTURE FISH PROBE,rsk fish panel culture fish probe,300.0,Supply,Laboratory,1097.0,79.1248860529,Laboratory,0.85,1,Laboratory,0.88,1,Laboratory,0.983316301515,1,Laboratory,0.999999997041,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.928329074639
259,ALLOPURINOL 500MG VIAL,allopurinol 500 mg vial,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.87,1,Pharmacy,0.75,1,Pharmacy,0.983187770661,1,Pharmacy,0.999660396528,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.900712041797
260,ALLOPURINOL/ZYLOPRIM 300MG TAB,allopurinol zyloprim 300 mg tablet,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.83,1,Pharmacy,0.61,1,Pharmacy,0.984812189974,1,Pharmacy,0.998501145495,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.855828333867
261,ALPHA 1 ANTITRYPSIN PHENO,alpha 1 antitrypsin phenotype,300.0,Laboratory,Laboratory,1097.0,79.1248860529,Laboratory,0.95,1,Laboratory,0.85,1,Laboratory,0.899469688355,1,Laboratory,0.999434210052,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.924725974602
262,ALPHA 1 ANTITRYPSIN PHENO,alpha 1 antitrypsin phenotype,301.0,Laboratory,Laboratory,924.0,79.2207792208,Laboratory,0.95,1,Laboratory,0.85,1,Laboratory,0.899469688355,1,Laboratory,0.999434210052,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.924725974602
263,ALTEPLASE CATHETER SOLUTION CMPD,alteplase catheter solution compound,636.0,Pharmacy,Pharmacy,781.0,77.8489116517,Supply,0.75,0,Pharmacy,0.48,1,Pharmacy,0.609451530228,1,Pharmacy,0.765270753812,1,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.618240761347
264,AMBIEN 5MG TAB,ambien 5 mg tablet,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.84,1,Pharmacy,0.63,1,Pharmacy,0.988910028496,1,Pharmacy,0.999403311874,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.864578335092
265,AMBIEN 5MG TAB,ambien 5 mg tablet,259.0,Pharmacy,Pharmacy,349.0,83.6676217765,Pharmacy,0.84,1,Pharmacy,0.63,1,Pharmacy,0.988910028496,1,Pharmacy,0.999403311874,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.864578335092
266,AMBIEN 5MG TAB,ambien 5 mg tablet,637.0,Pharmacy,Pharmacy,328.0,92.0731707317,Pharmacy,0.84,1,Pharmacy,0.63,1,Pharmacy,0.988910028496,1,Pharmacy,0.999403311874,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.864578335092
267,AMIKACIN SULFATE 500 MG/2ML IJ SOLN,amikacin sulfate 500 mg/2 ml injection solution,251.0,Pharmacy,Pharmacy,403.0,90.570719603,Pharmacy,0.8,1,Pharmacy,0.67,1,Pharmacy,0.997624824948,1,Pharmacy,0.999998644962,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.866905867477
268,AMIKACIN SULFATE 500 MG/2ML IJ SOLN,amikacin sulfate 500 mg/2 ml injection solution,636.0,Pharmacy,Pharmacy,781.0,77.8489116517,Pharmacy,0.8,1,Pharmacy,0.67,1,Pharmacy,0.997624824948,1,Pharmacy,0.999998644962,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.866905867477
269,AMINO ACIDS 10% PREMASOL ,amino acids 10% premasol,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Laboratory,0.86,1,Laboratory,0.62,1,Laboratory,0.641885171172,1,Laboratory,0.999817050768,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.780425555485
270,AMINOCAPROIC ACID 250 MG/ML SOLN 20 ML VIAL,aminocaproic acid 250_mg/ml solution 20_ml vial,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.89,1,Pharmacy,0.72,1,Pharmacy,0.962064826023,1,Pharmacy,0.996788140555,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.892213241645
271,AMINOCAPROIC ACID 250 MG/ML SOLN 20 ML VIAL,aminocaproic acid 250_mg/ml solution 20_ml vial,251.0,Pharmacy,Pharmacy,403.0,90.570719603,Pharmacy,0.89,1,Pharmacy,0.72,1,Pharmacy,0.962064826023,1,Pharmacy,0.996788140555,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.892213241645
272,AMINOCAPROIC ACID 250 MG/ML SOLN 20 ML VIAL,aminocaproic acid 250_mg/ml solution 20_ml vial,252.0,Pharmacy,Pharmacy,182.0,85.1648351648,Pharmacy,0.89,1,Pharmacy,0.72,1,Pharmacy,0.962064826023,1,Pharmacy,0.996788140555,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.892213241645
