descrip	cleaned_descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS	billed_categories	units_categories
BREATHING TREATMENT REPEAT	BREATHING TREATMENT REPEAT	Respiratory Services	1.0	99.0	99.0	breathing treatment repeat	Respiratory Therapy	(92, 287]	Units <= 1
BROMOCRIPTINE 2.5 MG TABLET	BROMOCRIPTINE 2.5 MG TABLET	Pharmacy	1.0	34.25	34.25	bromocriptine 2.5_mg tablet	Pharmacy	(17, 41]	Units <= 1
HC BRONCHIAL LAVAGE	BRONCHIAL LAVAGE	OR Services	1.0	2046.0	2046.0	bronchial lavage	Procedure	(997, 2496]	Units <= 1
BRONCHIAL LAVAGE	BRONCHIAL LAVAGE	Respiratory Services	1.0	455.0	455.0	bronchial lavage	Procedure	(287, 641]	Units <= 1
BRONCHOSCOPY	BRONCHOSCOPY	Others	1.0	2488.0	2488.0	bronchoscopy	Procedure	(997, 2496]	Units <= 1
BRONCHOSCOPY	BRONCHOSCOPY	Emergency Room	1.0	2487.0	2487.0	bronchoscopy	Procedure	(997, 2496]	Units <= 1
BRONCHOSCOPY	BRONCHOSCOPY	Gastro-Intestinal Services	1.0	2032.0	2032.0	bronchoscopy	Procedure	(997, 2496]	Units <= 1
BRONCHOSCOPY	BRONCHOSCOPY	Implant/Supply	1.0	129.0	129.0	bronchoscopy	Procedure	(92, 287]	Units <= 1
BRONCHOSCOPY	BRONCHOSCOPY	OR Services	1.0	1734.0	1734.0	bronchoscopy	Procedure	(997, 2496]	Units <= 1
BRONCHOSCOPY	BRONCHOSCOPY	Other Therapeutic Services	1.0	1655.0	1655.0	bronchoscopy	Procedure	(997, 2496]	Units <= 1
BRONCHOSCOPY	BRONCHOSCOPY	Respiratory Services	1.0	1636.0	1636.0	bronchoscopy	Procedure	(997, 2496]	Units <= 1
BRONCHOSCOPY	BRONCHOSCOPY	Surgery/Procedure	1.0	2591.0	2591.0	bronchoscopy	Procedure	(2496, 9320]	Units <= 1
BRONCHOSCOPY	BRONCHOSCOPY	Treatment/Observation Room	1.0	2832.0	2832.0	bronchoscopy	Procedure	(2496, 9320]	Units <= 1
BRONCHOSCOPY/LAVAGE	BRONCHOSCOPY/LAVAGE	Surgery/Procedure	1.0	3342.0	3342.0	bronchoscopy/lavage	Procedure	(2496, 9320]	Units <= 1
HB BRUSH BOTTLE SPONGE/BRISTLE HEAD	BRUSH BOTTLE SPONGE/BRISTLE HEAD	Implant/Supply	1.0	16.0	16.0	brush bottle sponge/bristle head	Supply	(4, 17]	Units <= 1
BUDESONIDE 0.25 MG/2 ML NBSP 2 ML	BUDESONIDE 0.25 MG/2 ML NBSP 2 ML	Drugs Requiring Detailed Coding	1.0	73.0	73.0	budesonide 0.25_mg/2_ml nbsp 2_ml	Pharmacy	(61, 92]	Units <= 1
BUDESONIDE 0.25 MG/2 ML NBSP 2 ML	BUDESONIDE 0.25 MG/2 ML NBSP 2 ML	Pharmacy	1.0	47.17	47.17	budesonide 0.25_mg/2_ml nbsp 2_ml	Pharmacy	(41, 61]	Units <= 1
BUDESONIDE 0.25 MG/2 ML NBSP 2 ML VIAL	BUDESONIDE 0.25 MG/2 ML NBSP 2 ML VIAL	Pharmacy	1.0	40.5	30.34	budesonide 0.25_mg/2_ml nbsp 2_ml vial	Pharmacy	(17, 41]	Units <= 1
BUDESONIDE 0.5 MG/2 ML NBSP 2 ML	BUDESONIDE 0.5 MG/2 ML NBSP 2 ML	Drugs Requiring Detailed Coding	1.0	85.0	85.0	budesonide 0.5_mg/2_ml nbsp 2_ml	Pharmacy	(61, 92]	Units <= 1
BUDESONIDE 0.5 MG/2 ML NBSP 2 ML	BUDESONIDE 0.5 MG/2 ML NBSP 2 ML	Pharmacy	1.0	49.66	49.66	budesonide 0.5_mg/2_ml nbsp 2_ml	Pharmacy	(41, 61]	Units <= 1
BUDESONIDE 0.5 MG/2ML SUSP 0093-6816-73	BUDESONIDE 0.5 MG/2ML SUSP 0093 6816 73	Pharmacy	1.0	60.4	60.4	budesonide 0.5 mg/2 ml suspension 0093 6816 73	Pharmacy	(41, 61]	Units <= 1
BUDESONIDE 0.5MG/2ML NEB	BUDESONIDE 0.5MG/2ML NEB	Pharmacy	1.0	63.8	63.8	budesonide 0.5 mg/2 ml nebulizer	Pharmacy	(61, 92]	Units <= 1
BUDESONIDE - FORMOTEROL 160 -	BUDESONIDE FORMOTEROL 160 	Drugs Requiring Specific Identification	1.0	514.6	514.6	budesonide formoterol 160	Pharmacy	(287, 641]	Units <= 1
BUDESONIDE - FORMOTEROL 160 -	BUDESONIDE FORMOTEROL 160 	Pharmacy	1.0	21.53	21.53	budesonide formoterol 160	Pharmacy	(17, 41]	Units <= 1
BUDESONIDE NEB 0.25MG/2ML	BUDESONIDE NEB 0.25MG/2ML	Drugs Requiring Detailed Coding	1.0	69.21	69.21	budesonide nebulizer 0.25_mg/2_ml	Pharmacy	(61, 92]	Units <= 1
BUDESONIDE NEB 0.25MG/2ML	BUDESONIDE NEB 0.25MG/2ML	Pharmacy	1.0	62.5	62.5	budesonide nebulizer 0.25_mg/2_ml	Pharmacy	(61, 92]	Units <= 1
BUFFERED LIDOCAINE 1 % SYR	BUFFERED LIDOCAINE 1 % SYR	Pharmacy	1.0	169.19	169.19	buffered lidocaine 1% syringe	Pharmacy	(92, 287]	Units <= 1
BUFFERED LIDOCAINE 1 % SYRG 0.2 ML SYRINGE	BUFFERED LIDOCAINE 1 % SYRG 0.2 ML SYRINGE	Pharmacy	1.0	159.99	159.99	buffered lidocaine 1% syringe 0.2_ml syringe	Pharmacy	(92, 287]	Units <= 1
BUMETANIDE 0.25 MG/ML SOLN	BUMETANIDE 0.25 MG/ML SOLN	Drugs Requiring Detailed Coding	10.0	20.0	3.333333333	bumetanide 0.25_mg/ml solution	Pharmacy	(0, 4]	Units > 1
BUMETANIDE 0.25 MG/ML SOLN	BUMETANIDE 0.25 MG/ML SOLN	Patient Conv Items	4.0	11.33	2.8325	bumetanide 0.25_mg/ml solution	Pharmacy	(0, 4]	Units > 1
BUMETANIDE 0.25 MG/ML SOLN	BUMETANIDE 0.25 MG/ML SOLN	Pharmacy	1.0	22.1	16.6	bumetanide 0.25_mg/ml solution	Pharmacy	(4, 17]	Units <= 1
BUMETANIDE 0.25 MG/ML SOLN 10 ML VIAL	BUMETANIDE 0.25 MG/ML SOLN 10 ML VIAL	Drugs Requiring Detailed Coding	10.0	26.95	4.85	bumetanide 0.25_mg/ml solution 10_ml vial	Pharmacy	(4, 17]	Units > 1
BUMETANIDE 0.25 MG/ML SOLN 10 ML VIAL	BUMETANIDE 0.25 MG/ML SOLN 10 ML VIAL	Patient Conv Items	10.0	19.8	1.98	bumetanide 0.25_mg/ml solution 10_ml vial	Pharmacy	(0, 4]	Units > 1
BUMETANIDE 0.25 MG/ML SOLN 10 ML VIAL	BUMETANIDE 0.25 MG/ML SOLN 10 ML VIAL	Pharmacy	1.0	150.47	128.675	bumetanide 0.25_mg/ml solution 10_ml vial	Pharmacy	(92, 287]	Units <= 1
BUMETANIDE 0.25 MG/ML VI	BUMETANIDE 0.25 MG/ML VI	Drugs Requiring Detailed Coding	1.0	136.09	136.09	bumetanide 0.25_mg/ml vial	Pharmacy	(92, 287]	Units <= 1
BUMETANIDE 0.25 MG/ML VI	BUMETANIDE 0.25 MG/ML VI	Pharmacy	1.0	136.09	136.09	bumetanide 0.25_mg/ml vial	Pharmacy	(92, 287]	Units <= 1
BUMETANIDE 0.25MG/ML VIAL	BUMETANIDE 0.25MG/ML VIAL	Pharmacy	1.0	14.55	8.3	bumetanide 0.25 mg/ml vial	Pharmacy	(4, 17]	Units <= 1
BUMETANIDE 1 MG TABS	BUMETANIDE 1 MG TABS	Drugs Requiring Specific Identification	1.0	7.0	3.5	bumetanide 1_mg tablets	Pharmacy	(0, 4]	Units <= 1
BUMETANIDE 1 MG TABS	BUMETANIDE 1 MG TABS	Pharmacy	1.0	31.89	31.89	bumetanide 1_mg tablets	Pharmacy	(17, 41]	Units <= 1
BUMETANIDE 2.5MG/10ML INJ	BUMETANIDE 2.5MG/10ML INJ	Drugs Requiring Detailed Coding	1.0	69.75	69.75	bumetanide 2.5 mg/10 ml injection	Pharmacy	(61, 92]	Units <= 1
BUMETANIDE 2.5MG/10ML INJ	BUMETANIDE 2.5MG/10ML INJ	Pharmacy	4.0	91.55	47.56	bumetanide 2.5 mg/10 ml injection	Pharmacy	(41, 61]	Units > 1
BUN	BUN	Intensive Care	1.0	152.0	152.0	blood_urea_nitrogen	Laboratory	(92, 287]	Units <= 1
BUN	BUN	Laboratory	1.0	107.5	102.0	blood_urea_nitrogen	Laboratory	(92, 287]	Units <= 1
HB BUN	BUN	Pharmacy	1.0	145.0	145.0	blood_urea_nitrogen	Laboratory	(92, 287]	Units <= 1
BUN *	BUN 	Laboratory	1.0	69.07	69.07	blood_urea_nitrogen	Laboratory	(61, 92]	Units <= 1
BUN - BLOOD - UREA - NITROGEN	BUN BLOOD UREA NITROGEN	Laboratory	1.0	59.0	59.0	blood_urea_nitrogen blood_urea_nitrogen	Laboratory	(41, 61]	Units <= 1
BUN (BLOOD UREA NITROGEN)	BUN BLOOD UREA NITROGEN 	Implant/Supply	1.0	40.0	40.0	blood_urea_nitrogen blood_urea_nitrogen	Laboratory	(17, 41]	Units <= 1
BUN (BLOOD UREA NITROGEN)	BUN BLOOD UREA NITROGEN 	Laboratory	1.0	40.0	40.0	blood_urea_nitrogen blood_urea_nitrogen	Laboratory	(17, 41]	Units <= 1
BUPIVACAINE 0.25% 10ML	BUPIVACAINE 0.25% 10ML	Pharmacy	1.0	55.8	55.8	bupivacaine 0.25% 10 ml	Pharmacy	(41, 61]	Units <= 1
BUPIVACAINE 0.25% SOLN 10	BUPIVACAINE 0.25% SOLN 10	Pharmacy	1.0	161.85	161.85	bupivacaine 0.25% solution 10	Pharmacy	(92, 287]	Units <= 1
BUPIVACAINE 0.25% SOLN 10 ML VIAL	BUPIVACAINE 0.25% SOLN 10 ML VIAL	Pharmacy	1.0	161.85	161.85	bupivacaine 0.25% solution 10_ml vial	Pharmacy	(92, 287]	Units <= 1
HB BUPIVACAINE 0.5% VIAL	BUPIVACAINE 0.5% VIAL	Pharmacy	1.0	11.22	11.22	bupivacaine 0.5% vial	Pharmacy	(4, 17]	Units <= 1
BUPIVACAINE-LIDOCAINE (DUH 1:1) 0.25%-1 % SOLN	BUPIVACAINE LIDOCAINE DUH 1 1 0.25% 1 % SOLN	Pharmacy	2.0	44.1	22.05	bupivacaine lidocaine duh 1 1 0.25% 1% solution	Pharmacy	(17, 41]	Units > 1
HB BUPIVACAINE/EPI 0.25%/0.005 VL	BUPIVACAINE/EPI 0.25%/0.005 VL	Pharmacy	1.0	5.55	5.55	bupivacaine/epinephrine 0.25%/0.005 vial	Pharmacy	(4, 17]	Units <= 1
BUPROPION 100 MG TABS	BUPROPION 100 MG TABS	Pharmacy	1.0	10.4	10.4	bupropion 100_mg tablets	Pharmacy	(4, 17]	Units <= 1
BUPROPION 75 MG TAB	BUPROPION 75 MG TAB	Drugs Requiring Specific Identification	2.0	23.91	11.955	bupropion 75_mg tablet	Pharmacy	(4, 17]	Units > 1
BUPROPION 75 MG TAB	BUPROPION 75 MG TAB	Pharmacy	1.0	9.84	4.92	bupropion 75_mg tablet	Pharmacy	(4, 17]	Units <= 1
BUPROPION SR 150 MG TB12	BUPROPION SR 150 MG TB12	Pharmacy	1.5	7.945	6.61	bupropion slow_release 150_mg tb12	Pharmacy	(4, 17]	Units > 1
BURETTE, KANGAROO 100ML	BURETTE KANGAROO 100ML	Implant/Supply	1.0	22.0	22.0	burette kangaroo 100 ml	Supply	(17, 41]	Units <= 1
BURETTE, KANGAROO 100ML	BURETTE KANGAROO 100ML	Pharmacy	1.0	22.0	22.0	burette kangaroo 100 ml	Supply	(17, 41]	Units <= 1
HB BURKITT FISH PANEL+CULTURE: ANALYSIS	BURKITT FISH PANEL+CULTURE ANALYSIS	Laboratory	2.0	276.28	138.14	burkitt fish panel and culture analysis	Laboratory	(92, 287]	Units > 1
HB BURKITT FISH PANEL+CULTURE: DIRECT CELL CULT	BURKITT FISH PANEL+CULTURE DIRECT CELL CULT	Laboratory	1.0	606.58	606.58	burkitt fish panel and culture direct cell culture	Laboratory	(287, 641]	Units <= 1
HB BURKITT FISH PANEL+CULTURE: FISH PROBE	BURKITT FISH PANEL+CULTURE FISH PROBE	Laboratory	5.0	460.45	92.09	burkitt fish panel and culture fish probe	Laboratory	(92, 287]	Units > 1
HB BURKITT FISH PANEL+PET: ANALYSIS	BURKITT FISH PANEL+PET ANALYSIS	Laboratory	2.0	276.28	138.14	burkitt fish panel and pet analysis	Laboratory	(92, 287]	Units > 1
HB BURKITT FISH PANEL+PET: FISH PROBE	BURKITT FISH PANEL+PET FISH PROBE	Laboratory	5.0	460.45	92.09	burkitt fish panel and pet fish probe	Laboratory	(92, 287]	Units > 1
HB BURKITT FISH PANEL+PET: PET PROCESSING	BURKITT FISH PANEL+PET PET PROCESSING	Laboratory	1.0	698.87	698.87	burkitt fish panel and pet pet processing	Laboratory	(641, 997]	Units <= 1
BUTORPHANOL 1MG/ML	BUTORPHANOL 1MG/ML	Pharmacy	1.0	5.16	5.16	butorphanol 1 mg/ml	Pharmacy	(4, 17]	Units <= 1
HB BUTORPHANOL 2MG/ML	BUTORPHANOL 2MG/ML	Pharmacy	30.0	319.56	10.652	butorphanol 2 mg/ml	Pharmacy	(4, 17]	Units > 1
HB C ARM EXTREMITIES UP TO 1HR	C ARM EXTREMITIES UP TO 1HR	Radiology	1.0	916.0	916.0	arm extremities up to 1hr	Radiology	(641, 997]	Units <= 1
C - ARM PAIN MANAGEMENT	C ARM PAIN MANAGEMENT	Radiology	1.0	278.0	278.0	C-arm pain management	PT / OT / Speech Therapy	(92, 287]	Units <= 1
C ARM USAGE  STAT	C ARM USAGE STAT	Implant/Supply	1.0	0.0	0.0	arm usage stat	Radiology	(-10, 0]	Units <= 1
C-BOOT/HEEL PROTECTOR	C BOOT/HEEL PROTECTOR	Implant/Supply	2.0	448.0	224.0	boot/heel protector	Supply	(92, 287]	Units > 1
C BUN ADD-ON	C BUN ADD ON	Laboratory	1.0	65.0	65.0	blood_urea_nitrogen additional on	Laboratory	(61, 92]	Units <= 1
C CENTRAL/PERIPH BLOOD D	C CENTRAL/PERIPH BLOOD D	Laboratory	1.0	203.0	203.0	central/peripheral blood device	Nursing Services	(92, 287]	Units <= 1
C CENTRAL/PERIPH BLOOD DRA	C CENTRAL/PERIPH BLOOD DRA	Laboratory	1.0	203.0	203.0	central/peripheral blood draw	Nursing Services	(92, 287]	Units <= 1
C DIFF AMPLIFIED PROBE	C DIFF AMPLIFIED PROBE	Implant/Supply	1.0	69.0	69.0	clostridium difficile amplified probe	Laboratory	(61, 92]	Units <= 1
C DIFF - AMPLIFIED PROBE	C DIFF AMPLIFIED PROBE	Laboratory	1.0	167.55	167.55	clostridium difficile amplified probe	Laboratory	(92, 287]	Units <= 1
C DIFF BY PCR	C DIFF BY PCR	Laboratory	1.0	158.0	158.0	clostridium_difficile by pcr	Laboratory	(92, 287]	Units <= 1
C DIFF TOX GENE AMP PR	C DIFF TOX GENE AMP PR	Laboratory	1.0	321.0	321.0	differential tox gene ampule pressure	Laboratory	(287, 641]	Units <= 1
C - FLEXISEAL FECAL MANAGEMENT KIT	C FLEXISEAL FECAL MANAGEMENT KIT	Implant/Supply	1.0	524.0	524.0	flexiseal fecal management kit	Supply	(287, 641]	Units <= 1
C GLUCOSE ADD-ON	C GLUCOSE ADD ON	Laboratory	1.0	65.0	65.0	glucose additional on	Laboratory	(61, 92]	Units <= 1
C - KNEE HI PAS STOCKING	C KNEE HI PAS STOCKING	Implant/Supply	1.0	85.0	85.0	knee hi pas stocking	Supply	(61, 92]	Units <= 1
C LACTATE (PNL)	C LACTATE PNL 	Laboratory	1.0	174.0	174.0	lactate panel	Laboratory	(92, 287]	Units <= 1
C MHOC-NON-CHEMO SUB Q O	C MHOC NON CHEMO SUB Q O	Treatment/Observation Room	1.0	204.0	204.0	mhoc non chemo sub q oxygen	Nursing Services	(92, 287]	Units <= 1
HB C MOTOR EVOKED UPPER  & LOWER LIMBS	C MOTOR EVOKED UPPER & LOWER LIMBS	Other Diagnostic Services	1.0	451.98	451.98	C motor evoked upper and lower limbs	Procedure	(287, 641]	Units <= 1
C-MULTI-LUMEN CENTRAL VENOUS K	C MULTI LUMEN CENTRAL VENOUS K	Implant/Supply	1.0	97.0	97.0	catheter multiple lumen central venous	Supply	(92, 287]	Units <= 1
C-MULTI LUMEN CV KIT-45545703MCH.	C MULTI LUMEN CV KIT 45545703MCH.	Implant/Supply	1.0	218.0	218.0	multiple lumen cardiovascular kit 45545703mch	Supply	(92, 287]	Units <= 1
C PAP PER DAY	C PAP PER DAY	Respiratory Services	1.0	1896.0	1896.0	continuous positive air pressure per day	Respiratory Therapy	(997, 2496]	Units <= 1
C PEPTIDE	C PEPTIDE	Laboratory	1.0	158.0	158.0	c peptide	Laboratory	(92, 287]	Units <= 1
C POCT-GLUCOSE BY MONITORING DEVICE	C POCT GLUCOSE BY MONITORING DEVICE	Laboratory	1.0	22.0	22.0	point_of_care_testing glucose by monitoring device	Monitoring	(17, 41]	Units <= 1
C POTASSIUM ADD-ON	C POTASSIUM ADD ON	Laboratory	1.0	76.0	76.0	potassium additional on	Laboratory	(61, 92]	Units <= 1
C PROC-NITRIC OXIDE THER	C PROC NITRIC OXIDE THER	Respiratory Services	8.0	5264.0	658.0	procedure nitric oxide therapist	Plan Benefit	(641, 997]	Units > 1
C-REACTIVE PROTEIN	C REACTIVE PROTEIN	EKG/ECG/EEG	1.0	483.45	483.45	c reactive protein	Laboratory	(287, 641]	Units <= 1
C - REACTIVE PROTEIN	C REACTIVE PROTEIN	Laboratory	1.0	119.0	119.0	c reactive protein	Laboratory	(92, 287]	Units <= 1
C-REACTIVE PROTEIN	C REACTIVE PROTEIN	Other Imaging Services	1.0	105.0	105.0	c reactive protein	Laboratory	(92, 287]	Units <= 1
C-REACTIVE PROTEIN	C REACTIVE PROTEIN	Radiology	1.0	447.64	447.64	c reactive protein	Laboratory	(287, 641]	Units <= 1
C - REACTIVE PROTEIN *	C REACTIVE PROTEIN 	Laboratory	1.0	65.0	65.0	c reactive protein	Laboratory	(61, 92]	Units <= 1
C - REACTIVE PROTEIN; CRP	C REACTIVE PROTEIN CRP	Laboratory	1.0	119.0	119.0	reactive protein c_reactive_protein	Laboratory	(92, 287]	Units <= 1
C - REACTIVE PROTEIN (CRP)	C REACTIVE PROTEIN CRP 	Laboratory	1.0	94.0	94.0	reactive protein c_reactive_protein	Laboratory	(92, 287]	Units <= 1
C REACTIVE PROTEIN (CRP)	C REACTIVE PROTEIN CRP 	Other Imaging Services	1.0	110.95	110.95	reactive protein c_reactive_protein	Laboratory	(92, 287]	Units <= 1
C-SECTION SCHEDULED	C SECTION SCHEDULED	OR Services	1.0	5148.0	5148.0	c-section scheduled	OR / Anesthesia / Recovery Room	(2496, 9320]	Units <= 1
C SODIUM ADD-ON	C SODIUM ADD ON	Laboratory	1.0	80.0	80.0	sodium additional on	Laboratory	(61, 92]	Units <= 1
C- SPECIMEN-COLLECT-FEE	C SPECIMEN COLLECT FEE	Laboratory	1.0	8.5	8.5	specimen collection fee	Nursing Services	(4, 17]	Units <= 1
C3 COMPLEMENT	C3 COMPLEMENT	Laboratory	1.0	177.0	177.0	c3 complement	Laboratory	(92, 287]	Units <= 1
C4 COMPLEMENT	C4 COMPLEMENT	Laboratory	1.0	177.0	177.0	c4 complement	Laboratory	(92, 287]	Units <= 1
HB CA CARBONATE ORL SUSP 500MG/5	CA CARBONATE ORL SUSP 500MG/5	Pharmacy	1.0	0.02	0.02	calcium carbonate oral suspension 500 mg/5	Pharmacy	(0, 4]	Units <= 1
CA GLUCON10MLIJ	CA GLUCON10MLIJ	Drugs Requiring Detailed Coding	2.0	99.54	49.77	calcium glucon10_mlij	Pharmacy	(41, 61]	Units > 1
CA GLUCON10MLIJ	CA GLUCON10MLIJ	Pharmacy	2.0	84.0	42.0	calcium glucon10_mlij	Pharmacy	(41, 61]	Units > 1
CABLE, EPS EXT HEX BLK 150 U	CABLE EPS EXT HEX BLK 150 U	Implant/Supply	1.0	504.0	504.0	cable eps extension hex black 150_units	Supply	(287, 641]	Units <= 1
CABLE, QUAD CONNECTOR	CABLE QUAD CONNECTOR	Implant/Supply	1.0	453.6	453.6	cable quad connector	Supply	(287, 641]	Units <= 1
CAFFEINE 60MG/3ML ORAL SOLUTION	CAFFEINE 60MG/3ML ORAL SOLUTION	Pharmacy	1.0	123.48	123.48	caffeine 60_mg/3_ml oral solution	Pharmacy	(92, 287]	Units <= 1
CAFFEINE CITRAT 5MG IN	CAFFEINE CITRAT 5MG IN	Drugs Requiring Detailed Coding	2.0	121.66	67.0	caffeine citrate 5_mg injection	Pharmacy	(61, 92]	Units > 1
CAFFEINE CITRAT 5MG IN	CAFFEINE CITRAT 5MG IN	Pharmacy	2.0	134.0	67.0	caffeine citrate 5_mg injection	Pharmacy	(61, 92]	Units > 1
CAFFEINE CITRATE 10 MG/ML S WCH00-0009-92	CAFFEINE CITRATE 10 MG/ML S WCH00 0009 92	Pharmacy	2.0	60.75	30.375	caffeine citrate 10 mg/ml s wch00 0009 92	Pharmacy	(17, 41]	Units > 1
CAFFEINE CITRATE 20 MG/ML	CAFFEINE CITRATE 20 MG/ML	Drugs Requiring Detailed Coding	12.0	28.0	2.333333333	caffeine citrate 20_mg/ml	Pharmacy	(0, 4]	Units > 1
CAFFEINE (CITRATE 20 MG/ML	CAFFEINE CITRATE 20 MG/ML	Drugs Requiring Specific Identification	1.0	41.03	41.03	caffeine citrate 20_mg/ml	Pharmacy	(41, 61]	Units <= 1
CAFFEINE CITRATE 20 MG/ML	CAFFEINE CITRATE 20 MG/ML	Pharmacy	3.0	45.8	25.0	caffeine citrate 20_mg/ml	Pharmacy	(17, 41]	Units > 1
CAFFEINE CITRATE 20 MG/ML INJ 3 ML SYRINGE	CAFFEINE CITRATE 20 MG/ML INJ 3 ML SYRINGE	Drugs Requiring Detailed Coding	2.0	25.5	13.9	caffeine citrate 20_mg/ml injection 3_ml syringe	Pharmacy	(4, 17]	Units > 1
HB CAFFEINE CITRATE 20 MG/ML PO SOL	CAFFEINE CITRATE 20 MG/ML PO SOL	Pharmacy	2.0	77.95	38.975	caffeine citrate 20 mg/ml by_mouth solution	Pharmacy	(17, 41]	Units > 1
CAFFEINE CITRATE 20 MG/ML SOLN	CAFFEINE CITRATE 20 MG/ML SOLN	Drugs Requiring Detailed Coding	2.0	72.47	14.55	caffeine citrate 20 mg/ml solution	Pharmacy	(4, 17]	Units > 1
CAFFEINE CITRATE 20 MG/ML SOLN	CAFFEINE CITRATE 20 MG/ML SOLN	Drugs Requiring Specific Identification	1.0	5.4	5.4	caffeine citrate 20 mg/ml solution	Pharmacy	(4, 17]	Units <= 1
CAFFEINE CITRATE 20 MG/ML SOLN	CAFFEINE CITRATE 20 MG/ML SOLN	IV Therapy	1.0	44.0	44.0	caffeine citrate 20 mg/ml solution	Pharmacy	(41, 61]	Units <= 1
CAFFEINE CITRATE 20 MG/ML SOLN	CAFFEINE CITRATE 20 MG/ML SOLN	Pharmacy	1.0	28.85	22.35	caffeine citrate 20 mg/ml solution	Pharmacy	(17, 41]	Units <= 1
CAFFEINE CITRATE 20 MG/ML SOLN 3 ML VIAL	CAFFEINE CITRATE 20 MG/ML SOLN 3 ML VIAL	Drugs Requiring Detailed Coding	12.0	90.3	7.525	caffeine citrate 20_mg/ml solution 3_ml vial	Pharmacy	(4, 17]	Units > 1
CAFFEINE CITRATE 20 MG/ML SOLN 3 ML VIAL	CAFFEINE CITRATE 20 MG/ML SOLN 3 ML VIAL	Drugs Requiring Specific Identification	1.0	10.15	6.7	caffeine citrate 20_mg/ml solution 3_ml vial	Pharmacy	(4, 17]	Units <= 1
CAFFEINE CITRATE 20 MG/ML SOLN 3 ML VIAL	CAFFEINE CITRATE 20 MG/ML SOLN 3 ML VIAL	IV Therapy	1.0	36.3	36.3	caffeine citrate 20_mg/ml solution 3_ml vial	Pharmacy	(17, 41]	Units <= 1
CAFFEINE CITRATE 20 MG/ML SOLN 3 ML VIAL	CAFFEINE CITRATE 20 MG/ML SOLN 3 ML VIAL	Pharmacy	1.0	36.0	28.3	caffeine citrate 20_mg/ml solution 3_ml vial	Pharmacy	(17, 41]	Units <= 1
CAFFEINE CITRATE 60 MG/3 ML (20 MG/ML) SOLN 3 ML VIAL	CAFFEINE CITRATE 60 MG/3 ML 20 MG/ML SOLN 3 ML VIAL	Drugs Requiring Detailed Coding	2.0	5.74	2.87	caffeine citrate 60_mg/3_ml 20_mg/ml solution 3_ml vial	Pharmacy	(0, 4]	Units > 1
CAFFEINE CITRATE 60 MG/3 ML (20 MG/ML) SOLN 3 ML VIAL	CAFFEINE CITRATE 60 MG/3 ML 20 MG/ML SOLN 3 ML VIAL	IV Therapy	1.0	31.67	31.67	caffeine citrate 60_mg/3_ml 20_mg/ml solution 3_ml vial	Pharmacy	(17, 41]	Units <= 1
CAFFEINE CITRATE 60 MG/3 ML (20 MG/ML) SOLN 3 ML VIAL	CAFFEINE CITRATE 60 MG/3 ML 20 MG/ML SOLN 3 ML VIAL	Pharmacy	2.0	131.25	43.75	caffeine citrate 60_mg/3_ml 20_mg/ml solution 3_ml vial	Pharmacy	(41, 61]	Units > 1
CAFFEINE CITRATE 60 MG/3ML SOLN	CAFFEINE CITRATE 60 MG/3ML SOLN	Drugs Requiring Detailed Coding	3.0	27.6	7.7	caffeine citrate 60 mg/3 ml solution	Pharmacy	(4, 17]	Units > 1
CAFFEINE CITRATE 60 MG/3ML SOLN	CAFFEINE CITRATE 60 MG/3ML SOLN	Pharmacy	4.0	29.0	6.666666667	caffeine citrate 60 mg/3 ml solution	Pharmacy	(4, 17]	Units > 1
CAFFEINE CITRATE SUSP 20 MG WCH00-0008-69	CAFFEINE CITRATE SUSP 20 MG WCH00 0008 69	Pharmacy	1.0	30.55	30.55	caffeine citrate suspension 20 mg wch00 0008 69	Pharmacy	(17, 41]	Units <= 1
"CAFFEINE CITRATED 60 MG/3 ML (20
MG/ML) ORAL SOLUTION"	CAFFEINE CITRATED 60 MG/3 ML 20 MG/ML ORAL SOLUTION	Pharmacy	3.0	54.0	18.0	caffeine citrated 60_mg/3_ml 20_mg/ml oral solution	Pharmacy	(17, 41]	Units > 1
CALC CARB 500MG CHW	CALC CARB 500MG CHW	Pharmacy	3.0	0.03	0.01	calcium carbonate 500_mg chew	Pharmacy	(0, 4]	Units > 1
CALCITRIOL 0.25 MCG CAPS	CALCITRIOL 0.25 MCG CAPS	Drugs Requiring Specific Identification	1.0	15.0	15.0	calcitriol 0.25 microgram capsule	Pharmacy	(4, 17]	Units <= 1
CALCITRIOL 0.25 MCG CAPS	CALCITRIOL 0.25 MCG CAPS	Pharmacy	1.0	9.68	4.84	calcitriol 0.25 microgram capsule	Pharmacy	(4, 17]	Units <= 1
CALCIUM	CALCIUM	Laboratory	1.0	98.25	98.25	calcium	Laboratory	(92, 287]	Units <= 1
CALCIUM	CALCIUM	Others	3.0	450.0	150.0	calcium	Laboratory	(92, 287]	Units > 1
CALCIUM	CALCIUM	Pharmacy	1.0	50.0	50.0	calcium	Laboratory	(41, 61]	Units <= 1
CALCIUM*	CALCIUM 	Laboratory	1.0	90.18	90.18	calcium	Laboratory	(61, 92]	Units <= 1
CALCIUM, BLOOD	CALCIUM BLOOD	Hospice Services	1.0	110.0	110.0	calcium blood	Laboratory	(92, 287]	Units <= 1
