descrip	cleaned_descrip	rev_code	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS	amount_bins	Dominant CC1	Dominant CC2	# of descriptions	% Dominance1	% Dominance2
CULT URINE COLONY CT	CULT URINE COLONY CT	306.0	1.0	116.0	116.0	culture urine colony count	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULT,URINE,RFX SENS	CULT URINE RFX SENS	270.0	1.0	82.0	82.0	culture urine rfx sensitivity	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULT, URINE, RFX SENS	CULT URINE RFX SENS	306.0	1.0	82.0	82.0	culture urine rfx sensitivity	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULT, URINE W CC (URIN)	CULT URINE W CC URIN 	300.0	1.0	171.0	171.0	cult urine with colony counts urine	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HC CULT/COLONY COUNT QUANT URINE	CULT/COLONY COUNT QUANT URINE	303.0	1.0	146.0	146.0	culture/colony count quantitative urine	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HC CULT/COLONY COUNT QUANT URINE	CULT/COLONY COUNT QUANT URINE	305.0	1.0	140.0	140.0	culture/colony count quantitative urine	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULT/COLONY COUNT QUANT URINE	CULT/COLONY COUNT QUANT URINE	306.0	1.0	146.0	146.0	culture/colony count quantitative urine	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HC CULT/COLONY COUNT QUANT URINE	CULT/COLONY COUNT QUANT URINE	819.0	1.0	146.0	146.0	culture/colony count quantitative urine	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE ACID FAST BACILLI	CULTURE ACID FAST BACILLI	300.0	1.0	102.36	102.36	culture acid fast bacilli	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE ACID FAST BACILLI	CULTURE ACID FAST BACILLI	306.0	1.0	86.0	86.0	culture acid fast bacilli	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE AEROBIC	CULTURE AEROBIC	300.0	1.0	101.0	101.0	culture aerobic	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE, AEROBIC	CULTURE AEROBIC	305.0	1.0	63.0	63.0	culture aerobic	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE AEROBIC	CULTURE AEROBIC	306.0	1.0	129.0	129.0	culture aerobic	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HC CULTURE AEROBIC	CULTURE AEROBIC	308.0	1.0	124.0	124.0	culture aerobic	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE AEROBIC,	CULTURE AEROBIC 	306.0	1.0	296.0	296.0	culture aerobic	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE AFB	CULTURE AFB	300.0	1.0	230.0	230.0	culture acid fast bacillus	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE AFB	CULTURE AFB	306.0	1.0	201.0	201.0	culture acid fast bacillus	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE AFB ISOLATE AND ID	CULTURE AFB ISOLATE AND ID	306.0	1.0	25.0	25.0	culture acid fast bacillus isolate and identification	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
CULTURE - ANAEROBIC	CULTURE ANAEROBIC	300.0	1.0	108.0	108.0	culture anaerobic	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HC CULTURE ANAEROBIC	CULTURE ANAEROBIC	301.0	1.0	65.12	65.12	culture anaerobic	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE, ANAEROBIC	CULTURE ANAEROBIC	305.0	1.0	156.0	156.0	culture anaerobic	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE - ANAEROBIC	CULTURE ANAEROBIC	306.0	1.0	254.25	253.0	culture anaerobic	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HB CULTURE, ANAEROBIC	CULTURE ANAEROBIC	308.0	1.0	57.2	57.2	culture anaerobic	Laboratory	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
CULTURE ANAEROBIC	CULTURE ANAEROBIC	636.0	1.0	265.0	265.0	culture anaerobic	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE ANAEROBIC,	CULTURE ANAEROBIC 	306.0	1.0	457.0	457.0	culture anaerobic	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE BACTERIA OTHER 1	CULTURE BACTERIA OTHER 1	300.0	1.0	194.0	194.0	culture bacteria other 1	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE BACTERIA OTHER 1	CULTURE BACTERIA OTHER 1	306.0	1.0	671.0	671.0	culture bacteria other 1	Laboratory	(650, 1000]	Supply	Laboratory	344.0	21.2209302326	15.4069767442
CULTURE BACTERIA OTHER 1	CULTURE BACTERIA OTHER 1	307.0	1.0	671.0	671.0	culture bacteria other 1	Laboratory	(650, 1000]	Supply	Laboratory	344.0	21.2209302326	15.4069767442
CULTURE BACTERIAL BLOOD AE	CULTURE BACTERIAL BLOOD AE	306.0	1.0	371.0	371.0	culture bacterial blood aerobic	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE BACTERIAL BLOOD AEROBIC W/ID ISOLATES	CULTURE BACTERIAL BLOOD AEROBIC W/ID ISOLATES	306.0	1.0	371.0	371.0	culture bacterial blood aerobic with id isolates	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE BLOOD	CULTURE BLOOD	300.0	1.0	178.0	177.0	culture blood	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE BLOOD	CULTURE BLOOD	301.0	1.0	346.0	229.0	culture blood	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE BLOOD	CULTURE BLOOD	305.0	1.0	256.98	238.99	culture blood	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE  BLOOD	CULTURE BLOOD	306.0	1.0	263.0	263.0	culture blood	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE BLOOD	CULTURE BLOOD	308.0	1.0	212.0	212.0	culture blood	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE, BLOOD	CULTURE BLOOD	309.0	1.0	389.2	389.2	culture blood	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE, BLOOD	CULTURE BLOOD	421.0	2.0	373.5	186.75	culture blood	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE BLOOD	CULTURE BLOOD	736.0	1.0	386.64	386.64	culture blood	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE BLOOD	CULTURE BLOOD	791.0	1.0	652.83	652.83	culture blood	Laboratory	(650, 1000]	Supply	Laboratory	344.0	21.2209302326	15.4069767442
CULTURE BLOOD-	CULTURE BLOOD 	306.0	1.0	244.0	244.0	culture blood	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE, BLOOD 1ST SITE, RF	CULTURE BLOOD 1ST SITE RF	306.0	1.0	106.0	106.0	culture blood 1st site right forearm	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE, BLOOD 2ND SITE, RF	CULTURE BLOOD 2ND SITE RF	306.0	1.0	106.0	106.0	culture blood second site right forearm	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE BLOOD BACTER	CULTURE BLOOD BACTER	306.0	1.0	347.0	347.0	culture blood bacteria	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE  BLOOD  BACTERIAL	CULTURE BLOOD BACTERIAL	306.0	1.0	232.0	232.0	culture blood bacterial	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE - BRONCHIAL	CULTURE BRONCHIAL	306.0	1.0	230.0	230.0	culture bronchial	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE, CF RESPIRATORY	CULTURE CF RESPIRATORY	300.0	1.0	185.28	185.28	culture cystic fibrosis respiratory	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE FNGI MOLD/YEAST PR	CULTURE FNGI MOLD/YEAST PR	300.0	1.0	48.0	48.0	culture fungi mold/yeast pr	Laboratory	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
CULTURE FNGI MOLD/YEAST PR	CULTURE FNGI MOLD/YEAST PR	306.0	1.0	259.0	259.0	culture fungi mold/yeast pr	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE FUNGAL	CULTURE FUNGAL	300.0	1.0	700.0	700.0	culture fungal	Laboratory	(650, 1000]	Supply	Laboratory	344.0	21.2209302326	15.4069767442
CULTURE FUNGAL	CULTURE FUNGAL	306.0	1.0	72.6	72.6	culture fungal	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
HB CULTURE, FUNGAL	CULTURE FUNGAL	308.0	1.0	72.6	72.6	culture fungal	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE - FUNGUS - BLOOD	CULTURE FUNGUS BLOOD	300.0	1.0	131.0	131.0	culture fungus blood	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE  FUNGUS  BLOOD	CULTURE FUNGUS BLOOD	306.0	1.0	164.0	164.0	culture fungus blood	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE FUNGUS (BLOOD)	CULTURE FUNGUS BLOOD 	306.0	1.0	382.52	382.52	culture fungus blood	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE, FUNGUS BLOOD (FBL	CULTURE FUNGUS BLOOD FBL	300.0	1.0	245.0	245.0	culture fungus blood fbl	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE FUNGUS OTHER	CULTURE FUNGUS OTHER	300.0	1.0	73.5	73.5	culture fungus other	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE FUNGUS OTHER	CULTURE FUNGUS OTHER	305.0	3.0	360.0	120.0	culture fungus other	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE FUNGUS OTHER	CULTURE FUNGUS OTHER	306.0	1.0	158.5	153.0	culture fungus other	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE - FUNGUS (OTHER)	CULTURE FUNGUS OTHER 	306.0	1.0	357.93	357.93	culture fungus other	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE, ID, ANAEROBIC DEF	CULTURE ID ANAEROBIC DEF	306.0	1.0	78.0	78.0	culture id anaerobic def	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE LEGIONELLA	CULTURE LEGIONELLA	300.0	1.0	387.0	387.0	culture legionella	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE LEGIONELLA	CULTURE LEGIONELLA	306.0	1.0	54.0	54.0	culture legionella	Laboratory	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
CULTURE  MRSA	CULTURE MRSA	306.0	1.0	144.0	144.0	culture methicilllin-resistant staphylococcus aureus	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE,ORG ID AERO DEF	CULTURE ORG ID AERO DEF	306.0	1.0	82.0	82.0	culture organism identification aerobic def	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE, ORG ID AERO DEF 1	CULTURE ORG ID AERO DEF 1	306.0	1.0	78.0	78.0	culture organism identification aerobic def 1	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE, ORG ID AERO DEF 2	CULTURE ORG ID AERO DEF 2	306.0	1.0	78.0	78.0	culture organism identification aerobic def 2	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE, ORG ID AERO DEF 3	CULTURE ORG ID AERO DEF 3	306.0	1.0	78.0	78.0	culture organism identification aerobic def 3	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE OTHER SOURCE	CULTURE OTHER SOURCE	300.0	1.0	185.0	178.5	culture other source	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE OTHER SOURCE	CULTURE OTHER SOURCE	305.0	4.0	356.0	89.0	culture other source	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE OTHER SOURCE	CULTURE OTHER SOURCE	306.0	1.0	140.0	128.0	culture other source	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE P PATHOG - SCREEN	CULTURE P PATHOG SCREEN	306.0	1.0	36.0	36.0	culture p pathology screen	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
CULTURE RESPIRATORY	CULTURE RESPIRATORY	300.0	1.0	76.2	76.2	culture respiratory	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE  RESPIRATORY	CULTURE RESPIRATORY	306.0	1.0	221.0	221.0	culture respiratory	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE RESPIRATORY	CULTURE RESPIRATORY	308.0	1.0	238.0	238.0	culture respiratory	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HC (CULTURE RESPIRATORY)	CULTURE RESPIRATORY 	306.0	1.0	128.0	128.0	culture respiratory	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HB CULTURE RESPIRATORY (QUANT)	CULTURE RESPIRATORY QUANT 	300.0	1.0	98.65	98.65	culture respiratory quantitative	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE STOOL	CULTURE STOOL	300.0	1.0	131.2	131.2	culture stool	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE STOOL	CULTURE STOOL	306.0	1.0	153.0	153.0	culture stool	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE STOOL,	CULTURE STOOL 	306.0	1.0	324.0	324.0	culture stool	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE STOOL ADD PATH	CULTURE STOOL ADD PATH	306.0	1.0	73.0	73.0	culture stool additional pathology	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE TYPING ID BY NUC A	CULTURE TYPING ID BY NUC A	306.0	1.0	33.0	33.0	culture typing id by nucleic acid	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
CULTURE TYPING ID BY NUC ACID EACH	CULTURE TYPING ID BY NUC ACID EACH	306.0	1.0	33.0	33.0	culture typing id by nucleic acid each	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
CULTURE TYPING NUCLEIC ACI	CULTURE TYPING NUCLEIC ACI	306.0	1.0	33.0	33.0	culture typing nucleic acid	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
CULTURE, URINE	CULTURE URINE	163.0	1.0	60.0	60.0	culture urine	Laboratory	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
CULTURE - URINE	CULTURE URINE	300.0	1.0	142.0	142.0	culture urine	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE URINE	CULTURE URINE	301.0	1.0	85.085	58.645	culture urine	Laboratory	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
CULTURE URINE	CULTURE URINE	305.0	1.0	76.0	76.0	culture urine	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE - URINE	CULTURE URINE	306.0	1.0	122.75	122.75	culture urine	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE, URINE	CULTURE URINE	308.0	1.0	100.8	100.8	culture urine	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE, URINE	CULTURE URINE	309.0	1.0	305.2	305.2	culture urine	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
HB CULTURE URINE*	CULTURE URINE 	306.0	1.0	117.0	117.0	culture urine	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE URINE COL COUNT	CULTURE URINE COL COUNT	306.0	1.0	111.0	111.0	culture urine coil count	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE, URINE, RFLX SENS	CULTURE URINE RFLX SENS	306.0	1.0	82.0	82.0	culture urine reflex sensitivity	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE VIRAL	CULTURE VIRAL	300.0	1.0	301.0	301.0	culture viral	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE  VIRAL	CULTURE VIRAL	306.0	1.0	287.0	287.0	culture viral	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE VRE	CULTURE VRE	306.0	1.0	126.0	126.0	culture vancomycin resistant enterococci	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE - WOUND	CULTURE WOUND	300.0	1.0	246.51	207.05	culture wound	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE WOUND	CULTURE WOUND	301.0	1.0	258.0	258.0	culture wound	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE WOUND	CULTURE WOUND	306.0	1.0	269.0	269.0	culture wound	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE,WOUND (AER) , RFLX SE	CULTURE WOUND AER RFLX SE	306.0	1.0	98.0	98.0	culture wound aerobic reflex se	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CULTURE  WOUND AEROBIC	CULTURE WOUND AEROBIC	306.0	1.0	432.7	386.99	culture wound aerobic	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE WOUND (AEROBIC)	CULTURE WOUND AEROBIC 	306.0	1.0	262.2	262.2	culture wound aerobic	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE WOUND (ANAEROBIC	CULTURE WOUND ANAEROBIC	306.0	1.0	144.0	144.0	culture wound anaerobic	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE, YEAST ID X 1	CULTURE YEAST ID X 1	306.0	1.0	372.0	372.0	culture yeast id x 1	Laboratory	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CULTURE. RESPIRATORY	CULTURE. RESPIRATORY	300.0	1.0	255.0	255.0	culture respiratory	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CULTURE/BACTERIAL FLUID QT	CULTURE/BACTERIAL FLUID QT	306.0	1.0	210.0	210.0	culture/bacterial fluid quantitative	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HB CUSHION WAFFLE ADULT 17IN X 17	CUSHION WAFFLE ADULT 17IN X 17	270.0	1.0	94.0	94.0	cushion waffle adult 17 inches x 17	Supply	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CUSHION WC SFT-CARE 18X17IN	CUSHION WC SFT CARE 18X17IN	270.0	1.0	114.4	114.4	cushion wc soft care 18x17 inches	Supply	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CUSTOM PACK	CUSTOM PACK	270.0	1.0	239.0	239.0	custom pack	Supply	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CUSTOM PACK	CUSTOM PACK	272.0	1.0	854.0	854.0	custom pack	Supply	(650, 1000]	Supply	Laboratory	344.0	21.2209302326	15.4069767442
CUSTOM PACK MAJOR GENERAL PROC	CUSTOM PACK MAJOR GENERAL PROC	272.0	1.0	350.0	350.0	custom pack major general procedure	Supply	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CUSTOM PACK MINOR GENERAL	CUSTOM PACK MINOR GENERAL	270.0	1.0	309.0	309.0	custom pack minor general	Supply	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CUSTOM PACK MINOR GENERAL	CUSTOM PACK MINOR GENERAL	272.0	1.0	318.0	318.0	custom pack minor general	Supply	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CUSTOM PACK MINOR HEAD/NECK	CUSTOM PACK MINOR HEAD/NECK	272.0	1.0	312.0	312.0	custom pack minor head/neck	Supply	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
HB CUSTOM PACK - NEO	CUSTOM PACK NEO	270.0	1.0	7642.0	7642.0	custom pack neonatal with	Supply	(2500, 9000]	Room and Board	Radiology	395.0	38.2278481013	15.1898734177
CUSTOM PACK OPEN HEART	CUSTOM PACK OPEN HEART	272.0	1.0	1005.0	1005.0	custom pack open heart	Supply	(1000, 2500]	Radiology	Supply	461.0	21.0412147505	13.6659436009
HB CUSTOM PACK - PEDI	CUSTOM PACK PEDI	270.0	1.0	6578.5	6578.5	custom pack pediatric	Supply	(2500, 9000]	Room and Board	Radiology	395.0	38.2278481013	15.1898734177
CUTTER BLOOD SET	CUTTER BLOOD SET	270.0	1.0	46.0	46.0	cutter blood set	Supply	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
HB CVC DRESSING CHANGE	CVC DRESSING CHANGE	940.0	1.0	115.13	115.13	central venous catheter dressing change	Supply	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HC CVP 2 LUMEN SAFETY CVP	CVP 2 LUMEN SAFETY CVP	278.0	1.0	232.0	232.0	central_venous_pressure 2 lumen safety central_venous_pressure	Supply	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CVR PROBE INTOP ST 6X96IN W/GEL	CVR PROBE INTOP ST 6X96IN W/GEL	272.0	1.0	36.0	36.0	cardiovascular probe intraoperative strip 6x96 inches with gel	Supply	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
HB CXIMETRY, CONTINUOUS OVERNIGHT	CXIMETRY CONTINUOUS OVERNIGHT	460.0	1.0	491.925	491.925	oximetry continuous overnight	Monitoring	(300, 650]	Laboratory	Supply	1035.0	24.2512077295	21.8357487923
CYASTATIN C X00322	CYASTATIN C X00322	301.0	1.0	300.0	300.0	cyastatin c x00322	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
HB CYCLER SET	CYCLER SET	270.0	1.0	71.92	71.92	cycler set	Supply	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
CYCLOBENZAPRINE 10 MG TAB	CYCLOBENZAPRINE 10 MG TAB	250.0	1.0	3.0	3.0	cyclobenzaprine 10_mg tablet	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
CYCLOBENZAPRINE 10 MG TAB	CYCLOBENZAPRINE 10 MG TAB	259.0	1.0	13.0	13.0	cyclobenzaprine 10_mg tablet	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
CYCLOBENZAPRINE 10 MG TAB	CYCLOBENZAPRINE 10 MG TAB	637.0	1.0	3.8	3.8	cyclobenzaprine 10_mg tablet	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
CYCLOBENZAPRINE 10 MG TAB-	CYCLOBENZAPRINE 10 MG TAB 	250.0	1.0	2.35	2.35	cyclobenzaprine 10_mg tablet	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
CYCLOBENZAPRINE 10 MG TABS	CYCLOBENZAPRINE 10 MG TABS	250.0	1.0	10.28	10.28	cyclobenzaprine 10_mg tablets	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
CYCLOBENZAPRINE 10 MG TABS	CYCLOBENZAPRINE 10 MG TABS	259.0	1.0	5.0	5.0	cyclobenzaprine 10_mg tablets	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
CYCLOBENZAPRINE 10 MG TABS	CYCLOBENZAPRINE 10 MG TABS	260.0	1.0	11.13	11.13	cyclobenzaprine 10_mg tablets	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
CYCLOBENZAPRINE 10 MG TABS	CYCLOBENZAPRINE 10 MG TABS	637.0	1.0	3.75	3.75	cyclobenzaprine 10_mg tablets	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
CYCLOMYDRIL 2ML	CYCLOMYDRIL 2ML	250.0	1.0	127.25	127.25	cyclomydril 2_ml	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CYCLOMYDRIL OPHTH SOLN 2ML	CYCLOMYDRIL OPHTH SOLN 2ML	250.0	1.0	126.0	126.0	cyclomydril ophthalmic solution 2 ml	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CYCLOMYDRIL OPHTH SOLN 2ML	CYCLOMYDRIL OPHTH SOLN 2ML	251.0	1.0	51.1	51.1	cyclomydril ophthalmic solution 2 ml	Pharmacy	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
CYCLOPENTOLATE 0.2% - PHENY 0065-0359-02	CYCLOPENTOLATE 0.2% PHENY 0065 0359 02	250.0	1.0	154.35	154.35	cyclopentolate 0.2% phenylephrine 65 359 2	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
CYCLOPENTOLATE 0.2%/PHENYLEPHRINE 1% OPHTH SOLN 2M	CYCLOPENTOLATE 0.2%/PHENYLEPHRINE 1% OPHTH SOLN 2M	250.0	1.0	100.2	100.2	cyclopentolate 0.2%/phenylephrine 1% ophthalmic solution 2m	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
