ORIG_DESC	NORM_DESC	CHRG_CLS	FTR1	FTR2	FTR3	FTR4
CAPILLARY BLOOD SPECIMEN  COLLECT	capsule blood specimen collection	Nursing Services	capsule	specimen	blood	collect
CAPS DIAPHRAGM	capsule diaphragm	Supply	diaphragm	capsule		
CAPSULE MANOMETRY	capsule manometry	Supply	capsule	manometry		
CAPTOPRIL 100 MG TABS	captopril 100_mg tablets	Pharmacy	100_mg	captopril	tabs	
CAPTOPRIL 50MG TABS	captopril 50_mg tablets	Pharmacy	captopril	tabs	50_mg	
CAR SEAT 60 MIN	care seat 60 minutes	Nursing Services	seat	min	car	
CAR SEAT ADDL 30	care seat additional 30	Nursing Services	seat	addl	car	
CARBON MONOXIDE (CARBOXYHGB)	carbon monoxide carboxyhemoglobin	Laboratory	carbon	monoxide	carboxyhemoglobin	
CARBOXYHEMOGLOBIN	carboxyhemoglobin	Laboratory	carboxyhemoglobin			
CARBOXYME .25%OS UD	carboxymethylcellulose 0.25% os ud	OR / Anesthesia / Recovery Room	ud	carboxyme	0.25%os	
CARBOXYMETHYLCELLULOSE 0.5	carboxymethylcellulose 0.5	Laboratory	0.5	carboxymethylcellulose		
CARD-EKG	cardiac electrocardiogram	Cardiology	cardiac	electrocardiogram		
CARDIAC BYPASS PUMP CVP	cardiac bypass pump central_venous_pressure	Capital Equipment	cardiac	pump	cvp	bypass
CARDIAC CATH PACK	cardiac catheter pack	Supply	cardiac	cath	pack	
CARDIAC CK	cardiac creatinine_kinase	Laboratory	cardiac	ck		
CARDIAC DOPPLER LTD	cardiac doppler ltd	Nursing Services	cardiac	doppler	ltd	
CARDIAC MONITOR	cardiac monitor	Monitoring	cardiac	monitor		
CARDIAC OUTPUT MEASUREMENT	cardiac output measurement	Monitoring	cardiac	output	measurement	
CARDIAC OUTPUT MEASUREMENT SUBSEQ	cardiac output measurement subsequent	Laboratory	cardiac	output	subseq	measurement
CARDIAC REHAB IP FOLLOW UP	cardiac rehabilitation inpatient follow up	Nursing Services	cardiac	ip	rehabilitation	follow
CARDIAC REHAB IP OHS PRE-OP	cardiac rehabilitation inpatient ohs pre operative	Nursing Services	cardiac	ip		
CARDIOLOGY STATISTICAL VISIT	cardiology statistical visit	Laboratory	visit	statistical	cardiology	
CARDIOPAT RSVR	cardiopat rsvr	Laboratory	cardiopat	rsvr		
CARDIOPAT SET SNGL USE	cardiopat set single use	Supply	sngl	set	cardiopat	use
CARDIOPLEGIA DELNIDO PLASMA 1L	cardioplegia delnido plasma 1l	Laboratory	cardioplegia	plasma	delnido	1l
CARDIOPLEGIA PK DLP ADPT	cardioplegia pack dlp adapt	Supply	cardioplegia	dlp	adapt	pk
CARDIOPLEGIA STANDARD K 14 MEQ	cardioplegia standard potassium 14_meq	Pharmacy	cardioplegia	k	14_meq	standard
CARDIOPLEGIC #1	cardioplegic 1	Laboratory	cardioplegic			
CARNITINE 30 MG/ML INJ 60 ML SYRINGE	carnitine 30_mg/ml injection 60_ml syringe	Pharmacy	syringe	inj		
CARNITINE Q	carnitine q	Laboratory	q	carnitine		
CARRYNG MOVNGHANDLNG OBJECTS	carryng movnghandlng objects	Laboratory	movnghandlng	carryng	objects	
CARTRIDGE HDR	cartridge hdr	Supply	hdr	cartridge		
CARTRIDGE HR ACT	cartridge hour activity	Plan Benefit	hr	cartridge	act	
CARVEDILOL 12.5 MG TAB	carvedilol 12.5_mg tablet	OR / Anesthesia / Recovery Room	12.5_mg	tab	carvedilol	
CARVEDILOL 12.5 MG TABLET	carvedilol 12.5_mg tablet	Pharmacy	12.5_mg	tablet	carvedilol	
CARVEDILOL 12.5MG TAB	carvedilol 12.5_mg tablet	Pharmacy	12.5_mg	tab	carvedilol	
CARVEDILOL 25 MG TABS	carvedilol 25_mg tablets	Pharmacy	25_mg	tabs	carvedilol	
CARVEDILOL 3.125 MG TAB	carvedilol 3.125_mg tablet	Pharmacy	tablet	3.125_mg	carvedilol	
CARVEDILOL 3.125 MG TABLET	carvedilol 3.125_mg tablet	OR / Anesthesia / Recovery Room	tablet	3.125_mg	carvedilol	
CARVEDILOL 6.25 MG TAB	carvedilol 6.25_mg tablet	OR / Anesthesia / Recovery Room	6.25_mg	tab	carvedilol	
CARVEDILOL 6.25 MG TABS 51079-930-20	carvedilol 6.25_mg tablets 51079 930 20	Pharmacy	6.25_mg	tabs	carvedilol	
CARVEDILOL 6.25MG TB	carvedilol 6.25_mg tab	OR / Anesthesia / Recovery Room	6.25_mg	tube	carvedilol	
CARVEDILOL TAB 12.5MG	carvedilol tablet 12.5_mg	Pharmacy	12.5_mg	tab	carvedilol	
CARVEDILOL TAB 25MG	carvedilol tablet 25_mg	OR / Anesthesia / Recovery Room	25_mg	tab	carvedilol	
CARVEDILOL TAB 3.125MG	carvedilol tablet 3.125_mg	Pharmacy	3.125_mg	tab	carvedilol	
CARVEDILOL TAB 6.25MG	carvedilol tablet 6.25_mg	OR / Anesthesia / Recovery Room	6.25_mg	tab	carvedilol	
CASE TIME 30 MINUTES	case time 30 minutes	OR / Anesthesia / Recovery Room	case	minutes	time	
CASPOFUNGIN 5 MG INJ	caspofungin 5_mg injection	OR / Anesthesia / Recovery Room	caspofungin	injection	5_mg	
CASSETTE FLD WRM FLW RNGR STD	cassette field warm flow rngr standard	Supply	flow	std		
CASSETTE FLD WRM RNGR HI FLOW	cassette field warm rngr hi flow	Supply	hi	flow		
CASSETTE VERALINK V.A.C.	cassette veralink view a cap	Supply	veralink	cap	cassette	view
CAST COVERED STENT 8MM/3	cast covered stent 8mm/3	Monitoring	8mm/3	cast	stent	covered
CAT TEAM - MONITORING	computerized_axial_tomography team monitoring	Monitoring	cat	monitoring	team	
CATH 1.9 FR SILICONE PICC 50CM	catheter 1.9 free silicone peripherally_inserted_central_catheter 50cm	Supply	cath	picc	free	
CATH 11.5FR X 20CM W/CUF	catheter 11.5fr x 20cm w cuff	Supply	cath	cuff		
CATH 15FRX28CM CANNON	catheter 15frx28cm cannon	Supply	15frx28cm	cath	cannon	
CATH 1651-64 EMBL 40CM 6FR 13MM OTW 1. 6ML LATEX FREE	catheter 1651 64 embl 40cm 6fr 13mm otw 1 6_ml latex free	Supply	cath	free		
CATH 1ST ORD UP ART	catheter 1st order up arteries	Supply	cath	arteries	ord	1st
CATH 36CM 19F PLNDRM 3	catheter 36cm 19 plndrm 3	Supply	cath	36cm	plndrm	
CATH 3RD OD LOW ART LT	catheter 3rd overdose lower arteries left	Supply	cath	lower		
CATH 3RD OD LOW ART RT	catheter 3rd overdose lower arteries respiratory_therapy	Supply	rt	cath	lower	
CATH 521269/2270135	catheter 521269/2270135	Supply	cath	521269/2270135		
CATH 8887605189 URTH DOV 18FR	catheter 8887605189_urth dove 18fr	Supply	cath	8887605189_urth	dove	18fr
CATH 8F DRAINAGE 25CM	catheter 8 drainage 25cm	Supply	cath	25cm	drainage	
CATH ACCUV 24X 5/8	catheter accuv 24x 5/8	Supply	cath	05-Aug	24x	accuv
CATH ANGIOCATH BERSTEIN 5F	catheter angiocath berstein 5	Supply	angiocath	cath	berstein	
CATH ANGIOGRAPHIC IMAGER I	catheter angiographic imager i	Supply	imager	cath	angiographic	
CATH AORTIC INTRACLUDE 100	catheter aortic intraclude 100	Supply	intraclude	cath	aortic	
CATH ART EMBL SGL 3FRX80CM 1801-38	catheter arterial embolization single 3frx80cm 1801 38	OR / Anesthesia / Recovery Room	catheter	single		
CATH ARTERIAL 2.5 CPMSY250RA	catheter arterial 2.5 cpmsy250ra	Supply	arterial	cath	cpmsy250ra	2.5
CATH ARTERIAL CPMSY250	catheter arterial cpmsy250	Supply	arterial	cath	cpmsy250	
CATH AUTGUARD SAFE 20GX1IN	catheter autguard safe 20gx1 inches	Supply	cath	inches		
CATH AUTO GUARD W/WINGS 20X1	catheter automated guard w wings 20x1	Supply	cath	automated		
CATH BAL 12MM/4CM 110CM	catheter ball 12mm/4cm 110cm	Supply	cath	ball	12mm/4cm	110cm
CATH BALLOON INTRAAORT	catheter balloon intraaort	Supply	cath	balloon	intraaort	
CATH BEACON DIAG MP 5FR*65	catheter beacon diag mp 5fr 65	Supply	cath	5fr		
CATH BLAD	catheter blade	Supply	cath	blade		
CATH CHEST TROCAR 28FR	catheter chest trocar 28fr	Supply	cath	trocar	28fr	chest
CATH CLOSED IV SYS SP NEXIV	catheter closed intravenous system specimen_gross_micro nexiv	Supply	cath	iv	system	
CATH CORON 1LUM 6FRX100CM EBU3.5 CRV-L	catheter corona 1lum 6frx100cm ebu3.5 crv liter	Supply	cath	liter		
CATH CORON 1LUM 6FRX100CM JR4.0 CRV-R	catheter corona 1lum 6frx100cm jr4.0 crv r	Supply	cath			
CATH COUDE 30CC 14FR STRL	catheter coude 30_cc 14fr sterile	Supply	cath	strl		
CATH CV 600520	catheter cardiovascular 600520	Supply	cath	cardiovascular		
CATH CV BRVC 2.7FR SGL	catheter cardiovascular brvc 2.7fr single	Supply	cath	single	cardiovascular	
CATH CV HMDIAL 3LUM 15	catheter cardiovascular hmdial 3lum 15	Supply	hmdial	cath	3lum	cardiovascular
CATH CVC 4LUMEN 20CM 8.5F	catheter central_venous_catheter 4lumen 20cm 8.5	Supply	cath			
CATH D 5F 145	catheter daily 5 145	Supply	cath	daily		
CATH DIALYSIS HEM/PRTNL LNGTRM	catheter dialysis hemoglobin/prtnl longterm	Laboratory	hemoglobin	cath		
CATH DRN 10FR	catheter drn 10fr	Supply	cath	10fr	drn	
CATH DRN MINI QANCHR+ STD	catheter drn mini qanchr and standard	Supply	mini	cath	std	
CATH DRNGE THOR R ANG TAPR TIP 5 EYE THRM CNFRM 28FRX23IN	catheter drnge thoracic r ango taper tip 5 eye thrm cnfrm 28frx23 inches	Supply	cath	tip	inches	
CATH FOGARTY ART EMB 4FRX80	catheter fogarty arteries emb 4frx80	Supply	cath			
CATH FOLEY 16FR LS 5ML 2WURMTR	catheter foley 16fr ls 5_ml 2wurmtr	Supply	foley	cath	5_ml	
CATH FOLEY 2W SIL 6X25 G17203	catheter foley 2w silver 6x25 g17203	Supply	foley	cath		
CATH FOLEY 2WAY 5ML LATEX	catheter foley 2way 5_ml latex	Supply	foley	cath	5_ml	
CATH FOLEY L	catheter foley l	Supply	foley	cath	l	
CATH FOLEY PED 8FR 3CC 2WAY; CATH FOLEY LUBRICATH 8 FR X 3CC BAL	catheter foley pediatric 8fr 3_cc 2way catheter foley lubricath 8 free x 3_cc ball	Supply	foley	cath	free	ped
CATH FOLEY URINE METER ADV W/STATLOCK TY 303416	catheter foley urine meter advanced with statlock tray 303416	Supply	catheter	tray	meter	
CATH GENSINI 6F 100CM *O	catheter gensini 6 100cm o_r	Supply	100cm	cath	gensini	o_r
CATH GLIDECATH ANG 4FR*65	catheter glidecath ango 4fr 65	Supply	cath	ango	glidecath	4fr
CATH GLIDECATH ANG TAPER 5	catheter glidecath ango taper 5	Supply	cath	ango	glidecath	taper
BLDO-COMPATIBILITY EA UNIT ELECTRONIC	bldo compatibility each up electronic	Laboratory	electronic	bldo	compatibility	
BLENDER/AIR/02/DAY	blender/air/02/day	Respiratory Therapy	blender/air/02/day			
BLISTEX	blistex	Laboratory	blistex			
BLISTEX LIP OINTMENT 0.21OZ	blistex lip ointment 0.21oz	Supply	0.21oz	blistex	lip	ointment
BLN LOW PROF MINI ONE 14FRX1.0	blan lower prof mini one 14frx1.0	Supply	mini	lower		
BLN STRLG OW 5X100X135	blan strlg ow 5x100x135	Laboratory	ow	5x100x135	strlg	blan
BLNKT 63500 84X36IN ADULT PLMR BR HGR FULL ACCESS UN	blanket 63500 84x36 inches adult plmr br hgr full access up	Supply	access	blanket	adult	inches
BLNKT AIR WARM	blanket air warm	Supply	blanket	warm	air	
BLNKT WRM CRDC BDY NS HUGGR	blanket warm crdc body normal_saline hugger	Supply	body	blanket	ns	
BLOCK CARTER ARM	block carter arm	Supply	carter	block	arm	
BLODD TYPING ABO	blodd typing abo	Laboratory	abo	blodd	typing	
BLOOD ADMIN	blood administration	Nursing Services	administration	blood		
BLOOD ADMINISTRATION	blood administration	Nursing Services	administration	blood	NULL	NULL
BLOOD BANK RETYPE PATIENT STATISTIC	blood bank retype patient statistic	Radiology	patient	blood		
BLOOD BANK RETYPE UNIT STATISTIC	blood bank retype up statistic	Laboratory	statistic	blood	bank	retype
BLOOD COLLECT	blood collection	Nursing Services	blood	collect		
BLOOD COLLECTION VIA PICC-E	blood collection vial peripherally_inserted_central_catheter e	Nursing Services	vial	blood	collection	peripherally_inserted_central_catheter
BLOOD COOLER PREPARATION	blood cooler preparation	Laboratory	cooler	preparation	blood	
BLOOD COUNT	blood count	Laboratory	count	blood		
BLOOD COUNT HEMATOCRIT	blood count hematocrit	Laboratory	count	hematocrit	blood	
BLOOD COUNT HEMOGLOBIN	blood count hemoglobin	Laboratory	count	hemoglobin	blood	
BLOOD COUNT PLATELET AUTO	blood count platelet automated	Laboratory	count	platelet	blood	automated
BLOOD CUI	blood cui	Laboratory	blood	cui		
BLOOD CULT	blood cult	Laboratory	cult	blood		
BLOOD CULT. ROUTINE	blood cult routine	Monitoring	cult	blood	routine	
BLOOD CULTURE	blood culture	Laboratory	culture	blood		
BLOOD CULTURE & ARD	blood culture and_insert ard	Laboratory	culture	&	ard	blood
BLOOD CULTURE 2 REFLEX MRSA	blood culture 2 reflex methicilllin_resistant_staphylococcus_aureus	Laboratory	culture	mrsa	reflex	blood
BLOOD CULTURE 2ND SAMPLE	blood culture 2nd sample	Laboratory	sample	culture	blood	2nd
BLOOD CULTURE BACT/ALERT	blood culture bacteria/alert	Laboratory	culture	alert	blood	bacteria
BLOOD CULTURE REFLEX MRSA P	blood culture reflex methicilllin_resistant_staphylococcus_aureus powder	Laboratory	culture	blood	powder	
BLOOD DRAW	blood draw	Nursing Services	draw	blood		
BLOOD DRAW KIT	blood draw kit	Supply	draw	blood	kit	
BLOOD FOLIC ACID SERUM	blood folic acid serum	Laboratory	acid	blood	folic	serum
BLOOD GAS	blood_gas	Monitoring	gas	blood		
BLOOD GAS CAPILLARY W/CALC 02	blood gas capsule w calc 2	Supply	capsule	gas	blood	
BLOOD GAS GLUCOSE	blood gas glucose	Monitoring	gas	blood	glucose	
BLOOD GAS HEMOGLOBIN	blood gas hemoglobin	Laboratory	hemoglobin	gas	blood	
BLOOD GAS PH	blood gas hydrogen_ion_concentration	Laboratory	ph	gas	blood	
BLOOD GAS PH PCO2 PO2	blood gas hydrogen_ion_concentration partial_pressure_of_carbon_dioxide partial_pressure_of_oxygen	Monitoring	gas	blood		
BLOOD GAS PUNCTURE ARTERIAL	blood gas puncture arterial	Nursing Services	arterial	gas	blood	puncture
BLOOD GAS SAMPLING- ART PUNCTU	blood gas sampling arterial puncture	Nursing Services	arterial	gas	blood	puncture
BLOOD GAS VENOUS	blood gas venous	Laboratory	venous	gas	blood	
BLOOD GAS VIA PUNCTURE	blood gas vial puncture	Nursing Services	vial	gas	blood	puncture
BLOOD GASES 02 SAT ONLY	blood gases 2 saturation only	Monitoring	sat	blood	gases	
BLOOD GASES W O2 SATURATIO	blood gases with oxygen saturation	Laboratory	o2	saturation	blood	gases
BLOOD GASES W/O2 SATURATIO	blood gases w oxygen saturation	Laboratory	oxygen	saturation	blood	gases
BLOOD GASES W/O2 SATURATION	blood gases w oxygen saturation	Laboratory	oxygen	saturation	blood	gases
BLOOD GRAVITY	blood gravity	Laboratory	blood	gravity		
BLOOD HANDLING	blood handling	Monitoring	handling	blood		
BLOOD PLATELET AGGREGATION 1	blood platelet aggregation 1	Laboratory	platelet	blood	aggregation	
BLOOD PUMP SET	blood pump set	Supply	pump	set	blood	
BLOOD REPL BAG	blood replace bag	Supply	bag	blood	replace	
BLOOD SMEAR STATISTIC	blood smear statistic	Laboratory	smear	blood	statistic	
BLOOD SMEAR W/O MICROSCOPIC EXAM	blood smear without microscopic examination	Laboratory	smear	without	microscopic	blood
BLOOD SPLIT UNIT	blood split unit	Laboratory	blood	unit	split	
BLOOD TRANSFER DEVICE VMP700	blood transfer device vmp700	Supply	device	transfer	blood	vmp700
BLOOD TRANSFUSION (ONCE DAILY)	blood transfusion once daily	Nursing Services	transfusion	blood	daily	
BLOOD TYPE ABO	blood type abo	Laboratory	type	blood	abo	NULL
BLOOD TYPING ABO	blood typing abo	Laboratory	abo	blood	typing	
BLOOD TYPING ABO 1	blood typing abo 1	Laboratory	abo	blood	typing	NULL
BLOOD TYPING ABO GROUP	blood typing abo group	Laboratory	abo	group	blood	typing
BLOOD TYPING ABO RECHECK	blood typing abo recheck	Laboratory	abo	blood	recheck	typing
BLOOD TYPING R H FACTOR	blood typing r h factor	Laboratory	factor	blood	typing	
CATH GRSHG DL LUM SRCF 9.5FR	catheter grshg dual lum srcf 9.5fr	Supply	cath	dl		
CATH GUIDE BRITE 6F AL 1	catheter guide brite 6 addl 1	Supply	brite	cath	addl	guide
CATH GUIDE BRITE 6F XB 3	catheter guide brite 6 xb 3	Supply	xb	brite	cath	guide
CATH HEMO SPLIT 16FRX32C	catheter hemo split 16frx32c	Supply	cath	16frx32c	hemo	split
CATH HEMOGLD KT 14.5FR 24CM BA	catheter hemogld kit 14.5fr 24cm bag	Supply	ba	cath	kt	
CATH HPRN SWAN GANZ 7FR 131F7P	catheter hprn swan ganz 7fr 131f7p	Supply	cath			
CATH HRT RT W SAT/CO	catheter heart respiratory_therapy with saturation/co	Monitoring	heart	cath	co	saturation
CATH IAG STR PNK 20GA	catheter iag sterile pnk 20ga	Supply	cath	sterile		
CATH INF PER/CENT/MIDLINE	catheter infusion per/central/midline	Supply	cath	central	inf	per
CATH INFUS	catheter infusion	Supply	cath	infusion		
CATH INTERMIT CLOSED SYS 1	catheter intermittant closed system 1	Supply	cath	intermittant	system	closed
CATH IV 14GA 2 IN	catheter intravenous 14ga 2 in	Supply	cath	14ga	iv	
CATH IV 20G X 1	catheter intravenous 20_gm x 1	Supply	20_gm	x	cath	iv
CATH IV 20GX1 1/4 4252535-02	catheter intravenous 20gaugex1_3_4_02 1/4 4252535 2	Supply	cath	01-Apr	iv	20gx1
CATH IV 20GX1-75 DISP	catheter intravenous 20gaugex1_3_4_02 75 dispensed_1_5%	Supply	disp	cath	iv	20gaugex1_3_4_02
CATH IV 20GX1.16 INSYT	catheter intravenous 20gx1.16 insyte	Supply	insyt	cath	20gx1.16	iv
CATH IV 22G	catheter intravenous 22_gm	Supply	cath	22_gm	iv	
CATH IV 22GA X 1IN	catheter intravenous 22ga x 1 inches	Supply	cath	iv	inches	
CATH IV 22GX1	catheter intravenous 22gaugex1_02	Supply	cath	iv	22gx1	
CATH IV 24GA 3/4IN	catheter intravenous 24ga 3/4 inches	Supply	cath	iv	inches	
CATH IV ACUJEL 24GX5/8	catheter intravenous acujel 24gx5/8	Supply	cath	acujel	iv	24gx5/8
CATH IV ACVNC PLS 20GA 1.25IN	catheter intravenous acvnc plus 20ga 1.25 inches	Supply	cath	plus	iv	inches
CATH IV ANGIO 22GX1	catheter intravenous angiogram 22gaugex1_02	Supply	cath	angiogram	iv	22gx1
CATH IV AUTOG INSYTE WWING 20 X	catheter intravenous autog insyte wwing 20 x	Supply	cath	iv		
CATH IV INTRCN SFTY 18GAX1.25I	catheter intravenous introcan safety 18gauge  x 1.25inch	OR / Anesthesia / Recovery Room	catheter	intravenous		
CATH IV INTRCN SFTY 20GAX1.25I	catheter intravenous introcan safety 20gauge x 1.25 inch	OR / Anesthesia / Recovery Room	catheter	intravenous		
CATH IV INTRCN SFTY 20GAX1.25I	catheter intravenous introcan safety 20gauge x 1.25 inch	Supply	catheter	intravenous		
CATH IV INTROCAN SAFE 20X1	catheter intravenous introcan safe 20x1	Supply	cath	iv		
CATH IV INTROCAN SAFE 22X1	catheter intravenous introcan safe 22x1	Supply	cath	iv		
CATH IV P SAFE 24X3/4	catheter intravenous powder safe 24x3/4	Supply	cath	iv	powder	
CATH IV SAFETY ALL SIZES	catheter intravenous safety alle sizes	Supply	cath	safety	iv	
CATH IV SFSHLD YLW 22G	catheter intravenous sfshld ylw 22_gm	Supply	cath	iv		
CATH IV SYTE 20GA 1.88	catheter intravenous syte 20ga 1.88	Supply	cath	iv		
CATH IVE PROTEC 18X1.2	catheter ive protector 18x1.2	Supply	ive	cath	protector	18x1.2
CATH IVE PROTEC 20X1.2	catheter ive protector 20x1.2	Supply	ive	cath	protector	20x1.2
CATH KIT EA #	catheter kit each	Supply	cath	kit		
CATH KIT FOLEY 16FR STATLO	catheter kit foley 16fr statlo	OR / Anesthesia / Recovery Room	catheter	kit		
CATH KT RADIAL ARFTERY 20GA	catheter kit radial arftery 20ga	Supply	cath	kt		
CATH MAHURKAR 11.5 X 16	catheter mahurkar 11.5 x 16	Supply	11.5	cath	x	mahurkar
CATH PALINDROME KIT 14.5FR	catheter palindrome kit 14.5fr	Supply	cath	palindrome	14.5fr	kit
CATH PERC SL 2FRX30CM VYGON	catheter percutaneous single_lumen 2frx30cm vygon	Supply	cath	percutaneous		
CATH PICC 6FR SS 12104814	catheter peripherally_inserted_central_catheter 6fr ss 12104814	Supply	ss	cath	picc	6fr
CATH PICC DL 5FR 55	catheter peripherally_inserted_central_catheter dual 5fr 55	Supply	cath	5fr	picc	dl
CATH PIGTAIL 5FR 110CM B	catheter pigtail 5fr 110cm b	Supply	cath	5fr		
CATH PIGTAIL 5FR*65CM 31-5	catheter pigtail 5fr 65cm 31 5	Supply	cath	65cm	pigtail	5fr
CATH POWERGLIDE 18 G 8	catheter powerglide 18 gram 8	Supply	powerglide	cath	gram	
CATH POWERGLIDE 20GA 8CM	catheter powerglide 20ga 8cm	Supply	powerglide	cath	20ga	8cm
CATH POWERPORT SLIM 6FR PED	catheter powerport slim 6fr pediatric	Supply	cath	ped		
CATH PP TRP-LMN MAX BARRIER 5FR	catheter postprandial trap lmn max_n barrier 5fr	Supply	cath	5fr		
CATH PRESEP DIAG/INTERV	catheter presep diag/interview	Supply	interview	diag	cath	presep
CATH PRFSN .25IN SLP C	catheter prfsn 0.25 inches sleep cap	Supply	cath	cap	inches	
CATH PRICRDCTS 6F PGTL	catheter pricrdcts 6 pgtl	Supply	pricrdcts	cath	pgtl	
CATH PROTEC 20X1	catheter protector 20x1	Supply	20x1	cath	protector	
CATH PULMONAR ART CCO SVO	catheter pulmonary arteries cco servo	OR / Anesthesia / Recovery Room	cath			
CATH PWRPICC 5F DL W/3	catheter pwrpicc 5 double_lumen w 3	Supply	dl	cath	w	pwrpicc
CATH RADIAL ART 20G	catheter radial artery 20_gm	Supply	20_gm	artery	cath	radial
CATH RADIAL ARTERY 175431	catheter radial artery 175431	Supply	artery	cath	radial	
CATH RED RUBBER 18 FR	catheter red rubber 18 free	Supply	rubber	cath	free	red
CATH REPERFUSION ACE64 132CM	catheter reperfusion ace64 132cm	Supply	cath	132cm	ace64	reperfusion
CATH SECURE STAT LOCK L.F.	catheter secure stat lock liter male_female	Supply	lock	cath	liter	stat
CATH SELF 14FRX16	catheter self 14frx16	Supply	cath	self	14frx16	
BLOOD TYPING RH (D)	blood typing rhesus daily	Laboratory	rh	blood	daily	typing
BLOOD TYPING RH D	blood typing rhesus d	Laboratory	rh	blood	typing	NULL
BLOOD TYPING RH GROUP	blood typing rhesus group	Laboratory	rh	group	blood	typing
BLOOD TYPING SEROLOGIC ABO	blood typing serologic abo	Laboratory	serologic	abo	blood	typing
BLOOD TYPING SEROLOGIC RH (	blood typing serologic rhesus	Laboratory	serologic	rh	blood	typing
BLOOD TYPING SEROLOGIC RH(D RHT	blood typing serologic rhesus daily right	Laboratory	rhesus	blood	daily	typing
BLOOD TYPING SEROLOGIC; A	blood typing serologic a	Laboratory	serologic	a	blood	typing
BLOOD TYPING; SEROLOGIC ANTI	blood typing serologic anti	Laboratory	serologic	anti	blood	typing
BLOOD TYPING; SEROLOGIC RH	blood typing serologic rhesus	Laboratory	serologic	rh	blood	typing
BLOODGAS BATTERY (OR PART)	bloodgas battery operation_room part	Supply	battery	part	operation_room	bloodgas
BLPR-BLOOD ADMINISTRATION - LEVEL 1	blpr blood administration level 1	Nursing Services	administration	blpr	blood	level
BLPR-BLOOD L/R IRRADIATED PER UNIT	blpr blood liter/r irradiated per unit	Cardiology	unit	liter	blood	per
BLT GAIT	blt gait	Laboratory	blt	gait		
BLUE ALERT 1 ACTIVATION	blue alert 1 activation	Laboratory	blue	activation	alert	
BMP (CALCIUM	basic_metabolic_panel calcium	Laboratory	calcium	bmp		
BMP TOTAL CALCIUM	basic_metabolic_panel total calcium	OR / Anesthesia / Recovery Room	total	calcium	bmp	
BNATURET PEP	bnaturet pep	Laboratory	pep	bnaturet		
BNDG CBN 6X5YD ST LF	bandage crbn 6x5yd straight_040 line_flush	Supply	bandage			
BNDG PTCH HEMOSTC D-STATDRY	bandage patch hemostatic daily statdry	Supply	bandage	daily	patch	
BNDG ROLL 4.5INX3.1YDS 8-PLY ST 231756 - CSC	bandage roll 4.5inx3.1yds 8 poly straight_040 231756 csc	Supply	bandage			
BNDG ROLL 4.5X4.1 YD 8P ST	bandage roll 4.5x4.1 yard 8p straight_040	OR / Anesthesia / Recovery Room	bandage			
BNDG ROLL 4.5X4.1YD 8P ST	bandage roll 4.5x4.1yard 8p strip	OR / Anesthesia / Recovery Room	bandage	strip		
BNDR ABD 9IN 30-45IN	bndr abdomen 9 inches 30 45 inches	Supply	bndr	abd	inches	
BNP (CARDIAC MARKER)	bnp cardiac marker	Laboratory	cardiac	marker	bnp	
BNP (NT-PROBNP)	bnp nt probnp	Laboratory	probnp	bnp	nt	
BNP BRAIN NATRIURETIC PEP	bnp brain natriuretic pep	Laboratory	brain	bnp	pep	natriuretic
BNP ISTAT	bnp istat	Laboratory	bnp	istat		
BNP-B TYPE NATRIURETIC PEPTIDE	bnp b type natriuretic peptide	Laboratory	peptide	type	natriuretic	
BODY ALIGNER	body aligner	Supply	body	aligner		
BODY FLUID CULTURE	body fluid culture	Laboratory	body	culture	fluid	
BONE MARROW SMR INT	bone marrow smear int	Laboratory	int	smear	marrow	bone
BONE WAX ETHICON W31G	bone wax ethicon w31_gm	Supply	ethicon	w31_gm	bone	wax
BOOT SUTURE YELLOW STANDARD	boot suture yellow standard	Supply	suture	boot	yellow	standard
BORDETELLA PERTUSSIS	bordetella pertussis	Laboratory	bordetella	pertussis		
BOVIE PENCIL ROCKER SWITCH W/H	bovie pencil rocker switch w h	Supply	rocker	pencil	h	bovie
BOVIE REM ADULT PATIENT RETURN	bovie rem adult patient return	Radiology	patient	adult		
BOVIE TIP COLORADO 3CM ST	bovie tip colorado 3cm straight_040	Supply	tip			
BP CUFF #1	bp cuff 1	Supply	cuff	bp		
BP CUFF DISP.	bp cuff disposable	Supply	cuff	bp	disposable	
BP CUFF DISP2 TUBE REG LONG LT	bp cuff disp2 tube regular long left	Supply	tube	reg	cuff	
BRAIN CT W/O CONTRAST	brain computed_tomography without contrast	Radiology	brain	without	contrast	ct
BRAIN NATRIURETIC PEPTIDE	brain natriuretic peptide	Laboratory	brain	peptide	natriuretic	
BREAST MILK	breast milk	Supply	breast	milk		
BREAST MILK BANKED PER OZ	breast milk banked per ounce	Supply	oz	per		
BREATHING CAPACITY TEST	breathing capacity test	Respiratory Therapy	test	breathing	capacity	
BREATHING EXERCISER 5000	breathing exerciser 5000	Respiratory Therapy	exerciser	breathing		
BRIDAL 10FR	bridal 10fr	Supply	bridal	10fr		
BRILINTA (TICAGRELOR) 90MG TA	brilinta ticagrelor 90_mg tablet	Pharmacy	ticagrelor	brilinta	tablet	90_mg
BRILINTA 90MG TABLET (TICAGRELOR)	brilinta 90_mg tablet ticagrelor	Pharmacy	ticagrelor	brilinta	tablet	90_mg
BRIMONIDINE OPH SOL 0.2% 5ML	brimonidine oph solution 0.2% 5_ml	Pharmacy	sol	5_ml		
