descrip,rev_code,proc_code,units,billed_amount,norm_billed_amount,﻿DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS
CHOLESTYRAMINE 4GM/ASPARTAME 5GM,251.0,-100.0,1.0,17.0,17.0,6422.0,CHOLESTYRAMINE 4GM/ASPARTAME 5GM,cholestyramine 4 gm/aspartame 5 gm,Pharmacy
CIRCUIT VENT X_RT236,270.0,-100.0,1.0,180.3,180.3,,,,
CISATRACURIUM 2MG/ML,-100.0,-100.0,5.0,834.95,166.99,,,,
CK (CREATINE KINASE),-100.0,-100.0,1.0,96.1,96.1,,,,
CK MB ISOENZYME,-100.0,-100.0,1.0,277.6,277.6,,,,
CKMB,301.0,82553,1.0,57.0,57.0,4349.0,CKMB,creatine_kinase_myocardium,Laboratory
CLOBAZAM 10MG TAB,250.0,-100.0,3.0,41.1,13.7,,,,
CLONIDINE 0.2MG PATCH,252.0,-100.0,1.0,63.35,63.35,,,,
CLONIDINE SUSP 20MCG/ML,-100.0,-100.0,1.0,31.95,31.95,,,,
CLONIDNE 5MCG/ML ORAL SUSP 1ML,250.0,-100.0,14.0,0.14,0.01,2199.0,CLONIDNE 5MCG/ML ORAL SUSP 1ML,clonidine 5_mcg/ml oral suspension 1_ml,Pharmacy
CLOPIDOGREL 75 MG TAB,250.0,-100.0,1.0,113.0,113.0,,,,
CM AB IF CD4/8,-100.0,-100.0,1.0,317.5,317.5,,,,
CM AB IF TOTAL B CELLS CD20,-100.0,-100.0,1.0,179.6,179.6,,,,
CM AB IF TOTAL T CELLS CD3,-100.0,-100.0,1.0,161.7,161.7,,,,
CMV IGG,302.0,-100.0,1.0,932.0,932.0,,,,
CMV IGG ANTIBODY,-100.0,-100.0,1.0,103.7,103.7,,,,
CMV PCR QUANTITATION,-100.0,-100.0,1.0,670.6,670.6,,,,
CO-TRIMOXAZOLE 800-150 MG TAB,999.0,-100.0,1.0,3.0,3.0,,,,
COLISTIMETHATE 150 MG SOLR,250.0,-100.0,1.0,165.96,165.96,,,,
COLOR DOPPLER MAPPING,483.0,-100.0,1.0,465.0,465.0,,,,
COMPREHENSIVE METABOLIC,300.0,-100.0,1.0,180.0,180.0,,,,
COMPREHENSIVE METABOLIC PA,301.0,-100.0,1.0,575.0,575.0,,,,
COMPREHENSIVE METABOLIC PANEL,301.0,-100.0,1.0,440.0,440.0,4910.0,COMPREHENSIVE METABOLIC PANEL,comprehensive metabolic panel,Laboratory
COMPREHENSIVE METABOLIC PANEL,301.0,80053,1.0,81.0,81.0,4910.0,COMPREHENSIVE METABOLIC PANEL,comprehensive metabolic panel,Laboratory
COMPREHENSIVE METABOLIC PANEL,-100.0,-100.0,1.0,294.75,294.75,4910.0,COMPREHENSIVE METABOLIC PANEL,comprehensive metabolic panel,Laboratory
CONTINUOUS PULSE OXIMETR,460.0,-100.0,1.0,275.0,275.0,,,,
COOMBS INDIRECT,-100.0,-100.0,1.0,127.0,127.0,,,,
COREG 3.125 MG TABLET; CARVEDILOL 3.125 MG TAB,-100.0,-100.0,1.0,5.77,5.77,,,,
"CORTISOL, SERUM",300.0,-100.0,1.0,189.0,189.0,,,,
COZAAR 100MG TAB,250.0,-100.0,1.0,9.5,9.5,,,,
CPK,-100.0,-100.0,1.0,112.75,112.75,,,,
CPK-MB ISOENZYME,-100.0,-100.0,1.0,177.75,177.75,,,,
"CREATINE KINASE (CPK), TOTAL",301.0,-100.0,1.0,124.0,124.0,,,,
"CREATININE, SERUM",-100.0,-100.0,1.0,69.6,69.6,,,,
CROSSMATCH,390.0,86920,1.0,88.0,88.0,6448.0,CROSSMATCH,crossmatch,Laboratory
CROSSMATCH - ELECTRONIC,302.0,-100.0,1.0,678.0,678.0,,,,
CROSSMATCH ELECTRONIC EACH UNIT,-100.0,-100.0,1.0,79.7,79.7,,,,
"CRP, HIGH SENSITIVITY",302.0,-100.0,1.0,115.0,115.0,,,,
CRYOPRECIP AHF POOLED UNITS,-100.0,-100.0,1.0,580.8,580.8,,,,
CRYOPRECIPITIN EACH UNIT,-100.0,-100.0,1.0,213.5,213.5,,,,
CSR BIOCLUSIVE 4X5,272.0,-100.0,1.0,9.69,9.69,,,,
CSR BIOCLUSIVE 4X5; DRESSING TRANSPARENT PLUS 4X5,272.0,-100.0,1.0,9.68,9.68,,,,
CSR JELCO 20GX1 IV CATH(4; CATH PROTECTIVE IV 20X1,272.0,-100.0,3.0,18.685,6.22875,,,,
CSR SOF-BAND; BANDAGE KLING ROLL 4.5,271.0,-100.0,1.0,2.09,2.09,,,,
CSR SPECIMEN CONTAINER CO; CONTAINER SPECIMEN COMMODE,272.0,-100.0,1.0,6.59,6.59,,,,
CSR SUCTION LINER DISP 10; LINER SUCTION FLEX DISP 1000CC,272.0,-100.0,1.0,4.61,4.61,,,,
CSR TRAY FOLEY WO/CATH (8; TRAY FOLEY CLSD SYS W/O CATH,272.0,-100.0,1.0,17.75,17.75,,,,
CSR URINE COLLECTION MIDS; KIT URINE MID STREAM W/CASTILE,272.0,-100.0,1.0,4.39,4.39,,,,
CSR-APPL CHLORAPREP 3.0ML; APPLICATOR CHLORAPREP 3.0ML,250.0,-100.0,1.0,2.77,2.77,,,,
CSR-ARTHROMIC SLV KNEE; SLEEVE ATHROMBIC KNEE LENGTH,271.0,-100.0,1.0,160.0,160.0,,,,
CSR-ATHROMBIC PUMP,271.0,-100.0,1.0,47.0,47.0,,,,
CSR-ATHROMBIC PUMP; SLEEVE ATHROMBIC KNEE LENGTH,271.0,-100.0,1.0,47.0,47.0,,,,
CSR-CALMOSEPTINE 2.5 OZ.; CALMOSEPTINE OINTMENT 2.5 OZ,250.0,-100.0,1.0,14.94,14.94,,,,
CSR-CAP SHAMPOO/CONDITION; CAP SHAMPOO COND COMFORT CARE,271.0,-100.0,1.0,8.03,8.03,,,,
CSR-CREAM REMEDY SKIN REPAIR 2; CREAM REMEDY SKIN REPAIR 2 OZ,271.0,-100.0,1.0,7.7,7.7,,,,
CSR-FOLEY 16FF 5CC 2-WAY; CATH FOLEY 16FR 5CC 2-WAY SILV,-100.0,-100.0,1.0,26.06,26.06,,,,
CSR-GEMINI BLOOD SET; SET IV BLOOD W/180 FILTER,272.0,-100.0,1.5,63.555,42.37,,,,
CSR-GEMINI PRIMARY SET 11; SET IV CHECKVALVE PRIMARY 116,272.0,-100.0,1.0,21.02,21.02,,,,
CSR-GOWN CHEMO PLUS BLUE MEDIU,271.0,-100.0,1.0,73.0,73.0,,,,
CSR-KIT IV START SORBAVIEW; KIT IV START SORBAVIEW,271.0,-100.0,1.0,13.72,13.72,,,,
CSR-LABEL GENERAL/URO CL21980,271.0,-100.0,1.0,9.0,9.0,,,,
CSR-NEEDLE HUBER SAFETY 20GAX1; HUBER NEEDLE SAFETY 20GA X1,272.0,-100.0,1.0,10.66,10.66,,,,
CSR-PACK LAPAROTOMY/NO GOWNS,271.0,-100.0,1.0,27.1,27.1,,,,
CSR-PORT BIO FLO,-100.0,-100.0,1.0,1112.4,1112.4,,,,
"CSR-SET CATH EXTENSION 7.6; SET CATH EXTENSION 7.6""",272.0,-100.0,1.0,6.84,6.84,,,,
CSR-SET SECONDARY MED/HANGER; SET SECONDARY MED/HANGER,271.0,-100.0,2.0,6.77,3.38333333333,,,,
CSR-SLIPPERS OMNI TREAD DBL; SLIPPERS OMNI TREAD DBL SIDED,271.0,-100.0,1.0,2.77,2.77,,,,
CSR-TOWEL STERILE,272.0,-100.0,2.0,13.05,6.525,,,,
CSR-TRANSFER DEVICE,271.0,-100.0,2.0,10.69,5.345,,,,
CSR-TRAY PICC DRESS W/BIOPATCH; TRAY PICC DRESSING W/BIOPATCH,271.0,-100.0,1.0,45.9,45.9,,,,
CSR-UNDERPAD ULTRASORB AP BULK; UNDERPAD ULTRASORB AP BULK SL,271.0,-100.0,1.0,4.0,4.0,,,,
CSR-VENTED/NON-VENTED SET; SET ADM VENTED/UNVENTED 104,271.0,-100.0,1.0,7.74,7.74,,,,
CT BRAIN WITHOUT CONTRAST,-100.0,-100.0,1.0,2210.5,2210.5,,,,
CT CARDIAC W+W/O CONTR CORONARY,-100.0,-100.0,1.0,4911.8,4911.8,,,,
CT GUIDE NDL PLC BX ASP LO,350.0,-100.0,1.0,3256.0,3256.0,,,,
CT-LUMBAR,-100.0,-100.0,1.0,2198.0,2198.0,,,,
CULTURE BLOOD,300.0,-100.0,1.0,80.1,80.1,532.0,CULTURE BLOOD,culture blood,Laboratory
CULTURE BLOOD,306.0,-100.0,1.0,729.0,729.0,532.0,CULTURE BLOOD,culture blood,Laboratory
CULTURE URINE - MH/WH,300.0,-100.0,1.0,88.0,88.0,,,,
CULTURE VREF SCREEN,306.0,-100.0,1.0,80.5,80.5,,,,
CYCLOPENTOLATE-PHENYLEPH,250.0,-100.0,1.0,58.9,58.9,,,,
CYCLOPHOSPHAMIDE 500MG VIA,636.0,-100.0,2.0,512.0,256.0,,,,
CYCLOSPORINE OPH DROPS .05,250.0,-100.0,1.0,108.0,108.0,,,,
CYTO INTERP AND REPORT P11,311.0,-100.0,1.0,0.0,0.0,,,,
CYTOGENETICS FISH-CLS,311.0,-100.0,1.0,1866.0,1866.0,,,,
CYTOMEGALOVIRUS IGM,302.0,-100.0,1.0,1717.0,1717.0,,,,
CYTOSPIN,311.0,88108TC,1.0,126.0,126.0,,,,
CYTOSPIN/SMEAR,311.0,88108,1.0,96.0,96.0,,,,
D-DIMER,-100.0,-100.0,1.0,140.1,140.1,,,,
D-DIMER QUANT,305.0,-100.0,1.0,194.0,194.0,3249.0,D-DIMER QUANT,d dimer quantitative,Laboratory
D-DIMER QUANTITATIVE,305.0,-100.0,1.0,86.5,86.5,,,,
D5 LACTATED RINGER'S 1000ML,-100.0,-100.0,1.0,121.05,121.05,,,,
D5/0.45NS 1000ML,-100.0,-100.0,1.0,129.35,129.35,,,,
DAPTOMYCIN 500 MG SOLR 1 EACH VIAL,250.0,-100.0,650.0,3076.11,4.73247692308,,,,
DARBEPOETIN 25MCG/1ML,-100.0,-100.0,3.5,294.85,85.59375,,,,
DEFINITIVE AEROBIC EA ISOLATE,-100.0,-100.0,1.0,87.2,87.2,,,,
DEL NIDO SOLUTION 1000ML,-100.0,-100.0,1.0,237.7,237.7,,,,
DESITIN OINTMENT 30GM,252.0,-100.0,1.0,30.2,30.2,6466.0,DESITIN OINTMENT 30GM,desitin_ointment 30 gm,Supply
DESMOPRESSIN 4 MCG/ML SOLN 1 ML VIAL,250.0,-100.0,24.0,220.9,9.20416666667,,,,
DETECTOR CO2 PED X_PEDIC,270.0,-100.0,1.0,69.8,69.8,,,,
DEVICE INFLATION,-100.0,-100.0,1.0,298.0,298.0,,,,
DEVICE TORQUE,272.0,-100.0,1.0,52.95,52.95,2523.0,DEVICE TORQUE,device torque,Supply
DEVON NEEDLE COUNT MAJOR,272.0,-100.0,1.0,35.48,35.48,,,,
DEXAMETHASONE 0.5 MG/5 M,250.0,-100.0,1.0,3.0,3.0,,,,
DEXAMETHASONE 10 MG/ML SOLN 1 ML VIAL,250.0,-100.0,30.0,16.56,0.552,,,,
DEXAMETHASONE 10MG/ML INJ.; DEXAMETHASONE SOD PHOS 10 MG/ML,-100.0,-100.0,2.0,47.0,23.5,,,,
DEXAMETHASONE 4MG TAB,636.0,-100.0,10.0,127.5,12.75,,,,
DEXAMETHASONE 4MG/ML 1ML VL,-100.0,-100.0,1.0,64.4,64.4,,,,
DEXAMETHASONE INJ 1MG,250.0,-100.0,2.0,0.72,0.36,,,,
DEXMEDETOMIDINE 200MCG/50ML NS,-100.0,-100.0,1.0,227.575,227.575,,,,
DEXTOSE 20% INJ 1000ML,258.0,-100.0,1.0,0.0,0.0,,,,
DEXTROSE 10% 1000ML,-100.0,-100.0,1.0,139.55,139.55,,,,
DEXTROSE 5 % (DEHP-FREE) SOLP 250 ML BAG,250.0,-100.0,1.0,10.5,10.5,,,,
"DEXTROSE 5 % SOLP 1,000 ML BAG",250.0,-100.0,1.0,6.0,6.0,,,,
DEXTROSE 5 % SOLP 100 ML BAG,250.0,-100.0,1.0,6.0,6.0,,,,
DEXTROSE 5 % SOLP 250 ML BAG,250.0,-100.0,1.0,4.5,4.5,2175.0,DEXTROSE 5 % SOLP 250 ML BAG,dextrose 5% solution 250_ml bag,Diluent / Flush / Irrigant
DEXTROSE 5% 1000ML,-100.0,-100.0,1.0,139.55,139.55,,,,
DEXTROSE 5% 100ML INJ,636.0,-100.0,1.0,111.0,111.0,,,,
DEXTROSE 5% IN WATER 50ML,250.0,-100.0,1.0,88.45,88.45,545.0,DEXTROSE 5% IN WATER 50ML,dextrose 5% in water 50_ml,Diluent / Flush / Irrigant
DEXTROSE 5% INJ 100ML,258.0,-100.0,2.0,0.0,0.0,6469.0,DEXTROSE 5% INJ 100ML,dextrose_5% injection 100 ml,Diluent / Flush / Irrigant
DEXTROSE 5% SOLN (500ML),258.0,-100.0,1.0,0.0,0.0,,,,
DEXTROSE 5%-NACL 0.3% 500ML,258.0,-100.0,-1.0,0.0,-0.0,,,,
DEXTROSE 50 % IN WATER (D50W) SOLP,250.0,-100.0,50.0,10.8,0.216,,,,
DEXTROSE 50 % IN WATER (D50W) SYRG,250.0,-100.0,50.0,45.6,0.912,,,,
DIAPERS PREEMIE X_04261,270.0,-100.0,1.0,14.6,14.6,,,,
DIAZEPAM 1MG/ML 5ML,250.0,-100.0,6.0,85.32,14.22,2191.0,DIAZEPAM 1MG/ML 5ML,diazepam 1_mg/ml 5_ml,Pharmacy
DIAZEPAM UP TO 5 MG INJ,250.0,-100.0,6.5,457.21,70.34,,,,
DIFFICULT IV NC,260.0,-100.0,3.0,0.0,0.0,,,,
DIPHENHYDRAMINE 12.5 MG/5 ML LIQD,250.0,-100.0,1.0,3.0,3.0,,,,
DIPHENHYDRAMINE 12.5MG/5M; DIPHENHYDRAMINE HCL 12.5 MG/5 ML UD,-100.0,-100.0,24.0,76.07,3.16958333333,,,,
DIPHENHYDRAMINE 25MG CAPLE,250.0,-100.0,1.0,1.25,1.25,,,,
DIPHENHYDRAMINE 50MG/ML; DIPHENHYDRAMINE HCL 50 MG VIAL,-100.0,-100.0,1.0,23.5,23.5,,,,
DIPHENHYDRAMINE INJ 2.5MG/ML IN NS,-100.0,-100.0,1.0,245.2,245.2,,,,
DIPHENHYDRAMINE INJ 50MG/ML 1ML VL,-100.0,-100.0,1.0,65.975,65.975,,,,
DIPRIVAN 10MG/ML AMP; PROPOFOL 10 MG/ML 20 ML VIAL,-100.0,-100.0,1.0,23.5,23.5,,,,
DIRECT COOMBS TEST,300.0,-100.0,1.0,97.0,97.0,,,,
DIRECT SPECIMEN GRAM STAIN,-100.0,-100.0,1.0,66.8,66.8,,,,
DNA PROBE EA P1110,311.0,-100.0,4.0,332.0,83.0,,,,
DOCUSATE 100MG CAP,250.0,-100.0,2.0,2.86,1.43,2476.0,DOCUSATE 100MG CAP,docusate 100_mg capillary,Pharmacy
DOCUSATE 50MG/CAP UD,-100.0,-100.0,1.0,6.55,6.55,2122.0,DOCUSATE 50MG/CAP UD,docusate 50_mg/capillary ud,Pharmacy
"DOPAMINE 400 MG/250 ML (1,600 MCG/ML) SOLN",250.0,-100.0,10.0,31.5,3.15,,,,
DOPAMINE 400MG/250ML D5W,-100.0,-100.0,1.0,128.1,128.1,,,,
DOPAMINE 500MG/250ML D5W,-100.0,-100.0,1.0,131.3,131.3,,,,
DOPAMINE IN D5W 400 MG/250 ML; DOPAMINE 400 MG/250 ML D5W PREMIX,-100.0,-100.0,1.0,84.5,84.5,,,,
DOPAMN / 40MG INJ (40MG/ML VL),250.0,-100.0,3.5,4.35,1.305,,,,
DOPPLER ECHO,483.0,-100.0,1.0,485.0,485.0,,,,
DOXORUBICIN 20MG/10ML INJ,636.0,-100.0,6.0,7044.0,1174.0,,,,
DRAPE STERILE FIELD X_91,270.0,-100.0,1.0,1.75,1.75,,,,
DRESSING TEGADERM 4X4 3/4,272.0,-100.0,2.0,0.0,0.0,2062.0,DRESSING TEGADERM 4X4 3/4,dressing tegaderm 4x4 3/4,Supply
DRSNG DUODERM 4X4 X_1876,270.0,-100.0,1.0,23.8,23.8,,,,
DRSNG TEGADERM 3/4X1 3/4,270.0,-100.0,1.0,1.8,1.8,,,,
DRUG SCREEN QUANT LEVETIRACETAM,301.0,-100.0,-1.0,-203.0,203.0,,,,
DUONEB 3ML PKT,250.0,-100.0,1.0,1.85,1.85,,,,
EBV ANTIBODY TO VCA IGG,-100.0,-100.0,1.0,100.0,100.0,,,,
EBV IGG VCA,302.0,-100.0,1.0,419.0,419.0,,,,
EBV IGM VCA,302.0,-100.0,1.0,419.0,419.0,,,,
EBV PCR QUANTITATION,-100.0,-100.0,1.0,579.9,579.9,,,,
ECG INTERPRETATION & REPORT,-100.0,-100.0,1.0,49.0,49.0,,,,
ECG MIM 12 LEADS TRACING ONLY,-100.0,-100.0,1.0,242.0,242.0,,,,
ECHO - COLOR DOPPLER,-100.0,-100.0,1.0,786.1,786.1,,,,
ECHO CLERICAL (PRODUCTIVIT,730.0,-100.0,1.0,0.0,0.0,,,,
ECHO DOPPLER COMPLETE,-100.0,-100.0,1.0,820.9,820.9,,,,
ECHO DOPPLER LIMITED,-100.0,-100.0,1.0,478.8,478.8,,,,
ECHO TRANSTHORACIC REAL TIME 2D,-100.0,-100.0,1.0,3033.1,3033.1,,,,
ECHO-COLOR DOPPLER,-100.0,-100.0,1.0,786.1,786.1,,,,
ECMO DAILY CHARGE,410.0,-100.0,1.0,12163.0,12163.0,2335.0,ECMO DAILY CHARGE,extracorporeal_membrane_oxygenation daily charge,OR / Anesthesia / Recovery Room
ECMO/ECLS SUBSQ DAY,-100.0,-100.0,1.0,18107.2,18107.2,,,,
ECULIZIMAB INJ 10MG/ML,-100.0,-100.0,60.0,46197.95,769.965833333,,,,
ED-ECHO TRANSTHORA M-2D SPEC C,-100.0,-100.0,1.0,1348.0,1348.0,,,,
EEG(16CH)VID MON DLY PED PORT,740.0,-100.0,2.0,6176.0,3088.0,,,,
EKG INTERPRETATION NC,990.0,-100.0,1.0,0.0,0.0,,,,
EKG TRACING WO INTERP & RP,730.0,-100.0,1.0,405.0,405.0,,,,
ELECTROCARDIOGRAM,-100.0,-100.0,1.0,278.0,278.0,5079.0,ELECTROCARDIOGRAM,electrocardiogram,Cardiology
ELECTROCARDIOGRAM; REMOVED PER KMGARRIGAN/BRAD,-100.0,-100.0,-1.0,-278.0,278.0,,,,
ELECTRODE MICRO PREEMIE,270.0,-100.0,2.0,73.6,36.8,,,,
ELECTRODE NEONATAL X_A10,270.0,-100.0,1.0,35.7,35.7,,,,
ELECTROLYTES,-100.0,-100.0,1.0,137.9,137.9,,,,
EMERGENCY ROOM SCREENING,451.0,-100.0,1.0,139.0,139.0,6495.0,EMERGENCY ROOM SCREENING,emergency_room screening,Other
ENOXAPARIN 100MG/ML,-100.0,-100.0,1.0,224.4,223.05,,,,
ENOXAPARIN 10MG INJ,250.0,-100.0,6.0,171.6,28.6,3877.0,ENOXAPARIN 10MG INJ,enoxaparin 10_mg injection,Pharmacy
EPHEDRINE SO4 50MG/ML AMP,-100.0,-100.0,1.0,168.725,168.725,,,,
"EPINEPHRINE 1 MG/ML (1:1,000) (1ML) SOLN 1 ML VIAL",250.0,-100.0,40.0,56.02,1.4005,,,,
EPINEPHRINE 1MG/ML 30ML,-100.0,-100.0,16.0,243.3,15.20625,,,,
"EPINEPHRINE HCL (PF) 1 MG/ML (1:1,000) (1ML) SOLN 1 ML AMPUL",250.0,-100.0,160.0,248.93,1.5558125,,,,
EPOC 1 TO 9 TESTS,-100.0,-100.0,1.0,277.1,277.1,,,,
ERYTHROMYCIN 200MG/5ML SUSP,250.0,-100.0,2.0,55.2,27.6,,,,
ERYTHROMYCIN-ES ORAL 40MG/ML,-100.0,-100.0,1.0,37.3,37.3,,,,
ETOMIDATE 2 MG/ML SOLIN,250.0,-100.0,20.0,38.28,1.914,,,,
ETOPOSIDE 20MG/ML; ETOPOSIDE 20 MG/ML BULK VIAL,-100.0,-100.0,7.0,164.5,23.5,,,,
EXTENSIVE GAS DELIVERY DAILY,410.0,-100.0,1.0,19266.0,19266.0,1713.0,EXTENSIVE GAS DELIVERY DAILY,extensive gas delivery daily,Plan Benefit
FACILITY CRIT CARE 1ST HOUR,-100.0,-100.0,1.0,2990.0,2990.0,,,,
FACTOR VIIA NOVOSEVEN PE,250.0,-100.0,1000.0,4972.5,4.9725,,,,
FAT EMULSION 20% (100ML),252.0,-100.0,100.0,227.15,2.2715,,,,
FAT EMULSION 20% CHG ONLY,-100.0,-100.0,1.0,250.0,250.0,,,,
FAT EMULSION INJ 20% 250ML,250.0,-100.0,0.0,0.0,235.3,6519.0,FAT EMULSION INJ 20% 250ML,fat emulsion injection 20% 250 ml,Pharmacy
"FAT EMULSION, INTRAVENOU",258.0,-100.0,1.0,165.0,165.0,,,,
FAT EMULSIONS 20% PER 1ML,250.0,-100.0,54.0,17.42,0.322592592593,,,,
FE,301.0,-100.0,1.0,264.0,264.0,,,,
FEEDING TUBE 5FR (30DAY),270.0,-100.0,1.0,11.0,11.0,,,,
FENTANYL,250.0,-100.0,25.0,80.1,3.204,,,,
FENTANYL 100MCG/2ML INJ,250.0,-100.0,1.0,88.09,88.09,,,,
FENTANYL 250MCG/5ML INJ,250.0,-100.0,3.0,223.305,80.065,2413.0,FENTANYL 250MCG/5ML INJ,fentanyl 250_mcg/5_ml injection,Pharmacy
FENTANYL 5 MCG/0.5 ML SY,636.0,-100.0,1.0,8.1,8.1,,,,
FENTANYL 50MCG/ML INJ,250.0,-100.0,50.0,100.99,2.0198,,,,
FENTANYL CIT 100MCG/2ML IN,636.0,-100.0,1.0,15.0,15.0,,,,
FENTANYL CITRATE 0.1MG INJ,250.0,-100.0,2.0,8.42,4.21,2061.0,FENTANYL CITRATE 0.1MG INJ,fentanyl citrate 0.1_mg injection,Pharmacy
FENTANYL INJ (50MCG/ML) 2ML,-100.0,-100.0,1.0,87.625,85.95,,,,
FENTANYL INJ (50MCG/ML) 5ML,-100.0,-100.0,5.0,47.25,9.45,,,,
FENTANYL PF 50 MCG/ML SOLN,250.0,-100.0,1.0,3.27,3.27,,,,
FENTAYL 50MCG/ML 2ML; FENTANYL 50 MCG/ML 2MLVIAL,-100.0,-100.0,1.0,12.28,12.28,,,,
FERRITIN,301.0,-100.0,1.0,529.0,529.0,3896.0,FERRITIN,ferritin,Laboratory
FERROUS SO4 DROPS 15MG FE/ML,-100.0,-100.0,1.0,32.1,32.1,,,,
FERROUS SULFATE (AS ELEM,250.0,-100.0,1.0,3.0,3.0,,,,
FERROUS SULFATE 15MG/1ML,252.0,-100.0,2.0,55.2,27.6,6914.0,FERROUS SULFATE 15MG/1ML,ferrous sulfate 15 mg/1 ml,Pharmacy
FIBRINOGEN,-100.0,-100.0,1.0,153.9,153.9,2449.0,FIBRINOGEN,fibrinogen,Laboratory
FIBRINOGEN ACTIVITY,305.0,-100.0,3.0,411.0,137.0,3898.0,FIBRINOGEN ACTIVITY,fibrinogen activity,Laboratory
FIBRINOGEN QUAUTITATTVE,305.0,-100.0,1.0,989.0,989.0,,,,
FLONASE NASAL INH 16GM,252.0,-100.0,1.0,192.4,192.4,,,,
FLOW CYTOMETRY 1ST MARK,311.0,-100.0,1.0,601.0,601.0,,,,
FLOW CYTOMETRY ADDT MARK,311.0,-100.0,16.0,9616.0,601.0,,,,
FLUCONAZOLE 100 MG TAB,999.0,-100.0,1.0,3.0,3.0,,,,
FLUCONAZOLE 200MG TAB TAB,250.0,-100.0,1.0,6.75,6.75,,,,
FLUORESCENT ANTIBODY FA,-100.0,-100.0,1.0,289.7,289.7,,,,
FOLATS SERUM,301.0,-100.0,1.0,1105.0,1105.0,,,,
FOSAPREPITANT DIMEGLUMINE 150M; FOSAPREPITANT DIMEGLUMINE 150 MG VI,-100.0,-100.0,1.0,1020.0,1020.0,,,,
FUNGAL CULTURE OTHER SOURCE,-100.0,-100.0,1.0,148.3,148.3,,,,
FUNGUS SMEAR,306.0,87206,1.0,21.0,21.0,,,,
FUROSE 40MG VL,250.0,J1940,1.0,13.95,13.95,,,,
FUROSEMIDE 10MG/ML SOLN,250.0,-100.0,2.0,15.39,7.695,,,,
FUROSEMIDE 10MG/ML SOLN 10 ML VIAL,250.0,-100.0,10.0,34.44,3.444,,,,
FUROSEMIDE 20 MG/TABLET UDT,-100.0,-100.0,1.0,27.85,27.85,,,,
FUROSEMIDE 20MG/2ML INJ,250.0,-100.0,1.5,127.455,84.97,,,,
FUROSEMIDE 40MG/4ML VIAL; FUROSEMIDE 10 MG/ML 4ML VIAL,-100.0,-100.0,1.0,23.5,23.5,,,,
FUROSEMIDE INJ 10MG/ML 10ML,-100.0,-100.0,3.0,232.7,86.1,,,,
FUROSEMIDE INJ 10MG/ML 2ML,-100.0,-100.0,1.0,231.725,231.725,,,,
FUROSEMIDE LIQ 3MG/0.3ML UD,-100.0,-100.0,1.0,29.05,29.05,,,,
FUROSEMIDE LIQ 5MG/0.5ML UD,-100.0,-100.0,1.0,32.15,32.15,,,,
FUROSEMIDE ORAL SOLN 10MG/ 1ML,250.0,-100.0,1.0,0.34,0.34,2204.0,FUROSEMIDE ORAL SOLN 10MG/ 1ML,furosemide oral solution 10_mg/1_ml,Pharmacy
"FUROSEMIDE, UP TO 20 MG, INJ",250.0,-100.0,3.0,14.57,4.85666666667,,,,
GAMMAGARD INJ 100MG/ML 1GM,-100.0,-100.0,3.0,1045.2,348.4,,,,
GAMMAGARD INJ 100MG/ML 20GM,-100.0,-100.0,24.0,5755.95,239.83125,,,,
GAMMAGARD LIQ 100MG/ML,-100.0,-100.0,24.0,6225.85,259.410416667,,,,
GANCICLOVIR (5MG/ML)CHMC DIL,-100.0,-100.0,1.0,260.6,260.6,,,,
GASES BLOOD O2 DIRECT,301.0,-100.0,1.0,296.0,296.0,2336.0,GASES BLOOD O2 DIRECT,gases blood oxygen direct,Laboratory
GCSF 480MCG/1.6ML VIAL,636.0,-100.0,1.0,2035.0,2035.0,,,,
GELATIN ABSORB 100MM,-100.0,-100.0,1.0,244.65,244.65,,,,
GEN ANESTHESIA SUPPLIES,270.0,-100.0,1.0,166.0,166.0,,,,
GENTAMICIN 20 MG/2 ML PF,636.0,-100.0,1.0,42.7,42.7,,,,
GENTAMICIN PER 80MG INJ (10MG,250.0,-100.0,1.0,0.75,0.75,,,,
GGT (GAMMA GLUTAMYLTRANSFERS),-100.0,-100.0,1.0,80.4,80.4,,,,
GI ND NJ TUBE REPOSITION VIA DUOD,-100.0,-100.0,1.0,760.9,760.9,,,,
GLOVE BIOGEL SIZE 7,271.0,-100.0,1.0,3.68,3.68,,,,
GLOVE SURG STRL SZ 6.5 X,270.0,-100.0,1.0,16.4,16.4,,,,
GLOVE SURG STRL SZ 7 X_2,270.0,-100.0,1.0,16.4,16.4,,,,
GLUCOMETER GLUCOSE LEVEL,300.0,-100.0,1.0,41.6,41.6,702.0,GLUCOMETER GLUCOSE LEVEL,glucometer glucose level,Monitoring
GLUCOSE,-100.0,-100.0,1.0,59.4,59.4,1681.0,GLUCOSE,glucose,Laboratory
GLUCOSE BEDSIDE MONITORING,301.0,-100.0,1.0,66.75,66.75,782.0,GLUCOSE BEDSIDE MONITORING,glucose bedside monitoring,Monitoring
GLUCOSE BLOOD BEDSIDE TESTING,-100.0,-100.0,1.0,21.0,21.0,1625.0,GLUCOSE BLOOD BEDSIDE TESTING,glucose blood bedside testing,Monitoring
GLUCOSE POINT OF CARE NU,300.0,-100.0,1.0,40.0,40.0,741.0,GLUCOSE POINT OF CARE NU,glucose point of care nursing,Monitoring
