cleaned_descrip,NORM_DESC,CHRG_CLS,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Voted Output,Voting Algorithm,Confidence Score
BILIRUBIN DIRECT,bilirubin direct,Laboratory,Laboratory,0.980230889795,1,Laboratory,0.986482024206,1,Laboratory,0.93,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.9641782285
BILIRUBIN DIRECT,bilirubin direct,Laboratory,Laboratory,0.964703081651,1,Laboratory,0.993245470674,1,Laboratory,0.93,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.961987138081
BILIRUBIN DIRECT,bilirubin direct,Laboratory,Laboratory,0.964703081651,1,Laboratory,0.993245470674,1,Laboratory,0.93,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.961987138081
BILIRUBIN DIRECT,bilirubin direct,Laboratory,Laboratory,0.911826766942,1,Laboratory,0.97531723501,1,Laboratory,0.93,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.944286000488
BILIRUBIN DIRECT,bilirubin direct,Laboratory,Laboratory,0.911826766942,1,Laboratory,0.97531723501,1,Laboratory,0.93,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.944286000488
BIOCLUSIVE DRESSING 2X3,bioclusive dressing 2x3,Supply,Supply,0.959792125246,1,Supply,0.999262940794,1,Supply,0.7,1,Supply,0.48,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.78476376651
BISACODYL SUP 10MG,bisacodyl supository 10_mg,Pharmacy,Pharmacy,0.985765934981,1,Pharmacy,0.999926067215,1,Pharmacy,0.92,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.928923000549
BL COUNT CBC AUTO W/AUTO DIFF,blood count complete_blood_count automated automated differential,Laboratory,Laboratory,0.969213397706,1,Laboratory,0.999823013729,1,Laboratory,0.77,1,Laboratory,0.81,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.887259102859
BL COUNT CBC AUTO W/AUTO DIFF,blood count complete_blood_count automated automated differential,Laboratory,Laboratory,0.955368759333,1,Laboratory,0.999702897962,1,Laboratory,0.77,1,Laboratory,0.81,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.883767914324
BLADDER SCAN US,bladder scan ultrasound,Nursing Services,Radiology,0.92,1,Radiology,0.994893597934,1,Radiology,0.85,1,Radiology,0.81,1,Radiology,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.893723399484
BLADE DISPOSABLE MILLER 0,blade disposable miller 0,Supply,Supply,0.971988623674,1,Supply,0.999904124434,1,Supply,0.85,1,Supply,0.88,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.925473187027
BLADE DISPOSABLE MILLER 1,blade disposable miller 1,Supply,Supply,0.971988623674,1,Supply,0.999904124434,1,Supply,0.85,1,Supply,0.88,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.925473187027
BLADE SAW L35MMXW10MM STRNL ST,blade saw length 35mm width 10mm strnl st e,Supply,Supply,0.966689439503,1,Supply,0.999959632514,1,Supply,0.95,1,Supply,0.96,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.969162268004
BLADE SAW STERNUM 45X16X0.4,blade saw sternum 45 16 0.4,Supply,Supply,0.955806646571,1,Supply,0.999879373737,1,Supply,0.9,1,Supply,0.96,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.953921505077
BLADE SAW STERNUM 45X16X0.4,blade saw sternum 45 16 0.4,Supply,Supply,0.955806646571,1,Supply,0.999879373737,1,Supply,0.9,1,Supply,0.96,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.953921505077
BLADE SHVR XPS/SKIMMER L27.5MM,blade shaver xps skimmer length 27.5mm,Supply,Supply,0.976865210468,1,Supply,0.999994000256,1,Laboratory,0.7,0,Supply,0.41,1,Supply,"DeepNN, Logistic_OvR, Jaro",0.795619736908
BLANKET BAIR HUGGER UPPER BODY,blanket bair hugger upper body,Supply,Supply,0.966629956297,1,Supply,0.999733134161,1,Supply,0.89,1,Supply,0.93,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.946590772614
BLANKET LG FED UNDERBODY,blanket large feed underbody,Supply,Supply,0.928636093009,1,Supply,0.999838554066,1,Supply,0.97,1,Supply,0.95,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.962118661769
BLANKET UPPER BODY 42268,blanket upper body 42268,Supply,Supply,0.964684290464,1,Supply,0.99992734228,1,Supply,0.78,1,Supply,0.81,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.888652908186
BLANKET WARM BAIR HUGGER 108IN,blanket warm bair hugger 108 inches,Supply,Supply,0.961206479558,1,Supply,0.999550095917,1,Supply,0.88,1,Supply,0.96,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.950189143869
BLD COMPL AUTO HHRWP,blood complete automated hhrwp,Laboratory,Laboratory,0.96,1,Laboratory,0.622713647048,1,Laboratory,0.92,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.858178411762
BLD PLASMA 4.0 PS200 040,blood plasma 4.0 ps200 40,Laboratory,Supply,0.512215915702,0,Blood Products,0.811882646265,0,Pharmacy,0.67,1,Pharmacy,0.36,1,Pharmacy,"DLevenshtein, Jaro",0.2575
BLD RETICULOCYTE MNL,blood reticulocyte manual,Laboratory,Laboratory,0.924141152494,1,Laboratory,0.767870362416,1,Laboratory,0.75,1,Laboratory,0.81,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.813002878727
BLD SMR MANUAL DIFF,blood smear manual differential,Laboratory,Laboratory,0.96,1,Laboratory,0.894100174446,1,Laboratory,0.73,1,Laboratory,0.39,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.743525043612
BLDE CLIPPER SNGL USE,blade clipper single use,Supply,Supply,0.94481904094,1,Supply,0.994658978089,1,Supply,0.76,1,Supply,0.81,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.877369504757
BLOOD ADMINISTRATION 1 UNIT,blood administration 1_units,Nursing Services,Nursing Services,0.923097192578,1,Nursing Services,0.997721848961,1,Nursing Services,0.93,1,Supply,0.96,0,Nursing Services,"DeepNN, Logistic_OvR, DLevenshtein",0.950273013847
BLOOD CULTURE AEROBIC,blood culture aerobic,Laboratory,Laboratory,0.984827802627,1,Laboratory,0.998745836773,1,Laboratory,0.97,1,Laboratory,0.9,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.96339340985
BLOOD GAS,blood_gas,Laboratory,Laboratory,0.928941130715,1,Laboratory,0.996793779286,1,Laboratory,0.93,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.9539337275
BLOOD GLUCOSE TEST,blood glucose test,Laboratory,Monitoring,0.554971021462,1,Monitoring,0.997175760476,1,Laboratory,0.85,0,Monitoring,0.93,1,Monitoring,"DeepNN, Logistic_OvR, Jaro",0.827382260646
BLOOD GLUCOSE TEST STRIP,blood glucose test strip,Supply,Supply,0.96,1,Supply,0.701537577681,1,Laboratory,0.78,0,Monitoring,0.88,0,Supply,"DeepNN, Logistic_OvR",0.41538439442
BLOOD TYPE RH I,blood type rhesus,Laboratory,Laboratory,0.962292529474,1,Laboratory,0.999491888374,1,Laboratory,0.94,1,Laboratory,0.92,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.955446104462
BLOOD TYPING ABO,blood typing abo,Laboratory,Laboratory,0.96,1,Nursing Services,0.581653126211,0,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, DLevenshtein, Jaro",0.956666666667
BLOOD TYPING ABO,blood typing abo,Laboratory,Laboratory,0.951675777198,1,Laboratory,0.989715299344,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.962847769135
BLOOD TYPING ABO,blood typing abo,Laboratory,Laboratory,0.904560256727,1,Laboratory,0.959756037656,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.943579073596
BLOOD TYPING ABO,blood typing abo,Laboratory,Laboratory,0.934465051296,1,Laboratory,0.991106807042,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.958892964584
BLOOD TYPING RH D,blood typing rhesus,Laboratory,Laboratory,0.96,1,Laboratory,0.928323875596,1,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.972080968899
BLOOD TYPING RH D,blood typing rhesus,Laboratory,Laboratory,0.96,1,Laboratory,0.928323875596,1,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.972080968899
BLOOD TYPING RH D,blood typing rhesus,Laboratory,Laboratory,0.959899436023,1,Laboratory,0.998959602729,1,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.989714759688
BLOOD TYPING RH D,blood typing rhesus,Laboratory,Laboratory,0.959899436023,1,Laboratory,0.998959602729,1,Laboratory,1.0,1,Laboratory,1.0,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.989714759688
BNDG ROLL 4.5X4.1YD 8P ST,bandage roll 4.5x4.1yard 8p strip,Supply,Supply,0.968085145534,1,Supply,0.999920678823,1,Supply,0.64,1,Supply,0.35,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.739501456089
BODY FLUID TRIGLYCERIDES,body fluid triglycerides,Laboratory,Laboratory,0.947934902168,1,Laboratory,0.969473859958,1,Laboratory,0.79,1,Laboratory,0.81,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.879352190531
BONE WAX,bone wax,Supply,Supply,0.96,1,Supply,0.994128012233,1,Laboratory,0.68,0,Laboratory,0.33,0,Supply,"DeepNN, Logistic_OvR",0.488532003058
BONE WAX,bone wax,Supply,Implant,0.76,0,Supply,0.602711077993,0,Laboratory,0.68,1,Laboratory,0.33,1,Laboratory,"DLevenshtein, Jaro",0.2525
BOVIE PENCIL HAND CONT,bovie pencil hand control,Supply,Supply,0.95708961624,1,Supply,0.999431606996,1,Radiology,0.74,0,Pharmacy,0.38,0,Supply,"DeepNN, Logistic_OvR",0.489130305809
BREAKOFF SET SCREWS,break set screw,Implant,Implant,0.76,1,Implant,0.901780853686,1,Implant,0.98,1,Implant,0.94,1,Implant,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.895445213422
BREAST PUMP,breast pump,Capital Equipment,Capital Equipment,0.599168861534,1,Capital Equipment,0.782155472348,1,Laboratory,0.77,0,Capital Equipment,0.81,1,Capital Equipment,"DeepNN, Logistic_OvR, Jaro",0.730441444627
BREATHING TREATMENT,breathing treatment,Respiratory Therapy,Respiratory Therapy,0.96,1,Respiratory Therapy,0.999936365845,1,Respiratory Therapy,0.92,1,Respiratory Therapy,0.93,1,Respiratory Therapy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.952484091461
BRONCHIAL LAVAGE,bronchial lavage,Procedure,Procedure,0.388227298673,1,Dialysis,0.414401710033,0,Procedure,0.75,1,Procedure,0.88,1,Procedure,"DeepNN, DLevenshtein, Jaro",0.672742432891
BRONCHIAL LAVAGE,bronchial lavage,Procedure,Respiratory Therapy,0.92,1,Respiratory Therapy,0.989007916716,1,Procedure,0.75,0,Procedure,0.88,0,Respiratory Therapy,"DeepNN, Logistic_OvR",0.477251979179
BUDESONIDE 0.25 MG/2 ML NBSP 2 ML,budesonide 0.25_mg/2_ml nbsp 2_ml,Pharmacy,Pharmacy,0.986890751764,1,Pharmacy,0.999981521064,1,Pharmacy,0.96,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.976718068207
BUDESONIDE 0.25 MG/2 ML NBSP 2 ML,budesonide 0.25_mg/2_ml nbsp 2_ml,Pharmacy,Pharmacy,0.987472658104,1,Pharmacy,0.99995559777,1,Pharmacy,0.96,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.976857063969
BUDESONIDE 0.5 MG/2 ML NBSP 2 ML,budesonide 0.5_mg/2_ml nbsp 2_ml,Pharmacy,Pharmacy,0.987382572637,1,Pharmacy,0.999981251828,1,Pharmacy,0.92,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.966840956116
BUDESONIDE 0.5 MG/2 ML NBSP 2 ML,budesonide 0.5_mg/2_ml nbsp 2_ml,Pharmacy,Pharmacy,0.987640543652,1,Pharmacy,0.999958490601,1,Pharmacy,0.92,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.966899758563
BUFFERED LIDOCAINE 1 % SYRG 0.2 ML SYRINGE,buffered lidocaine 1% syringe 0.2_ml syringe,Pharmacy,Pharmacy,0.927708446347,1,Pharmacy,0.99881334962,1,Pharmacy,0.88,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.921630448992
BUPIVACAINE 0.25% 10ML,bupivacaine 0.25% 10 ml,Pharmacy,Pharmacy,0.978324231575,1,Pharmacy,0.998511738334,1,Pharmacy,0.92,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.956708992477
BUPIVACAINE 0.5% VIAL,bupivacaine 0.5% vial,Pharmacy,Pharmacy,0.920522370584,1,Pharmacy,0.993329099758,1,Pharmacy,0.86,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.913462867585
BUPIVACAINE LIDOCAINE DUH 1 1 0.25% 1 % SOLN,bupivacaine lidocaine duh 1 1 0.25% 1% solution,Pharmacy,Pharmacy,0.993437805828,1,Pharmacy,0.999993447048,1,Pharmacy,0.77,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.893357813219
BUPIVACAINE/EPI 0.25%/0.005 VL,bupivacaine epinephrine 0.25%/0.005 vial,Pharmacy,Pharmacy,0.974089594918,1,Pharmacy,0.999763405816,1,Pharmacy,0.85,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.908463250183
BURETTE KANGAROO 100ML,burette kangaroo 100 ml,Supply,Supply,0.96,1,Supply,0.99326459832,1,Supply,0.77,1,Supply,0.88,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.90081614958
BURETTE KANGAROO 100ML,burette kangaroo 100 ml,Supply,Pharmacy,0.92,0,Supply,0.925166185621,1,Supply,0.77,1,Supply,0.88,1,Supply,"Logistic_OvR, DLevenshtein, Jaro",0.85838872854
BURKITT FISH PANEL+CULTURE DIRECT CELL CULT,burkitt fish panel culture direct cell culture,Laboratory,Laboratory,0.992956866526,1,Laboratory,0.999999281082,1,Laboratory,0.85,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.950739036902
BURKITT FISH PANEL+PET FISH PROBE,burkitt fish panel pet fish probe,Laboratory,Laboratory,0.985369975034,1,Laboratory,0.999991123123,1,Laboratory,0.91,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.963840274539
C ARM EXTREMITIES UP TO 1HR,arm extremities 1hr,Radiology,Radiology,0.96,1,Radiology,0.906210989053,1,Supply,0.71,0,Procedure,0.81,0,Radiology,"DeepNN, Logistic_OvR",0.466552747263
C ARM PAIN MANAGEMENT,c-arm pain management,PT / OT / Speech Therapy,Radiology,0.465728041558,1,Radiology,0.356896478332,1,Supply,0.75,0,Respiratory Therapy,0.81,0,Radiology,"DeepNN, Logistic_OvR",0.205656129973
C BOOT/HEEL PROTECTOR,boot heel protector,Supply,Supply,0.929141263849,1,Supply,0.99947007734,1,Laboratory,0.7,0,Laboratory,0.42,0,Supply,"DeepNN, Logistic_OvR",0.482152835297
C POCT GLUCOSE BY MONITORING DEVICE,point_of_care_testing glucose monitoring device,Monitoring,Monitoring,0.98481209736,1,Monitoring,0.999999989621,1,Monitoring,0.77,1,Monitoring,0.93,1,Monitoring,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.921203021745
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.96,1,Laboratory,0.990824902031,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.965206225508
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.96,1,Laboratory,0.990824902031,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.965206225508
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.96,1,Laboratory,0.990824902031,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.965206225508
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.96,1,Laboratory,0.990824902031,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.965206225508
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.963640737572,1,Laboratory,0.998961450885,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.968150547114
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.963640737572,1,Laboratory,0.998961450885,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.968150547114
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.963640737572,1,Laboratory,0.998961450885,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.968150547114
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.963640737572,1,Laboratory,0.998961450885,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.968150547114
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.930316264862,1,Laboratory,0.99912406504,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.959860082476
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.930316264862,1,Laboratory,0.99912406504,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.959860082476
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.930316264862,1,Laboratory,0.99912406504,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.959860082476
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.930316264862,1,Laboratory,0.99912406504,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.959860082476
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.96,1,Laboratory,0.949078089392,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.954769522348
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.96,1,Laboratory,0.949078089392,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.954769522348
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.96,1,Laboratory,0.949078089392,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.954769522348
C REACTIVE PROTEIN,c reactive protein,Laboratory,Laboratory,0.96,1,Laboratory,0.949078089392,1,Laboratory,0.95,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.954769522348
C3 COMPLEMENT,c3 complement,Laboratory,Laboratory,0.948067358154,1,Laboratory,0.968148885664,1,Laboratory,0.94,1,Laboratory,0.92,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.944054060954
C3 COMPLEMENT,c3 complement,Laboratory,Laboratory,0.948067358154,1,Laboratory,0.968148885664,1,Laboratory,0.94,1,Laboratory,0.92,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.944054060954
CAFFEINE CITRAT 5MG IN,caffeine citrate 5_mg injection,Pharmacy,Pharmacy,0.984709388617,1,Pharmacy,0.999709592656,1,Pharmacy,0.86,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.943604745318
CAFFEINE CITRAT 5MG IN,caffeine citrate 5_mg injection,Pharmacy,Pharmacy,0.986145343046,1,Pharmacy,0.999535702526,1,Pharmacy,0.86,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.943920261393
CAFFEINE CITRATE 60 MG/3ML SOLN,caffeine citrate 60 mg/3 ml solution,Pharmacy,Pharmacy,0.966689932957,1,Pharmacy,0.99709961095,1,Pharmacy,0.96,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.963447385977
CAFFEINE CITRATE 60 MG/3ML SOLN,caffeine citrate 60 mg/3 ml solution,Pharmacy,Pharmacy,0.967200142054,1,Pharmacy,0.99661961982,1,Pharmacy,0.96,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.963454940468
CALCIUM CARBONATE 500 MG C,calcium carbonate 500_mg cap,Pharmacy,Pharmacy,0.934283478239,1,Pharmacy,0.998641576876,1,Pharmacy,0.96,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.963231263779
CALCIUM CARBONATE 500 MG C,calcium carbonate 500_mg cap,Pharmacy,Pharmacy,0.931758880134,1,Pharmacy,0.99736371771,1,Pharmacy,0.96,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.962280649461
CALCIUM CHLOR 10% 1GM 10ML,calcium chloride 10% 1_gm 10_ml,Pharmacy,Pharmacy,0.932064070736,1,Pharmacy,0.999537152304,1,Pharmacy,0.86,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.93040030576
CALCIUM GLUC 10%10ML,calcium gluconate 10% 10_ml,Pharmacy,Pharmacy,0.970650950543,1,Pharmacy,0.999270994428,1,Pharmacy,0.9,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.937480486243
CALCIUM GLUCON.10ML 100MG/ML,calcium gluconate 10_ml 100_mg/ml,Pharmacy,Pharmacy,0.978779422383,1,Pharmacy,0.999760006097,1,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.93963485712
CALCIUM GLUCONATE 100 MG/M,calcium gluconate 100_mg/m,Pharmacy,Pharmacy,0.956180815146,1,Pharmacy,0.999805482823,1,Pharmacy,0.95,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.966496574492
CALCIUM GLUCONATE 100 MG/M,calcium gluconate 100_mg/m,Pharmacy,Pharmacy,0.968168944632,1,Pharmacy,0.999904601063,1,Pharmacy,0.95,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.969518386424
CALCIUM GLUCONATE IN 0.9% SODIUM CHLORIDE 2 GRAM/120 ML SOLN,calcium gluconate 0.9% sodium_chloride 2 gram/120_ml solution,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.966289874645,1,Pharmacy,0.77,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.894072468661
CALCIUM GLUCONATE IN 0.9% SODIUM CHLORIDE 2 GRAM/120 ML SOLN,calcium gluconate 0.9% sodium_chloride 2 gram/120_ml solution,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.919259413963,1,Pharmacy,0.77,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.882314853491
CALCIUM IONIZED,calcium ionized,Laboratory,Laboratory,0.76,1,Laboratory,0.572710943434,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.810677735859
CALCIUM IONIZED,calcium ionized,Laboratory,Laboratory,0.76,1,Laboratory,0.572710943434,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.810677735859
CALCIUM IONIZED,calcium ionized,Laboratory,Laboratory,0.76,1,Laboratory,0.572710943434,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.810677735859
CALCIUM IONIZED,calcium ionized,Laboratory,Laboratory,0.76,1,Laboratory,0.572710943434,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.810677735859
CALCIUM IONIZED,calcium ionized,Laboratory,Laboratory,0.92,1,Laboratory,0.887230116163,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.929307529041
CALCIUM IONIZED,calcium ionized,Laboratory,Laboratory,0.92,1,Laboratory,0.887230116163,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.929307529041
CALCIUM IONIZED,calcium ionized,Laboratory,Laboratory,0.92,1,Laboratory,0.887230116163,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.929307529041
CALCIUM IONIZED,calcium ionized,Laboratory,Laboratory,0.92,1,Laboratory,0.887230116163,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.929307529041
CALCIUM IONIZED,calcium ionized,Laboratory,Laboratory,0.76,1,Laboratory,0.727174573555,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.849293643389
CALCIUM IONIZED,calcium ionized,Laboratory,Laboratory,0.76,1,Laboratory,0.727174573555,1,Laboratory,0.98,1,Laboratory,0.93,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.849293643389
