descrip	cleaned_descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS
CHLORHEXIDINE 0.12% SOLN	CHLORHEXIDINE 0.12% SOLN	Implant/Supply	1	5	5	chlorhexidine 0.12% solution	Pharmacy
CHLORHEXIDINE 0.12% SOLN	CHLORHEXIDINE 0.12% SOLN	Pharmacy	1	1.27	1.27	chlorhexidine 0.12% solution	Pharmacy
CHLORHEXIDINE 473ML ORAL R	CHLORHEXIDINE 473ML ORAL R	Pharmacy	1	7	7	chlorhexidine 473_ml oral r	Pharmacy
HB CHLORHEXIDINE GLUC ORAL RNSE	CHLORHEXIDINE GLUC ORAL RNSE	Pharmacy	1	49.18	49.18	chlorhexidine gluconate oral rinse	Pharmacy
CHLORHEXIDINE GLUCONATE 0.12 % MWSH	CHLORHEXIDINE GLUCONATE 0.12 % MWSH	Patient Conv Items	15	3.51	0.234	chlorhexidine gluconate 0.12% mouthwash	Supply
CHLORHEXIDINE GLUCONATE 0.12 % MWSH	CHLORHEXIDINE GLUCONATE 0.12 % MWSH	Pharmacy	1	3.02	3.02	chlorhexidine gluconate 0.12% mouthwash	Supply
CHLORHEXIDINE GLUCONATE 4 % LIQD	CHLORHEXIDINE GLUCONATE 4 % LIQD	Pharmacy	1	3.3	3.3	chlorhexidine gluconate 4% liquid	Pharmacy
CHLORHEXIDINE ORAL RINSE 15ML	CHLORHEXIDINE ORAL RINSE 15ML	Drugs Requiring Specific Identification	1	1.89	1.89	chlorhexidine oral rinse 15_ml	Pharmacy
CHLORHEXIDINE ORAL RINSE 15ML	CHLORHEXIDINE ORAL RINSE 15ML	Pharmacy	2	7.92	2.64	chlorhexidine oral rinse 15_ml	Pharmacy
CHLORIDE	CHLORIDE	Laboratory	1	98	98	chloride	Laboratory
CHLORIDE*	CHLORIDE 	Laboratory	1	80.39	80.39	chloride	Laboratory
CHLORIDE (BG)	CHLORIDE BG 	Laboratory	1	87	87	chloride blood_gas	Laboratory
CHLORIDE - BLD	CHLORIDE BLD	Laboratory	1	177	177	chloride blood	Laboratory
CHLORIDE BLOOD	CHLORIDE BLOOD	Laboratory	1	78	78	chloride blood	Laboratory
HB CHLORIDE BLOOD	CHLORIDE BLOOD	Pharmacy	1	79	79	chloride blood	Laboratory
CHLORIDE (BLOOD)	CHLORIDE BLOOD 	Laboratory	1	58	58	chloride blood	Laboratory
CHLORIDE BLOOD GAS	CHLORIDE BLOOD GAS	Laboratory	1	3.66	3.66	chloride blood_gas	Laboratory
CHLORIDE (BLOOD GAS)	CHLORIDE BLOOD GAS 	Laboratory	1	104	104	chloride blood_gas	Laboratory
CHLORIDE PLASMA	CHLORIDE PLASMA	Laboratory	1	7	7	chloride plasma	Laboratory
CHLORIDE RANDOM URINE	CHLORIDE RANDOM URINE	Laboratory	1	109	109	chloride random urine	Laboratory
CHLORIDE - SERUM	CHLORIDE SERUM	Laboratory	1	41	41	chloride serum	Laboratory
CHLORIDE  URINE	CHLORIDE URINE	Laboratory	1	69	69	chloride urine	Laboratory
CHLORIDE (URINE)	CHLORIDE URINE 	Laboratory	1	37	37	chloride urine	Laboratory
CHLORIDE WB ASSAY	CHLORIDE WB ASSAY	Laboratory	1	174	174	chloride whole_blood assay	Laboratory
HB CHLOROTHIAXIDE SODIUM 500MG VL	CHLOROTHIAXIDE SODIUM 500MG VL	Pharmacy	1	31.45	31.45	chlorothiaxide sodium 500 mg vial	Pharmacy
CHLOROTHIAZIDE 250 MG TAB	CHLOROTHIAZIDE 250 MG TAB	Pharmacy	1	54	54	chlorothiazide 250 mg tablet	Pharmacy
CHLOROTHIAZIDE 250 MG TAB 100 EACH BOTTLE	CHLOROTHIAZIDE 250 MG TAB 100 EACH BOTTLE	Pharmacy	1	89.85	89.85	chlorothiazide 250_mg tablet 100 each bottle	Pharmacy
CHLOROTHIAZIDE 250 MG/5 ML SUSP 237 ML BOTTLE	CHLOROTHIAZIDE 250 MG/5 ML SUSP 237 ML BOTTLE	Pharmacy	1	2.25	2.25	chlorothiazide 250_mg/5_ml suspension 237_ml bottle	Pharmacy
CHLOROTHIAZIDE 250 MG/5 ML SUSP[9525]	CHLOROTHIAZIDE 250 MG/5 ML SUSP 9525 	Pharmacy	1	3	3	chlorothiazide 250_mg/5_ml suspension 9525	Pharmacy
HB CHLOROTHIAZIDE 250MG/5ML	CHLOROTHIAZIDE 250MG/5ML	Pharmacy	2	4.15	2.075	chlorothiazide 250 mg/5 ml	Pharmacy
HB CHLOROTHIAZIDE 250MG/5ML SUSP	CHLOROTHIAZIDE 250MG/5ML SUSP	Pharmacy	2	4.03	2.235	chlorothiazide 250 mg/5 ml suspension	Pharmacy
CHLOROTHIAZIDE 25MG/ML INJ	CHLOROTHIAZIDE 25MG/ML INJ	Drugs Requiring Detailed Coding	2	144.05	61.45	chlorothiazide 25 mg/ml injection	Pharmacy
CHLOROTHIAZIDE 28 MG/ML SO	CHLOROTHIAZIDE 28 MG/ML SO	Pharmacy	1	181.225	181.225	chlorothiazide 28_mg/ml so	Pharmacy
CHLOROTHIAZIDE 28 MG/ML SOL WCH00-0011-56	CHLOROTHIAZIDE 28 MG/ML SOL WCH00 0011 56	Pharmacy	1	150.65	150.65	chlorothiazide 28 mg/ml solution wch00 0011 56	Pharmacy
CHLOROTHIAZIDE 28 MG/ML SOLR 1 EACH VIAL	CHLOROTHIAZIDE 28 MG/ML SOLR 1 EACH VIAL	Drugs Requiring Detailed Coding	2	691.65	345.825	chlorothiazide 28_mg/ml solution 1 each vial	Pharmacy
CHLOROTHIAZIDE 28 MG/ML SOLR 1 EACH VIAL	CHLOROTHIAZIDE 28 MG/ML SOLR 1 EACH VIAL	Pharmacy	1	188.33	188.33	chlorothiazide 28_mg/ml solution 1 each vial	Pharmacy
CHLOROTHIAZIDE 50 MG/ML SUSP	CHLOROTHIAZIDE 50 MG/ML SUSP	Pharmacy	1	17	17	chlorothiazide 50 mg/ml suspension	Pharmacy
CHLOROTHIAZIDE 50MG/ML ORAL SUSP	CHLOROTHIAZIDE 50MG/ML ORAL SUSP	Drugs Requiring Specific Identification	2	6.5	3.25	chlorothiazide 50 mg/ml oral suspension	Pharmacy
CHLOROTHIAZIDE 50MG/ML ORAL SUSP	CHLOROTHIAZIDE 50MG/ML ORAL SUSP	Pharmacy	1	55.45	55.45	chlorothiazide 50 mg/ml oral suspension	Pharmacy
HB CHLOROTHIAZIDE (DIURIL) 250MG	CHLOROTHIAZIDE DIURIL 250MG	Pharmacy	2	7.46	3.73	chlorothiazide diuril 250 mg	Pharmacy
CHLOROTHIAZIDE (DIURIL) 500MG TAB	CHLOROTHIAZIDE DIURIL 500MG TAB	Pharmacy	1	1.9	1.9	chlorothiazide diuril 500 mg tablet	Pharmacy
HB CHLOROTHIAZIDE SODIUM 500MG VL	CHLOROTHIAZIDE SODIUM 500MG VL	CT Scan	1	1608.81	1608.81	chlorothiazide soduim 500 mg vial	Pharmacy
HB CHLOROTHIAZIDE SODIUM 500MG VL	CHLOROTHIAZIDE SODIUM 500MG VL	Pharmacy	1	65.53	65.53	chlorothiazide soduim 500 mg vial	Pharmacy
CHLOROTHIAZIDE SUSP 250MG/5ML	CHLOROTHIAZIDE SUSP 250MG/5ML	Pharmacy	1	55.35	55.35	chlorothiazide suspension 250 mg/5 ml	Pharmacy
CHLOROTHIAZIDE SUSP 50MG/1ML	CHLOROTHIAZIDE SUSP 50MG/1ML	Pharmacy	2	1.96	0.685	chlorothiazide suspension 50_mg/1_ml	Pharmacy
CHOLECALCIFEROL 1000 INTLUNITS T	CHOLECALCIFEROL 1000 INTLUNITS T	Pharmacy	2	14	7	cholecalciferol 1000 international units t	Pharmacy
CHOLECALCIFEROL 1000 UNI	CHOLECALCIFEROL 1000 UNI	Drugs Requiring Specific Identification	1	0.12	0.12	cholecalciferol 1000_units	Pharmacy
CHOLECALCIFEROL 1000 UNI	CHOLECALCIFEROL 1000 UNI	Pharmacy	2	11.07	5.535	cholecalciferol 1000_units	Pharmacy
CHOLECALCIFEROL ( VITAMIN D	CHOLECALCIFEROL VITAMIN D	Drugs Requiring Specific Identification	1	10.11	10.09	cholecalciferol vitamin daily	Pharmacy
CHOLECALCIFEROL (VITAMIN D	CHOLECALCIFEROL VITAMIN D	Pharmacy	1	1	1	cholecalciferol vitamin daily	Pharmacy
CHOLESTEROL	CHOLESTEROL	Laboratory	1	71	71	cholesterol	Laboratory
CHOLESTYRAMINE 4GM/ASPARTAME 5GM	CHOLESTYRAMINE 4GM/ASPARTAME 5GM	Pharmacy	1	17	17	cholestyramine 4 gm/aspartame 5 gm	Pharmacy
CHORIONIC GANADOTROPIN ASSAY	CHORIONIC GANADOTROPIN ASSAY	Laboratory	1	185.5	185.5	chorionic ganadotropin assay	Laboratory
"CHROMHEM CG, MCG, INT RPT"	CHROMHEM CG MCG INT RPT	Laboratory	1	157	157	chromhem cg mcg initial report	Laboratory
"CHROMHEM CHROM ANALY, 20'25 CELL"	CHROMHEM CHROM ANALY 20 25 CELL	Laboratory	1	1372	1372	chromhem chromic analysis 20 25 cell	Laboratory
"CHROMHEM TX CULT, BM, BLD CELLS"	CHROMHEM TX CULT BM BLD CELLS	Laboratory	1	1247	1247	chromhem treatment culture bone marrow blood cells	Laboratory
CHROMIUM	CHROMIUM	Laboratory	1	66	66	chromium	Laboratory
CHROMIUM CHLORIDE 10ML 4MCG/ML	CHROMIUM CHLORIDE 10ML 4MCG/ML	Drugs Requiring Detailed Coding	1	21.5	21.5	chromium chloride 10_ml 4_mcg/ml	Pharmacy
CHROMIUM CHLORIDE 4MCG/ML 10ML	CHROMIUM CHLORIDE 4MCG/ML 10ML	Pharmacy	1	55.3	55.3	chromium chloride 4 mcg/ml 10 ml	Pharmacy
HB CHROMOSOME FISH 10-30 CELLS	CHROMOSOME FISH 10 30 CELLS	Laboratory	1	276.26	276.26	chromosome fish 10 to 30 cells	Laboratory
CICU VENT MGT LEV 1 INIT	CICU VENT MGT LEV 1 INIT	Respiratory Services	1	2125	2125	critical intensive_care_unit ventilation management level 1 initial	Respiratory Therapy
CICU VENT MGT LEV 2 INIT	CICU VENT MGT LEV 2 INIT	Respiratory Services	1	2494	2494	critical intensive_care_unit ventilation management level 2 initial	Respiratory Therapy
CICU VENT MGT LEV 2 SUBSQ	CICU VENT MGT LEV 2 SUBSQ	Respiratory Services	1	2494	2494	critical intensive_care_unit ventilation management level 2 subsequent	Respiratory Therapy
CICU VENT MGT LEVEL 1 SUBSQ	CICU VENT MGT LEVEL 1 SUBSQ	Respiratory Services	1	2142	2142	critical intensive_care_unit ventilation management level 1 subsequent	Respiratory Therapy
HB CIPRO 250MG CAP	CIPRO 250MG CAP	Pharmacy	1	25.8	25.8	ciprofloxacin 250 mg cap	Pharmacy
CIPROFLOXACIN 0.3% DROP 5 ML DROP BTL	CIPROFLOXACIN 0.3% DROP 5 ML DROP BTL	Pharmacy	1	207.89	207.89	ciprofloxacin 0.3% drop 5_ml drop bottle	Pharmacy
HB CIPROFLOXACIN 0.3% OINTMENT	CIPROFLOXACIN 0.3% OINTMENT	Pharmacy	1	171.74	171.74	ciprofloxacin 0.3% ointment	Pharmacy
CIPROFLOXACIN 2 MG/ML PGBK	CIPROFLOXACIN 2 MG/ML PGBK	Pharmacy	1	161.085	161.085	ciprofloxacin 2_mg/ml pgbk	Pharmacy
CIPROFLOXACIN 2 MG/ML SOLN WCH00 - 0005 - 99	CIPROFLOXACIN 2 MG/ML SOLN WCH00 0005 99	Pharmacy	2	28.05	14.025	ciprofloxacin 2 mg/ml solution wch00 0005 99	Pharmacy
CIPROFLOXACIN 200 MG/100 ML INJ	CIPROFLOXACIN 200 MG/100 ML INJ	Pharmacy	100	101.2	1.012	ciprofloxacin 200 mg/100 ml injection	Pharmacy
CIPROFLOXACIN 400 MG/200 ML PGBK	CIPROFLOXACIN 400 MG/200 ML PGBK	Drugs Requiring Detailed Coding	2	801	400.5	ciprofloxacin 400_mg/200_ml pgbk	Pharmacy
CIPROFLOXACIN 400 MG/200 ML PGBK	CIPROFLOXACIN 400 MG/200 ML PGBK	Pharmacy	2	41.4	20.7	ciprofloxacin 400_mg/200_ml pgbk	Pharmacy
CIPROFLOXACIN 400MG PREMIX	CIPROFLOXACIN 400MG PREMIX	Drugs Requiring Detailed Coding	1	47.45	47.45	ciprofloxacin 400_mg premix	Pharmacy
CIPROFLOXACIN 400MG PREMIX	CIPROFLOXACIN 400MG PREMIX	Pharmacy	1	45	45	ciprofloxacin 400_mg premix	Pharmacy
CIPROFLOXACIN 400MG/200ML INJ	CIPROFLOXACIN 400MG/200ML INJ	Pharmacy	200	118.6	0.593	ciprofloxacin 400 mg/200 ml injection	Pharmacy
CIPROFLOXACIN 500 MG ORAL TAB	CIPROFLOXACIN 500 MG ORAL TAB	Pharmacy	1	5	5	ciprofloxacin 500_mg oral tablet	Pharmacy
CIPROFLOXACIN 500 MG/5 ML	CIPROFLOXACIN 500 MG/5 ML	Pharmacy	1	96.8	96.8	ciprofloxacin 500_mg/5_ml	Pharmacy
HB CIPROFLOXACIN  (CIPRO) 750MG TA	CIPROFLOXACIN CIPRO 750MG TA	Pharmacy	1	18.47	18.47	ciprofloxacin ciprofloxacin 750 mg tablet	Pharmacy
CIPROFLOXACIN FOR IV INFUSION 200 MG INJ	CIPROFLOXACIN FOR IV INFUSION 200 MG INJ	Drugs Requiring Detailed Coding	2	13.02	6.51	ciprofloxacin for intravenous_infusion 200_mg injection	Pharmacy
CIPROFLOXACIN HCL 0.3% DROP 5 ML DROP BTL	CIPROFLOXACIN HCL 0.3% DROP 5 ML DROP BTL	Pharmacy	1	207.89	207.89	ciprofloxacin hydrochloride 0.3% drop 5_ml drop bottle	Pharmacy
CIPROFLOXACIN HCL 500 MG TABLET	CIPROFLOXACIN HCL 500 MG TABLET	Pharmacy	1	1.49	1.49	ciprofloxacin hcl 500_mg tablet	Pharmacy
HB CIPROFLOXACIN IN D5W 400 MG/200ML	CIPROFLOXACIN IN D5W 400 MG/200ML	Pharmacy	2	23.23	11.615	ciprofloxacin in dextrose_5% in water 400 mg/200 ml	Pharmacy
CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN	CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN	Drugs Requiring Detailed Coding	2	6.2	3.1	ciprofloxacin in dextrose_5% in water 400 mg/200 ml intravenous solution	Pharmacy
HB CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN	CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN	Pharmacy	1	21.43	21.13	ciprofloxacin in dextrose_5% in water 400 mg/200 ml intravenous solution	Pharmacy
CIPROFLOXACIN OPTH OINT 0.3% 3.5	CIPROFLOXACIN OPTH OINT 0.3% 3.5	Pharmacy	1	184.1	184.1	ciprofloxacin ophthalmic ointment 0.3% 3.5	Pharmacy
HB CIPROFLOXACIN SUSP 10%	CIPROFLOXACIN SUSP 10%	Pharmacy	3	20.19	6.73	ciprofloxacin suspension 10%	Pharmacy
HB CIPROFLOXACIN/DEX OTIC	CIPROFLOXACIN/DEX OTIC	Pharmacy	1	8.6	8.6	ciprofloxacin/dextrose otic	Pharmacy
HB CIPROFLOXACIN/DEX OTIC SUSP	CIPROFLOXACIN/DEX OTIC SUSP	Pharmacy	1	9.12	9.12	ciprofloxacin/dextrose otic suspension	Pharmacy
"CIRCUIT, ADULTFISHER"	CIRCUIT ADULTFISHER	Implant/Supply	1	39	39	circuit adultfisher	Supply
CIRCUIT BREATH PEDIATRICS E	CIRCUIT BREATH PEDIATRICS E	Implant/Supply	1	65	65	circuit breathing pediatrics e	Supply
CIRCUIT BREATH PEDIATRICS E	CIRCUIT BREATH PEDIATRICS E	Respiratory Services	1	65	65	circuit breathing pediatrics e	Supply
CIRCUIT BRTH 1 LMB 72IN LF 3L	CIRCUIT BRTH 1 LMB 72IN LF 3L	Implant/Supply	1	80.31	80.31	circuit breathing 1 lmb 72 inches lf 3l	Supply
HB CIRCUIT BRTH L51IN HTD WRS FLX	CIRCUIT BRTH L51IN HTD WRS FLX	Implant/Supply	1	490	487	circuit breathing length 51 inches htd wrs flex	Supply
CIRCUIT BRTH/KNCF3 76-6121Z	CIRCUIT BRTH/KNCF3 76 6121Z	Implant/Supply	1	80	80	circuit breathing/kncf3 76 6121z	Supply
CIRCUIT KIT DRY TUBE ADULT/PED	CIRCUIT KIT DRY TUBE ADULT/PED	Implant/Supply	1	201	201	circuit kit dry tube adult/pediatric	Supply
CIRCUIT KIT DRY TUBE NEONATAL	CIRCUIT KIT DRY TUBE NEONATAL	Implant/Supply	1	186	186	circuit kit dry tube neonatal	Supply
HB CIRCUIT KIT DRY TUBE NEONATTIL	CIRCUIT KIT DRY TUBE NEONATTIL	Implant/Supply	1	186	186	circuit kit dry tube neonatal	Supply
HB CIRCURT KIT DRY TUBE ADULT/PED	CIRCURT KIT DRY TUBE ADULT/PED	Implant/Supply	1	201	201	circurt kit dry tube adult/pediatric	Supply
CIRCUT BREATH ISOFLEX ADLT 108 EXPAND BAG 3L LF	CIRCUT BREATH ISOFLEX ADLT 108 EXPAND BAG 3L LF	Implant/Supply	1	25	25	circuit breathing isoflex adult 108 expand bag 3_liter LF	Supply
CISATRACURIUM 10 MG/ML SOLN 0074-4382-20	CISATRACURIUM 10 MG/ML SOLN 0074 4382 20	Pharmacy	1	1190.4	1190.4	cisatracurium 10 mg/ml solution 0074 4382 20	Pharmacy
CISATRACURIUM 2 MG/ML SOLN 10 ML VIAL	CISATRACURIUM 2 MG/ML SOLN 10 ML VIAL	Pharmacy	1	150.51	122.2133333	cisatracurium 2_mg/ml solution 10_ml vial	Pharmacy
CISATRACURIUM 2 MG/ML SOLN 5 ML VIAL	CISATRACURIUM 2 MG/ML SOLN 5 ML VIAL	Pharmacy	1	62.8	44.66	cisatracurium 2_mg/ml solution 5_ml vial	Pharmacy
CISATRACURIUM 2MG/ML 10ML	CISATRACURIUM 2MG/ML 10ML	Pharmacy	1.5	187.38	165.02	cisatracurium 2 mg/ml 10 ml	Pharmacy
HB CISATRACURIUM 2MG/ML 10ML VL	CISATRACURIUM 2MG/ML 10ML VL	Pharmacy	1	8.35	8.35	cisatracurium 2 mg/ml 10 ml vial	Pharmacy
HB CISATRACURIUM 2MG/ML 1OML VL	CISATRACURIUM 2MG/ML 1OML VL	Pharmacy	1	29.7	29.7	cisatracurium 2 mg/ml 10 ml vial	Pharmacy
HB CISATRACURIUM 2MG/ML LOML VL	CISATRACURIUM 2MG/ML LOML VL	Pharmacy	1	3.37	3.37	cisatracurium 2 mg/ml 10 ml vial	Pharmacy
CITALOPRAM 10 MG TAB	CITALOPRAM 10 MG TAB	Drugs Requiring Specific Identification	1	10.15	10.15	citalopram 10_mg tablet	Pharmacy
CITALOPRAM 10 MG TAB	CITALOPRAM 10 MG TAB	Pharmacy	1	2.5	2.5	citalopram 10_mg tablet	Pharmacy
CITALOPRAM 10MG TABLET	CITALOPRAM 10MG TABLET	Drugs Requiring Specific Identification	1	8	8	citalopram 10 mg tablet	Pharmacy
CITALOPRAM 10MG TABLET	CITALOPRAM 10MG TABLET	Pharmacy	1	22.75	22.75	citalopram 10 mg tablet	Pharmacy
CITRATE DEXTROSE SOLUTION 750 ML	CITRATE DEXTROSE SOLUTION 750 ML	Pharmacy	3.5	0	0	citrate dextrose solution 750 ml	Pharmacy
CK MB	CK MB	EKG/ECG/EEG	1	510.84	510.84	creatinine_kinase mb	Laboratory
CK MB	CK MB	Implant/Supply	1	529	529	creatinine_kinase mb	Laboratory
CK - MB	CK MB	Laboratory	1	289	289	creatinine_kinase mb	Laboratory
CK MB-	CK MB 	Laboratory	1	94.5	94.5	creatinine_kinase mb	Laboratory
CKMB	CKMB	Laboratory	1	158	158	creatine_kinase_myocardium	Laboratory
"CLAMP, OSTOMY HOLLISTER"	CLAMP OSTOMY HOLLISTER	Implant/Supply	1	4	4	clamp ostomy hollister	Supply
CLAMP TOWEL DRAVON CA25 PK2	CLAMP TOWEL DRAVON CA25 PK2	Implant/Supply	1	8	8	clamp towel dravon ca25 pk2	Supply
CLARITHROMYCIN 500MG TAB	CLARITHROMYCIN 500MG TAB	Pharmacy	1	25.7	25.7	clarithromycin 500_mg tablet	Pharmacy
CLARITIN 10MG TAB	CLARITIN 10MG TAB	Drugs Requiring Specific Identification	1	4.2	4.2	claritin 10 mg tablet	Pharmacy
CLARITIN 10MG TAB	CLARITIN 10MG TAB	Pharmacy	1	1	1	claritin 10 mg tablet	Pharmacy
HB CLARITIN REDITABS	CLARITIN REDITABS	Pharmacy	1	0.16	0.16	claritin reditabs	Pharmacy
CLEANSER 4% CHG DYNA-HEX 4 OZ	CLEANSER 4% CHG DYNA HEX 4 OZ	Implant/Supply	1	12.2	12.2	cleanser 4% Chlorhexidine_gluconate dyna hex 4 ounce	Supply
CLINDAMYCIN 150 MG/ML SOLN	CLINDAMYCIN 150 MG/ML SOLN	Drugs Requiring Detailed Coding	4	33.315	8.32875	clindamycin 150_mg/ml solution	Pharmacy
CLINDAMYCIN 150 MG/ML SOLN	CLINDAMYCIN 150 MG/ML SOLN	Pharmacy	1	276	276	clindamycin 150_mg/ml solution	Pharmacy
CLINDAMYCIN 150 MG/ML SOLN 4 ML VIAL	CLINDAMYCIN 150 MG/ML SOLN 4 ML VIAL	IV Solutions	1	8.6	8.6	clindamycin 150_mg/ml solution 4_ml vial	Pharmacy
CLINDAMYCIN 150 MG/ML SOLN 4 ML VIAL	CLINDAMYCIN 150 MG/ML SOLN 4 ML VIAL	Pharmacy	1	12.56	12.56	clindamycin 150_mg/ml solution 4_ml vial	Pharmacy
CLINDAMYCIN 18 MG/ML	CLINDAMYCIN 18 MG/ML	Pharmacy	1	276.23	276.23	clindamycin 18_mg/ml	Pharmacy
CLINDAMYCIN 18MG/ML INJ	CLINDAMYCIN 18MG/ML INJ	Pharmacy	7	123.95	17.70714286	clindamycin 18 mg/ml injection	Pharmacy
CLINDAMYCIN 300MG CAPSULE	CLINDAMYCIN 300MG CAPSULE	Pharmacy	1	17.96	17.96	clindamycin 300 mg capsule	Pharmacy
HB CLINDAMYCIN - D5W 900 MG/50 ML	CLINDAMYCIN D5W 900 MG/50 ML	Pharmacy	1	17.52	17.52	clindamycin dextrose_5% in water 900 mg/50 ml	Pharmacy
HB CLINDAMYCIN PALMITATE 75MG/5ML	CLINDAMYCIN PALMITATE 75MG/5ML	Pharmacy	8	23	2.875	clindamycin palmitate 75 mg/5 ml	Pharmacy
CLINDAMYCIN PHOSPHATE  300 MG INJ	CLINDAMYCIN PHOSPHATE 300 MG INJ	Drugs Requiring Detailed Coding	2	114.2	57.1	clindamycin phosphate 300_mg injection	Pharmacy
HB CLINDAMYCIN PHOSPHATE 900 MG/6ML IJ SOLN	CLINDAMYCIN PHOSPHATE 900 MG/6ML IJ SOLN	Pharmacy	1	5.84	5.84	clindamycin phosphate 900 mg/6 ml injection solution	Pharmacy
CLIP APPLIER LG MCL20 DISP	CLIP APPLIER LG MCL20 DISP	Implant/Supply	1	1213.77	1213.77	clip applier large mcl20 disposable	Supply
CLIP HORIZON WECK LG ORNG	CLIP HORIZON WECK LG ORNG	Implant/Supply	1	65.4	65.4	clip horizon weck large orng	Supply
CLIP STANDARD RIGHT ANGEL	CLIP STANDARD RIGHT ANGEL	Other Implants	1	251	251	clip standard right angle	Supply
CLONAZEPAM 0.5 MG TABLET	CLONAZEPAM 0.5 MG TABLET	Drugs Requiring Specific Identification	1	2	1.895	clonazepam 0.5_mg tablet	Pharmacy
CLONAZEPAM 0.5 MG TABLET	CLONAZEPAM 0.5 MG TABLET	Pharmacy	1	3.25	3.25	clonazepam 0.5_mg tablet	Pharmacy
HB CLONAZEPAM 0.5MG TAB BULK	CLONAZEPAM 0.5MG TAB BULK	CT Scan	1	3.495	3.495	clonazepam 0.5 mg tablet bulk	Pharmacy
CLONAZEPAM 0.5MG TAB BULK	CLONAZEPAM 0.5MG TAB BULK	Pharmacy	1	3.95	3.95	clonazepam 0.5 mg tablet bulk	Pharmacy
CLONAZEPAM 1MG TABLET	CLONAZEPAM 1MG TABLET	Drugs Requiring Specific Identification	1	4	4	clonazepam 1 mg tablet	Pharmacy
CLONAZEPAM 1MG TABLET	CLONAZEPAM 1MG TABLET	Pharmacy	1	28.34	28.34	clonazepam 1 mg tablet	Pharmacy
HB CLONAZEPAM 2 MG PO TABS	CLONAZEPAM 2 MG PO TABS	Pharmacy	1	4.02	4.02	clonazepam 2 mg by_mouth tablets	Pharmacy
HB CLONAZEPAM POWD	CLONAZEPAM POWD	Pharmacy	1	1.27	1.27	clonazepam powder	Pharmacy
CLONIDINE 0.1 MG/24HR PTWK 0555-1009-16	CLONIDINE 0.1 MG/24HR PTWK 0555 1009 16	Pharmacy	1	180.75	180.75	clonidine 0.1 mg/24 hour ptwk 0555 1009 16	Pharmacy
CLONIDINE 0.1MG TRANSDERMAL PATC	CLONIDINE 0.1MG TRANSDERMAL PATC	Pharmacy	1	39.95	39.95	clonidine 0.1 mg transdermal patch	Pharmacy
CLONIDINE 0.2 MG/24HR PTWK 0555-1010-16	CLONIDINE 0.2 MG/24HR PTWK 0555 1010 16	Pharmacy	1	266.3	266.3	clonidine 0.2 mg/24 hour ptwk 0555 1010 16	Pharmacy
HB CLONIDINE 100MCG/ML INJ	CLONIDINE 100MCG/ML INJ	Pharmacy	1	60.63	60.63	clonidine 100 mcg/ml injection	Pharmacy
CLONIDINE ORAL SUSP 0.1MG/ML	CLONIDINE ORAL SUSP 0.1MG/ML	Pharmacy	2	55.05	27.525	clonidine oral suspension 0.1 mg/ml	Pharmacy
HB CLONIDINE/CATAPRES 0.1MG TAB B	CLONIDINE/CATAPRES 0.1MG TAB B	Pharmacy	1	2.4	2.4	clonidine/catapres 0.1 mg tablet b	Pharmacy
HB CLONIDINE/CATAPRES 0.2MG TAB B	CLONIDINE/CATAPRES 0.2MG TAB B	Pharmacy	1	2.92	2.92	clonidine/catapres 0.2 mg tablet b	Pharmacy
CLONIDNE 5MCG/ML ORAL SUSP 1ML	CLONIDNE 5MCG/ML ORAL SUSP 1ML	Pharmacy	16	0.16	0.01	clonidine 5_mcg/ml oral suspension 1_ml	Pharmacy
CLOPIDOGREL 5MG/1ML ORAL SUSP	CLOPIDOGREL 5MG/1ML ORAL SUSP	Pharmacy	1	55.25	55.25	clopidogrel 5 mg/1 ml oral suspension	Pharmacy
CLOPIDOGREL 75 MG TAB 90 EACH BOTTLE	CLOPIDOGREL 75 MG TAB 90 EACH BOTTLE	Patient Conv Items	1	49.3	49.3	clopidogrel 75_mg tablet 90 each bottle	Pharmacy
CLOPIDOGREL 75 MG TAB 90 EACH BOTTLE	CLOPIDOGREL 75 MG TAB 90 EACH BOTTLE	Pharmacy	1	15.25	15.25	clopidogrel 75_mg tablet 90 each bottle	Pharmacy
CLOPIDOGREL 75 MG TABLET	CLOPIDOGREL 75 MG TABLET	Drugs Requiring Specific Identification	1	4.13	4.13	clopidogrel 75_mg tablet	Pharmacy
CLOPIDOGREL 75 MG TABLET	CLOPIDOGREL 75 MG TABLET	IV Therapy	1	7.5	7.5	clopidogrel 75_mg tablet	Pharmacy
CLOPIDOGREL    75 MG TABLET	CLOPIDOGREL 75 MG TABLET	Pharmacy	1	7.5	7.5	clopidogrel 75_mg tablet	Pharmacy
CLOPIDOGREL 75 MG TABS	CLOPIDOGREL 75 MG TABS	Drugs Requiring Specific Identification	1	4.85	4.85	clopidogrel 75_mg tablets	Pharmacy
CLOPIDOGREL 75 MG TABS	CLOPIDOGREL 75 MG TABS	Pharmacy	1	16.1	16.1	clopidogrel 75_mg tablets	Pharmacy
