descrip,# of descs,# of rev code grps,# of charge classes,Unique charge classes,Unique rev codes grps
BACITRACIN ZINC 500 UN/G OINT,2,2,1,Pharmacy,"Implant/Supply, Pharmacy"
PREDNISONE 20MG TAB U/D; PREDNISONE 20 MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HEART B/P MONITOR,2,2,1,Capital Equipment,"Implant/Supply, Respiratory Services"
LORAZEPAM 2MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
FORMULA: MONOGEN 24 KCAL/O,2,2,1,Supply,"Gastro-Intestinal Services, Pharmacy"
AMIODARONE 50 MG/ML SOLN 18 ML VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PREDNISONE 20 MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
NACL .9 250ML,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
GABAPENTIN 100MG CAPSULE,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
METHYLPRED SOD SUCC 40 MG; SOLU-MEDROL 40 MG VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
COMPRESSED AIR/HOUR,2,2,1,Respiratory Therapy,"Implant/Supply, Respiratory Services"
IODIXANOL 320 MG/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
AMIODARONE 200MG TA,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PULSE OXIMETER CHECK,2,2,1,Monitoring,"Pulmonary Function, Respiratory Services"
NEOSTIGMINE 1 MG/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CHEST PHYSIO SUBSEQ 10-30,2,2,1,Respiratory Therapy,"Other Imaging Services, Respiratory Services"
FAMOTIDINE 20 MG/2 ML INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
OSTOMY STOMAHSV PWDR,2,2,1,Supply,"Implant/Supply, Pharmacy"
MORPHINE SULFATE 1 MG/ML I,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
POTASSIUM CHLORIDE 10% 30ML LI,2,2,1,Pharmacy,"Implant/Supply, Pharmacy"
INSULIN ASPART 100 UNIT/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
MIDAZOLAM 5 MG/5ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CLOPIDOGREL 75 MG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
METOCLOPRAMIDE 5MG TABLET,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SEDIMENTATION RATE,2,2,1,Laboratory,"Laboratory, Other Imaging Services"
AMLODIPINE 10 MG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
EXHALED CARBON DIOXIDE TEST,2,2,1,Monitoring,"Implant/Supply, Pulmonary Function"
HYDROMORPHONE 0.2-0.9 MG/ML-% SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
KETOROLAC 15MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CEPHALEXIN 500 MG CAPS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
MIDAZOLAM 1MG/ML 2ML VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ARTERIAL PUNCTURE WITH KIT,2,2,1,Supply,"Other Diagnostic Services, Respiratory Services"
HYDRALAZINE 50 MG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
LIPASE,2,2,1,Laboratory,"Implant/Supply, Laboratory"
ERYTHROMYCIN 0.5 % OINT 1 G PACKET,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
BUDESONIDE NEB 0.25MG/2ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HB LACTATED RINGERS SOL 1000ML A,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
IMMUNE GLOBULIN (HUMAN) IV,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
OXYGEN INITIAL,2,2,1,Respiratory Therapy,"Implant/Supply, Respiratory Services"
INPT SURG MINOR ADD 30 MIN,2,2,1,OR / Anesthesia / Recovery Room,"Anesthesia, OR Services"
SODIUM CHLORIDE 0.9% SOLP 250 ML FLEX CONT,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
BASIC METABOLIC SET,2,2,1,Laboratory,"Laboratory, Pharmacy"
ALBUMIN HUMAN 5PCT 250ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG"
LORAZEPAM 2 MG/ML CONC,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
COLLECTION BLOOD VENIPUNCTURE,2,2,1,Nursing Services,"Emergency Room, Laboratory"
AZITHROMYCIN 500MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HB MIDAZOLAM HCL 2 MG/2ML IJ SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CBC W/AUTO DIFFERENTIAL,2,2,1,Laboratory,"Laboratory, Pharmacy"
RANITIDINE IN 0.9% SODIUM,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
FAT EMULSION 20% EMUL,2,2,1,Pharmacy,"Implant/Supply, Pharmacy"
GAIT TRAINING EA 15 MIN,2,2,1,PT / OT / Speech Therapy,"Implant/Supply, PT/OT/Speech"
DEXTROSE 5% AND LACTATED RINGERS 5 % SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
POTASSIUM CHLORIDE 2 MEQ/M,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
VANCOMYCIN 1 000 MG SOLR 1 EACH VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ALBUMIN 5% 50ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
NICOTINE 21 MG/24HR PT24,2,2,1,Plan Benefit,"Drugs Requiring Specific Identification, Pharmacy"
PREDNISONE 5 MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
AST,2,2,1,Laboratory,"Laboratory, Pharmacy"
MAGNESIUM SULFATE 50% 1GM/2ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG"
POT CHLORIDE 10% LIQ 15ML; KCL LIQUID LIQ 10% 20 MEQ/15 ML UDC,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
INPT SURG MINOR 1ST 60 MIN,2,2,1,OR / Anesthesia / Recovery Room,"Anesthesia, OR Services"
HB EPINEPHRINE 1MG/ML 30ML VL P,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
OXYCODONE-ACETAMINOPHEN 10-325 MG TABLET,2,2,1,Pharmacy,"IV Therapy, Pharmacy"
HEPARIN 100 UNIT/ML SOLN,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
FENTANYL 250MCG/5ML INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PEDIATRIC INTERMEDIATE,2,2,1,Room and Board,"Intensive Care, Room & Board"
SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
CALCIUM GLUCONATE 100MG/ML INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HB TYLENOL 325MG TAB UD (ACETAM,2,2,1,Pharmacy,"CT Scan, Pharmacy"
HEPARIN 100 UNIT/ML SOLN 30 ML EXTEMP,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
STERILE WATER,2,2,1,Diluent / Flush / Irrigant,"Implant/Supply, Pharmacy"
FUROSEMIDE 40 MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
DEXTROSE 5 % SOLP 250 ML BAG,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
DEXTROSE 50 % SOLN,2,2,1,Pharmacy,"Implant/Supply, Pharmacy"
ABO GROUP,2,2,1,Laboratory,"Blood, Laboratory"
TORSEMIDE 20 MG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
POTASSIUM CHLORIDE 10 MEQ/100ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PHYTONADIONE 10 MG/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
FENTANY CIT 0.1MGINJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CEFTRIAXONE 1 G SOLR,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
VANCOMYCIN IN 0.9% SODIUM CHLORIDE 1.25 GRAM/250 ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HC PRE ENDO SCHEDULE DOS LEVEL 1,2,2,1,Pharmacy,"Implant/Supply, Treatment/Observation Room"
ECHO EXAM OF HEAD,2,2,1,Radiology,"Other Imaging Services, Prof Fees"
POTASSIUM CHLORIDE 2 MEQ/ML SOLN 250 ML GLASS CONT,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
DORNAS ALPH PER MG-2.5ML INH,2,2,1,Plan Benefit,"Drugs Requiring Specific Identification, Pharmacy"
RH,2,2,1,Laboratory,"Laboratory, Pharmacy"
KETAMINE 10 MG/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PULSE OXIMTRY SINGLE,2,2,1,Monitoring,"Pulmonary Function, Respiratory Services"
HB POTASSIUM BLOOD,2,2,1,Laboratory,"Laboratory, Pharmacy"
CROSSMATCH ELECTRONIC,2,2,1,Laboratory,"Blood, Laboratory"
MVI/IRON PED,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CHOLECALCIFEROL 1000 UNI,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
GLUCOSE BLD QN,2,2,1,Laboratory,"EKG/ECG/EEG, Laboratory"
END TIDAL CO2 MONITORING,2,2,1,Monitoring,"Pulmonary Function, Respiratory Services"
CALCITRIOL 0.25 MCG CAPS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
OXYGEN 1-12 HR,2,2,1,Respiratory Therapy,"Implant/Supply, Pharmacy"
BILIRUBIN DIR,2,2,1,Laboratory,"Laboratory, Others"
NACL .9 1L IRR,2,2,1,Diluent / Flush / Irrigant,"Implant/Supply, Pharmacy"
TRAY SURGICAL,2,2,1,Supply,"Implant/Supply, OR Services"
NS 50ML,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
HB ADENOSINE 6 MG/2ML IV SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PALIVIZUMAB 50MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
3D RENDERING W/POSTPROCESS,2,2,1,Radiology,"CT Scan, Other Imaging Services"
INSULIN ASPART 100 UNIT/ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
VANCOMYCIN 1G/D5W 200ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PHENYLEPHRINE 10 MG/ML SOLN 1 ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
FENTANYL 0.05 MG/ML SOLN 2 ML VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
MORPHINE 2MG/ML INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
LIDOCAINE (PF) 1 % SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ALBUTEROL (2.5 MG/3ML) 0.083% NEBU,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
GUIDEWIRE,2,2,1,Supply,"Implant/Supply, Room & Board"
BLOOD TYPE,2,2,1,Laboratory,"Blood, Laboratory"
CEFTAZIDIME 1 G SOLR 1 EACH VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
MAGNESIUM SULFATE 2 GM/50ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SHEATH,2,2,1,Supply,"Cast/Recovery/Labor Room, Implant/Supply"
GLYCERIN (PEDIATRIC) 1.2 G SUPP,2,2,1,Supply,"Implant/Supply, Pharmacy"
CELECOXIB 200MG CAP,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HEART VALVE,2,2,1,Implant,"Implant/Supply, Laboratory"
PHENYLEPHRINE 10MG INJ.,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ALBUTEROL-IPRATROPIUM 0.5-2.5 (3) MG/3ML SOLN,2,2,1,Pharmacy,"IV Therapy, Pharmacy"
FENTANYL 100 MCG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
IRRADIATION PROCESSING,2,2,1,Blood Products,"Blood, Laboratory"
DEEP SUCTIONING,2,2,1,Respiratory Therapy,"Respiratory Services, Treatment/Observation Room"
DIPHENHYDRAMINE 50 MG CAP,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ALT,2,2,1,Laboratory,"Laboratory, Pharmacy"
HB COUMADIN 1MG TABLET,2,2,1,Pharmacy,"CT Scan, Pharmacy"
MIDAZOLAM HCL 2 MG/2ML IJ SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
D5W 100ML IVF,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
HB DEXAMETHASONE NA PO4 INJ 4MG/M,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HC BLANKET WARMING UNDERBODY ADULT,2,2,1,Supply,"Implant/Supply, Organ Acquisition"
ONDANSETRON 4MG/2ML INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CEFTRIAXONE 10 GRAM SOLR,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PIPERACILLIN-TAZO 3.375GM INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG"
ALTEPLASE 2 MG SOLR,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ONDANSETRON 4 MG/2ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ALBUMIN 25 % SOLP,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ISOSORBIDE DINITRATE 20,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CEFTRIAXONE 2 GRAM/50 ML PGBK,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
TOBRAMYCIN 40 MG/ML SOLN 30 ML VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
VASOPRESSIN IV DRIP 50U,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
VANCOMYCIN 1,2,2,1,Pharmacy,"Laboratory, Pharmacy"
SUCCINYLCHOLINE 20 MG/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
NOREPINEPHRINE 1 MG/ML SOLN 4 ML VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
AUTOMATED CBC AND AUTO WBC COUNT,2,2,1,Laboratory,"Laboratory, Pharmacy"
POTASSIUM CHLORIDE SA 20 MEQ TBCR,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
VANCOMYCIN 500 MG SOLR 1 EACH VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HC BLOOD SPEC COLLECT CENT PERIP ACCESS,2,2,1,Nursing Services,"Laboratory, Treatment/Observation Room"
BISACODYL 10MG SUPP (DULO; BISACODYL 10 MG SUPP.RECT,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
DEXTROSE 5% SOLP 100 ML BAG,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
AB SCREEN,2,2,1,Laboratory,"Blood, Laboratory"
HB CHEST 1 VIEW,2,2,1,Radiology,"Pharmacy, Radiology"
LEVETIRACETAM 100 MG/ML SOLUTION,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CHLOROTHIAZIDE 28 MG/ML SOLR 1 EACH VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
DEXTROSE 5% INJ 100ML,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
OXYCODONE-ACETAMINOPHEN 10-325 MG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CALCIUM GLUCONATE PER 10 ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CAFFEINE CITRATE 20 MG/ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
FUROSEMIDE 10 MG/ML INJECTION SOLUTION,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
KETOROLAC 15MG/ML INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
OXIMETER CONTINUOUS-DAILY,2,2,1,Monitoring,"Patient Conv Items, Pulmonary Function"
CHEST 2 VIEWS,2,2,1,Radiology,"PT/OT/Speech, Radiology"
BUMETANIDE 1 MG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
KETOROLAC 30 MG/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
LEVOTHYROXINE 50 MCG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SODIUM CHLORIDE 4 MEQ/ML IV SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
DEFINITY INJ 1 ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
DEXAMETHASONE 4 MG/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CALCIUM CARBONATE 500 MG CHEW,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
RIVAROXABAN 10 MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
GENTAMICIN 40 MG/ML SOLN 20 ML VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PNEUMOCOCCAL (13-VAL) CONJ,2,2,1,Laboratory,"Drugs Requiring Specific Identification, Pharmacy"
FIRST 1/2 HOUR GEN,2,2,1,OR / Anesthesia / Recovery Room,"Nursing, OR Services"
SODIUM CHL PER,2,2,1,Diluent / Flush / Irrigant,"Laboratory, Pharmacy"
THER EXERCISE EA 15 MIN,2,2,1,PT / OT / Speech Therapy,"PT/OT/Speech, Pharmacy"
IBUPROFEN 600 MG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PHYTONADIONE (VITAMIN K1),2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
VANCOMYCIN 5MG/ML INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PHENOBARBITAL 20 MG/5 ML E,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SYSTEM ORAL CLEANSING,2,2,1,Supply,"Implant/Supply, Pharmacy"
PERFLUTREN LIPID MICROSHERE PER 1 ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ANTITHROMBIN III 50 IU,2,2,1,Plan Benefit,"Drugs Requiring Specific Identification, Pharmacy"
ROOM E333 K,2,2,1,Room and Board,"Intensive Care, Room & Board"
LORAZEPAM PER 2 MG,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
DORNASE ALPHA 1 MG/ML SOLN 2.5 ML AMPUL,2,2,1,Plan Benefit,"Drugs Requiring Specific Identification, Pharmacy"
MIDAZOLAM 5 MG/ML SOLN 10,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ONDANSETRON HCL 1 MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CHLORHEXIDINE GLUCONATE 0.12 % MWSH,2,2,1,Supply,"Patient Conv Items, Pharmacy"
LR UP TO 1000 ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ZYVOX 600MG TABLET,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
MEROPENEM 500 MG SOLR,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
DETERM EXPIRED CO2,2,2,1,Monitoring,"Pulmonary Function, Respiratory Services"
PROPOFOL 10 MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PHENYLEPHRIN 1ML INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
MIDAZOLAM 2 MG/2ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HC CHEST 1 VIEW,2,2,1,Radiology,"Radiology, Respiratory Services"
HB ATROPINE SULFATE 1MG/ML VL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PROTAM10INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
URINALYSIS AUTO W SCOPE,2,2,1,Laboratory,"Laboratory, Radiology"
ALBUMIN HUMAN 25% 100ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ART PX BLOOD FOR DIAGNOSIS,2,2,1,Nursing Services,"Laboratory, Other Diagnostic Services"
EMBOLIZ ARTERY W IMAGE NON HEMORRHAGE,2,2,1,Radiology,"Cardiology, OR Services"
NACL .9 100 IVF,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
SENNOSIDES - DOCUSATE 8.6 - 50 MG TAB,2,2,1,Pharmacy,"IV Therapy, Pharmacy"
HYDRALAZINE 100 MG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SILDENAFIL 2.5 MG/ML SUSP,2,2,1,Plan Benefit,"Drugs Requiring Specific Identification, Pharmacy"
HC VANCOMYCIN,2,2,1,Pharmacy,"Laboratory, Outpatient Services"
HC CCU ROOM GEN,2,2,1,Room and Board,"Cast/Recovery/Labor Room, Coronary Care"
LIMB BAND ELECTRODE (SCN),2,2,1,Supply,"Implant/Supply, Pharmacy"
GLIPIZIDE 5 MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
FENTANYL CITRATE 0.1 MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
METFORMIN 500MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HB FUROSEMIDE 10MG/ML VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
FUROSEMIDE 20 MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ACETAMINOPHEN 10 MG/ML IV SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HC XR CHEST 1 VIEW,2,2,1,Radiology,"Laboratory, Radiology"
LEVETIRACETAM 250 MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
FUROSEMIDE PER 20 MG,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
MANNITOL INJ 25% 50ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
FLUCONAZOLE 2 MG/ML PGBK,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
DORNASE ALPHA 1 MG/ML SOLN,2,2,1,Plan Benefit,"Drugs Requiring Specific Identification, Pharmacy"
SODIUM CHLORIDE 0.9% SOLP 100 ML BAG,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
KETOROLAC TROMETHAMINE PER 15MG,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Organ Acquisition"
PAPAVERINE 60MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
GLYCERIN SUPP,2,2,1,Supply,"Implant/Supply, Pharmacy"
FENTANYL CITRATE 2ML,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
EQ SEQ COMPRESSOR,2,2,1,Capital Equipment,"Implant/Supply, OR Services"
SODIUM CHLORIDE 0.9 % SYRG 10 ML SYRINGE,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
LIDOCAINE 5% PATCH,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
ALBUTEROL 90 MCG/ACTUATION,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
REPLACE TUNNELED CV CATH,2,2,1,Procedure,"OR Services, Radiology"
LIDOCAINE PER 10 MG,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
GUAIFENESIN 600 MG TB12,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PHYTONADIONE 10 MG/ML SOLN 1 ML AMPUL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
QUETIAPINE 300MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
TRIMETHOPRIM-SULFAMETHOXAZ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HC CULT/COLONY COUNT QUANT URINE,2,2,1,Laboratory,"Laboratory, Organ Acquisition"
CEFTAZIDIME 2 G SOLR 1 EACH VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HEPARIN PER 10U-30 SYRNG,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
POTASSIUM CHLORIDE 20 MEQ/15ML (10%),2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PIPERACILLIN / TAZOBACTAM,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
LANSOPRAZOLE 30MG SOLUTAB,2,2,1,Pharmacy,"IV Therapy, Pharmacy"
SOD CHLORIDE 0.9% 10ML SYRINGE; SODIUM CHLORIDE 0.9% FLUSH 10 ML SY,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
HB OCCUPATIONAL THERAPY EV,2,2,1,PT / OT / Speech Therapy,"PT/OT/Speech, Pharmacy"
BLOOD GAS SAMPLING ARTERIAL,2,2,1,Nursing Services,"Laboratory, OR Services"
HB MAJOR SURGERY ADD 15 MIN,2,2,1,OR / Anesthesia / Recovery Room,"OR Services, Radiology"
ACETAMINOPHEN TAB 325MG U,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
FLUOROGUIDE FOR VEIN DEVICE,2,2,1,Radiology,"Prof Fees, Radiology"
ALBUMIN HUMAN 5% 250ML IV,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SERTRALINE 50 MG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
