Original Description,Normalized Description,Charge Class,Flag,Feature 1,Feature 2,Feature 3,Feature 4
FOLIC ACID 1 MG TABS,folic acid 1_mg tablets,Pharmacy,RETROSPECTIVE,1_mg,acid,tablets,folic
POTASSIUM ONLY,potassium only,Laboratory,RETROSPECTIVE,potassium,,,
POTASSIUM PLASMA,potassium plasma,Laboratory,RETROSPECTIVE,potassium,plasma,,
POTASSIUM SERU,potassium serum,Laboratory,RETROSPECTIVE,potassium,serum,,
POTASSIUM SERUM,potassium serum,Laboratory,RETROSPECTIVE,potassium,serum,,
POTASSIUM SERUM/ PLASMA/ BLOOD,potassium serum/plasma/blood,Laboratory,RETROSPECTIVE,serum,potassium,blood,
POTASSIUM WB ASSAY,potassium whole_blood assay,Laboratory,RETROSPECTIVE,potassium,assay,WB,
POTASSIUM WHOLE BLOOD (BC),potassium whole blood blood_cells,Laboratory,RETROSPECTIVE,potassium,whole,blood,BC
POTASSIUM-ICU (BLOOD),potassium intensive_care_unit blood,Laboratory,RETROSPECTIVE,potassium,ICU,blood,
POTASSIUM/K  B,potassium/potassium b,Laboratory,RETROSPECTIVE,potassium,potassium,b,
POTASSIUM; SERUM,potassium serum,Laboratory,RETROSPECTIVE,potassium,serum,,
QLAB=CALCIUM IONIZED,qlab calcium ionized,Laboratory,RETROSPECTIVE,calcium,qlab,ionized,
QLAB=SODIUM,qlab sodium,Laboratory,RETROSPECTIVE,qlab,sodium,,
RCH LAB-WHOLE BLOOD GLUCOS,laboratory whole blood glucose,Laboratory,RETROSPECTIVE,laboratory,whole,blood,glucose
RCH LAB-WHOLE BLOOD IONIZE,laboratory whole blood ionized,Laboratory,RETROSPECTIVE,laboratory,ionized,whole,blood
RCH LAB-WHOLE BLOOD IONIZED CA,laboratory whole blood ionized calcium,Laboratory,RETROSPECTIVE,laboratory,ionized,whole,blood
RCH LAB-WHOLE BLOOD LACTIC ACID,laboratory whole blood lactic acid,Laboratory,RETROSPECTIVE,laboratory,acid,whole,blood
RCH LAB-WHOLE BLOOD POTASS,laboratory whole blood potassium,Laboratory,RETROSPECTIVE,laboratory,potassium,whole,blood
RCH LAB-WHOLE BLOOD POTASSIUM,laboratory whole blood potassium,Laboratory,RETROSPECTIVE,laboratory,potassium,whole,blood
RESUS CALCIUM IONIZED,resuscitation calcium ionized,Laboratory,RETROSPECTIVE,calcium,ionized,resuscitation,
BASIC METABOLIC PANEL,basic metabolic panel,Laboratory,RETROSPECTIVE,metabolic,panel,basic,
SODIUM  SERUM  PLASMA  WHOLE BLD,sodium serum plasma whole blood,Laboratory,RETROSPECTIVE,whole,blood,plasma,serum
SODIUM  WHOLE BLOOD (BC),sodium whole blood blood_cells,Laboratory,RETROSPECTIVE,BC,whole,blood,sodium
SODIUM BLD,sodium blood,Laboratory,RETROSPECTIVE,blood,sodium,,
SODIUM C,sodium cap,Laboratory,RETROSPECTIVE,c,sodium,,
SODIUM NA BLOOD,sodium sodium blood,Laboratory,RETROSPECTIVE,blood,sodium,,
SODIUM SERUM,sodium serum,Laboratory,RETROSPECTIVE,serum,sodium,,
SODIUM WB ASSAY,sodium whole_blood assay,Laboratory,RETROSPECTIVE,WB,assay,sodium,
SODIUM WHOLE BLOOD (BC),sodium whole blood blood_cells,Laboratory,RETROSPECTIVE,BC,whole,blood,sodium
SODIUM-ICU (BLOOD),sodium intensive_care_unit blood,Laboratory,RETROSPECTIVE,ICU,blood,sodium,
TC LACTATE WHOLE BLOOD,lactate whole blood,Laboratory,RETROSPECTIVE,whole,blood,lactate,
UREA NITROGEN BLOOD BUN,urea nitrogen blood blood_urea_nitrogen,Laboratory,RETROSPECTIVE,BUN,urea,blood,nitrogen
UREA NITROGEN QUANTITATIVE,urea nitrogen quantitative,Laboratory,RETROSPECTIVE,quantitative,urea,nitrogen,
WHOLE BLOOD GLUCOSE,whole blood glucose,Laboratory,RETROSPECTIVE,whole,blood,glucose,
WHOLE BLOOD GLUCOSE NT,whole blood glucose nt,Laboratory,RETROSPECTIVE,nt,whole,blood,glucose
WHOLE BLOOD POTASSIUM,whole blood potassium,Laboratory,RETROSPECTIVE,potassium,whole,blood,
*GLUCOSE METER TEST,glucose meter test,Monitoring,RETROSPECTIVE,test,meter,glucose,
17122771-HB OXIMETRY DAILY,hemoglobin oximetry daily,Monitoring,RETROSPECTIVE,oximetry,daily,,
80000012-HC GLUCOSE BLD BY MONITOR DEVICE,hc glucose blood by monitor device,Monitoring,RETROSPECTIVE,device,bay,monitor,blood
86211984-HB GLUCOSE METER BLOOD,hemoglobin glucose meter blood,Monitoring,RETROSPECTIVE,blood,meter,glucose,
ACCUCHECK,accucheck,Monitoring,RETROSPECTIVE,accucheck,,,
ACCUCHECK  SINGLE,accucheck single,Monitoring,RETROSPECTIVE,single,accucheck,,
BEDSIDE GLUCOSE MONITORING,bedside glucose monitoring,Monitoring,RETROSPECTIVE,bedside,monitoring,glucose,
BEDSIDE POC GLUCOSE,bedside point_of_care glucose,Monitoring,RETROSPECTIVE,glucose,bedside,POC,
BGAS CAL O2 SAT,bgas calorie oxygen saturation,Monitoring,RETROSPECTIVE,bgas,calorie,saturation,oxygen
BLD GLUCOSE (ACCU-CHEK),blood glucose accu check,Monitoring,RETROSPECTIVE,accu,check,blood,glucose
BLOOD GLUCOSE (POC) BY DEVICE,blood glucose point_of_care by device,Monitoring,RETROSPECTIVE,device,bay,POC,blood
BLOOD GLUCOSE MONITORING,blood glucose monitoring,Monitoring,RETROSPECTIVE,monitoring,blood,glucose,
C POCT-GLUCOSE BY MONITORING DEVICE,point_of_care_testing glucose by monitoring device,Monitoring,RETROSPECTIVE,device,POCT,bay,monitoring
CC GLUCOSE BLOOD CHECK,cubic_centimeters glucose blood check,Monitoring,RETROSPECTIVE,check,glucose,blood,cc
CEREBRAL OXIMETER  D,cerebral oximeter daily,Monitoring,RETROSPECTIVE,cerebral,oximeter,dipped,
CHG GLUCOSE BLOOD BY MONITORING DEV,glucose blood by monitoring device,Monitoring,RETROSPECTIVE,device,bay,monitoring,blood
CHG-BLOOD GLUCOSE BY MONIT,blood glucose by monitoring,Monitoring,RETROSPECTIVE,bay,monitoring,blood,glucose
CO2 MONITOR (D,carbon_dioxide monitoring device,Monitoring,RETROSPECTIVE,dipped,CO2,monitor,
CONT OXIMETRY,continuous oximetry,Monitoring,RETROSPECTIVE,oximetry,continuous,,
CONT OXIMETRY MONITORING,continuous oximetry monitoring,Monitoring,RETROSPECTIVE,oximetry,continuous,monitoring,
DETERM EXPIRED CO2,determination expired carbon_dioxide,Monitoring,RETROSPECTIVE,expired,determination,CO2,
END TIDAL C02,end tidal carbon_dioxide,Monitoring,RETROSPECTIVE,tidal,end,CO2,
END-TITAL C02 MONITORING,end tidal carbon_dioxide monitoring,Monitoring,RETROSPECTIVE,tidal,monitoring,end,CO2
ETCO2 SPOT CHECK-EACH >3 C,end_tidal_carbon_di_oxide spot check each greater_than 3 cap,Monitoring,RETROSPECTIVE,spot,check,,
FINGERSTICK GLU,fingerstick glucose,Monitoring,RETROSPECTIVE,fingerstick,glucose,,
GEM GLUCOSE,glucagon_emergency_management glucose,Monitoring,RETROSPECTIVE,GEM,glucose,,
GEM IONIZED CALCIUM,glucagon_emergency_management ionized calcium,Monitoring,RETROSPECTIVE,calcium,ionized,GEM,
GLU  HOME USE DIAGNOS,glucose home use diagnostic,Monitoring,RETROSPECTIVE,home,use,diagnostic,glucose
GLU HOME USE DIAGNOS,glucose home use diagnostic,Monitoring,RETROSPECTIVE,home,use,diagnostic,glucose
GLUC BLD MNT DV,glucose blood monitoring device,Monitoring,RETROSPECTIVE,device,monitoring,blood,glucose
GLUCOMETER GLUCOSE,glucometer glucose,Monitoring,RETROSPECTIVE,glucometer,glucose,,
GLUCOMETER GLUCOSE LEVEL,glucometer glucose level,Monitoring,RETROSPECTIVE,level,glucometer,glucose,
GLUCOSE  BLD BY MONITOR DEVICE,glucose blood by monitor device,Monitoring,RETROSPECTIVE,device,bay,monitor,blood
GLUCOSE  BLOOD BY GMD,glucose blood by glucose_monitioring_device,Monitoring,RETROSPECTIVE,GMD,bay,blood,glucose
GLUCOSE  BLOOD BY MONITORING D,glucose blood by monitoring device,Monitoring,RETROSPECTIVE,dipped,bay,monitoring,blood
GLUCOSE  BLOOD GLUCOSE MONITORING,glucose blood glucose monitoring,Monitoring,RETROSPECTIVE,monitoring,blood,glucose,
GLUCOSE  BLOOD METER ASSA,glucose blood meter assay,Monitoring,RETROSPECTIVE,assa,blood,meter,glucose
GLUCOSE  BLOOD MONIT DEVICE,glucose blood monitoring device,Monitoring,RETROSPECTIVE,device,monitoring,blood,glucose
GLUCOSE  FINGERSTICK,glucose fingerstick,Monitoring,RETROSPECTIVE,fingerstick,glucose,,
GLUCOSE  GLUCOMETER,glucose glucometer,Monitoring,RETROSPECTIVE,glucometer,glucose,,
GLUCOSE  HOME USE DEV,glucose home use device,Monitoring,RETROSPECTIVE,device,home,use,glucose
GLUCOSE  POC,glucose point_of_care,Monitoring,RETROSPECTIVE,POC,glucose,,
GLUCOSE  POINT OF CARE,glucose point of care,Monitoring,RETROSPECTIVE,point,care,glucose,
GLUCOSE  QUANTITATIVE  POC,glucose quantitative point_of_care,Monitoring,RETROSPECTIVE,quantitative,POC,glucose,
GLUCOSE  REAGENT STRIP,glucose reagent strip,Supply,RETROSPECTIVE,reagent,strip,glucose,
GLUCOSE  WHOLE BLOOD-POC,glucose whole blood point_of_care,Monitoring,RETROSPECTIVE,POC,whole,blood,glucose
GLUCOSE (ACCUCHECK),glucose accucheck,Monitoring,RETROSPECTIVE,accucheck,glucose,,
GLUCOSE - POINT OF CARE,glucose point of care,Monitoring,RETROSPECTIVE,point,care,glucose,
GLUCOSE BEDSIDE MONIT,glucose bedside monitoring,Monitoring,RETROSPECTIVE,bedside,monitoring,glucose,
GLUCOSE BLD BY MONITOR DEVICE,glucose blood by monitor device,Monitoring,RETROSPECTIVE,device,bay,monitor,blood
GLUCOSE BLD METER,glucose blood meter,Monitoring,RETROSPECTIVE,blood,meter,glucose,
GLUCOSE BLD QN POC,glucose blood quantitative point_of_care,Monitoring,RETROSPECTIVE,quantitative,POC,blood,glucose
GLUCOSE BLOOD (STICK TEST),glucose blood stick test,Monitoring,RETROSPECTIVE,test,blood,stick,glucose
GLUCOSE BLOOD BY GLU MONITOR,glucose blood by glucose monitoring,Monitoring,RETROSPECTIVE,bay,monitor,blood,glucose
GLUCOSE BLOOD BY GMD,glucose blood by glucose_monitioring_device,Monitoring,RETROSPECTIVE,GMD,bay,blood,glucose
GLUCOSE BLOOD GLUCOSE MONITORING,glucose blood glucose monitoring,Monitoring,RETROSPECTIVE,monitoring,blood,glucose,
GLUCOSE BLOOD STAT ICU,glucose blood stat intensive_care_unit,Monitoring,RETROSPECTIVE,stat,ICU,blood,glucose
GLUCOSE BY DEVICE,glucose by device,Monitoring,RETROSPECTIVE,device,bay,glucose,
GLUCOSE BY GMD,glucose by glucose_monitioring_device,Monitoring,RETROSPECTIVE,bay,GMD,glucose,
GLUCOSE BY METER POCGLU,glucose by meter point_of_care_glucose,Monitoring,RETROSPECTIVE,POCGLU,bay,meter,glucose
GLUCOSE BY MONITORING DEVICE,glucose by monitoring device,Monitoring,RETROSPECTIVE,device,bay,monitoring,glucose
GLUCOSE BY REAGENT STRIP,glucose by reagent strip,Monitoring,RETROSPECTIVE,strip,reagent,bay,glucose
GLUCOSE FINGERSTICK,glucose fingerstick,Monitoring,RETROSPECTIVE,fingerstick,glucose,,
GLUCOSE GLUCOMET,glucose glucometer,Monitoring,RETROSPECTIVE,glucometer,glucose,,
GLUCOSE HOME USE MONITORING,glucose home use monitoring,Monitoring,RETROSPECTIVE,home,use,monitoring,glucose
GLUCOSE METER BLOOD,glucose meter blood,Monitoring,RETROSPECTIVE,blood,meter,glucose,
GLUCOSE METER F,glucose meter follow,Monitoring,RETROSPECTIVE,f,meter,glucose,
GLUCOSE MONITOR,glucose monitoring,Monitoring,RETROSPECTIVE,monitor,glucose,,
GLUCOSE POC ACCUCHEK,glucose point_of_care accucheck,Monitoring,RETROSPECTIVE,POC,accucheck,glucose,
GLUCOSE POC NOVA,glucose point_of_care nova,Monitoring,RETROSPECTIVE,POC,nova,glucose,
GLUCOSE POINT OF CARE NU,glucose point of care nursing,Monitoring,RETROSPECTIVE,point,nursing,care,glucose
GLUCOSE POINT OF CARE P,glucose point of care powder,Monitoring,RETROSPECTIVE,p,point,care,glucose
GLUCOSE POINT OF CARE P28620239,glucose point of care p28620239,Monitoring,RETROSPECTIVE,point,p28620239,care,glucose
GLUCOSE POINT OF CARE.,glucose point of care,Monitoring,RETROSPECTIVE,care.,point,glucose,
GLUCOSE REAGENT STRIP BLD,glucose reagent strip blood,Supply,RETROSPECTIVE,reagent,strip,blood,glucose
GLUCOSE-BLD BY MONITOR DEVICE,glucose blood by monitor device,Monitoring,RETROSPECTIVE,device,bay,monitor,blood
GLUCOSE-BLOOD MONITORING DEVIC,glucose blood monitoring device,Monitoring,RETROSPECTIVE,device,monitoring,blood,glucose
GLUCOSE-GLUCOM POC (NURS),glucose glucometer point_of_care nursing,Monitoring,RETROSPECTIVE,nursing,POC,glucometer,glucose
GLUCOSE-METER,glucose meter,Monitoring,RETROSPECTIVE,meter,glucose,,
GLUCOSE; BLOOD REAGENT STRIP,glucose blood reagent strip,Supply,RETROSPECTIVE,reagent,strip,blood,glucose
HB ACCUCHECK-RAPID GLUCOSE ,accucheck rapid glucose,Monitoring,RETROSPECTIVE,rapid,accucheck,glucose,
HB ACCUCHECKS-RAPID GLUCOSE,accuchecks rapid glucose,Monitoring,RETROSPECTIVE,rapid,accuchecks,glucose,
HB GLUCOSE  BLOOD  REAG ST,glucose blood reagent strip,Supply,RETROSPECTIVE,reagent,strip,blood,glucose
HB GLUCOSE BY METER,glucose by meter,Monitoring,RETROSPECTIVE,bay,meter,glucose,
HB GLUCOSE BY MONITORING D,glucose by monitoring device,Monitoring,RETROSPECTIVE,dipped,bay,monitoring,glucose
HB GLUCOSE METER BLOOD,glucose meter blood,Monitoring,RETROSPECTIVE,blood,meter,glucose,
HB GLUCOSE POC  FDA APPV M,glucose point_of_care food_and_drug_administration approved m,Monitoring,RETROSPECTIVE,FDA,appv,POC,glucose
HB GLUCOSE POC FDA APPV M,glucose point_of_care food_and_drug_administration approved m,Monitoring,RETROSPECTIVE,FDA,appv,POC,glucose
HB OXIMETRY,oximetry,Monitoring,RETROSPECTIVE,oximetry,,,
HB OXIMETRY  CONTINUOUS,oximetry continuous,Monitoring,RETROSPECTIVE,continuous,oximetry,,
HB OXIMETRY  CONTINUOUS OVERNIGHT,oximetry continuous overnight,Monitoring,RETROSPECTIVE,continuous,oximetry,overnight,
HB OXIMETRY CONTINUOUS OVERNIGHT,oximetry continuous overnight,Monitoring,RETROSPECTIVE,continuous,oximetry,overnight,
HB OXIMETRY SPOT CHECK  MULTIPLE,oximetry spot check multiple,Monitoring,RETROSPECTIVE,multiple,oximetry,spot,check
HB POC GLUCOSE - METER M,point_of_care glucose meter m,Monitoring,RETROSPECTIVE,POC,meter,glucose,
HB POC IONIZED CALCIUM,point_of_care ionized calcium,Monitoring,RETROSPECTIVE,calcium,ionized,POC,
HB POC POTASSIUM,point_of_care potassium,Monitoring,RETROSPECTIVE,potassium,POC,,
HB POC SODIUM,point_of_care sodium,Monitoring,RETROSPECTIVE,POC,sodium,,
HB-GLUCOSE  POC,glucose point_of_care,Monitoring,RETROSPECTIVE,POC,glucose,,
HBOL GLUCOSE  BLD BY MONIT,glucose blood by monitoring,Monitoring,RETROSPECTIVE,bay,monitoring,blood,glucose
HBOL GLUCOSE  MONITORING DE,glucose monitoring device,Monitoring,RETROSPECTIVE,device,monitoring,glucose,
HBOL GLUCOSE MONITORING DE,glucose monitoring device,Monitoring,RETROSPECTIVE,device,monitoring,glucose,
HBOL GLUCOSE; BLD BY MONIT,glucose blood by monitoring,Monitoring,RETROSPECTIVE,bay,monitoring,blood,glucose
HC ACCUCHE CK (POC),accucheck creatinine_kinase point_of_care,Monitoring,RETROSPECTIVE,POC,accucheck,cack,
HC ACCUCHECK,accucheck,Monitoring,RETROSPECTIVE,accucheck,,,
HC CHEM-POC GLUCOSE,chemistry point_of_care glucose,Monitoring,RETROSPECTIVE,glucose,chemistry,POC,
HC GLUCOSE  POC,glucose point_of_care,Monitoring,RETROSPECTIVE,POC,glucose,,
HC GLUCOSE  POC 91,glucose point_of_care 91,Monitoring,RETROSPECTIVE,POC,glucose,,
HC GLUCOSE  QT BY METER FOR,glucose quantitative by meter for,Monitoring,RETROSPECTIVE,quantitative,bay,meter,glucose
HC GLUCOSE BLD BY MONITOR DEVICE POC,glucose blood by monitor device point_of_care,Monitoring,RETROSPECTIVE,monitor,bay,blood,device
HC GLUCOSE POC,glucose point_of_care,Monitoring,RETROSPECTIVE,POC,glucose,,
HC GLUCOSE POINT OF CARE,glucose point of care,Monitoring,RETROSPECTIVE,point,care,glucose,
GLUCOSE BEDSIDE MONITORING,glucose bedside monitoring,Monitoring,RETROSPECTIVE,bedside,monitoring,glucose,
HC HEMATOCRIT POC,hematocrit point_of_care,Monitoring,RETROSPECTIVE,hematocrit,POC,,
HC IONIZED CA  POC,ionized calcium point_of_care,Monitoring,RETROSPECTIVE,calcium,ionized,POC,
HC POC BLOOD GLUCOSE/REAGE,point_of_care blood glucose/reagent,Monitoring,RETROSPECTIVE,POC,blood,glucose,rakeage
HC POC LACTIC ACID,point_of_care lactic acid,Monitoring,RETROSPECTIVE,POC,acid,lactic,
HC POC LIFESCAN GLUCOSE,point_of_care lifescan glucose,Monitoring,RETROSPECTIVE,POC,lifescan,glucose,
HC POTASSIUM  POC,potassium point_of_care,Monitoring,RETROSPECTIVE,potassium,POC,,
HC PULSE OXIMETRY MULT DETERMINAT,pulse oximetry multiple determinations,Monitoring,RETROSPECTIVE,oximetry,multiple,determinations,pulse
HC SODIUM  POC,sodium point_of_care,Monitoring,RETROSPECTIVE,POC,sodium,,
HC SODIUM POC,sodium point_of_care,Monitoring,RETROSPECTIVE,POC,sodium,,
HC STRIP BLOOD GLUCOSE TEST PCX PLUS -ICU,strip blood glucose test precision plus intensive_care_unit,Monitoring,RETROSPECTIVE,precision,plus,blood,strip
HC- GLUCOSE FOR GLUCOMETER,glucose for glucometer,Monitoring,RETROSPECTIVE,glucometer,glucose,,
HC-LAB-GLUCOSE BLD MNTR DVICE,laboratory glucose blood monitor device,Monitoring,RETROSPECTIVE,laboratory,mndvice,blood,glucose
HC-LAB-GLUCOSE BLOOD MONITOR DEVICE,laboratory glucose blood monitor device,Monitoring,RETROSPECTIVE,device,laboratory,monitor,blood
HC-OXIMETRY-CONT MONITORING,oximetry continuous monitoring,Monitoring,RETROSPECTIVE,continuous,oximetry,monitoring,
HCHG POC POTASSIUM,point_of_care potassium,Monitoring,RETROSPECTIVE,potassium,POC,,
HEMATOCRIT POC,hematocrit point_of_care,Monitoring,RETROSPECTIVE,hematocrit,POC,,
HEMOGLOBIN  POC,hemoglobin point_of_care,Monitoring,RETROSPECTIVE,hemoglobin,POC,,
I STAT GLUCOSE (PICU,i stat glucose pediatric_intensive_care_unit,Monitoring,RETROSPECTIVE,stat,pediatric_intensive_care_unit,glucose,
I STAT HCT (PICU),i stat hematocrit pediatric_intensive_care_unit,Monitoring,RETROSPECTIVE,stat,hematocrit,pediatric_intensive_care_unit,
I STAT ION CA (PICU),i stat ionized calcium pediatric_intensive_care_unit,Monitoring,RETROSPECTIVE,calcium,stat,ionized,pediatric_intensive_care_unit
I STAT K (PICU),i stat potassium pediatric_intensive_care_unit,Monitoring,RETROSPECTIVE,stat,potassium,pediatric_intensive_care_unit,
I STAT NA (PICU),i stat sodium pediatric_intensive_care_unit,Monitoring,RETROSPECTIVE,stat,pediatric_intensive_care_unit,sodium,
I-STAT CALCIUM IONIZED,i stat calcium ionized,Monitoring,RETROSPECTIVE,calcium,stat,ionized,
I-STAT GLUCOSE,i stat glucose,Monitoring,RETROSPECTIVE,stat,glucose,,
I-STAT HEMATOCRIT,i stat hematocrit,Monitoring,RETROSPECTIVE,stat,hematocrit,,
I-STAT IONIZED CALCI,i stat ionized calcium,Monitoring,RETROSPECTIVE,calcium,stat,ionized,
ICU PULSE OXIMETRY/HALF DAY,intensive_care_unit pulse oximetry/half day,Monitoring,RETROSPECTIVE,oximetry,half,ICU,day
INFORM GLUCOSE POC,inform glucose point_of_care,Monitoring,RETROSPECTIVE,inform,POC,glucose,
IONIZED CALCIUM  POCT,ionized calcium point_of_care_testing,Monitoring,RETROSPECTIVE,calcium,POCT,ionized,
IONIZED CALCIUM POCT,ionized calcium point_of_care_testing,Monitoring,RETROSPECTIVE,calcium,POCT,ionized,
K ISTAT,potassium istat,Monitoring,RETROSPECTIVE,potassium,istat,,
LABORATORY-CHEMISTRY CALCIUM IONIZED ISTAT,laboratory chemistry calcium ionized istat,Monitoring,RETROSPECTIVE,laboratory,ionized,chemistry,istat
LACTATE  POCT,lactate point_of_care_testing,Monitoring,RETROSPECTIVE,POCT,lactate,,
LACTATE (LACTIC ACID) POCT,lactate lactic acid point_of_care_testing,Monitoring,RETROSPECTIVE,POCT,acid,lactic,lactate
LACTIC ACID ISTAT,lactic acid istat,Monitoring,RETROSPECTIVE,acid,istat,lactic,
MONITORING CARDIO/RESP/OXIM,monitoring cardio/respiratory/oximetry,Monitoring,RETROSPECTIVE,cardio,respiratory,oximetry,monitoring
MULTIPLE PULSE OXIMETRY,multiple pulse oximetry,Monitoring,RETROSPECTIVE,oximetry,multiple,pulse,
O2 SAT MULTIPLE DETERIMI,oxygen saturation multiple determination,Monitoring,RETROSPECTIVE,determination,saturation,multiple,oxygen
O2 SATUR OXIMETRY S,oxygen saturation oximetry sigma,Monitoring,RETROSPECTIVE,saturation,oximetry,oxygen,
O2 SATURATION DIRECT,oxygen saturation direct,Monitoring,RETROSPECTIVE,saturation,direct,oxygen,
OXIMETER CONTINUOUS-DAILY,oximeter continuous daily,Monitoring,RETROSPECTIVE,oximeter,continuous,daily,
OXIMETER PER DAY,oximeter per day,Monitoring,RETROSPECTIVE,oximeter,day,per,
OXIMETRY,oximetry,Monitoring,RETROSPECTIVE,oximetry,,,
OXIMETRY CONTI,oximetry continuous,Monitoring,RETROSPECTIVE,continuous,oximetry,,
OXIMETRY CONTINUOUS  1-24 HOURS,oximetry continuous 1 24 hours,Monitoring,RETROSPECTIVE,hours,continuous,oximetry,
OXIMETRY CONTINUOUS MONITORING,oximetry continuous monitoring,Monitoring,RETROSPECTIVE,continuous,oximetry,monitoring,
OXIMETRY MULTIPLE,oximetry multiple,Monitoring,RETROSPECTIVE,oximetry,multiple,,
OXIMETRY-CONT MONITORING,oximetry continuous monitoring,Monitoring,RETROSPECTIVE,continuous,oximetry,monitoring,
P-OX SINGLE CHK,powder oximetry single check,Monitoring,RETROSPECTIVE,p,single,oximetry,check
PCT OXYGEN SATURATION VENOUS,point_of_care_test oxygen saturation venous,Monitoring,RETROSPECTIVE,venous,saturation,point_of_care_test,oxygen
POC HEMATOCRIT,point_of_care hematocrit,Monitoring,RETROSPECTIVE,hematocrit,POC,,
POC IONIZED CALCIUM,point_of_care ionized calcium,Monitoring,RETROSPECTIVE,calcium,ionized,POC,
POC-GLUCOSE,point_of_care glucose,Monitoring,RETROSPECTIVE,POC,glucose,,
POC-GLUCOSE  BLOOD,point_of_care glucose blood,Monitoring,RETROSPECTIVE,POC,blood,glucose,
POC-GLUCOSE BLOOD MONITOR,point_of_care glucose blood monitor,Monitoring,RETROSPECTIVE,POC,monitor,blood,glucose
POC-GLUCOSE-GEM,point_of_care glucose glucagon_emergency_management,Monitoring,RETROSPECTIVE,POC,GEM,glucose,
POC-HEMATOCRIT (HCT) GEM,point_of_care hematocrit hematocrit glucagon_emergency_management,Monitoring,RETROSPECTIVE,hematocrit,POC,GEM,
POC-IONIZED CALCIUM (ICA) GEM,point_of_care ionized calcium internal_carotid_artery glucagon_emergency_management,Monitoring,RETROSPECTIVE,calcium,ionized,POC,GEM
POC-LACTATE-GEM,point_of_care lactate glucagon_emergency_management,Monitoring,RETROSPECTIVE,POC,GEM,lactate,
POC-POTASSIUM (K) GEM,point_of_care potassium potassium glucagon_emergency_management,Monitoring,RETROSPECTIVE,potassium,POC,GEM,
POC-SODIUM (NA) GEM,point_of_care sodium sodium glucagon_emergency_management,Monitoring,RETROSPECTIVE,POC,GEM,sodium,
POCT  GLUCOSE (METER),point_of_care_testing glucose meter,Monitoring,RETROSPECTIVE,POCT,meter,glucose,
POCT CALCIUM IONIZED,point_of_care_testing calcium ionized,Monitoring,RETROSPECTIVE,calcium,POCT,ionized,
POCT GLUCOSE (METER),point_of_care_testing glucose meter,Monitoring,RETROSPECTIVE,POCT,meter,glucose,
POCT GLUCOSE METER,point_of_care_testing glucose meter,Monitoring,RETROSPECTIVE,POCT,meter,glucose,
POCT HEMATOCRIT,point_of_care_testing hematocrit,Monitoring,RETROSPECTIVE,POCT,hematocrit,,
POCT LACTATE,point_of_care_testing lactate,Monitoring,RETROSPECTIVE,POCT,lactate,,
POCT POTASSIUM,point_of_care_testing potassium,Monitoring,RETROSPECTIVE,POCT,potassium,,
POINT OF CARE GLUCOSE,point of care glucose,Monitoring,RETROSPECTIVE,glucose,care,point,
POTASSIUM  POC,potassium point_of_care,Monitoring,RETROSPECTIVE,potassium,POC,,
POTASSIUM POC,potassium point_of_care,Monitoring,RETROSPECTIVE,potassium,POC,,
PULSE OX  CONTINUOUS NEONATAL,pulse oximetry continuous neonatal,Monitoring,RETROSPECTIVE,neonatal,continuous,oximetry,pulse
PULSE OX (CONT) PER DAY,pulse oximetry continuous per day,Monitoring,RETROSPECTIVE,continuous,oximetry,per,pulse
PULSE OX (CONTINUOUS) P,pulse oximetry continuous powder,Monitoring,RETROSPECTIVE,p,continuous,oximetry,pulse
PULSE OX CONTINUOUS OVERNIGHT,pulse oximetry continuous overnight,Monitoring,RETROSPECTIVE,continuous,oximetry,overnight,pulse
PULSE OX CONTINUOUS PER DAY,pulse oximetry continuous per day,Monitoring,RETROSPECTIVE,continuous,oximetry,per,pulse
PULSE OX DAILY,pulse oximetry daily,Monitoring,RETROSPECTIVE,oximetry,daily,pulse,
PULSE OX DAILY SINGLE READING,pulse oximetry daily single reading,Monitoring,RETROSPECTIVE,single,oximetry,daily,pulse
PULSE OX HOURLY,pulse oximetry hourly,Monitoring,RETROSPECTIVE,hourly,oximetry,pulse,
PULSE OX MAX N,pulse oximetry maxi n,Monitoring,RETROSPECTIVE,max,oximetry,pulse,n
PULSE OX MULTIP,pulse oximetry multiple,Monitoring,RETROSPECTIVE,oximetry,multiple,pulse,
PULSE OX SIN,pulse oximetry single,Monitoring,RETROSPECTIVE,single,oximetry,pulse,
PULSE OX SINGLE,pulse oximetry single,Monitoring,RETROSPECTIVE,single,oximetry,pulse,
PULSE OX SPOT CHECK EACH,pulse oximetry spot check each,Monitoring,RETROSPECTIVE,oximetry,spot,check,pulse
PULSE OX-CONTINUOUS,pulse oximetry continuous,Monitoring,RETROSPECTIVE,continuous,oximetry,pulse,
PULSE OXIMETER  DAILY,pulse oximeter daily,Monitoring,RETROSPECTIVE,oximeter,daily,pulse,
PULSE OXIMETER CHECK,pulse oximeter check,Monitoring,RETROSPECTIVE,oximeter,check,pulse,
PULSE OXIMETRY CONT,pulse oximetry continuous,Monitoring,RETROSPECTIVE,continuous,oximetry,pulse,
PULSE OXIMETRY CONTINUOUS,pulse oximetry continuous,Monitoring,RETROSPECTIVE,continuous,oximetry,pulse,
PULSE OXIMETRY MULTIPL,pulse oximetry multiple,Monitoring,RETROSPECTIVE,oximetry,multiple,pulse,
