ORIG_DESC,NORM_DESC_pred,CHRG_CLS_actual,CHRG_CLS_pred,CONF_SCORE,Match_Voted
GUAIFENESIN 20MG/ML 10ML,guaifenesin 20_mg/ml 10_ml,Pharmacy,Pharmacy,0.85,1
H CONDITIONER SKIN ALOE VESTA 4 OZ,conditioner skin aloe vesta 4 ounce,Supply,Supply,0.93,1
H RT OXYGEN PER DAY,respiratory_therapy oxygen per day,Respiratory Therapy,Respiratory Therapy,0.93,1
HAEMOPHILUS B CONJUGATE VA,haemophilus b conjugate vaccine,Pharmacy,Pharmacy,0.86,1
HB ANES MATERIALS ADD'L 15 MIN,anesthesia materials additional 15 minutes,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.9,1
HB BAG DRAIN BECKER 700ML CSF EXT,bag drain becker 700_ml cerebrospinal_fluid extension,Supply,Supply,0.89,1
HB BASIC METABOLIC PANEL,basic metabolic panel,Laboratory,Laboratory,0.93,1
HB BLOOD GASES,blood gases,Laboratory,Laboratory,0.91,1
HB CNSLT SURGERY W/ FRZN SECT,cnslt surgery w frzn sect,Laboratory,Professional Fee,0.94,0
HB DEXAMETRASONE NA P04 INJ 4MG/M,dexametrasone sodium p04 injection 4_mg/m,Pharmacy,Pharmacy,0.98,1
HB DIPHENHYDRAMINE HCL 50MG/ML 1M,diphenhydramine hcl 50_mg/ml 1m,Pharmacy,Pharmacy,0.89,1
HB DRESSING TRNS TGDRM L4.75INXW4,dressing transparent tegaderm l4.75inxw4,Supply,Supply,0.95,1
HB GENTAMICIN 40MG/ML VIAL,gentamicin 40_mg/ml vial,Pharmacy,Pharmacy,0.88,1
HB GLYCERIN (PEDIATRIC) 1.2 GM RE SUPP,glycerin pediatric 1.2_gm re suppository,Supply,Supply,0.94,1
HB GRAM STAIN,gram stain,Laboratory,Laboratory,0.94,1
HB HYDROXYZTNE HCL 25MG TAB UD U,hydroxyztne hcl 25_mg tablet ud up,Pharmacy,Pharmacy,0.91,1
HB INTRODUCER PICC 3 FR 20GA SAFETY,introducer peripherally_inserted_central_catheter 3 free 20ga safety,Supply,Supply,0.89,1
HB IONIZED CALCIUM,ionized calcium,Laboratory,Laboratory,0.96,1
HB LACTATED RINGERS SOL 1000ML A,lactated ringers solution 1000_ml a,Pharmacy,Pharmacy,0.95,1
HB MRI L-SPINE W/ CONTRAST,magnetic_resonance_imagery liter spine w contrast,Radiology,Radiology,0.97,1
HB NITRIC OXIDE THERAPY,nitric oxide therapy,Plan Benefit,Plan Benefit,0.88,1
HB OCCUPATIONAL THERAPY EV,occupational therapy ev,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.94,1
HB OT THERAPEUTIC ACTV EA 15 MIN,occupational_therapy therapeutic actv each 15 minutes,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.93,1
HB OXIMETRY,oximetry,Monitoring,Monitoring,0.93,1
HB OXYCODONE 5MG/5ML CUP,oxycodone 5_mg/5_ml cup,Pharmacy,Pharmacy,0.85,1
HB PACU 1ST 15 MIN,pacu 1st 15 minutes,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.86,1
HB PHENOBARBITAL 20MG/5ML ELIXIR,phenobarbital 20_mg/5_ml elixir,Pharmacy,Pharmacy,0.86,1
HB ROOM RATE ICU,room rate intensive_care_unit,Room and Board,Room and Board,0.92,1
HB SILDENAFIL 2.5 MG/ML ORAL SUSP,sildenafil 2.5_mg/ml oral suspension,Plan Benefit,Plan Benefit,0.99,1
HB SODIUM WHOLE BLOOD,sodium whole blood,Laboratory,Laboratory,0.95,1
HB STERILE WATER FOR INJ 1L,sterile water for injection 1l,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.91,1
HB SUTURE ABSRB VCL 4.0 L18IN BRD,suture absorb vicryl 4 l18 inches bard,Supply,Supply,0.87,1
HB TUBING SX MDVC L6FT OD6MM NONC,tubing suction mdvc l6ft od6mm nonc,Supply,Supply,0.96,1
HB VANCOMYCIN 5GM VIAL LEDERLE,vancomycin 5_gm vial lederle,Pharmacy,Laboratory,0.86,0
HB WALL SUCTION UNITS,wall suction unit,Supply,Supply,0.98,1
HB-GLUCOSE  POC,glucose point_of_care,Monitoring,Monitoring,0.94,1
HBC SYRINGE PUMP S/P,hbc syringe pump specification,Capital Equipment,Capital Equipment,0.94,1
HC CALCIUM  IONIZED  WB,calcium ionized whole_blood,Laboratory,Laboratory,0.96,1
HC CBC AUTO WO DIFF,complete_blood_count automated without difficile_clostridium,Laboratory,Laboratory,0.93,1
HC CCU ROOM - STEP DOWN,critical_care_unit room step down,Room and Board,Room and Board,0.85,1
HC CHEST 1 VIEW PA OR AP ONLY,chest 1 view posterior_anterior operation_room anterior_posterior only,Radiology,Radiology,0.85,1
HC CO2 EXPIRED GAS DETRMN INFRARD,carbon_dioxide expired gas determination infrared,Monitoring,Monitoring,0.85,1
HC COMPREHENSIVE METABOLIC,comprehensive metabolic,Laboratory,Laboratory,0.94,1
HC COMPREHENSIVE PANEL,comprehensive panel,Laboratory,Laboratory,0.86,1
HC CULTURE BLOOD,culture blood,Laboratory,Laboratory,0.95,1
HC CULTURE WOUND,culture wound,Laboratory,Laboratory,0.86,1
HC DEBRIDEMENT OPEN WND FIRST 20 SQCM,debridement open wound first 20 sqcm,Nursing Services,Nursing Services,0.87,1
HC GLUCOSE  POC,glucose point_of_care,Monitoring,Monitoring,1.0,1
HC GLUCOSE BLD QUANT,glucose blood quantitative,Laboratory,Laboratory,0.92,1
HC GLUCOSE BLOOD TEST,glucose blood test,Laboratory,Laboratory,0.92,1
HC GLUCOSE POINT OF CARE,glucose point of care,Monitoring,Monitoring,0.87,1
HC GLUCOSE QT BY METER FOR,glucose quantitative by meter for,Monitoring,Monitoring,1.0,1
HC GLUCOSE QUANTATIVE BLOOD,glucose quantitative blood,Laboratory,Laboratory,0.9,1
HC GUIDEWIRE PTCA,guidewire ptca,Supply,Supply,0.87,1
HC HEMATOCRIT POC,hematocrit point_of_care,Monitoring,Laboratory,0.93,0
HC INHALATION TX HHN MDI IPPB 1 VISIT PER DAY,inhalation treatment high multi-dose_inhaler intermittent_positive_pressure_breathing 1 visit per day,Respiratory Therapy,Respiratory Therapy,0.96,1
HC IV INF THER ADD HR,intravenous infusion therapist additional hour,Nursing Services,Nursing Services,0.91,1
HC KIT ARTERIAL BLOOD GAS,kit arterial blood gas,Supply,Monitoring,0.9,0
HC LIPASE,lipase,Laboratory,Laboratory,0.93,1
HC NITRIC OXIDE USE HOURLY,nitric oxide use hourly,Plan Benefit,Plan Benefit,0.94,1
HC PACU CLASS 2 NPR 1:1,pacu class 2 npr 1 1,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.96,1
HC POTASSIUM  POC,potassium point_of_care,Monitoring,Monitoring,0.95,1
HC POTASSIUM  SERUM,potassium serum,Laboratory,Laboratory,0.96,1
HC POTASSIUM SERUM PLASMA WB,potassium serum plasma whole_blood,Laboratory,Laboratory,0.92,1
HC PROTHROMBIN TIME,prothrombin time,Laboratory,Laboratory,0.96,1
HC ROOM CHARGE NICU 174,room charge neonatal_intensive_care_unit 174,Room and Board,Room and Board,0.85,1
HC ROOM CHRG INTERMEDIAT,room charge intermediate,Room and Board,Room and Board,0.85,1
HC RT SUPPLIES LEVEL 1,respiratory_therapy supplies level 1,Supply,Supply,0.96,1
HC SELF-CARE D/C STATUS,self care discontinue status,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.86,1
HC SODIUM SERUM/PLASMA/WHOLE BLD,sodium serum/plasma/whole blood,Laboratory,Laboratory,0.95,1
HC T4 FREE,t4 free,Laboratory,Laboratory,0.92,1
HC THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG,therapist prophylactic/diagnostic injection each sequential intravenous push subsequent/drug,Nursing Services,Nursing Services,0.98,1
HC URINALYSIS AUTO WO MICRO,urinalysis automated without miscroscopic,Laboratory,Laboratory,0.96,1
HC URINALYSIS AUTOMATED WITH MICRO,urinalysis automated w miscroscopic,Laboratory,Laboratory,0.9,1
HC VENIPUNCTURE,venipuncture,Nursing Services,Nursing Services,0.95,1
HC XR CHEST 1 VIEW,x_ray chest 1 view,Radiology,Radiology,0.95,1
HC-LAB-CHLORIDE SERUM,laboratory chloride serum,Laboratory,Laboratory,0.88,1
HC-LAB-GLUCOSE BLOOD,laboratory glucose blood,Laboratory,Monitoring,0.86,0
HCHG BILIRUBIN TOTAL,bilirubin total,Laboratory,Laboratory,0.96,1
HCHG CBC AUTO W/AUTO DIFF HCHG CBC AUTO W/AUTO DIFF,complete_blood_count automated w automated difficile_clostridium minutes complete_blood_count automated w automated difficile_clostridium,Laboratory,Laboratory,0.89,1
HCHG DAILY NO  PER HOUR,daily nitric_oxide per hour,Plan Benefit,Plan Benefit,1.0,1
HCHG DAILY NO PER HOUR/HCHG DAILY NO PER HOUR,daily no_catheter per hour/minutes daily no_catheter per hour,Plan Benefit,Plan Benefit,1.0,1
HCHG HEMOGLOBIN,hemoglobin,Laboratory,Laboratory,0.9,1
HEHOGLOBIN,hemoglobin,Laboratory,Laboratory,0.93,1
HEMATOCRIT TEST,hematocrit test,Laboratory,Laboratory,0.9,1
HEMOSTAT CELLULOSE (SURGICEL),hemostat cellulose surgicel,Supply,Supply,0.92,1
HEPARIN (PORCINE) 10 UNIT/ML SOLN 3 ML SYRINGE,heparin porcine 10_units/ml solution 3_ml syringe,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.9,1
HEPARIN 1 000 UNIT/ML SOLN 30 ML VIAL,heparin 1 000_units/ml solution 30_ml vial,Pharmacy,Pharmacy,0.98,1
HEPARIN 10 UNITS/ML INJ (10ML),heparin 10_units/ml injection 10_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.97,1
HEPARIN 100 U INJ,heparin 100_units injection,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.93,1
HEPARIN 1000 UNIT/ML INJ 10ML,heparin 1000_units/ml injection 10_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.92,1
HEPARIN INJ 1000U (50,heparin injection 1000u 50,Pharmacy,Pharmacy,0.9,1
HEPARIN LOCK FLUSH 10 UNIT/ML SOLN,heparin lock flush 10_units/ml solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.92,1
HEPARIN LOCK FLUSH 10 UNIT/ML SOLN 1 ML SYRINGE,heparin lock flush 10_units/ml solution 1_ml syringe,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.97,1
HEPARIN LOCK FLUSH 10 UNIT/ML SYRG,heparin lock flush 10_units/ml syringe,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.92,1
HEPARIN LOCK FLUSH 10 UNIT/ML SYRG 3 ML SYRINGE,heparin lock flush 10_units/ml syringe 3_ml syringe,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.9,1
HEPARIN SOD 10U/ML 5ML VIA,heparin sodium 10_units/ml 5_ml vial,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.87,1
HEPARIN SODIUM 1 000 UNITS INJ,heparin sodium 1 000_units injection,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1
HEPATIC FUNCTION,hepatic function,Laboratory,Laboratory,0.92,1
HEPATIC FUNCTION PAN,hepatic function pan,Laboratory,Laboratory,0.97,1
HEPATITIS B SURFACE AB,hepatitis b surface antibody,Laboratory,Laboratory,0.9,1
HYDRALAZINE 20MG INJ,hydralazine 20_mg injection,Pharmacy,Pharmacy,0.94,1
HYDRALAZNE 20MG INJ,hydralazine 20_mg injection,Pharmacy,Pharmacy,0.89,1
HYDROMORPH UP TO 4 MG,hydromorphone up to 4_mg,Pharmacy,Pharmacy,1.0,1
HYDROMORPHONE 1 MG/1 ML INJ,hydromorphone 1_mg/1_ml injection,Pharmacy,Pharmacy,0.97,1
HYDROMORPHONE 2 MG INJ,hydromorphone 2_mg injection,Pharmacy,Pharmacy,0.91,1
HYDROMORPHONE 2 MG/ML SOLN,hydromorphone 2_mg/ml solution,Pharmacy,Pharmacy,0.97,1
I STAT HCT (PICU),i stat hematocrit pediatric_intensive_care_unit,Monitoring,Laboratory,0.89,0
INDIV. EXER. PER 15 MIN. (OT),individual exercise per 15 minutes occupational_therapy,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.91,1
INFLUENZA B  AG  IF,influenza b silver if,Laboratory,Laboratory,0.95,1
INHALATION TRTMT SUB,inhalation trtmt sub,Respiratory Therapy,Respiratory Therapy,0.87,1
INHALED NITRIC,inhaled nitric,Plan Benefit,Plan Benefit,0.85,1
INJECTION  LINEZOLID  200M,injection linezolid 200m,Pharmacy,Pharmacy,1.0,1
INSULIN GLARGINE 100 UNI,insulin glargine 100_units,Pharmacy,Pharmacy,0.95,1
INSULIN REGULAR HUMAN 100 UNIT/ML SOLN,insulin regular human 100_units/ml solution,Pharmacy,Pharmacy,0.89,1
IV 0.9% NACL 250 ML,intravenous 0.9% sodium_chloride 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.98,1
IV D5W 250ML,intravenous dextrose_5%_in_water 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1
IV DEX 05% NACL .45% 1000,intravenous dextrose 05% sodium_chloride 0.45% 1000,Diluent / Flush / Irrigant,Pharmacy,0.85,0
IV-SODIUM CHLORIDE 0.9% 250ML,intravenous sodium chloride 0.9% 250_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.87,1
K ISTAT,potassium istat,Monitoring,Laboratory,0.89,0
KETAMINE 500MG/10ML VL,ketamine 500_mg/10_ml vial,Pharmacy,Pharmacy,0.91,1
KETAMINE HCL 50MG/ML 10ML,ketamine hcl 50_mg/ml 10_ml,Pharmacy,Pharmacy,0.88,1
KETOROLAC 15MG INJ,ketorolac 15_mg injection,Pharmacy,Pharmacy,0.95,1
KIT DRSG CHANGE PWR GLIDE,kit dressing change pwr glide,Supply,Supply,0.85,1
LAB GLUCOSE  BEDSIDE,laboratory glucose bedside,Monitoring,Monitoring,0.85,1
LAB-GLUCSE BLOOD REAGENT STRIP,laboratory glucose blood reagent strip,Supply,Supply,1.0,1
LAB-IONIZED CA (WHOLE BLOOD),laboratory ionized calcium whole blood,Laboratory,Laboratory,0.9,1
LACTATE  POCT,lactate point_of_care_testing,Monitoring,Laboratory,0.88,0
LACTATE (LACTI,lactate lactate,Laboratory,Laboratory,0.94,1
LACTATE (LACTIC ACID),lactate lactic acid,Laboratory,Laboratory,1.0,1
LACTATE (PNL),lactate panel,Laboratory,Laboratory,0.94,1
LACTATED RINGERS SOLN,lactated ringers solution,Pharmacy,Pharmacy,0.95,1
LACTATED RINGERS SOLP,lactated ringers solution,Pharmacy,Pharmacy,0.98,1
LACTULOSE 10 GM/15ML SOLN,lactulose 10_gm/15_ml solution,Pharmacy,Pharmacy,0.85,1
LACTULOSE 10 GRAM/15 ML SO,lactulose 10 gram/15_ml so,Pharmacy,Pharmacy,0.89,1
LACTULOSE 30ML UM,lactulose 30_ml um,Pharmacy,Pharmacy,0.86,1
LEVEL IV-SURG PATH GROSS/MICRO,level intravenous surgical path gross/miscroscopic,Laboratory,Laboratory,0.99,1
LEVETIRACETAM 250 MG TAB,levetiracetam 250_mg tablet,Pharmacy,Pharmacy,0.93,1
LEVOFLOXACIN 750 MG TAB,levofloxacin 750_mg tablet,Pharmacy,Pharmacy,0.9,1
LEVOTHYROXINE 100 MCG TABLET,levothyroxine 100 mcg_gram_aerosol tablet,Pharmacy,Pharmacy,0.92,1
LEVOTHYROXINE 50 MCG TABS,levothyroxine 50 mcg_gram_aerosol tablets,Pharmacy,Pharmacy,0.97,1
LIDOCAINE 1% 20 ML INJ,lidocaine 1% 20_ml injection,Pharmacy,Pharmacy,0.9,1
LIDOCAINE-PF 1% 30 ML INJ,lidocaine partial_fill 1% 30_ml injection,Pharmacy,Pharmacy,0.88,1
LIPASE-PROTEASE-AMYLASE 20,lipase protease amylase 20,Pharmacy,Pharmacy,0.87,1
LISINOPRIL 5 MG TAB,lisinopril 5_mg tablet,Pharmacy,Pharmacy,1.0,1
LORAZEPAM 2 MG/ML CONC 30 ML BOTTLE,lorazepam 2_mg/ml concentration 30_ml bottle,Pharmacy,Pharmacy,0.89,1
LORAZEPAM 2 MG/ML INJ,lorazepam 2_mg/ml injection,Pharmacy,Pharmacy,0.94,1
MAGNESIUM CITRATE SOLN 300ML,magnesium citrate solution 300_ml,Pharmacy,Pharmacy,0.86,1
MAGNESIUM HYDROXIDE 400 MG/5 ML SUSP,magnesium hydroxide 400_mg/5_ml suspension,Pharmacy,Pharmacy,0.92,1
MAGNESIUM HYDROXIDE 400 MG/5ML SUSP,magnesium hydroxide 400_mg/5_ml suspension,Pharmacy,Pharmacy,0.92,1
MAGNESIUM SULFATE 500 MG/ML SOLN,magnesium sulfate 500_mg/ml solution,Pharmacy,Pharmacy,0.95,1
METHADONE 1 MG/ML SOLN 500 ML BOTTLE,methadone 1_mg/ml solution 500_ml bottle,Pharmacy,Pharmacy,0.88,1
METHADONE 10 MG/ML SOLN,methadone 10_mg/ml solution,Pharmacy,Pharmacy,0.98,1
METOCLOPRAMIDE 5 MG/ML SOLN,metoclopramide 5_mg/ml solution,Pharmacy,Pharmacy,0.89,1
METOPROLOL ER TAB 50M,metoprolol emergency_room tablet 50m,Pharmacy,Pharmacy,0.86,1
MIDAZOL HCL 1MG INJ,midazolam hcl 1_mg injection,Pharmacy,Pharmacy,0.92,1
MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL,midazolam 1_mg/ml solution 2_ml vial,Pharmacy,Pharmacy,0.91,1
MIDAZOLAM 1:10 0.5 MG/ML SOLN 1 ML SYRINGE,midazolam 1 10 0.5_mg/ml solution 1_ml syringe,Pharmacy,Pharmacy,0.85,1
MIDAZOLAM 2 MG/2 ML INJECTION,midazolam 2_mg/2_ml injection,Pharmacy,Pharmacy,0.88,1
MIDAZOLAM 2 MG/2ML SOLN,midazolam 2_mg/2_ml solution,Pharmacy,Pharmacy,0.95,1
MIDAZOLAM 2MG/2ML INJ,midazolam 2_mg/2_ml injection,Pharmacy,Pharmacy,0.93,1
MIDAZOLAM 5 MG/ML SOLN 10,midazolam 5_mg/ml solution 10,Pharmacy,Pharmacy,0.97,1
MIDODRINE 5 MG TAB,midodrine 5_mg tablet,Pharmacy,Pharmacy,0.88,1
MILRINONE 1 MG/ML SOLN 10 ML VIAL,milrinone 1_mg/ml solution 10_ml vial,Pharmacy,Pharmacy,0.98,1
MORPHINE 15 MG/ML SOLN 20,morphine 15_mg/ml solution 20,Pharmacy,Pharmacy,0.97,1
MORPHINE 2 MG/ML SYRG,morphine 2_mg/ml syringe,Pharmacy,Pharmacy,0.89,1
MORPHINE PF 10MG INJ,morphine partial_fill 10_mg injection,Pharmacy,Pharmacy,0.9,1
MORPHINE SULFATE 10 MG INJ,morphine sulfate 10_mg injection,Pharmacy,Pharmacy,0.95,1
MYCOPHENALATE 250 MG PO S,mycophenalate 250_mg by_mouth s,Pharmacy,Pharmacy,0.85,1
NACL .9 100ML,sodium_chloride 0.9 100_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.91,1
NACL 0.9% *PF* INJ,sodium_chloride 0.9% partial_fill injection,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.86,1
NACL 0.9% 100ML MBP,sodium_chloride 0.9% 100_ml mini-bag_plus,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.94,1
NACL 0.9% INJ 10ML,sodium_chloride 0.9% injection 10_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.94,1
NACL 0.9% INJ 50 ML,sodium_chloride 0.9% injection 50_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.98,1
NEONATAL INTENSIVE CARE UNIT,neonatal intensive care unit,Room and Board,Room and Board,0.96,1
NEOSTIGMINE 5MG/5ML INJ (PREFILL SYR),neostigmine 5_mg/5_ml injection prefill syringe,Pharmacy,Pharmacy,0.88,1
NICOTINE 14 MG/24 HR PT24,nicotine 14_mg/24 hour patch_24,Plan Benefit,Plan Benefit,0.87,1
NICOTINE 21 MG/24 HR PT24,nicotine 21_mg/24 hour patch_24,Plan Benefit,Plan Benefit,0.92,1
NICOTINE 21 MG/24HR PT24,nicotine 21_mg/24_hour patch_24,Plan Benefit,Plan Benefit,0.92,1
NICU I INTENSIVE CARE,neonatal_intensive_care_unit i intensive care,Room and Board,Room and Board,0.93,1
NITRIC OXIDE DAILY,nitric oxide daily,Plan Benefit,Plan Benefit,0.92,1
NITRIC OXIDE DLY,nitric oxide daily,Plan Benefit,Plan Benefit,0.95,1
NITRIC OXIDE GAS-EACH HOUR,nitric oxide gas each hour,Plan Benefit,Plan Benefit,0.94,1
NORMAL SALINE 100ML,normal saline 100_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.94,1
NS 1000 ML,normal_saline 1000_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.92,1
NS 100ML,normal_saline 100_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1
NUTRITION CONSULT PER 15 M,nutrition consultation per 15 m,Education / Training,PT / OT / Speech Therapy,0.97,0
NYSTATIN 100 000 UNIT/ML P,nystatin 100 000_units/ml powder,Pharmacy,Pharmacy,0.94,1
NYSTATIN 100 000 UNIT/ML SUSP 2 ML SYRINGE,nystatin 100 000_units/ml suspension 2_ml syringe,Pharmacy,Pharmacy,0.85,1
NYSTATIN 100 000 UNITS/G OINT 15 G TUBE,nystatin 100 000_units/gram ointment 15 gram tube,Pharmacy,Pharmacy,0.89,1
O2 SENSOR,oxygen sensor,Supply,Supply,0.88,1
ONDANSETRON 1MG INJ,ondansetron 1_mg injection,Pharmacy,Pharmacy,1.0,1
ONDANSETRON 4 MG TABS,ondansetron 4_mg tablets,Pharmacy,Pharmacy,0.88,1
ONDANSETRON 4 MG TBDL,ondansetron 4_mg tbdl,Pharmacy,Pharmacy,0.92,1
OR LEVEL 4 FIRST 30 MINUTE,operation_room level 4 first 30 minute,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.98,1
OR SURGERY LEVEL 3,operation_room surgery level 3,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.96,1
OT EVAL INTERMEDIATE,occupational_therapy evaluation intermediate,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.96,1
OT EVALUATION,occupational_therapy evaluation,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.94,1
OXIMETRY CONTINUOUS  1-24 HOURS,oximetry continuous 1 24 hours,Monitoring,Monitoring,0.86,1
OXYCODONE 5 MG TABLET,oxycodone 5_mg tablet,Pharmacy,Pharmacy,0.95,1
OXYCODONE 5MG TAB,oxycodone 5_mg tablet,Pharmacy,Pharmacy,1.0,1
OXYCODONE-ACETAMINOPHEN 10-325 MG TABLET,oxycodone acetaminophen 10 325_mg tablet,Pharmacy,Pharmacy,0.96,1
OXYGEN  PER HR,oxygen per hour,Respiratory Therapy,Respiratory Therapy,1.0,1
OXYGEN 1 - 12 HR,oxygen 1 12 hour,Respiratory Therapy,Respiratory Therapy,1.0,1
OXYGEN SETUP,oxygen setup,Supply,Respiratory Therapy,0.85,0
OXYGEN THERAPY,oxygen therapy,Respiratory Therapy,Respiratory Therapy,0.86,1
PANTOPRAZOLE 4 MG/ML SOLR 1 EACH VIAL,pantoprazole 4_mg/ml solution 1 each vial,Pharmacy,Pharmacy,0.9,1
PANTOPRAZOLE 40 MG TAB,pantoprazole 40_mg tablet,Pharmacy,Pharmacy,0.95,1
PANTOPRAZOLE 40 MG TAB DR,pantoprazole 40_mg tablet drainage,Pharmacy,Pharmacy,0.92,1
PAPAVERINE 30 MG/ML SOLN 10 ML VIAL,papaverine 30_mg/ml solution 10_ml vial,Pharmacy,Pharmacy,0.97,1
PARTIAL THROMBOPLAST TIME PTT,partial thromboplastin time partial_prothrombaplastin_time,Laboratory,Laboratory,0.92,1
PHENOBARBITAL 32.4 MG TAB,phenobarbital 32.4_mg tablet,Pharmacy,Pharmacy,0.92,1
PHENYLEPHRIN 1ML INJ,phenylephrine 1_ml injection,Pharmacy,Pharmacy,0.93,1
PHENYLEPHRINE 1MG/10 ML-NS IV,phenylephrine 1_mg/10_ml normal_saline intravenous,Pharmacy,Pharmacy,0.89,1
PHYS SUBSEQUENT HOSP CARE MOD,phys subsequent hosp care module,Professional Fee,Professional Fee,0.91,1
PHYTONADIONE (VITAMIN K) PER 1 MG,phytonadione vitamin potassium per 1_mg,Pharmacy,Pharmacy,0.94,1
PHYTONADIONE 10 MG/ML SOLN,phytonadione 10_mg/ml solution,Pharmacy,Pharmacy,0.96,1
PIPERACILLIN / TAZOBACTAM,piperacillin/tazobactam,Pharmacy,Pharmacy,0.96,1
PIPERACILLIN-TAZOBACTAM 40,piperacillin tazobactam 40,Pharmacy,Pharmacy,0.97,1
PLT LEUKORED CMVN EA (PLC),platelet leukoreduced cmvn each place,Blood Products,Blood Products,0.85,1
PM-DEXTROSE 5% W/HEPARIN 1UNIT/ML,between_noon_and_midnight dextrose 5% w heparin 1_units/ml,Diluent / Flush / Irrigant,Pharmacy,0.91,0
PNEUMOCOCCAL CONJUGATE 13-,pneumococcal conjugate 13,Pharmacy,Laboratory,0.86,0
POC HEMATOCRIT,point_of_care hematocrit,Monitoring,Monitoring,0.9,1
POC-GLUCOSE  BLOOD,point_of_care glucose blood,Monitoring,Monitoring,0.89,1
POC-HEMATOCRIT (HCT) GEM,point_of_care hematocrit hematocrit glucagon_emergency_management,Monitoring,Monitoring,0.86,1
POC-POTASSIUM (K) GEM,point_of_care potassium potassium glucagon_emergency_management,Monitoring,Monitoring,0.87,1
POCT POTASSIUM,point_of_care_testing potassium,Monitoring,Laboratory,0.9,0
POLYETHYLENE GLYCOL 3350 PACK,polyethylene glucol 3350 pack,Pharmacy,Pharmacy,0.95,1
POLYETHYLENE GLYCOL 3350 PACKET 17G UD,polyethylene glucol 3350 packet 17_gm ud,Pharmacy,Pharmacy,0.89,1
POSITIONER FLUIDIZED NEO 1,positioner fluidized neonatal 1,Supply,Supply,0.97,1
POSITIONER FLUIDIZED NEO 7X10,positioner fluidized neonatal 7x10,Supply,Supply,0.96,1
POTASSIUM  POC,potassium point_of_care,Monitoring,Monitoring,1.0,1
POTASSIUM (BLOOD GAS),potassium blood gas,Laboratory,Laboratory,0.94,1
POTASSIUM AND SODIUM PHOSP,potassium and sodium phospho,Pharmacy,Pharmacy,0.88,1
POTASSIUM CHLOR 10 MEQ/50 ML I,potassium chloride 10_meq/50_ml i,Pharmacy,Pharmacy,0.93,1
POTASSIUM CHLORIDE 2 MEQ INJ,potassium chloride 2_meq injection,Pharmacy,Pharmacy,0.93,1
POTASSIUM CHLORIDE 2 MEQ/ML SOLP,potassium chloride 2_meq/ml solution,Pharmacy,Pharmacy,0.94,1
POTASSIUM CHLORIDE 20 MEQ/15ML (10%) SOLN,potassium chloride 20_meq/15_ml 10% solution,Pharmacy,Pharmacy,0.96,1
POTASSIUM CL 20MEQ SA TAB,potassium chloride 20_meq slow_action tablet,Pharmacy,Pharmacy,0.87,1
POTASSIUM CL 20MEQ/15ML LIQ,potassium chloride 20_meq/15_ml liquid,Pharmacy,Pharmacy,0.87,1
POTASSIUM ISTAT,potassium istat,Monitoring,Monitoring,0.9,1
POTASSIUM WB ASSAY,potassium whole_blood assay,Laboratory,Laboratory,0.93,1
POTASSIUM WHOLE BLOOD,potassium whole blood,Laboratory,Laboratory,0.97,1
POTASSIUM/K  B,potassium/potassium b,Laboratory,Laboratory,0.92,1
PREALBUMIN (PAB),prealbumin pab,Laboratory,Laboratory,0.92,1
