ORIG_DESC,NORM_DESC_pred,CHRG_CLS_actual,CHRG_CLS_pred,CONF_SCORE,Match_Voted
C - REACTIVE PROTEIN,reactive protein,Laboratory,Laboratory,0.98,1
C MHOC-NON-CHEMO SUB Q O,mhoc non chemo sub q o_r,Nursing Services,Laboratory,0.5991,0
C REACTIVE PROTEIN SE,reactive protein set,Laboratory,Laboratory,0.94,1
C-ARM PAIN MANAGEMENT,arm pain management,PT / OT / Speech Therapy,Respiratory Therapy,0.22,0
C-MULTI-LUMEN CENTRAL VENOUS K,multiple lumen central venous potassium,Supply,Laboratory,0.37,0
C-REACTIVE PROTEIN,reactive protein,Laboratory,Laboratory,0.98,1
CABLE QUAD CONNECTOR,cable quad connector,Supply,Supply,0.4692,1
CAFFEINE 60MG/3ML ORAL SOLUTION,caffeine 60_mg/3_ml oral solution,Pharmacy,Pharmacy,0.9165,1
CALCIUM CHLOR 10% 1GM 10ML,calcium chloride 10% 1_gm 10_ml,Pharmacy,Pharmacy,0.9129,1
CALCIUM GLUCONATE 100 MG/M,calcium gluconate 100_mg/m,Pharmacy,Pharmacy,0.94,1
CALCIUM ION,calcium ionized,Laboratory,Laboratory,0.92,1
CALCIUM TOT,calcium total,Laboratory,Laboratory,0.91,1
CALCIUM TOTAL,calcium total,Laboratory,Laboratory,0.92,1
CAMERA COVER,camera cover,Supply,Supply,0.7326,1
CAN SUCT,canister suction,Supply,Supply,0.8023,1
CARBOHYDRATE DEFICIENT TRA,carbohydrate deficient tra,Laboratory,Laboratory,0.7612,1
CARBOXYME .25%OS UD,carboxyme 0.25%os ud,Pharmacy,Laboratory,0.3,0
CARDIAC MONITOR PER DAY,cardiac monitor per day,Monitoring,Monitoring,0.2025,1
CARNITINE TOTAL AND FREE,carnitine total and free,Laboratory,Laboratory,0.7909,1
CAROTID DUPLEX COMPLE,carotid duplex complete,Cardiology,Radiology,0.38,0
CARVEDILOL TABLET 6.25MG,carvedilol tablet 6.25_mg,Pharmacy,Pharmacy,0.97,1
CASPOFUNGIN 5 MG INJ,caspofungin 5_mg injection,Pharmacy,Pharmacy,0.872,1
CATH ART EMBL SGL 3FRX80CM 1801-38,catheter arteries embl single 3frx80cm 1801 38,Supply,Supply,0.95,1
CATH DLYS NIAGARA CRVD 20CM,catheter dlys niagara crvd 20cm,Supply,Supply,0.7455,1
CATH FOL BARDX LUB SH 16FRX5ML,catheter foley bardx lub sh 16frx5_ml,Supply,Supply,0.7701,1
CATH IV 22GX1 4252519-02,catheter intravenous 22gaugex1_02 4252519 2,Supply,Supply,0.9263,1
CATH IV INTRCN SFTY 18GAX1.25I,catheter intravenous intrcn sfty 18gax1.25i,Supply,Supply,0.93,1
CATH IV MIDLINE BKIT 20GAX10 PWRGLIDE GEN 2,catheter intravenous midline bkit 20gax10 pwrglide general 2,Supply,Supply,0.95,1
CATH PULMONAR ART CCO  SVO,catheter pulmonary arteries cco servo,Supply,Supply,0.7582,1
CATH ST RD ART 20GX1.75 RA-040,catheter straight_040 rd artery 20gx1.75 ra 40,Supply,Supply,0.8016,1
CATH TRAY (NO CATH),catheter tray no_catheter catheter,Supply,Supply,0.8803,1
CATH VASCULAR GENERAL,catheter vascular general,Supply,Supply,0.7707,1
CATHETER ASP NASOTR,catheter aspirator nasotracheal,Supply,Supply,0.8829,1
CAUTERY PENCIL VALLEYLAB E,cautery pencil valleylab e,Supply,Supply,0.4565,1
CBC NO DIFFERENTIAL,complete_blood_count no_catheter differential,Laboratory,Laboratory,0.9288,1
CBC W AUTO DIFF,complete_blood_count with automated difficile_clostridium,Laboratory,Laboratory,1.0,1
CBC WITH DIFERENTIAL,complete_blood_count w differential,Laboratory,Laboratory,0.9,1
CC RM TIME LV 2 1ST 1,cubic_centimeters room time lv 2 1st 1,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.4525,1
CC RM TIME LV2 EA ADD,cubic_centimeters room time lv2 each additional,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.91,1
CEFAZOLIN 100 MG/ML SOLR 1 EACH VIAL,cefazolin 100_mg/ml solution 1 each vial,Pharmacy,Pharmacy,0.9,1
CEFAZOLIN 500MG/5ML INJ,cefazolin 500_mg/5_ml injection,Pharmacy,Pharmacy,0.94,1
CEFTAZIDIME 2 G SOLR 1 EACH VIAL,ceftazidime 2 gram solution 1 each vial,Pharmacy,Pharmacy,0.93,1
CEFTAZIDIME 200 MG/ML SOLR,ceftazidime 200_mg/ml solution,Pharmacy,Pharmacy,0.91,1
CEFTRIAXONE 10 GRAM SOLR 1 EACH VIAL,ceftriaxone 10 gram solution 1 each vial,Pharmacy,Pharmacy,0.9,1
CEFTRIAXONE 2 G SOLR 1 EACH VIAL,ceftriaxone 2 gram solution 1 each vial,Pharmacy,Pharmacy,0.9364,1
CEMENT BN ENDRN 40GM,cement bone endrn 40_gm,Implant,Supply,0.5971,0
CEPHALEXIN 500 MG CAPS,cephalexin 500_mg capsule,Pharmacy,Pharmacy,0.9085,1
CH-CHEST IV,ch chest intravenous,Supply,Radiology,0.4325,0
CHARGE FOR PREOP CARE,charge for preoperative care,OR / Anesthesia / Recovery Room,Nursing Services,0.3523,0
CHEST 1V CHEST 1V,chest one_view chest one_view,Radiology,Radiology,0.875,1
CHEST SINGLE VIEW,chest single view,Radiology,Radiology,0.91,1
CHEST WALL MANIP INITIAL,chest wall manip initial,Respiratory Therapy,Respiratory Therapy,0.7247,1
CHG-BLOOD GLUCOSE BY MONIT,blood glucose by monitoring,Monitoring,Monitoring,0.921,1
CHLORAPREP WITH TINT 26ML,chloraprep w tint 26_ml,Pharmacy,Pharmacy,0.7681,1
CHLORHEXIDINE 0.12% MWSH,chlorhexidine 0.12% mouthwash,Supply,Pharmacy,1.0,0
CHLORHEXIDINE ORAL RINSE 15ML,chlorhexidine oral rinse 15,Pharmacy,Pharmacy,0.92,1
CHLORIDE  URINE,chloride urine,Laboratory,Laboratory,0.91,1
CHLOROTHIAZIDE 25MG/ML (1ML) PO,chlorothiazide 25_mg/ml 1_ml by_mouth,Pharmacy,Pharmacy,0.91,1
CHLOROTHIAZIDE SUSP 50MG/1ML,chlorothiazide suspension 50_mg/1_ml,Pharmacy,Pharmacy,0.91,1
CHOLECALCIFEROL 1000 UNI,cholecalciferol 1000_units,Pharmacy,Pharmacy,0.93,1
CHORIONIC GANADOTROPIN ASSAY,chorionic ganadotropin assay,Laboratory,Laboratory,0.7705,1
CIPROFLOXACIN 500 MG ORAL TAB,ciprofloxacin 500_mg oral tablet,Pharmacy,Pharmacy,0.91,1
CISATRACURIUM 2 MG/ML SOLN 5 ML VIAL,cisatracurium 2_mg/ml solution 5_ml vial,Pharmacy,Pharmacy,0.97,1
CKMB,ckmb,Laboratory,Laboratory,0.5028,1
CLINDAMYCIN 150 MG/ML SOLN 4 ML VIAL,clindamycin 150_mg/ml solution 4_ml vial,Pharmacy,Pharmacy,0.92,1
CLIP STANDARD RIGHT ANGEL,clip standard right angel,Supply,Supply,0.4748,1
CLONIDNE 5MCG/ML ORAL SUSP 1ML,clonidine 5_mcg/ml oral suspension 1_ml,Pharmacy,Pharmacy,0.4885,1
CLOPIDOGREL 75 MG TAB 90 EACH BOTTLE,clopidogrel 75_mg tablet 90 each bottle,Pharmacy,Pharmacy,0.8997,1
CLOPIDOGREL 75 MG TABLET,clopidogrel 75_mg tablet,Pharmacy,Pharmacy,0.8809,1
CLOPIDOGREL 75 MG TABS,clopidogrel 75_mg tablets,Pharmacy,Pharmacy,0.9156,1
CLOSTRIDIUM DIFFICILE BY RT PCR,clostridium difficile by respiratory_therapy pcr,Laboratory,Laboratory,0.91,1
CLOSTRIDIUM ENZYM ANTIGENASSAY,clostridium enzyme antigenassay,Laboratory,Laboratory,0.9037,1
CMPNT FEM PRCT CR RT S,component femoral prct chest_radiograft respiratory_therapy s,Implant,Procedure,0.2306,0
COAG / FIBRIN ASSAY WB (IN,coag/fibrin assay whole_blood inhibition,Laboratory,Laboratory,0.8008,1
COIL DETACHABLE SOFT TARGET 360 5X15,coil detachable soft target 360 5x15,Implant,Implant,0.91,1
COIL DETACHABLE ULTRA TARGET 360 5X10,coil detachable ultra target 360 5x10,Implant,Implant,0.98,1
COLLAGENASE 250 UNIT/GM OINT 30 G TUBE,collagenase 250_units/gm ointment 30 gram tube,Pharmacy,Pharmacy,0.7693,1
COLLECT BLD SPEC FROM ART LINE,collection blood specimen from arterial line,Nursing Services,Nursing Services,0.8825,1
COLLECTION: VENOUS DRAW,collection venous draw,Nursing Services,Nursing Services,1.0,1
COMPATABILITY  IS,compatability is,Blood Products,Laboratory,0.5453,0
COMPLEX SPEC STN (QOVAP),complex specimen stain qovap,Laboratory,Laboratory,0.4796,1
COMPREHENSIVE ED VST,comprehensive emergency_department vest,Other,Laboratory,0.91,0
COMPREHENSIVE MET,comprehensive metabolic,Laboratory,Laboratory,0.92,1
COMPRESSED AIR - M/S,compressed air m/s,Respiratory Therapy,Respiratory Therapy,0.91,1
CONN S CUF 2TB DINACLK SM AD L,conn s cuff 2tb dinaclk small additional liter,Supply,Supply,0.4813,1
CONNECTOR MICROCLAVE CLR,connector microclave clear,Supply,Supply,0.9,1
CONT OXIMETRY MONITORING,cont oximetry monitoring,Monitoring,Monitoring,0.91,1
CONT VENTILATION 1ST,cont ventilation 1st,Respiratory Therapy,Respiratory Therapy,0.4,1
COUGH ASSIST TREATMENT,cough assist treatment,Respiratory Therapy,Respiratory Therapy,0.8045,1
CR ABDOMEN SINGLE AP VIEW,chest_radiograft abdomen single anterior_posterior view,Radiology,Radiology,0.9431,1
CREAM ILEX 2.0 OZ. TUBE,cream ilex 2 ounce tube,Supply,Supply,0.8629,1
CREATININE BLOOD,creatinine blood,Laboratory,Laboratory,1.0,1
CREATININE RANDOM URINE,creatinine random urine,Laboratory,Laboratory,0.9172,1
CROSS MATCH RESULT,cross match result,Laboratory,Laboratory,0.4325,1
CROSSMATCH IMMEDIATE SPIN,crossmatch immediate spine,Laboratory,Laboratory,0.4,1
CRP-HIGH SENSITIVITY,c_reactive_protein high sensitivity,Laboratory,Laboratory,0.9116,1
CSR-UNDERPAD ULTRASORBS 5PK; UNDERPAD ULTRASORBS 5PK,csr underpad ultrasorbs 5pk underpad ultrasorbs 5pk,Supply,Laboratory,0.4676,0
CT ABD AND PELVIS W CONT,computed_tomography abdomen and pelvis with cont,Radiology,Radiology,0.91,1
CT ABDOMEN+PELVIS W/O CONTRAST,computed_tomography abdomen and pelvis without contrast,Radiology,Radiology,0.9271,1
CT HEAD OR BRAIN W/O CONTRAST,computed_tomography head operation_room brain without contrast,Radiology,Radiology,0.9176,1
CT RETROPERITO ABSC DRN PERC,computed_tomography retroperitoneal absc drn percutaneous,Radiology,Radiology,0.23,1
CUFF BP ADLT SM SOFT 1 TUBE,cuff bp adult small soft 1 tube,Supply,Supply,0.91,1
CUFF BP ADULT MED DISP,cuff bp adult medical disposable,Supply,Supply,0.7894,1
CUL BACT QUAN COLONY CNT URINE,culture bacteria quantitative colony count_urine urine,Laboratory,Laboratory,0.95,1
CULT  URINE W CC (URIN),cult urine with cubic_centimeters urine,Laboratory,Laboratory,0.9098,1
CULT AEROBIC IDENTIF,cult aerobic identify,Laboratory,Laboratory,0.9088,1
CULT BACT QUANT A,cult bacteria quantitative a,Laboratory,Laboratory,0.8826,1
CULTURE BRONCHIAL,culture bronchial,Laboratory,Laboratory,0.91,1
CULTURE RESPIRATORY,culture respiratory,Laboratory,Laboratory,0.8926,1
CULTURE TYPING ID BY NUC ACID EACH,culture typing id by nucleic_acid acid each,Laboratory,Laboratory,0.92,1
CULTURE URINE COL COUNT,culture urine coil count,Laboratory,Laboratory,0.91,1
CULTURE/BACTERIAL FLUID QT,culture/bacterial fluid quantitative,Laboratory,Laboratory,0.9412,1
CYTOMEGALOVIRUS AB CMV IGG,cytomegalovirus antibody cytomegalovirus immunoglobulin,Laboratory,Laboratory,0.97,1
D-DIMER  QUANT,daily dimer quantitative,Laboratory,Laboratory,1.0,1
D5W 1/2NS 1000ML/20MEQ KCL,dextrose_5%_in_water 1/2ns 1000_ml/20_meq potassuim_chloride,Diluent / Flush / Irrigant,Pharmacy,0.7487,0
D5W 1000ML,dextrose_5%_in_water 1000_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.9,1
D5W 100ML IVF,dextrose_5%_in_water 100_ml intravenous_fluid,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.9187,1
D5W 250ML INJ,dextrose_5%_in_water 250_ml injection,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.91,1
D5W 50ML IVF,dextrose_5%_in_water 50_ml intravenous_fluid,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.9,1
D5W/0.45%NACL 1000ML,dextrose_5%_in_water/0.45%nacl 1000_ml,Diluent / Flush / Irrigant,Pharmacy,0.95,0
DAILY BED & SERVICE,daily bed and_insert service,Room and Board,Capital Equipment,0.4791,0
DEFIB EVERA MRI XT DR,defib evera magnetic_resonance_imagery xt drainage,Supply,Supply,0.3675,1
DEFIBROTIDE INJ MT2,defibrotide injection mt2,Pharmacy,Pharmacy,0.8586,1
DEVICE FOLEY CATH STATLOCK,device foley catheter statlock,Supply,Supply,0.7758,1
DEVICE INFLAT ENCORE 26 15-105,device inflation encore 26 15 105,Supply,Supply,0.7335,1
DEX 5% IV 500ML,dextrose 5% intravenous 500_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.852,1
DEXAMETHASONE (PER .25MG)4MG T,dexamethasone per 0.25_mg 4_mg tab,Pharmacy,Pharmacy,0.9169,1
DEXAMETHASONE 0.5MG/5ML 0.5ML,dexamethasone 0.5_mg/5_ml 0.5_ml,Pharmacy,Pharmacy,0.9229,1
DEXMEDETOMIDINE 100 MCG/ML SOLN 2 ML VIAL,dexmedetomidine 100 mcg/ml solution 2_ml vial,Pharmacy,Pharmacy,0.91,1
DEXTROMETHORPHAN-GUAIFENESIN 30-600 MG TB12,dextromethorphan guaifenesin 30 600_mg tb12,Pharmacy,Pharmacy,0.8774,1
DEXTROSE 10% IN WATER (D10W) 10 % SOLP 250 ML BAG,dextrose 10% in water dextrose_10% 10% solution 250_ml bag,Pharmacy,Pharmacy,0.843,1
DEXTROSE 10% SOLP,dextrose 10% solution,Pharmacy,Diluent / Flush / Irrigant,0.96,0
DEXTROSE 10% SOLP 1 000 ML,dextrose 10% solution 1 000_ml,Pharmacy,Pharmacy,0.94,1
DEXTROSE 5 % AND 0.45% NACL 5-0.45 % SOLN,dextrose 5% and 0.45% sodium_chloride 5 0.45% solution,Pharmacy,Pharmacy,0.91,1
DEXTROSE 5 % AND 0.9% NACL 5-0.9 % SOLN,dextrose 5% and 0.9% sodium_chloride 5 0.9% solution,Diluent / Flush / Irrigant,Pharmacy,0.91,0
DEXTROSE 5 % SOLN,dextrose 5% solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1
DEXTROSE 5% AND 0.45% NACL,dextrose 5% and 0.45% sodium_chloride,Pharmacy,Pharmacy,0.95,1
DEXTROSE 5% AND 0.9% NACL,dextrose 5% and 0.9% sodium_chloride,Pharmacy,Pharmacy,0.97,1
DEXTROSE 5% AND LACTATED RINGERS 5 % SOLN,dextrose 5% and lactated ringers 5% solution,Pharmacy,Diluent / Flush / Irrigant,0.7466,0
DEXTROSE 5% IN,dextrose 5% in,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.97,1
DEXTROSE 5% IN WATER 50ML,dextrose 5% in water 50_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.98,1
DEXTROSE 5% SOLP 1 000 ML,dextrose 5% solution 1 000_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1
DEXTROSE 50% SOLN,dextrose 50% solution,Pharmacy,Pharmacy,1.0,1
DEXTROSE/TROPHAMINE BAG LINE,dextrose/trophamine bag line,Pharmacy,Diluent / Flush / Irrigant,0.8461,0
DIAZEPAM 5 MG/5 ML SOLN,diazepam 5_mg/5_ml solution,Pharmacy,Pharmacy,0.98,1
DIAZEPAM 5 MG/ML SOLN 10 ML VIAL,diazepam 5_mg/ml solution 10_ml vial,Pharmacy,Pharmacy,0.91,1
DIGOXIN 0.125 MG TABS,digoxin 0.125_mg tablets,Pharmacy,Pharmacy,0.9098,1
DIPHENHYDRAMINE-ZINC ACETATE 2-0.1 % CREA 28 G TUBE,diphenhydramine zinc acetate 2 0.1% cream 28 gram tube,Pharmacy,Pharmacy,0.7795,1
DISP: 0.200 ML; 4 MG/ML; USED NDC QTY: 4.000 PCK OF 30.000 ML VIAL DEXAMETHASONE 1 MG INJECTION DEXAMETHASONE 4 MG/ML INJECTION SOLUTION,dispensed_1_5% 0.200_ml 4_mg/ml used ndc quantity 4 pack of 30.000_ml vial dexamethasone 1_mg injection dexamethasone 4_mg/ml injection solution,Pharmacy,Pharmacy,0.98,1
DISP: 0.360 ML; 15 MG/ML; USED NDC QTY: 1.000 PCK OF 473.000 ML BOTTLE RANITIDINE 15 MG/ML SYRUP,dispensed_1_5% 0.360_ml 15_mg/ml used ndc quantity 1 pack of 473.000_ml bottle ranitidine 15_mg/ml syrup,Pharmacy,Pharmacy,0.9012,1
DISP: 0.500 ML; 400 MCG/ML; USED NDC QTY: 1.000 PCK OF 60.000 ML DROP BTL PEDIATRIC MULTIVITAMIN COMB NO.40-PHYTONADIONE 400 MCG/ML ORAL DROPS,dispensed_1_5% 0.500_ml 400 mcg/ml used ndc quantity 1 pack of 60.000_ml drop btl pediatric multivitamin comb no.40 phytonadione 400 mcg/ml oral drops,Pharmacy,Pharmacy,0.8867,1
DISP: 0.500 ML; 400 UNIT/ML; USED NDC QTY: 1.000 PCK OF 50.000 ML DROP BTL CHOLECALCIFEROL (VITAMIN D3) 400 UNIT/ML ORAL DROPS,dispensed_1_5% 0.500_ml 400_units/ml_used ndc quantity 1 pack of 50.000_ml drop btl cholecalciferol vitamin d3 400_units/ml oral drops,Pharmacy,Pharmacy,0.9538,1
DISP: 2.000 ML; 2.5 %; USED NDC QTY: 1.000 PCK OF 2.000 ML DROP BTL PHENYLEPHRINE 2.5 % EYE DROPS,dispensed_1_5% 2.000_ml 2.5% used ndc quantity 1 pack of 2.000_ml drop btl phenylephrine 2.5% eye drops,Pharmacy,Pharmacy,0.91,1
DISP: 5.000 ML; 4 MG/ML; USED NDC QTY: 20.000 PCK OF 5.000 ML VIAL DEXAMETHASONE 1 MG INJECTION DEXAMETHASONE 4 MG/ML INJECTION SOLUTION,dispensed_1_5% 5.000_ml 4_mg/ml used ndc quantity 20 pack of 5.000_ml vial dexamethasone 1_mg injection dexamethasone 4_mg/ml injection solution,Pharmacy,Pharmacy,0.96,1
DISP: 50.000 ML; 5 %; USED NDC QTY: 1.000 PCK OF 50.000 ML VIAL ALBUMIN HUMAN 5 % IV SOLUTION ANE ALBUMIN 5 % BOLUS (50 ML),dispensed_1_5% 50.000_ml 5% used ndc quantity 1 pack of 50.000_ml vial albumin human 5% intravenous solution ane albumin 5% bolus 50_ml,Pharmacy,Pharmacy,0.879,1
DOCUSATE 100 MG CAP,docusate 100_mg capillary,Pharmacy,Pharmacy,1.0,1
DOCUSATE 50MG/CAP UD,docusate 50_mg/capillary ud,Pharmacy,Pharmacy,0.91,1
DOPPLER SPECTRAL COMPLETE,doppler spectral complete,Cardiology,Cardiology,0.91,1
DORNASE 1 MG/ML I,dornase 1_mg/ml i,Plan Benefit,Plan Benefit,0.8989,1
DORNASE ALFA 1 MG/ML SOLN[12211],dornase alpha 1_mg/ml solution 12211,Plan Benefit,Plan Benefit,0.94,1
DORNASE ALFA INHA SOLN; DORNASE ALFA NEB 1 MG/ML (2.5 ML),dornase alpha inhalation solution dornase alpha nebulizer 1_mg/ml 2.5_ml,Plan Benefit,Plan Benefit,0.8879,1
DORNASE ALPHA I,dornase alpha i,Plan Benefit,Plan Benefit,0.97,1
DORNASE PULMOZYME 2.5 MG I,dornase pulmozyme 2.5_mg i,Plan Benefit,Plan Benefit,0.8199,1
DRAPE EXTREMITY LWR 88X131IN 89276 - CSC,drape extremity lower 88x131 inches 89276 csc,Supply,Supply,0.6951,1
DRAPE HALF SHEET,drape half sheet,Supply,Supply,0.9109,1
DRAPE IOBAN 6651EZ,drape ioban 6651ez,Supply,Supply,0.92,1
DRAPE IOBAN X LARGE,drape ioban x large,Supply,Supply,0.906,1
DRAPE SYS UNIV HD CVARTS 89454,drape system univ hand cvarts 89454,Supply,Supply,0.7544,1
DRAPE ULTRASOUND PROLIE 3687,drape ultrasound prolamine 3687,Supply,Laboratory,0.1725,0
DRESSING AQUAGUARD 7X7 OWEN,dressing aquaguard 7x7 owen,Supply,Supply,0.8984,1
DRESSING HDRCLD 125X9C,dressing hydrocolloid 125x9c,Supply,Supply,0.8744,1
DRILL BIT/BLADE LVL3,drill bit/blade lvl3,Supply,Supply,0.96,1
DRS AQUACEL 5X5/420619,dressing aquacel 5x5/420619,Supply,Supply,0.7724,1
DRSG ANTIMICROBAL W/CHG 1,dressing antimicrobial w charge 1,Supply,Supply,0.8969,1
DRSG GZE PETRO XERO 4INX3YD,dressing gauze petrolium xero 4inx3yd,Supply,Supply,0.91,1
DRSG KERLEX HEADROLL,dressing kerlix headroll,Supply,Supply,0.7474,1
DRSG MEPLIEX BDR 6X6 295400,dressing mepliex border 6x6 295400,Supply,Supply,0.8595,1
DRSG MPLX BRDR 3X3,dressing mepilex brdr 3x3,Supply,Supply,0.8958,1
DRUG SCRN CHEW A,drug screen chew a,Pharmacy,Laboratory,0.3975,0
DSG ABD 8X10,dressing abdomen 8x10,Supply,Supply,0.8819,1
DUAL LUMEN CENTRAL LINE,dual lumen central line,Supply,Supply,0.8472,1
DUONEB INHALATION SOLUTION 3ML,duoneb inhalation solution 3_ml,Supply,Supply,0.3554,1
ECG 12 LEAD,electrocardiogram 12 lead,Cardiology,Cardiology,0.91,1
ECHO 2D F-U,echocardiogram 2 male_female up,Cardiology,Supply,0.17,0
ECHO ANOMALIES COMP,echocardiogram anomalies component,Cardiology,Cardiology,0.7503,1
ECHO TRANSTHORACI,echocardiogram transthoracic,Cardiology,Cardiology,0.92,1
ECMO DAILY CHARGE,extracorporeal_membrane_oxygenation daily charge,OR / Anesthesia / Recovery Room,Respiratory Therapy,0.7057,0
EEG,electroencephalogram,Procedure,Cardiology,0.415,0
EEG AWAKE AND ASLEEP 20-40 MIN,electroencephalogram awake and asleep 20 40 minutes,Procedure,Procedure,0.2428,1
EEG AWAKE AND ASLEEP 20-40 MIN-INT,electroencephalogram awake and asleep 20 40 minutes int,Cardiology,Procedure,0.2433,0
EEG VIDEO PER 24,electroencephalogram video per 24,Cardiology,Procedure,0.2306,0
EGG CRATE PAD,egg crate pad,Supply,Supply,0.4876,1
EKG 12 - LEAD - ALL LOYOLA L,electrocardiogram 12 lead alle loyola liter,Cardiology,Cardiology,1.0,1
ELECTRODE ECG FOAM  INF.,electrode electrocardiogram foam infusion,Supply,Supply,0.91,1
EMERG NIV SUBSEQUENT DAY,emergent noninvasive_ventilator subsequent day,Respiratory Therapy,Respiratory Therapy,0.8821,1
END TIDAL C02,end tidal carbon_dioxide,Monitoring,Monitoring,0.5654,1
ENOXAPARIN 300 MG/3 ML SOL,enoxaparin 300_mg/3_ml solution,Pharmacy,Pharmacy,0.91,1
ENOXAPARIN 40 MG INJ,enoxaparin 40_mg injection,Pharmacy,Pharmacy,0.96,1
ENTERAL FEEDING BAG EACH,enteral feeding bag each,Supply,Supply,0.9072,1
EPHEDRINE 10ML INJ PRE-FILLED,ephedrine 10_ml injection pre filled,Pharmacy,Pharmacy,0.91,1
EPINEPHR 1MG-1ML INJ,epinephrine 1_mg 1_ml injection,Pharmacy,Pharmacy,0.9325,1
EPINEPHRINE 1:1 000 1 MG (,epinephrine 1 1 0 1_mg,Pharmacy,Pharmacy,0.93,1
EQ PUMP  SYRINGE,equipment pump syringe,Capital Equipment,Capital Equipment,1.0,1
ER ROOM L5 (LIFE THREAT),emergency_room room l5 life threat,Other,Room and Board,0.7865,0
ESOMEPRAZOLE 40MG PWD PKT ORAL,esomeprazole 40_mg powder packet oral,Pharmacy,Pharmacy,0.91,1
ETOMIDATE 2 MG/ML SOLN,etomidate 2_mg/ml solution,Pharmacy,Pharmacy,0.91,1
EVALUATION IV PT,evaluation intravenous physical_therapy,Nursing Services,PT / OT / Speech Therapy,0.95,0
EVARREST,evarrest,Supply,Laboratory,0.1128,0
EXERCISER THERABND MED RD PER YD,exerciser therabnd medical rd per yard,Supply,Room and Board,0.3422,0
EXHALED CARBON DIOXIDE TEST,exhaled carbon dioxide test,Monitoring,Laboratory,0.7484,0
EXTENSION SET ENTERAL 60 INCH,extension set enteral 60 inches,Supply,Supply,0.95,1
EXTENSIVE GAS DELIVERY INITIAL,extensive gas delivery initial,Plan Benefit,Plan Benefit,0.91,1
EZETIMIBE 10MG TAB,ezetimibe 10_mg tablet,Pharmacy,Pharmacy,0.8994,1
FACTOR VIIA  1 MCG,factor viia 1 mcg_gram_aerosol,Plan Benefit,Plan Benefit,0.94,1
FAMOTIDINE 10 MG/ML SOLN,famotidine 10_mg/ml solution,Pharmacy,Pharmacy,0.91,1
FAMOTIDINE 20 MG/2 ML INJ,famotidine 20_mg/2_ml injection,Pharmacy,Pharmacy,0.95,1
FAT EMULSION 20 % EMUL 50 ML SYRINGE,fat emulsion 20% emulsion 50_ml syringe,Pharmacy,Pharmacy,0.91,1
FAT EMULSION 20% EMUL 500,fat emulsion 20% emulsion 500,Pharmacy,Pharmacy,0.97,1
FAT EMULSION 20% EMUL 500 ML BAG,fat emulsion 20% emulsion 500_ml bag,Pharmacy,Pharmacy,0.97,1
FEEDING PUMP,feeding pump,Capital Equipment,Capital Equipment,0.936,1
FEEDING PUMP DLY,feeding pump daily,Capital Equipment,Capital Equipment,0.8798,1
FENTANYL 0.05 MG/ML SOLN 2 ML VIAL,fentanyl 0.05_mg/ml solution 2_ml vial,Pharmacy,Pharmacy,0.95,1
FENTANYL 100 MCG/2ML SOLN,fentanyl 100 mcg/2_ml solution,Pharmacy,Pharmacy,0.94,1
FENTANYL 1:10 5 MCG/ML SOL,fentanyl 1 10 5 mcg/ml solution,Pharmacy,Pharmacy,0.93,1
FENTANYL 50MCG/ML 5ML,fentanyl 50_mcg/ml 5_ml,Pharmacy,Pharmacy,0.91,1
FENTANYL CIT 10MCG/ML 1ML NSY,fentanyl citrate 10_mcg/ml 1_ml nursery,Pharmacy,Pharmacy,0.926,1
FENTANYL CITRATE 0.1 MG,fentanyl citrate 0.1_mg,Pharmacy,Pharmacy,0.96,1
FENTANYL CITRATE 0.1 MG INJ,fentanyl citrate 0.1_mg injection,Pharmacy,Pharmacy,0.93,1
FENTANYL CITRATE 0.1MG INJ,fentanyl citrate 0.1_mg injection,Pharmacy,Pharmacy,0.93,1
FERROUS SULFATE 325 MG (65 MG IRON) TABLET,ferrous sulfate 325_mg 65_mg iron tablet,Pharmacy,Pharmacy,0.91,1
FERROUS SULFATE OS,ferrous sulfate mouth,Pharmacy,Pharmacy,0.91,1
FETAL NON STRESS TEST,fetal non stress test,Monitoring,Laboratory,0.4755,0
FFP W/L 24HRS,fresh_frozen_plasma w liter 24_hours,Blood Products,Blood Products,0.5285,1
FIBRINOGEN,fibrinogen,Laboratory,Laboratory,0.91,1
FIBRN ACTV,fibrinogin actv,Laboratory,Laboratory,0.5278,1
FIRST 1/2 HOUR GEN,first 1/2 hour general,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.719,1
FLOUROSCOPY,flouroscopy,Radiology,Procedure,0.38,0
FLUCONAZOLE 2 MG/ML PGBK,fluconazole 2_mg/ml pgbk,Pharmacy,Pharmacy,0.91,1
