Original Description,Normalized Description,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,CHRG_CLS,Voting Algorithm,Confidence Score,Match_Jaro,Match_DLevenshtein,Match_Logistic,Match_DeepNN,Match_Voted
ALBUTEROL INH U.D. PER MG .....,albuterol inhaled u daily per milligram,Pharmacy,0.75,Pharmacy,0.81,Pharmacy,0.76,Plan Benefit,0.866286722039,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.58,1,1,1,0,1
ALBUTEROL SULF 0.83MG/ML 3ML,albuterol sulfate 0.83_mg/ml 3_ml,Pharmacy,0.85,Pharmacy,0.93,Pharmacy,0.985209168487,Pharmacy,0.999996105614,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.941301318525,1,1,1,1,1
ALBUTEROL SULFATE 0.083% INTERMITTENT I,albuterol sulfate 0.083% intermittent i,Pharmacy,0.75,Pharmacy,0.81,Pharmacy,0.953829593867,Pharmacy,0.999870512959,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.878425026707,1,1,1,1,1
ALPHA-FETOPROTEIN SERUM,alpha fetoprotein serum,Laboratory,0.75,Laboratory,0.48,Laboratory,0.96,Laboratory,0.994027036801,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.7960067592,1,1,1,1,1
ALT SGPT,an alanine aminotransferase test serum_glutamic_pyruvic_transaminase,Laboratory,0.74,Laboratory,0.93,Laboratory,0.96,Laboratory,0.999615098384,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.907403774596,1,1,1,1,1
ALVIMOPAN 12 MG CAP,alvimopan 12_mg capillary,Pharmacy,0.74,Pharmacy,0.45,Pharmacy,0.942723960764,Pharmacy,0.948262029917,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.77024649767,1,1,1,1,1
AMINO ACID 4.25/5 DE,amino acid 4.25/5 device,Pharmacy,0.68,Pharmacy,0.36,Laboratory,0.454660967544,Supply,0.517899116848,Pharmacy,Pharmacy,"Jaro, DLevenshtein",0.26,1,1,0,0,1
AMINO ACIDS PLASMA,amino acids plasma,Laboratory,0.85,Laboratory,0.88,Laboratory,0.96,Laboratory,0.984603499621,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.918650874905,1,1,1,1,1
AMINOCAPROIC ACID 250 MG/ML SOLN 20 ML VIAL,aminocaproic acid 250_mg/ml solution 20_ml vial,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.955731906297,Pharmacy,0.996462327428,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.920548558431,1,1,1,1,1
AMIODARONE HCL TABLET 200MG,amiodarone hcl tablet 200_mg,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.974209605593,Pharmacy,0.999923313121,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.926033229679,1,1,1,1,1
AMIODARONE IN 5% DEXTROSE 150 MG/100 ML (1.5 MG/ML) SOLN,amiodarone inhibition 5% dextrose 150_mg/100_ml 1.5_mg/ml solution,Pharmacy,0.76,Pharmacy,0.81,Pharmacy,0.928849279008,Pharmacy,0.999123353241,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.874493158062,1,1,1,1,1
AMNIOFIX INJ 160MG AI-5200,amniofix injection 160_mg ai 5200,Pharmacy,0.7,Pharmacy,0.45,Pharmacy,0.900055892147,Pharmacy,0.993162359974,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.76080456303,1,1,1,1,1
AMOXICILLIN SUSPENSION 50 M WCH00-0004-28,amoxicillin suspension 50 m wch00 4 28,Plan Benefit,0.77,Plan Benefit,0.81,Pharmacy,0.944745534845,Pharmacy,0.984899702207,Pharmacy,Pharmacy,"Logistic_OvR, DeepNN",0.482411309263,0,0,1,1,1
ANAERO CULT ISO & PRESUMPT ID,anaerobic cult iso and_insert presumptive id,Laboratory,0.85,Laboratory,0.96,Laboratory,0.96,Supply,0.5043627358,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR",0.6925,1,1,1,0,1
ANAEROBIC CULTURE EXC BLOO,anaerobic culture excel blood,Laboratory,0.79,Laboratory,0.81,Laboratory,0.971814093256,Laboratory,0.99986666392,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.892920189294,1,1,1,1,1
ANTI-PHOSPHATIDYL,anti phosphatidyl,Diluent / Flush / Irrigant,0.71,Laboratory,0.81,Laboratory,0.92,Laboratory,0.917699585057,Laboratory,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.661924896264,0,1,1,1,1
ANTIMICROBIAL BREAKPOINT/MIC,antimicrobial breakpoint/microclave,Plan Benefit,0.7,Plan Benefit,0.37,Laboratory,0.76,Supply,0.795763987601,Plan Benefit,Laboratory,"Jaro, DLevenshtein",0.2675,0,0,1,0,0
ARM RESTRAINT,arm restraint,Laboratory,0.85,Laboratory,0.81,Supply,0.455424625841,Supply,0.863811608334,Laboratory,Supply,"Jaro, DLevenshtein",0.415,0,0,1,1,0
ARTIFICIAL TEARS OINT 3.5 G TUBE,artificial tears ointment 3.5 gram tube,Laboratory,0.69,Supply,0.47,Supply,0.96,Supply,0.999840361147,Supply,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.607460090287,0,1,1,1,1
ASPIRIN 325 MG TABS,aspirin 325_mg tablets,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.937214088006,Pharmacy,0.998913104986,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.916531798248,1,1,1,1,1
ASPIRIN 325MG; ASPIRIN 325 MG TABLET .EC,aspirin 325_mg aspirin 325_mg tablet each,Pharmacy,0.68,Pharmacy,0.45,Pharmacy,0.967890172922,Pharmacy,0.999605588947,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.774373940467,1,1,1,1,1
ASPIRIN 81 MGCHEW 750 EACH BLIST PACK,aspirin 81_mgchew 750 each blister pack,Pharmacy,0.85,Pharmacy,0.81,Pharmacy,0.587465139622,Supply,0.896103504421,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.561866284905,1,1,1,0,1
ASSAY OF PHOSPHORUS,assay of phosphorus,Laboratory,0.75,Laboratory,0.81,Laboratory,0.933185433267,Laboratory,0.999212052514,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.873099371445,1,1,1,1,1
B-TYPE NATRIURETIC PEPTIDE,b type natriuretic peptide,Laboratory,0.78,Laboratory,0.93,Laboratory,0.924771757275,Laboratory,0.99788323099,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.908163747066,1,1,1,1,1
B-TYPE NATRIURETIC PEPTIDE (BN,b type natriuretic peptide bone,Laboratory,0.76,Laboratory,0.93,Laboratory,0.96,Laboratory,0.664998903445,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.828749725861,1,1,1,1,1
B-TYPE NATRIURETIC PEPTIDE PLASMA,b type natriuretic peptide plasma,Laboratory,0.73,Laboratory,0.88,Laboratory,0.96,Laboratory,0.985779520327,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.888944880082,1,1,1,1,1
BACITRACIN 500 UNIT/GRAM OINT 14 G TUBE,bacitracin 500_units/gram ointment 14 gram tube,Pharmacy,0.85,Pharmacy,0.81,Pharmacy,0.92,Supply,0.654560349718,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.645,1,1,1,0,1
BACITRACIN 50MU VL,bacitracin 50mu vial,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.96,Pharmacy,0.961467672553,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.912866918138,1,1,1,1,1
BANDAGE SCISSORS,bandage scissors,Supply,0.73,Supply,0.44,Supply,0.96,Supply,0.9995147348,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.7823786837,1,1,1,1,1
BASIC ANES SERVICES,basic anesthesia services,OR / Anesthesia / Recovery Room,0.85,OR / Anesthesia / Recovery Room,0.93,OR / Anesthesia / Recovery Room,0.92,OR / Anesthesia / Recovery Room,0.999024629011,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.924756157253,1,1,1,1,1
BEBONKERS SUCTION,bebonkers suction,Nursing Services,0.76,Nursing Services,0.81,Supply,0.92,Supply,0.982268455119,Supply,Supply,"Logistic_OvR, DeepNN",0.47556711378,0,0,1,1,1
BEDSIDE GLUCOSE TEST,bedside glucose test,Monitoring,0.85,Laboratory,0.93,Monitoring,0.92,Monitoring,0.999595880927,Monitoring,Monitoring,"Jaro, Logistic_OvR, DeepNN",0.692398970232,1,0,1,1,1
BENZODIAZEPINESI-,benzodiazepines,Laboratory,0.75,Laboratory,0.38,Pharmacy,0.92,Pharmacy,0.977427705938,Pharmacy,Laboratory,"Logistic_OvR, DeepNN",0.474356926485,1,1,0,0,0
BLADE SURG CLPR STD 1 PASS,blade surgical clpr standard 1 pass,Supply,0.7,Supply,0.43,Supply,0.96,Supply,0.999939579927,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.772484894982,1,1,1,1,1
BLANKET ADULT UNDERBODY,blanket adult underbody,Supply,0.73,Supply,0.88,Supply,0.96,Supply,0.9998796591,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.892469914775,1,1,1,1,1
BLD GAS-PH PO2 PCO2,blood gas hydrogen_ion_concentration partial_pressure_of_oxygen partial_pressure_of_carbon_dioxide,Laboratory,0.73,Laboratory,0.41,Monitoring,0.442178960674,Monitoring,0.96504545392,Monitoring,Laboratory,"Logistic_OvR, DeepNN",0.351806103649,1,1,0,0,0
BLD# PLTLT AUTO,blood platelet automated,Laboratory,0.75,Laboratory,0.81,Laboratory,0.92,Laboratory,0.932095575885,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.853023893971,1,1,1,1,1
BLD# RETICULOCYTE MNL,blood reticulocyte manual,Laboratory,0.72,Laboratory,0.48,Laboratory,0.96,Laboratory,0.864707563089,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.756176890772,1,1,1,1,1
BLDE CLIPPER SNGL USE,blade clipper single use,Supply,0.75,Monitoring,0.45,Supply,0.96,Supply,0.999432338291,Supply,Supply,"Jaro, Logistic_OvR, DeepNN",0.677358084573,1,0,1,1,1
BLOOD CULTURE FOR BACTERIA,blood culture for bacteria,Laboratory,0.85,Laboratory,0.81,Laboratory,0.962682261605,Laboratory,0.999853834206,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.905634023953,1,1,1,1,1
BLOOD GAS-ARTERIAL,blood gas arterial,Laboratory,0.85,Monitoring,0.81,Monitoring,0.492018407718,Monitoring,0.928734803887,Monitoring,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.557688302901,1,0,0,0,0
BODY ALIGNER,body aligner,Respiratory Therapy,0.75,Laboratory,0.42,Laboratory,0.92,Laboratory,0.539455789509,Laboratory,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.469863947377,0,0,0,0,0
BOOT SUTURE,boot suture,Nursing Services,0.77,Laboratory,0.81,Supply,0.96,Supply,0.999909424712,Supply,Supply,"Logistic_OvR, DeepNN",0.489977356178,0,0,1,1,1
BORRELLA BURGDORF,borrelia burgdorferi,Laboratory,0.69,Radiology,0.36,Laboratory,0.924258102663,Laboratory,0.994096775405,Laboratory,Laboratory,"Jaro, Logistic_OvR, DeepNN",0.652088719517,1,0,1,1,1
BOSENTAN 6.25 MG/ML SOLN 5 ML BOTTLE,bosentan 6.25_mg/ml solution 5_ml bottle,Plan Benefit,0.78,Plan Benefit,0.88,Pharmacy,0.523880236572,Plan Benefit,0.995824007156,Plan Benefit,Plan Benefit,"Jaro, DLevenshtein, DeepNN",0.663956001789,1,1,0,1,1
BREAST PUMP,breast pump,Capital Equipment,0.74,Capital Equipment,0.81,Capital Equipment,0.76,Supply,0.784550438907,Capital Equipment,Capital Equipment,"Jaro, DLevenshtein, Logistic_OvR",0.5775,1,1,1,0,1
BRIMONIDINE OP SO 0.2,brimonidine operative so 0.2,Radiology,0.69,Pharmacy,0.43,Pharmacy,0.293359143019,Supply,0.938222235158,Pharmacy,Pharmacy,"DLevenshtein, Logistic_OvR",0.180839785755,0,1,1,0,1
BROMOCRIPTINE 2.5 MG TABLET,bromocriptine 2.5_mg tablet,Pharmacy,0.78,Plan Benefit,0.88,Pharmacy,0.945687944306,Pharmacy,0.990920926337,Pharmacy,Pharmacy,"Jaro, Logistic_OvR, DeepNN",0.679152217661,1,0,1,1,1
BUMETANIDE 1 MG TABS,bumetanide 1_mg tablets,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.930614043091,Pharmacy,0.989860339298,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.912618595597,1,1,1,1,1
BUPIVACAINE-LIDOCAINE (DUH 1:1) 0.25%-1 % SOLN,bupivacaine lidocaine duh 1 1 0.25% 1% solution,Pharmacy,0.77,Pharmacy,0.81,Pharmacy,0.972772157336,Pharmacy,0.99929726965,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.888017356747,1,1,1,1,1
C MHOC-NON-CHEMO SUB Q O,mhoc non chemo sub q o_r,Supply,0.66,Laboratory,0.39,Laboratory,0.92,Laboratory,0.86029109378,Laboratory,Nursing Services,"DLevenshtein, Logistic_OvR, DeepNN",0.542572773445,0,0,0,0,0
C-ARM PAIN MANAGEMENT,arm pain management,OR / Anesthesia / Recovery Room,0.74,Respiratory Therapy,0.88,Radiology,0.361249477155,Radiology,0.539341437758,Radiology,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",0.225147728728,0,0,0,0,0
C-MULTI-LUMEN CENTRAL VENOUS K,multiple lumen central venous potassium,Laboratory,0.72,Supply,0.46,Laboratory,0.76,Supply,0.671792996667,Laboratory,Supply,"Jaro, Logistic_OvR",0.37,0,1,0,1,0
CABLE QUAD CONNECTOR,cable quad connector,Laboratory,0.72,Nursing Services,0.45,Supply,0.96,Supply,0.998283300755,Supply,Supply,"Logistic_OvR, DeepNN",0.489570825189,0,0,1,1,1
CAFFEINE 60MG/3ML ORAL SOLUTION,caffeine 60_mg/3_ml oral solution,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.936507782829,Pharmacy,0.957420812851,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.90598214892,1,1,1,1,1
CALCIUM CHLOR 10% 1GM 10ML,calcium chloride 10% 1_gm 10_ml,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.921863970711,Pharmacy,0.999684022072,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.912886998196,1,1,1,1,1
CAMERA COVER,camera cover,Supply,0.72,OR / Anesthesia / Recovery Room,0.81,Supply,0.92,Supply,0.981749670968,Supply,Supply,"Jaro, Logistic_OvR, DeepNN",0.655437417742,1,0,1,1,1
CAN SUCT,canister suction,Diluent / Flush / Irrigant,0.76,Supply,0.46,Supply,0.96,Supply,0.992648509807,Supply,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.603162127452,0,1,1,1,1
CARBOHYDRATE DEFICIENT TRA,carbohydrate deficient tra,Laboratory,0.73,Laboratory,0.42,Laboratory,0.90164920415,Laboratory,0.9917860274,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.760858807888,1,1,1,1,1
CARBOXYME .25%OS UD,carboxyme 0.25%os ud,Laboratory,0.73,Laboratory,0.47,Supply,0.527292635658,Supply,0.939842997709,Supply,Pharmacy,"Logistic_OvR, DeepNN",0.366783908342,0,0,0,0,0
CARDIAC MONITOR PER DAY,cardiac monitor per day,Laboratory,0.74,Monitoring,0.81,Respiratory Therapy,0.414688762135,Monitoring,0.600223415653,Monitoring,Monitoring,"DLevenshtein, DeepNN",0.352555853913,0,1,0,1,1
CARNITINE TOTAL AND FREE,carnitine total and free,Respiratory Therapy,0.74,Laboratory,0.43,Laboratory,0.94255413625,Laboratory,0.999985393067,Laboratory,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.593134882329,0,1,1,1,1
CAROTID DUPLEX COMPLE,carotid duplex complete,Pharmacy,0.74,Cardiology,0.81,Radiology,0.96,Radiology,0.99279598775,Radiology,Cardiology,"Logistic_OvR, DeepNN",0.488198996938,0,1,0,0,0
CASPOFUNGIN 5 MG INJ,caspofungin 5_mg injection,Pharmacy,0.72,Pharmacy,0.81,Pharmacy,0.96,Pharmacy,0.996171072703,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.871542768176,1,1,1,1,1
CATH DLYS NIAGARA CRVD 20CM,catheter dlys niagara crvd 20cm,Supply,0.69,Supply,0.39,Supply,0.906009204557,Supply,0.999939499426,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.746487175996,1,1,1,1,1
CATH FOL BARDX LUB SH 16FRX5ML,catheter foley bardx lub sh 16frx5_ml,Supply,0.74,Supply,0.4,Supply,0.941914699974,Supply,0.999947093486,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.770465448365,1,1,1,1,1
CATH IV 22GX1 4252519-02,catheter intravenous 22gaugex1_02 4252519 2,Supply,0.85,Supply,0.93,Supply,0.96,Supply,0.999662926813,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.934915731703,1,1,1,1,1
CATH PULMONAR ART CCO  SVO,catheter pulmonary arteries cco servo,Supply,0.76,Supply,0.45,Supply,0.92,Supply,0.997276168649,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.781819042162,1,1,1,1,1
CATH ST RD ART 20GX1.75 RA-040,catheter straight_040 rd artery 20gx1.75 ra 40,Supply,0.79,Supply,0.46,Supply,0.96,Supply,0.999922465905,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.802480616476,1,1,1,1,1
CATH TRAY (NO CATH),catheter tray no_catheter catheter,Supply,0.76,Supply,0.81,Supply,0.951301310311,Supply,0.999999016842,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.880325081788,1,1,1,1,1
CATH VASCULAR GENERAL,catheter vascular general,Supply,0.72,Implant,0.45,Supply,0.76,Supply,0.991917906595,Supply,Supply,"Jaro, Logistic_OvR, DeepNN",0.617979476649,1,0,1,1,1
CATHETER ASP NASOTR,catheter aspirator nasotracheal,Supply,0.78,Supply,0.81,Supply,0.942936713268,Supply,0.999982136398,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.883229712417,1,1,1,1,1
CAUTERY PENCIL VALLEYLAB E,cautery pencil valleylab e,PT / OT / Speech Therapy,0.71,Laboratory,0.39,Supply,0.91555217291,Supply,0.999513426411,Supply,Supply,"Logistic_OvR, DeepNN",0.47876639983,0,0,1,1,1
CBC NO DIFFERENTIAL,complete_blood_count no_catheter differential,Laboratory,0.85,Laboratory,0.96,Laboratory,0.906538759382,Laboratory,0.999796270618,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.9290837575,1,1,1,1,1
CC RM TIME LV 2 1ST 1,cubic_centimeters room time lv 2 1st 1,OR / Anesthesia / Recovery Room,0.85,OR / Anesthesia / Recovery Room,0.96,Room and Board,0.346516421911,Room and Board,0.701618046636,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein",0.4525,1,1,0,0,1
CEFTRIAXONE 2 G SOLR 1 EACH VIAL,ceftriaxone 2 gram solution 1 each vial,Pharmacy,0.85,Pharmacy,0.93,Pharmacy,0.966550258351,Pharmacy,0.99525461463,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.935451218245,1,1,1,1,1
CEMENT BN ENDRN 40GM,cement bone endrn 40_gm,Pharmacy,0.68,Supply,0.41,Supply,0.92,Supply,0.99391986257,Supply,Implant,"DLevenshtein, Logistic_OvR, DeepNN",0.580979965643,0,0,0,0,0
CEPHALEXIN 500 MG CAPS,cephalexin 500_mg capsule,Pharmacy,0.85,Pharmacy,0.81,Pharmacy,0.973993208143,Pharmacy,0.997854232288,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.907961860108,1,1,1,1,1
CH-CHEST IV,ch chest intravenous,Radiology,0.85,Radiology,0.88,Supply,0.505323769471,Supply,0.736227247891,Radiology,Supply,"Jaro, DLevenshtein",0.4325,0,0,1,1,0
CHARGE FOR PREOP CARE,charge for preoperative care,Professional Fee,0.72,Capital Equipment,0.4,Nursing Services,0.469771994517,Respiratory Therapy,0.262146428262,Professional Fee,OR / Anesthesia / Recovery Room,Jaro,0.18,0,0,0,0,0
CHEST 1V CHEST 1V,chest one_view chest one_view,Radiology,0.79,Radiology,0.81,Radiology,0.92,Radiology,0.914984833972,Radiology,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.858746208493,1,1,1,1,1
CHEST WALL MANIP INITIAL,chest wall manip initial,Respiratory Therapy,0.85,Respiratory Therapy,0.88,Respiratory Therapy,0.571667879527,Respiratory Therapy,0.962972909749,Respiratory Therapy,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.816160197319,1,1,1,1,1
CHG-BLOOD GLUCOSE BY MONIT,blood glucose by monitoring,Monitoring,0.85,Monitoring,0.88,Monitoring,0.96,Monitoring,0.999689073675,Monitoring,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.922422268419,1,1,1,1,1
CHLORAPREP WITH TINT 26ML,chloraprep w tint 26_ml,Pharmacy,0.85,Pharmacy,0.88,Supply,0.5111644076,Supply,0.980240016176,Pharmacy,Pharmacy,"Jaro, DLevenshtein",0.4325,1,1,0,0,1
CHORIONIC GANADOTROPIN ASSAY,chorionic ganadotropin assay,Laboratory,0.71,Laboratory,0.42,Laboratory,0.96,Laboratory,0.986340055179,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.769085013795,1,1,1,1,1
CKMB,ckmb,Laboratory,0.75,Laboratory,0.81,Laboratory,0.174458745344,Supply,0.362877023372,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR",0.433614686336,1,1,1,0,1
CLIP STANDARD RIGHT ANGEL,clip standard right angel,Capital Equipment,0.74,Capital Equipment,0.81,Supply,0.900713499797,Supply,0.99991899373,Supply,Supply,"Logistic_OvR, DeepNN",0.475158123382,0,0,1,1,1
CLONIDNE 5MCG/ML ORAL SUSP 1ML,clonidine 5_mcg/ml oral suspension 1_ml,Plan Benefit,0.76,Plan Benefit,0.46,Pharmacy,0.96,Pharmacy,0.767138443248,Pharmacy,Pharmacy,"Logistic_OvR, DeepNN",0.431784610812,0,0,1,1,1
CLOPIDOGREL 75 MG TAB 90 EACH BOTTLE,clopidogrel 75_mg tablet 90 each bottle,Pharmacy,0.77,Pharmacy,0.88,Pharmacy,0.949273146868,Pharmacy,0.986575537118,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.896462170997,1,1,1,1,1
CLOPIDOGREL 75 MG TABLET,clopidogrel 75_mg tablet,Pharmacy,0.76,Pharmacy,0.81,Pharmacy,0.954471544804,Pharmacy,0.998021536477,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.88062327032,1,1,1,1,1
CLOPIDOGREL 75 MG TABS,clopidogrel 75_mg tablets,Laboratory,0.75,Pharmacy,0.81,Pharmacy,0.936117479509,Pharmacy,0.998255301371,Pharmacy,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.68609319522,0,1,1,1,1
CLOSTRIDIUM ENZYM ANTIGENASSAY,clostridium enzyme antigenassay,Laboratory,0.78,Laboratory,0.88,Laboratory,0.96,Laboratory,0.988488684549,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.902122171137,1,1,1,1,1
CMPNT FEM PRCT CR RT S,component femoral prct chest_radiograft respiratory_therapy s,Laboratory,0.68,Cardiology,0.36,Supply,0.432354753129,Supply,0.956062944994,Supply,Implant,"Logistic_OvR, DeepNN",0.347104424531,0,0,0,0,0
COAG / FIBRIN ASSAY WB (IN,coag/fibrin assay whole_blood inhibition,Supply,0.72,Laboratory,0.45,Laboratory,0.96,Laboratory,0.998123494035,Laboratory,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.602030873509,0,1,1,1,1
COLLAGENASE 250 UNIT/GM OINT 30 G TUBE,collagenase 250_units/gm ointment 30 gram tube,Pharmacy,0.85,Pharmacy,0.47,Pharmacy,0.76,Pharmacy,0.704117584666,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.696029396167,1,1,1,1,1
COLLECT BLD SPEC FROM ART LINE,collection blood specimen from arterial line,Nursing Services,0.76,Nursing Services,0.81,Nursing Services,0.96,Nursing Services,0.993987714465,Nursing Services,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.880996928616,1,1,1,1,1
COMPATABILITY  IS,compatability is,Laboratory,0.85,Laboratory,0.88,Laboratory,0.174458745344,Supply,0.362877023372,Laboratory,Blood Products,"Jaro, DLevenshtein, Logistic_OvR",0.476114686336,0,0,0,0,0
COMPLEX SPEC STN (QOVAP),complex specimen stain qovap,Pharmacy,0.73,Supply,0.47,Laboratory,0.920958149855,Laboratory,0.999429522303,Laboratory,Laboratory,"Logistic_OvR, DeepNN",0.48009691804,0,0,1,1,1
CONN S CUF 2TB DINACLK SM AD L,conn s cuff 2tb dinaclk small additional liter,Diluent / Flush / Irrigant,0.7,Laboratory,0.35,Supply,0.96,Supply,0.999357836534,Supply,Supply,"Logistic_OvR, DeepNN",0.489839459134,0,0,1,1,1
CONT VENTILATION 1ST,cont ventilation 1st,Respiratory Therapy,0.79,Respiratory Therapy,0.81,Supply,0.449562866016,Supply,0.525114955785,Respiratory Therapy,Respiratory Therapy,"Jaro, DLevenshtein",0.4,1,1,0,0,1
COUGH ASSIST TREATMENT,cough assist treatment,Respiratory Therapy,0.78,Respiratory Therapy,0.81,Respiratory Therapy,0.76,Respiratory Therapy,0.984781686738,Respiratory Therapy,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.833695421684,1,1,1,1,1
CR ABDOMEN SINGLE AP VIEW,chest_radiograft abdomen single anterior_posterior view,Supply,0.85,Radiology,0.88,Radiology,0.96,Radiology,0.998006540612,Radiology,Radiology,"DLevenshtein, Logistic_OvR, DeepNN",0.709501635153,0,1,1,1,1
CREAM ILEX 2.0 OZ. TUBE,cream ilex 2 ounce tube,Supply,0.71,Pharmacy,0.39,Supply,0.96,Supply,0.999236775488,Supply,Supply,"Jaro, Logistic_OvR, DeepNN",0.667309193872,1,0,1,1,1
