Original Description,Normalized Description,Changes,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_DLevenshtein,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
CHG-BLOOD GLUCOSE BY MONIT,blood glucose by monitoring,blood:blood||glucose:glucose||by:by||monit:monitoring||,Monitoring,0.85,Monitoring,0.88,Monitoring,0.96,Monitoring,0.994106022268,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.921026505567,monit,blood,glucose,
CHLORAPREP WITH TINT 26ML,chloraprep w tint 26_ml,chloraprep:chloraprep||with:w||tint:tint||26ml:26_ml||,Pharmacy,0.85,Pharmacy,0.88,Supply,0.511116795252,Pharmacy,0.574231532208,Pharmacy,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.768077177403,26_ml,chloraprep,tint,w
CHORIONIC GANADOTROPIN ASSAY,chorionic ganadotropin assay,chorionic:chorionic||ganadotropin:ganadotropin||assay:assay||,Laboratory,0.71,Laboratory,0.42,Laboratory,0.96,Laboratory,0.992088230311,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.770522057578,ganadotropin,assay,chorionic,
CKMB,ckmb,ckmb:ckmb||,Laboratory,0.75,Laboratory,0.81,Laboratory,0.174287052337,Laboratory,0.276754427139,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.502760369869,ckmb,,,
CLIP STANDARD RIGHT ANGEL,clip standard right angel,clip:clip||standard:standard||right:right||angel:angel||,Capital Equipment,0.74,Capital Equipment,0.81,Supply,0.900893493529,Supply,0.998328646116,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.474805534911,right,angel,clip,standard
CLONIDNE 5MCG/ML ORAL SUSP 1ML,clonidine 5_mcg/ml oral suspension 1_ml,clonidne:clonidine||5mcg:5_mcg||ml:ml||oral:oral||susp:suspension||1ml:1_ml||,Plan Benefit,0.76,Plan Benefit,0.46,Pharmacy,0.96,Pharmacy,0.994054668529,Pharmacy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.488513667132,clonidine,5_mcg/ml,1_ml,oral
CLOPIDOGREL 75 MG TAB 90 EACH BOTTLE,clopidogrel 75_mg tablet 90 each bottle,clopidogrel:clopidogrel||75_mg:75_mg||tab:tablet||90:90||each:each||bottle:bottle||,Pharmacy,0.77,Pharmacy,0.88,Pharmacy,0.949074916866,Pharmacy,0.999666617467,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.899685383583,bottle,75_mg,clopidogrel,tab
CLOPIDOGREL 75 MG TABLET,clopidogrel 75_mg tablet,clopidogrel:clopidogrel||75_mg:75_mg||tablet:tablet||,Pharmacy,0.76,Pharmacy,0.81,Pharmacy,0.953745079872,Pharmacy,0.999797817084,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.880885724239,75_mg,clopidogrel,tablet,
CLOPIDOGREL 75 MG TABS,clopidogrel 75_mg tablets,clopidogrel:clopidogrel||75_mg:75_mg||tabs:tablets||,Laboratory,0.75,Pharmacy,0.81,Pharmacy,0.936889045078,Pharmacy,0.999801177076,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.915563407385,75_mg,tabs,clopidogrel,
CLOSTRIDIUM ENZYM ANTIGENASSAY,clostridium enzyme antigenassay,clostridium:clostridium||enzym:enzyme||antigenassay:antigenassay||,Laboratory,0.78,Laboratory,0.88,Laboratory,0.96,Laboratory,0.994893524082,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.90372338102,clostridium,enzyme,antigenassay,
CMPNT FEM PRCT CR RT S,component femoral prct chest_radiograft respiratory_therapy s,cmpnt:component||fem:femoral||prct:prct||cr:chest_radiograft||rt:respiratory_therapy||s:s||,Laboratory,0.68,Cardiology,0.36,Supply,0.432779823886,Procedure,0.922488313969,Procedure,DeepNN,1,0,0,0,1,0.230622078492,rt,prct,component,cr
C-MULTI-LUMEN CENTRAL VENOUS K,multiple lumen central venous potassium,multi:multiple||lumen:lumen||central:central||venous:venous||k:potassium||,Laboratory,0.72,Supply,0.46,Laboratory,0.76,Procedure,0.690957655651,Laboratory,"Jaro, Logistic_OvR",2,1,0,1,0,0.37,venous,central,k,multiple
COAG / FIBRIN ASSAY WB (IN,coag/fibrin assay whole_blood inhibition,coag:coag||fibrin:fibrin||assay:assay||wb:whole_blood||in:inhibition||,Supply,0.72,Laboratory,0.45,Laboratory,0.96,Laboratory,0.992498612645,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.800832870882,fibrin,coag,inhibition,assay
COLLAGENASE 250 UNIT/GM OINT 30 G TUBE,collagenase 250_units/gm ointment 30 gram tube,collagenase:collagenase||250_unit:250_units||gm:gm||oint:ointment||30:30||g:gram||tube:tube||,Pharmacy,0.85,Pharmacy,0.47,Pharmacy,0.76,Pharmacy,0.997335445307,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.769333861327,250_units/gm,tube,oint,gram
COLLECT BLD SPEC FROM ART LINE,collection blood specimen from arterial line,collect:collection||bld:blood||spec:specimen||from:from||art:arterial||line:line||,Nursing Services,0.76,Nursing Services,0.81,Nursing Services,0.96,Nursing Services,0.999955007225,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.882488751806,arterial,spec,line,bld
COMPATABILITY  IS,compatability is,compatability:compatability||is:is||,Laboratory,0.85,Laboratory,0.88,Laboratory,0.174287052337,Laboratory,0.276754427139,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.545260369869,compatability,,,
COMPLEX SPEC STN (QOVAP),complex specimen stain qovap,complex:complex||spec:specimen||stn:stain||qovap:qovap||,Pharmacy,0.73,Supply,0.47,Laboratory,0.921011424728,Laboratory,0.997545338085,Laboratory,"Logistic_OvR, DeepNN",2,0,0,1,1,0.479639190703,qovap,spec,complex,stn
CONN S CUF 2TB DINACLK SM AD L,conn s cuff 2tb dinaclk small additional liter,conn:conn||s:s||cuf:cuff||2tb:2tb||dinaclk:dinaclk||sm:small||ad:additional||l:liter||,Diluent / Flush / Irrigant,0.7,Laboratory,0.35,Supply,0.96,Supply,0.96521149924,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.48130287481,liter,ad,2tb,cuff
CONT VENTILATION 1ST,cont ventilation 1st,cont:cont||ventilation:ventilation||1st:1st||,Respiratory Therapy,0.79,Respiratory Therapy,0.81,Supply,0.450246295467,OR / Anesthesia / Recovery Room,0.632870986218,Respiratory Therapy,"Jaro, DLevenshtein",2,1,1,0,0,0.4,ventilation,cont,1st,
COUGH ASSIST TREATMENT,cough assist treatment,cough:cough||assist:assist||treatment:treatment||,Respiratory Therapy,0.78,Respiratory Therapy,0.81,Respiratory Therapy,0.76,Respiratory Therapy,0.86794288383,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.804485720958,cough,treatment,assist,
CR ABDOMEN SINGLE AP VIEW,chest_radiograft abdomen single anterior_posterior view,cr:chest_radiograft||abdomen:abdomen||single:single||ap:anterior_posterior||view:view||,Supply,0.85,Radiology,0.88,Radiology,0.96,Radiology,0.989271453109,Radiology,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.94309048437,ap,single,view,abdomen
CREAM ILEX 2.0 OZ. TUBE,cream ilex 2 ounce tube,cream:cream||ilex:ilex||2.0:2||oz:ounce||tube:tube||,Supply,0.71,Pharmacy,0.39,Supply,0.96,Supply,0.918804401118,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.862934800373,tube,ounce,ilex,cream
CREATININE RANDOM URINE,creatinine random urine,creatinine:creatinine||random:random||urine:urine||,Laboratory,0.85,Laboratory,0.88,Laboratory,0.939236761622,Laboratory,0.99959973539,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.917209124253,creatinine,random,urine,
CROSS MATCH RESULT,cross match result,cross:cross||match:match||result:result||,Laboratory,0.85,Laboratory,0.88,Supply,0.92,Nursing Services,0.372598553319,Laboratory,"Jaro, DLevenshtein",2,1,1,0,0,0.4325,cross,match,result,
CROSSMATCH IMMEDIATE SPIN,crossmatch immediate spine,crossmatch:crossmatch||immediate:immediate||spin:spine||,Laboratory,0.79,Laboratory,0.81,Radiology,0.369635165075,Procedure,0.654476799602,Laboratory,"Jaro, DLevenshtein",2,1,1,0,0,0.4,spine,crossmatch,immediate,
CRP-HIGH SENSITIVITY,c_reactive_protein high sensitivity,crp:c_reactive_protein||high:high||sensitivity:sensitivity||,Professional Fee,0.72,Laboratory,0.81,Laboratory,0.939821051127,Laboratory,0.984978919787,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.911599990305,high,c_reactive_protein,sensitivity,
CSR-UNDERPAD ULTRASORBS 5PK; UNDERPAD ULTRASORBS 5PK,csr underpad ultrasorbs 5pk underpad ultrasorbs 5pk,csr:csr||underpad:underpad||ultrasorbs:ultrasorbs||5pk:5pk||underpad:underpad||ultrasorbs:ultrasorbs||5pk:5pk||,Respiratory Therapy,0.7,Respiratory Therapy,0.31,Laboratory,0.96,Laboratory,0.910261783896,Laboratory,"Logistic_OvR, DeepNN",2,0,0,1,1,0.467565445974,ultrasorbs,5pk,underpad,csr
CT ABDOMEN+PELVIS W/O CONTRAST,computed_tomography abdomen and pelvis without contrast,ct:computed_tomography||abdomen:abdomen||and:and||pelvis:pelvis||without:without||contrast:contrast||,Radiology,0.85,Radiology,0.93,Radiology,0.928592529766,Radiology,0.999611303168,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.927050958233,ct,without,abdomen,contrast
CT HEAD OR BRAIN W/O CONTRAST,computed_tomography head operation_room brain without contrast,ct:computed_tomography||head:head||or:operation_room||brain:brain||without:without||contrast:contrast||,Radiology,0.85,Radiology,0.88,Radiology,0.96,Radiology,0.980412292317,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.917603073079,head,or,ct,brain
CT RETROPERITO ABSC DRN PERC,computed_tomography retroperitoneal absc drn percutaneous,ct:computed_tomography||retroperito:retroperitoneal||absc:absc||drn:drn||perc:percutaneous||,Monitoring,0.72,Laboratory,0.38,Radiology,0.92,Procedure,0.623799871153,Radiology,Logistic_OvR,1,0,0,1,0,0.23,ct,retroperitoneal,drn,percutaneous
CUFF BP ADULT MED DISP,cuff bp adult medical disposable,cuff:cuff||bp:bp||adult:adult||med:medical||disp:disposable||,Supply,0.74,Supply,0.45,Supply,0.968300312006,Supply,0.999289500494,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.789397453125,bp,med,cuff,adult
CULT  URINE W CC (URIN),cult urine with cubic_centimeters urine,cult:cult||urine:urine||w:with||cc:cubic_centimeters||urin:urine||,Laboratory,0.85,Laboratory,0.88,Laboratory,0.911903150289,Laboratory,0.997213303113,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.90977911335,cult,urine,cc,
CULT AEROBIC IDENTIF,cult aerobic identify,cult:cult||aerobic:aerobic||identif:identify||,Laboratory,0.85,Laboratory,0.81,Laboratory,0.975302857579,Laboratory,0.999974118641,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.908819244055,cult,aerobic,identify,
CULT BACT QUANT A,cult bacteria quantitative a,cult:cult||bact:bacteria||quant:quantitative||a:a||,Laboratory,0.75,Laboratory,0.81,Laboratory,0.970463548439,Laboratory,0.999999753111,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.882615825388,cult,quant,bacteria,
CULTURE RESPIRATORY,culture respiratory,culture:culture||respiratory:respiratory||,Laboratory,0.85,Laboratory,0.81,Laboratory,0.92,Laboratory,0.990441193635,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.892610298409,culture,respiratory,,
CULTURE/BACTERIAL FLUID QT,culture/bacterial fluid quantitative,culture:culture||bacterial:bacterial||fluid:fluid||qt:quantitative||,Laboratory,0.85,Laboratory,0.93,Laboratory,0.984839501827,Laboratory,0.999998290874,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.941209448175,culture,bacterial,fluid,qt
D5W 1/2NS 1000ML/20MEQ KCL,dextrose_5%_in_water 1/2ns 1000_ml/20_meq potassuim_chloride,d5w:dextrose_5%_in_water||1:1||2ns:2ns||1000ml:1000_ml||20meq:20_meq||kcl:potassuim_chloride||,Diluent / Flush / Irrigant,0.73,Pharmacy,0.36,Pharmacy,0.92,Pharmacy,0.966120580439,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.748706860146,kcl,1/2ns,1000_ml/20_meq,d5w
D5W 100ML IVF,dextrose_5%_in_water 100_ml intravenous_fluid,d5w:dextrose_5%_in_water||100ml:100_ml||ivf:intravenous_fluid||,Diluent / Flush / Irrigant,0.85,Diluent / Flush / Irrigant,0.88,Diluent / Flush / Irrigant,0.96,Diluent / Flush / Irrigant,0.98488314047,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.918720785118,100_ml,d5w,ivf,
DAILY BED & SERVICE,daily bed and_insert service,daily:daily||bed:bed||&:and_insert||service:service||,Monitoring,0.75,OR / Anesthesia / Recovery Room,0.47,Capital Equipment,0.92,Capital Equipment,0.996211004039,Capital Equipment,"Logistic_OvR, DeepNN",2,0,0,1,1,0.47905275101,service,&,bed,daily
DEFIB EVERA MRI XT DR,defib evera magnetic_resonance_imagery xt drainage,defib:defib||evera:evera||mri:magnetic_resonance_imagery||xt:xt||dr:drainage||,Supply,0.71,Laboratory,0.35,Supply,0.76,Procedure,0.923703439535,Supply,"Jaro, Logistic_OvR",2,1,0,1,0,0.3675,mri,evera,defib,xt
DEFIBROTIDE INJ MT2,defibrotide injection mt2,defibrotide:defibrotide||inj:injection||mt2:mt2||,Pharmacy,0.73,Pharmacy,0.81,Pharmacy,0.908061560997,Pharmacy,0.986330990886,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.858598137971,mt2,inj,defibrotide,
DEVICE FOLEY CATH STATLOCK,device foley catheter statlock,device:device||foley:foley||cath:catheter||statlock:statlock||,Laboratory,0.72,Supply,0.43,Supply,0.900197505642,Supply,0.997238954828,Supply,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.77581215349,device,foley,cath,statlock
DEVICE INFLAT ENCORE 26 15-105,device inflation encore 26 15 105,device:device||inflat:inflation||encore:encore||26:26||15:15||105:105||,Supply,0.71,Supply,0.36,Supply,0.92,Supply,0.943965280178,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.733491320045,device,inflation,encore,
DEX 5% IV 500ML,dextrose 5% intravenous 500_ml,dex:dextrose||5%:5%||iv:intravenous||500ml:500_ml||,Diluent / Flush / Irrigant,0.85,Diluent / Flush / Irrigant,0.81,Diluent / Flush / Irrigant,0.76,Diluent / Flush / Irrigant,0.987939100854,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.851984775213,5%,dex,iv,500_ml
DEXAMETHASONE (PER .25MG)4MG T,dexamethasone per 0.25_mg 4_mg tab,dexamethasone:dexamethasone||per:per||0.25mg:0.25_mg||4mg:4_mg||t:tab||,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.937440385672,Pharmacy,0.999961427854,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.916850453381,4_mg,0.25_mg,tab,per
DEXAMETHASONE 0.5MG/5ML 0.5ML,dexamethasone 0.5_mg/5_ml 0.5_ml,dexamethasone:dexamethasone||0.5mg:0.5_mg||5ml:5_ml||0.5ml:0.5_ml||,Pharmacy,0.85,Pharmacy,0.93,Pharmacy,0.916587115503,Pharmacy,0.994867495379,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.92286365272,0.5_ml,0.5_mg/5_ml,dexamethasone,
DEXTROMETHORPHAN-GUAIFENESIN 30-600 MG TB12,dextromethorphan guaifenesin 30 600_mg tb12,dextromethorphan:dextromethorphan||guaifenesin:guaifenesin||30:30||600_mg:600_mg||tb12:tb12||,Pharmacy,0.76,Pharmacy,0.81,Pharmacy,0.939631963549,Pharmacy,0.999951350503,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.877395828513,guaifenesin,dextromethorphan,tb12,600_mg
DEXTROSE 10% IN WATER (D10W) 10 % SOLP 250 ML BAG,dextrose 10% in water dextrose_10% 10% solution 250_ml bag,dextrose:dextrose||10%:10%||in:in||water:water||d10w:dextrose_10%||10%:10%||solp:solution||250_ml:250_ml||bag:bag||,Pharmacy,0.85,Pharmacy,0.81,Diluent / Flush / Irrigant,0.543893909381,Pharmacy,0.869092346773,Pharmacy,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.843030782258,dextrose_10%,solution,10%,water
DEXTROSE 5% AND LACTATED RINGERS 5 % SOLN,dextrose 5% and lactated ringers 5% solution,dextrose:dextrose||5%:5%||and:and||lactated:lactated||ringers:ringers||5%:5%||soln:solution||,Diluent / Flush / Irrigant,0.76,Diluent / Flush / Irrigant,0.81,Diluent / Flush / Irrigant,0.518876341184,Diluent / Flush / Irrigant,0.897652680282,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.746632255366,5%,lactated,dextrose,soln
DEXTROSE/TROPHAMINE BAG LINE,dextrose/trophamine bag line,dextrose:dextrose||trophamine:trophamine||bag:bag||line:line||,Diluent / Flush / Irrigant,0.77,Diluent / Flush / Irrigant,0.81,Supply,0.76,Diluent / Flush / Irrigant,0.958298014943,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.846099338314,trophamine,line,dextrose,bag
DIGOXIN 0.125 MG TABS,digoxin 0.125_mg tablets,digoxin:digoxin||0.125_mg:0.125_mg||tabs:tablets||,Laboratory,0.85,Pharmacy,0.81,Pharmacy,0.920145296128,Pharmacy,0.999397919059,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.909847738395,digoxin,tabs,0.125_mg,
DIPHENHYDRAMINE-ZINC ACETATE 2-0.1 % CREA 28 G TUBE,diphenhydramine zinc acetate 2 0.1% cream 28 gram tube,diphenhydramine:diphenhydramine||zinc:zinc||acetate:acetate||2:2||0.1%:0.1%||crea:cream||28:28||g:gram||tube:tube||,Pharmacy,0.74,Pharmacy,0.45,Pharmacy,0.92847868971,Pharmacy,0.999414392562,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.779473270568,0.1%,diphenhydramine,acetate,gram
DISP: 0.360 ML; 15 MG/ML; USED NDC QTY: 1.000 PCK OF 473.000 ML BOTTLE RANITIDINE 15 MG/ML SYRUP,dispensed_1_5% 0.360_ml 15_mg/ml used ndc quantity 1 pack of 473.000_ml bottle ranitidine 15_mg/ml syrup,disp:dispensed_1_5%||0.360_ml:0.360_ml||15_mg:15_mg||ml:ml||used:used||ndc:ndc||qty:quantity||1.000:1||pck:pack||of:of||473.000_ml:473.000_ml||bottle:bottle||ranitidine:ranitidine||15_mg:15_mg||ml:ml||syrup:syrup||,Pharmacy,0.75,Pharmacy,0.88,Pharmacy,0.97511887479,Pharmacy,0.99973366097,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.90121313394,dispensed_1_5%,used,ranitidine,15_mg/ml
DISP: 0.500 ML; 400 MCG/ML; USED NDC QTY: 1.000 PCK OF 60.000 ML DROP BTL PEDIATRIC MULTIVITAMIN COMB NO.40-PHYTONADIONE 400 MCG/ML ORAL DROPS,dispensed_1_5% 0.500_ml 400 mcg/ml used ndc quantity 1 pack of 60.000_ml drop btl pediatric multivitamin comb no.40 phytonadione 400 mcg/ml oral drops,disp:dispensed_1_5%||0.500_ml:0.500_ml||400:400||mcg:mcg||ml:ml||used:used||ndc:ndc||qty:quantity||1.000:1||pck:pack||of:of||60.000_ml:60.000_ml||drop:drop||btl:btl||pediatric:pediatric||multivitamin:multivitamin||comb:comb||no.40:no.40||phytonadione:phytonadione||400:400||mcg:mcg||ml:ml||oral:oral||drops:drops||,Pharmacy,0.76,Pharmacy,0.81,Pharmacy,0.976979790787,Pharmacy,0.999937187814,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.88672924465,dispensed_1_5%,used,mcg,ml
DISP: 0.500 ML; 400 UNIT/ML; USED NDC QTY: 1.000 PCK OF 50.000 ML DROP BTL CHOLECALCIFEROL (VITAMIN D3) 400 UNIT/ML ORAL DROPS,dispensed_1_5% 0.500_ml 400_units/ml_used ndc quantity 1 pack of 50.000_ml drop btl cholecalciferol vitamin d3 400_units/ml oral drops,disp:dispensed_1_5%||0.500_ml:0.500_ml||400_unit:400_units||ml_used:ml_used||ndc:ndc||qty:quantity||1.000:1||pck:pack||of:of||50.000_ml:50.000_ml||drop:drop||btl:btl||cholecalciferol:cholecalciferol||vitamin:vitamin||d3:d3||400_unit:400_units||ml:ml||oral:oral||drops:drops||,Diluent / Flush / Irrigant,0.75,Pharmacy,0.88,Pharmacy,0.981374204305,Pharmacy,0.999899335587,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.953757846631,dispensed_1_5%,drops,d3,ndc
DISP: 50.000 ML; 5 %; USED NDC QTY: 1.000 PCK OF 50.000 ML VIAL ALBUMIN HUMAN 5 % IV SOLUTION ANE ALBUMIN 5 % BOLUS (50 ML),dispensed_1_5% 50.000_ml 5% used ndc quantity 1 pack of 50.000_ml vial albumin human 5% intravenous solution ane albumin 5% bolus 50_ml,disp:dispensed_1_5%||50.000_ml:50.000_ml||5%:5%||used:used||ndc:ndc||qty:quantity||1.000:1||pck:pack||of:of||50.000_ml:50.000_ml||vial:vial||albumin:albumin||human:human||5%:5%||iv:intravenous||solution:solution||ane:ane||albumin:albumin||5%:5%||bolus:bolus||50_ml:50_ml||,Pharmacy,0.74,Pharmacy,0.81,Pharmacy,0.966063727879,Pharmacy,0.999879651603,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.87898584487,ane,dispensed_1_5%,used,bolus
DORNASE 1 MG/ML I,dornase 1_mg/ml i,dornase:dornase||1_mg:1_mg||ml:ml||i:i||,Plan Benefit,0.85,Plan Benefit,0.88,Pharmacy,0.539508231061,Plan Benefit,0.966656226272,Plan Benefit,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.898885408757,1_mg/ml,dornase,,
DORNASE ALFA INHA SOLN; DORNASE ALFA NEB 1 MG/ML (2.5 ML),dornase alpha inhalation solution dornase alpha nebulizer 1_mg/ml 2.5_ml,dornase:dornase||alfa:alpha||inha:inhalation||soln:solution||dornase:dornase||alfa:alpha||neb:nebulizer||1_mg:1_mg||ml:ml||2.5_ml:2.5_ml||,Plan Benefit,0.76,Plan Benefit,0.81,Plan Benefit,0.981624106483,Plan Benefit,0.999999999531,Plan Benefit,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.887906026503,inha,solution,2.5_ml,neb
DORNASE PULMOZYME 2.5 MG I,dornase pulmozyme 2.5_mg i,dornase:dornase||pulmozyme:pulmozyme||2.5_mg:2.5_mg||i:i||,Plan Benefit,0.77,Plan Benefit,0.81,Pharmacy,0.528719916587,Plan Benefit,0.879661850439,Plan Benefit,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.81988728348,pulmozyme,2.5_mg,dornase,
DRAPE EXTREMITY LWR 88X131IN 89276 - CSC,drape extremity lower 88x131 inches 89276 csc,drape:drape||extremity:extremity||lwr:lower||88x131in:88x131 inches||89276:89276||csc:csc||,Laboratory,0.7,Supply,0.33,Supply,0.96,Supply,0.795354662873,Supply,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.695118220958,lower,drape,inches,extremity
DRAPE HALF SHEET,drape half sheet,drape:drape||half:half||sheet:sheet||,Supply,0.79,Supply,0.93,Supply,0.96,Supply,0.96353655293,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.910884138233,drape,sheet,half,
DRAPE IOBAN X LARGE,drape ioban x large,drape:drape||ioban:ioban||x:x||large:large||,Supply,0.79,Supply,0.88,Supply,0.96,Supply,0.994133162441,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.90603329061,large,x,ioban,drape
DRAPE SYS UNIV HD CVARTS 89454,drape system univ hand cvarts 89454,drape:drape||sys:system||univ:univ||hd:hand||cvarts:cvarts||89454:89454||,Supply,0.74,Supply,0.32,Supply,0.96,Supply,0.99762006356,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.75440501589,cvarts,drape,univ,system
DRAPE ULTRASOUND PROLIE 3687,drape ultrasound prolamine 3687,drape:drape||ultrasound:ultrasound||prolie:prolamine||3687:3687||,Laboratory,0.69,Supply,0.36,Radiology,0.49572962183,Procedure,0.640566075816,Laboratory,Jaro,1,1,0,0,0,0.1725,ultrasound,drape,prolamine,
DRESSING AQUAGUARD 7X7 OWEN,dressing aquaguard 7x7 owen,dressing:dressing||aquaguard:aquaguard||7x7:7x7||owen:owen||,Supply,0.85,Supply,0.81,Supply,0.93362367508,Supply,0.99978037855,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.898351013408,7x7,owen,aquaguard,dressing
DRESSING HDRCLD 125X9C,dressing hydrocolloid 125x9c,dressing:dressing||hdrcld:hydrocolloid||125x9c:125x9c||,Supply,0.77,Supply,0.81,Supply,0.919103467408,Supply,0.998608200201,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.874427916902,125x9c,hydrocolloid,dressing,
DRS AQUACEL 5X5/420619,dressing aquacel 5x5/420619,drs:dressing||aquacel:aquacel||5x5:5x5||420619:420619||,Supply,0.72,Supply,0.45,Supply,0.920044046588,Supply,0.999678442627,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.772430622304,aquacel,5x5/420619,drs,
DRSG ANTIMICROBAL W/CHG 1,dressing antimicrobial w charge 1,drsg:dressing||antimicrobal:antimicrobial||with:w||chg:charge||1:1||,Supply,0.85,Supply,0.81,Supply,0.96,Supply,0.967587942561,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.89689698564,antimicrobial,charge,w,drsg
DRSG KERLEX HEADROLL,dressing kerlix headroll,drsg:dressing||kerlex:kerlix||headroll:headroll||,Supply,0.68,Supply,0.39,Supply,0.920044046588,Supply,0.999678442627,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.747430622304,kerlix,headroll,drsg,
